date,open,high,low,close,volume
2023-09-26,31522.0000,31949.0000,30834.8496,30952.5996,5232
2023-09-27,31150.0000,31355.9492,31032.1992,31177.8008,1499
2023-09-28,31225.9492,31399.6504,30600.0000,30864.7500,1288
2023-09-29,31000.0000,32885.0000,30839.2500,31805.8496,7504
2023-10-03,31900.0000,32064.7500,31312.2500,31376.6504,1746
2023-10-04,31448.0000,31537.4004,30742.5996,30946.4492,1864
2023-10-05,31328.0000,31328.0000,30464.5000,30904.3496,3267
2023-10-06,30950.0000,31399.7500,30850.0000,31150.0996,1739
2023-10-09,31000.0000,31080.0000,30601.0000,30824.4004,1138
2023-10-10,30954.3008,31298.9492,30848.3008,30880.0996,1133
2023-10-11,31032.0000,31400.0000,30870.0508,31098.7500,1692
2023-10-12,31377.7500,31377.7500,30651.0000,31003.7500,5129
2023-10-13,31271.0000,31271.0000,30782.0000,30815.7500,1868
2023-10-16,30625.0000,31115.0508,30550.1992,30619.7500,4457
2023-10-17,30894.9492,30938.5508,30500.0996,30681.8008,897
2023-10-18,30785.0000,30787.9492,30101.0000,30376.0000,1840
2023-10-19,30398.0000,30672.8008,30200.0000,30441.8008,962
2023-10-20,30488.0000,30673.4492,30001.0000,30092.6992,1124
2023-10-23,30032.0000,30175.9492,29250.0000,29390.0508,1379
2023-10-25,29615.0000,29899.5508,28920.8496,29307.0996,2330
2023-10-26,29307.0996,29499.8496,28870.0000,29170.1504,3270
2023-10-27,29101.5000,29998.9492,29101.4492,29775.4004,2905
2023-10-30,29884.0000,29884.0000,29500.0000,29597.5996,805
2023-10-31,29650.0508,29869.9492,29500.0000,29762.6992,1045
2023-11-01,29829.0996,30500.0508,29590.5000,30320.9004,2663
2023-11-02,30320.9004,31450.0000,30320.9004,31325.2500,3070
2023-11-03,31329.0000,31450.0000,31059.9004,31289.0996,1210
2023-11-06,31310.0000,31661.9492,31310.0000,31450.7500,1258
2023-11-07,31450.7500,31500.0000,31083.0508,31321.0000,1484
2023-11-08,31294.6992,31675.5000,31239.1504,31479.8496,1295
2023-11-09,31362.0000,31788.0000,31261.5996,31726.5508,1981
2023-11-10,31726.0000,32409.3496,31350.0508,31558.0000,6310
2023-11-13,31847.0000,31881.4492,31000.0000,31256.5996,3790
2023-11-15,31350.0508,31500.0000,31040.0000,31147.5996,948
2023-11-16,31104.0000,31487.8496,30602.0000,30706.1504,2816
2023-11-17,30888.0000,30986.0508,30286.0000,30357.4004,2063
2023-11-20,30513.6504,30978.0000,29850.0000,30729.5996,2292
2023-11-21,30739.0000,31231.0000,30647.9004,30957.1992,2328
2023-11-22,30988.0000,30996.5508,30621.0996,30728.2500,1248
2023-11-23,30900.0000,31101.0000,30573.0000,30721.5508,1250
2023-11-24,30600.0000,30769.5508,30230.0000,30325.1992,1311
2023-11-28,30325.1992,30898.0000,30306.0000,30424.0000,4700
2023-11-29,30584.9492,30584.9492,30194.9004,30247.9004,1522
2023-11-30,30427.7500,31220.0000,30330.0996,31037.8008,12835
2023-12-01,31101.0000,31486.9492,30600.0000,31088.4492,3005
2023-12-04,31088.4492,31650.0000,30900.2500,31354.5996,7884
2023-12-05,31354.5996,31495.5508,31100.3008,31395.0508,4177
2023-12-06,31450.0000,31450.0000,30730.0000,30843.8496,3367
2023-12-07,31100.0000,31648.9492,30900.3008,31496.0996,2320
2023-12-08,31500.0000,31531.4492,31199.0000,31479.6992,865
2023-12-11,31607.0000,31934.3496,31250.0996,31807.1992,3611
2023-12-12,31807.1992,31807.1992,31090.0000,31215.4492,1592
2023-12-13,31489.9004,31600.0000,31175.0000,31498.4492,1108
2023-12-14,31490.5508,31644.0000,31032.0996,31144.6992,2505
2023-12-15,31386.0000,31424.1504,30996.0000,31193.0508,1945
2023-12-18,30832.0508,31395.0996,30777.0000,31016.0508,1436
2023-12-19,31169.0000,31580.0000,31000.0000,31469.4492,2661
2023-12-20,31469.4492,31530.0000,30500.0000,30717.4492,1791
2023-12-21,30717.4004,31699.9004,30469.5508,31358.3008,3384
2023-12-22,31468.9492,31563.5508,30993.0000,31182.0000,1812
2023-12-26,31127.0000,31489.8496,31078.0996,31447.5996,1511
2023-12-27,31570.0000,37438.3984,31570.0000,36389.9492,88939
2023-12-28,35402.6484,36193.3984,34833.7500,35091.3516,24253
2023-12-29,35091.9492,39876.1016,34852.1992,37309.1484,54528
2024-01-01,37000.0000,37500.0000,36405.0000,36659.9492,10350
2024-01-02,36868.9492,36934.1992,35150.0508,35633.9492,9804
2024-01-03,35900.0000,36451.8984,33532.6992,34236.7500,18794
2024-01-04,34688.9492,34732.6992,34200.0000,34321.8008,6087
2024-01-05,34325.0000,34775.0000,33850.0000,34696.9492,4835
2024-01-08,34700.0000,35103.7500,33812.9492,34070.6016,5414
2024-01-09,34339.0000,34788.0000,34000.8008,34155.0000,3829
2024-01-10,34101.0000,34327.9492,33632.8008,34046.6484,5599
2024-01-11,34389.0000,34448.0000,34000.0000,34098.6484,1428
2024-01-12,34368.0000,34368.0000,33941.0508,34091.3984,1700
2024-01-15,34092.0000,34746.8516,34000.0000,34514.3984,3579
2024-01-16,34566.9492,34699.7500,34100.0000,34335.1992,1705
2024-01-17,34335.1992,34669.3984,33861.6016,34345.3984,3171
2024-01-18,34339.0000,34418.5000,33701.0000,34092.7500,3290
2024-01-19,34249.0000,34484.8516,33805.1992,33916.0000,2994
2024-01-23,34850.0000,34850.0000,33305.0000,33527.6992,4424
2024-01-24,34188.0000,34649.8984,33605.2500,34470.9492,4769
2024-01-25,34166.0000,34756.1016,33950.0000,34048.2500,2771
2024-01-29,34259.9492,34259.9492,33456.0000,33724.1484,2703
2024-01-30,33860.0000,34059.9492,33569.0000,33655.5508,1639
2024-01-31,33655.5508,34659.0508,33655.5508,34408.3516,4845
2024-02-01,34450.8516,34500.0000,33700.0000,33803.8516,2999
2024-02-02,33998.8984,34039.0000,32800.0000,32868.8008,5414
2024-02-05,32975.0000,32975.0000,32201.0000,32380.9492,6870
2024-02-06,32580.9492,33769.0000,32411.2500,33123.2500,6875
2024-02-07,33500.0000,34000.0000,33320.3008,33972.6484,7492
2024-02-08,34054.6992,34587.1484,32900.0000,33112.1016,6665
2024-02-09,33886.0000,33886.0000,32024.9492,32642.6504,7037
2024-02-12,32699.9004,32897.8008,31701.0000,31792.6504,3434
2024-02-13,31825.0000,31992.6504,31201.0000,31471.1504,4281
2024-02-14,31479.5996,31599.9492,30835.0000,30947.2500,3942
2024-02-15,30947.2500,31174.4004,30507.6992,30788.3496,4826
2024-02-16,30987.8008,31200.0000,30800.0996,30897.3496,1961
2024-02-19,31225.0996,31666.1992,30800.0000,30918.4004,8782
2024-02-20,31111.0000,31516.1504,31000.0000,31384.5996,3214
2024-02-21,31500.0000,31520.0000,30909.0000,31009.2500,2801
2024-02-22,31277.0000,31277.0000,30411.1992,30515.6504,9309
2024-02-23,30800.0000,31185.0000,30250.0996,30379.6504,4440
2024-02-26,30567.8008,30948.0000,30420.0508,30742.5508,2454
2024-02-27,30817.0000,31411.9004,30817.0000,31246.1504,3400
2024-02-28,31446.1504,31446.1504,30400.0000,30669.4492,3537
2024-02-29,30798.1992,32380.6992,30570.0000,31977.6504,5454
2024-03-01,32275.0000,32275.0000,31500.0000,31714.3496,7287
2024-03-04,31836.0000,31836.0508,30550.0000,30656.0000,4602
2024-03-05,30815.9004,30885.8008,30005.0508,30115.6504,15807
2024-03-06,30200.0000,30544.4004,30116.0996,30323.6992,2769
2024-03-07,30325.9004,30778.0000,30266.0000,30480.5508,2582
2024-03-11,30315.2500,30647.6504,30001.0508,30101.8496,1471
2024-03-12,30448.0000,31132.4492,30005.5508,30843.1992,3630
2024-03-13,30843.1992,30900.0000,29905.0996,30246.5508,6237
2024-03-14,30246.5508,30446.1504,29400.0000,30133.1504,4529
2024-03-15,30249.0000,30369.3008,29400.0000,29594.4492,21361
2024-03-18,29595.0000,29620.8496,29241.1504,29516.0996,1842
2024-03-19,29748.0000,30104.3008,29203.4004,29678.9004,6670
2024-03-20,29678.9004,30200.0000,29260.0000,30038.9492,7617
2024-03-21,30337.0000,30337.0000,29877.5996,30049.2500,8054
2024-03-22,30200.0000,30900.0000,30144.5000,30728.4004,2103
2024-03-26,31000.0000,31000.0000,30319.7500,30487.1504,2225
2024-03-27,30788.0000,31657.4492,30179.8496,31475.0996,9289
2024-03-28,31475.0996,31475.0996,31032.0508,31193.3496,6634
2024-04-01,30800.0000,31449.9492,30430.0000,30533.1992,3789
2024-04-02,30800.0000,30821.0000,29851.1504,30277.6504,5529
2024-04-03,30277.0000,30561.9004,30200.0508,30269.0996,2567
2024-04-04,30497.0000,30600.0000,30001.0000,30326.5000,5277
2024-04-05,30200.0000,30500.0000,30200.0000,30348.4492,1553
2024-04-08,30348.4492,30556.4492,29957.0000,29990.5508,5893
2024-04-09,30199.9492,30439.4004,29956.4492,30050.0000,16194
2024-04-10,30348.0000,30348.9492,29770.0000,29850.9004,2535
2024-04-12,30150.0000,30150.0000,29501.0996,29611.0996,1897
2024-04-15,29610.0000,29610.0000,29001.0000,29186.3008,3467
2024-04-16,29186.3008,29959.0508,28907.0508,29759.5996,4399
2024-04-18,29942.3008,29999.9492,29250.5000,29385.2500,2183
2024-04-19,29380.0000,29749.9492,29000.0000,29660.5000,1820
2024-04-22,29789.6504,30491.9492,29673.0508,29831.8496,3303
2024-04-23,29831.8496,29986.0000,29680.1504,29755.6992,1215
2024-04-24,30000.0000,30700.0000,29905.9492,30283.4004,6752
2024-04-25,30202.0508,30300.0508,29865.0000,29975.5996,4976
2024-04-26,29981.4004,30419.4004,29500.0000,29967.9492,4523
2024-04-29,29967.9492,30324.4004,29600.0000,30024.0508,7846
2024-04-30,30043.0000,30599.9492,29936.1504,30468.0996,6040
2024-05-02,30600.0000,30600.0000,29600.0508,29733.2500,11917
2024-05-03,29886.0000,30198.0000,29351.1504,29696.8008,13550
2024-05-06,29732.3496,29860.5996,29511.9004,29595.3008,1531
2024-05-07,29625.0000,29881.8496,29120.0508,29625.1992,2882
2024-05-08,29689.0000,29748.1992,29001.3496,29124.1992,4658
2024-05-09,29200.0000,29351.9004,28625.0000,28834.6504,5379
2024-05-10,28865.0000,28865.0000,28614.4492,28694.3008,1520
2024-05-13,28715.0000,29170.9004,28500.0000,28927.8496,4917
2024-05-14,28927.8496,29349.9004,28726.0000,28879.4004,4462
2024-05-15,28942.6504,29199.0000,28498.9492,28619.0508,2795
2024-05-16,28686.2500,30301.0000,28686.2500,30006.1504,31105
2024-05-17,30114.8008,30919.0000,29899.9492,30312.8496,11068
2024-05-21,31137.0000,31689.9004,30500.0000,31535.1504,6497
2024-05-22,31506.4004,31655.3008,31116.0508,31189.3008,6537
2024-05-23,31210.2500,31299.9004,30800.0000,30843.2500,2398
2024-05-24,30870.0000,31085.3496,30600.0000,30692.0508,2085
2024-05-27,30687.0000,31600.0000,30550.0000,30942.0996,5199
2024-05-28,31248.9492,34599.0000,30295.6504,33914.5508,113543
2024-05-29,34499.8984,35545.2500,32952.8984,33493.7500,77574
2024-05-30,33150.0000,34483.8516,32825.0000,34000.8516,20394
2024-05-31,34000.8516,34400.0000,33185.1484,33385.0000,16302
2024-06-03,34100.0000,34462.6992,33400.0000,33815.8516,12641
2024-06-04,33830.0000,33999.9492,30453.8008,32352.5508,17091
2024-06-05,32800.0000,33400.0000,31904.9492,33150.6992,4946
2024-06-06,33300.0000,34415.9492,33250.0508,33985.9492,9949
2024-06-07,33884.0000,34300.0000,33542.6016,33752.3516,6699
2024-06-10,34200.0000,34530.0000,33754.4492,34160.2500,4893
2024-06-11,34415.9492,36448.1016,34378.7500,35626.5000,26727
2024-06-12,35626.5000,36400.0000,35501.0000,36233.6016,10280
2024-06-13,36600.0000,37100.0000,35804.1016,36894.6016,9335
2024-06-14,36950.0000,37397.0000,36302.0508,36489.2500,9355
2024-06-18,36540.0000,37248.0000,36540.0000,37068.5508,6367
2024-06-19,37397.0000,37500.0000,36662.8516,36930.5508,10351
2024-06-20,37000.0000,37197.5000,36520.1016,37036.5508,3562
2024-06-21,37300.0000,38258.4492,37093.0000,37965.4492,19263
2024-06-24,38247.5508,38350.0000,37200.0000,38166.8516,4404
2024-06-25,38300.0000,38501.0000,37500.0000,37862.8984,3597
2024-06-26,38199.0000,38328.5508,37060.0508,37182.6484,8346
2024-06-27,37699.9492,37877.8984,37060.0000,37466.7500,5831
2024-06-28,37866.6992,37876.8516,36525.7500,36804.3008,7102
2024-07-01,37350.6016,37998.0000,37050.0000,37857.1016,6475
2024-07-02,38133.5508,40856.5000,37956.0000,38908.6992,34347
2024-07-03,39167.0000,39708.4492,38100.0000,39411.8516,18456
2024-07-04,39485.1992,39959.8516,39202.6016,39525.1992,11808
2024-07-05,39000.0000,39449.9492,38600.0000,38768.1016,8303
2024-07-08,38629.0000,39398.4492,38370.0000,39294.6992,7139
2024-07-09,39294.6992,40181.0000,39115.8008,40020.6016,7073
2024-07-10,40000.0000,40120.0000,38801.0508,39347.3008,6583
2024-07-11,39800.0000,39849.9492,39339.8516,39430.7500,7095
2024-07-12,39649.9492,39784.6484,38237.8984,38646.0000,2374
