date,open,high,low,close,volume
2023-09-18,6.1000,6.1000,6.1000,6.1000,127889
2023-09-20,6.0000,6.1000,6.0000,6.0000,81773
2023-09-21,5.9500,6.0500,5.9500,5.9500,104657
2023-09-22,5.9000,5.9000,5.8500,5.9000,53069
2023-09-25,6.0000,6.0000,5.9000,6.0000,45184
2023-09-26,5.9000,6.0000,5.9000,5.9000,48461
2023-09-27,5.8500,5.8500,5.8500,5.8500,38798
2023-09-28,5.7500,5.8500,5.7500,5.7500,129357
2023-09-29,5.8500,5.8500,5.7000,5.8500,76749
2023-10-03,5.9500,5.9500,5.8500,5.9500,53147
2023-10-04,5.9000,5.9000,5.9000,5.9000,36799
2023-10-05,5.9000,5.9000,5.9000,5.9000,48643
2023-10-06,5.8500,5.9000,5.8000,5.8500,16678
2023-10-09,5.9000,6.0000,5.7000,5.9500,186226
2023-10-10,5.9500,6.1000,5.7500,5.9000,127141
2023-10-11,5.9500,6.0500,5.7500,5.8500,205357
2023-10-12,5.7500,6.1000,5.7500,6.1000,272352
2023-10-13,6.1000,6.4000,6.1000,6.3500,480013
2023-10-16,6.6500,6.6500,6.5000,6.6500,306901
2023-10-17,6.9000,6.9000,6.4500,6.7500,810168
2023-10-18,6.7000,6.7000,6.4500,6.5500,374424
2023-10-19,6.6000,6.8500,6.2500,6.8500,341131
2023-10-20,6.9000,7.1000,6.6000,6.8000,260550
2023-10-23,7.0000,7.0000,6.2500,6.4500,390698
2023-10-25,6.2000,6.5500,6.0500,6.1500,120905
2023-10-26,6.0500,6.4500,5.8500,6.0500,201609
2023-10-27,5.9000,6.6500,5.9000,6.6000,184669
2023-10-30,6.6500,7.0000,6.6000,6.7500,317678
2023-10-31,6.8000,6.8500,6.3500,6.5500,239942
2023-11-01,6.7000,6.7000,6.1500,6.3500,319471
2023-11-02,6.4500,6.4500,6.2500,6.3000,169130
2023-11-03,6.3000,6.4000,6.2500,6.3000,148746
2023-11-06,6.4500,6.9000,6.4500,6.9000,1164973
2023-11-07,7.2500,7.4000,7.2000,7.3000,1200381
2023-11-08,7.3000,7.5500,7.1000,7.1500,569728
2023-11-09,7.1000,7.2000,6.7500,7.0500,272915
2023-11-10,7.2000,7.3000,7.0000,7.0500,553629
2023-11-13,7.2500,7.3500,7.1500,7.2500,499515
2023-11-15,7.3000,7.3000,7.0000,7.1000,336873
2023-11-16,7.0500,7.1000,6.9500,7.0500,425699
2023-11-17,7.1000,7.1500,6.9000,7.1000,401233
2023-11-20,7.2500,7.3000,6.7000,7.0500,429837
2023-11-21,7.0000,7.2000,6.9500,7.1000,330297
2023-11-22,7.1500,7.1500,6.8500,6.9500,290832
2023-11-23,6.9500,7.1500,6.9000,7.0500,173750
2023-11-24,7.1000,7.1500,7.0000,7.0500,291936
2023-11-28,7.1500,7.1500,6.9000,7.0000,305707
2023-11-29,7.0000,7.1000,6.9500,7.0500,310327
2023-11-30,7.1000,7.1500,6.9500,7.0000,176045
2023-12-01,7.0000,7.1000,6.9500,6.9500,191512
2023-12-04,7.1000,7.6000,6.9500,7.4000,2403064
2023-12-05,7.6000,8.1000,7.6000,8.1000,2917727
2023-12-06,8.7000,8.9000,8.5000,8.9000,1977660
2023-12-07,9.7000,10.6500,9.7000,10.6500,4193941
2023-12-08,11.9500,12.7500,11.2500,12.7500,9182956
2023-12-11,13.8000,14.0000,13.3500,14.0000,1550003
2023-12-12,14.7500,15.4000,12.6000,13.2500,8141496
2023-12-13,12.6000,13.1500,12.6000,12.6000,675287
2023-12-14,12.0000,12.0000,12.0000,12.0000,327901
2023-12-15,11.4000,12.6000,11.4000,11.6500,2431085
2023-12-18,11.1000,11.1000,11.1000,11.1000,501469
2023-12-19,10.6500,11.0000,10.5500,10.5500,1338849
2023-12-20,10.1500,10.5000,10.0500,10.0500,662456
2023-12-21,9.5500,9.5500,9.5500,9.5500,308601
2023-12-22,9.1000,10.0000,9.1000,10.0000,364341
2023-12-26,10.5000,10.5000,10.2500,10.5000,318087
2023-12-27,11.0000,11.0000,11.0000,11.0000,226923
2023-12-28,11.5500,11.5500,11.0000,11.5500,766011
2023-12-29,11.9000,11.9000,11.0000,11.5000,1177604
2024-01-01,11.5000,12.0500,11.3000,12.0500,692472
2024-01-02,11.8000,11.8000,11.8000,11.8000,219622
2024-01-03,11.6000,11.6000,11.6000,11.6000,107594
2024-01-04,11.4000,11.4000,11.4000,11.4000,186642
2024-01-05,11.2000,11.3000,11.2000,11.2000,229925
2024-01-08,11.0000,11.0000,11.0000,11.0000,120420
2024-01-09,10.8000,10.8000,10.8000,10.8000,110653
2024-01-10,10.6000,10.6000,10.6000,10.6000,84146
2024-01-11,10.4000,10.4000,10.4000,10.4000,80074
2024-01-12,10.2000,10.2000,10.2000,10.2000,128223
2024-01-15,10.2000,10.2000,10.2000,10.2000,0
2024-01-16,9.9000,10.0000,9.8000,9.9000,230040
2024-01-17,9.9500,10.0000,9.9000,9.9500,163781
2024-01-18,9.9000,9.9500,9.9000,9.9000,171839
2024-01-19,9.7000,9.9000,9.7000,9.7000,144750
2024-01-23,9.3500,9.3500,9.3500,9.3500,87065
2024-01-24,9.2000,9.2000,9.2000,9.2000,78585
2024-01-25,9.0500,9.0500,9.0500,9.0500,140629
2024-01-29,9.0500,9.0500,9.0500,9.0500,185792
2024-01-30,9.1000,9.1000,9.0000,9.1000,193204
2024-01-31,9.2500,9.2500,9.1000,9.2500,136335
2024-02-01,9.4000,9.4000,9.4000,9.4000,69182
2024-02-02,9.5500,9.5500,9.5500,9.5500,62713
2024-02-05,10.0000,10.0000,10.0000,10.0000,267786
2024-02-06,10.5000,10.5000,10.5000,10.5000,136667
2024-02-07,11.0000,11.0000,11.0000,11.0000,228633
2024-02-08,11.5500,11.5500,11.0000,11.5500,1209235
2024-02-09,12.1000,12.1000,11.7000,12.1000,1312007
2024-02-12,12.6500,12.7000,12.3500,12.7000,1219434
2024-02-13,12.7000,12.7000,12.1000,12.1000,336824
2024-02-14,11.8500,11.8500,11.8500,11.8500,50156
2024-02-15,11.6500,11.6500,11.6500,11.6500,148405
2024-02-16,11.4500,11.4500,11.4500,11.4500,157174
2024-02-19,11.2500,11.2500,11.2500,11.2500,65783
2024-02-20,11.0500,11.0500,11.0500,11.0500,166116
2024-02-21,10.8500,10.8500,10.8500,10.8500,50468
2024-02-22,10.8500,10.8500,10.6500,10.8500,234306
2024-02-23,10.6500,10.6500,10.6500,10.6500,102276
2024-02-26,10.4500,10.4500,10.4500,10.4500,46177
2024-02-27,10.2500,10.2500,10.2500,10.2500,35074
2024-02-28,10.0500,10.1500,10.0500,10.0500,50756
2024-02-29,9.8500,9.8500,9.8500,9.8500,41549
2024-03-01,10.0000,10.0000,9.8500,10.0000,122648
2024-03-04,10.4000,10.4000,10.4000,10.4000,77139
2024-03-05,10.6000,10.6000,10.6000,10.6000,52923
2024-03-06,10.4000,10.6000,10.4000,10.4000,120709
2024-03-07,10.2000,10.2000,10.2000,10.2000,105465
2024-03-11,10.0000,10.1000,10.0000,10.0000,40357
2024-03-12,9.8000,9.8000,9.8000,9.8000,27389
2024-03-13,9.6000,9.6000,9.6000,9.6000,20795
2024-03-14,9.4000,9.4000,9.4000,9.4000,31268
2024-03-15,9.2500,9.2500,9.2500,9.2500,40765
2024-03-18,9.0000,9.2500,8.8000,8.8000,518484
2024-03-19,8.7000,8.8000,8.4000,8.6500,600546
2024-03-20,8.5000,9.0500,8.2500,9.0000,285759
2024-03-21,9.2500,9.4500,9.1500,9.4500,110030
2024-03-22,9.9000,9.9000,9.6500,9.9000,157739
2024-03-26,10.3500,10.3500,9.9000,9.9500,381730
2024-03-27,9.9500,10.3500,9.4500,9.6000,475111
2024-03-28,9.8000,9.9000,9.1500,9.1500,362324
2024-04-01,9.1500,10.0500,8.3000,9.7000,533811
2024-04-02,10.1500,10.1500,9.7000,10.1000,326706
2024-04-03,10.1000,11.1000,10.1000,11.1000,678972
2024-04-04,11.3000,12.2000,11.3000,12.2000,1385055
2024-04-05,12.6000,12.6000,11.6000,11.6000,1487677
2024-04-08,11.9500,11.9500,11.0500,11.0500,429230
2024-04-09,10.7500,11.0500,10.5000,10.5500,567706
2024-04-10,10.5500,11.0500,10.5500,11.0500,471808
2024-04-12,11.2000,11.6000,11.0500,11.2500,899000
2024-04-15,11.0000,11.0000,10.7000,10.7000,508496
2024-04-16,10.4000,10.6000,10.2000,10.2500,430910
2024-04-18,10.4500,10.7500,10.4500,10.7500,493027
2024-04-19,10.4000,10.6000,10.2500,10.3000,552195
2024-04-22,10.6000,10.8000,10.3500,10.6500,585574
2024-04-23,10.8500,10.9500,10.5000,10.7500,311104
2024-04-24,11.1000,11.2500,10.7000,11.1500,471810
2024-04-25,11.5000,11.5000,10.9000,11.0500,363737
2024-04-26,11.3000,11.3000,10.6000,10.8000,441058
2024-04-29,10.8500,11.0000,10.6000,10.6500,397213
2024-04-30,10.9000,11.1500,10.7500,11.1000,608478
2024-05-02,11.2500,11.4500,10.9000,11.0500,427393
2024-05-03,11.0000,11.2000,10.9000,10.9500,445015
2024-05-06,10.9000,11.0500,10.4500,10.6500,387000
2024-05-07,10.6000,10.8000,10.1500,10.4000,487210
2024-05-08,10.4000,10.9000,10.2500,10.7500,442857
2024-05-09,10.7000,11.0500,10.5000,10.6000,238699
2024-05-10,10.9000,10.9000,10.3500,10.6000,197705
2024-05-13,10.7000,10.7500,10.3000,10.5000,117305
2024-05-14,10.3000,10.8000,10.1000,10.4500,225101
2024-05-15,10.6000,10.6000,10.3500,10.4000,159685
