date,open,high,low,close,volume
2023-09-25,126.1500,126.8000,124.8500,125.5000,3937
2023-09-26,127.5000,128.8500,124.5000,126.9000,14010
2023-09-27,127.9000,127.9000,125.5000,126.8000,4145
2023-09-28,126.9000,127.6000,123.2000,124.3000,10682
2023-09-29,126.2000,126.2000,124.1000,124.9000,3682
2023-10-03,126.7500,126.7500,124.1000,124.9000,7300
2023-10-04,124.9500,126.6500,123.7000,124.0000,15143
2023-10-05,126.3500,127.2000,124.5000,127.0000,10411
2023-10-06,127.9000,136.1000,126.1500,131.7000,128294
2023-10-09,130.0000,132.8500,127.0000,128.9000,31603
2023-10-10,128.0000,133.8500,128.0000,132.3500,43973
2023-10-11,134.5000,139.5500,133.2500,138.5500,62761
2023-10-12,140.5000,141.6000,135.5000,137.0000,34898
2023-10-13,138.2000,140.0000,135.5500,138.0000,26676
2023-10-16,139.3500,141.4000,137.4000,138.6500,15434
2023-10-17,138.6500,144.0000,138.6500,139.8500,32215
2023-10-18,141.8000,142.0500,137.0000,138.4500,19047
2023-10-19,138.9500,138.9500,136.0000,136.5000,9661
2023-10-20,135.6000,137.7000,135.3000,135.9000,9867
2023-10-23,139.4500,139.4500,127.0000,128.6000,14044
2023-10-25,131.9500,131.9500,127.1000,128.1000,10941
2023-10-26,126.8000,135.0500,125.5500,131.6500,17422
2023-10-27,134.7000,138.0000,131.5500,136.3500,13939
2023-10-30,138.0000,138.0000,133.0000,135.1500,16238
2023-10-31,138.1500,138.1500,133.6000,134.6500,8952
2023-11-01,136.6000,136.6000,130.8000,131.0000,26743
2023-11-02,130.0000,133.0000,130.0000,132.2000,5541
2023-11-03,134.4000,134.4000,131.0000,131.2500,8055
2023-11-06,130.0500,132.2500,130.0500,130.4000,4863
2023-11-07,134.0000,134.0000,128.8000,130.4500,12279
2023-11-08,133.9000,134.2500,130.0000,130.3500,20688
2023-11-09,126.9500,128.5500,121.6000,124.0500,41651
2023-11-10,122.5000,125.9500,113.0000,114.7500,94588
2023-11-13,119.3500,119.3500,117.3500,118.7000,18703
2023-11-15,119.0000,125.0000,119.0000,121.6500,44474
2023-11-16,121.7000,124.9000,121.7000,122.5500,16514
2023-11-17,124.4500,124.4500,118.0000,119.9500,25645
2023-11-20,120.8500,120.8500,118.2000,118.9000,10008
2023-11-21,120.8500,122.3500,119.6000,121.1000,10298
2023-11-22,121.1000,121.1000,118.9500,119.9000,7424
2023-11-23,119.9000,120.7000,116.6500,118.2000,25267
2023-11-24,120.5000,120.5000,118.0000,118.4000,9893
2023-11-28,118.1000,119.8500,117.0000,118.2500,31586
2023-11-29,130.0000,141.9000,130.0000,141.9000,267030
2023-11-30,154.0000,161.0000,148.0000,150.4500,560940
2023-12-01,150.4500,151.4500,141.5000,146.5500,74155
2023-12-04,169.8000,170.0000,155.1000,157.2000,286611
2023-12-05,157.0000,157.4500,152.3000,155.2500,71333
2023-12-06,154.0000,155.2500,147.0000,148.7500,45245
2023-12-07,158.5500,158.5500,148.0000,150.4000,35598
2023-12-08,153.8500,153.8500,141.6500,143.2000,66394
2023-12-11,147.4000,152.0000,145.0000,148.6500,36631
2023-12-12,148.6500,150.9500,146.0000,146.9500,17067
2023-12-13,148.0000,148.0000,141.4500,142.7500,27888
2023-12-14,143.0000,144.7000,142.8500,143.2000,17351
2023-12-15,142.5000,146.5000,142.5000,142.7500,14680
2023-12-18,143.0000,145.0000,140.1000,144.0500,28982
2023-12-19,145.8500,146.8500,140.8000,141.4500,35125
2023-12-20,141.8000,143.4000,133.5500,134.7000,32007
2023-12-21,134.0000,137.8500,130.1000,136.8500,23863
2023-12-22,139.9000,139.9000,136.0500,137.8500,8490
2023-12-26,140.2500,140.2500,136.0000,137.0000,10806
2023-12-27,152.9000,164.4000,150.9500,164.4000,392306
2023-12-28,176.0000,183.9000,164.1000,166.3000,638062
2023-12-29,166.3000,166.3000,155.0000,157.7500,92915
2024-01-01,160.0000,163.4000,155.0000,155.7000,61903
2024-01-02,158.2500,159.8000,154.5500,156.9000,33393
2024-01-03,156.8500,156.8500,152.3000,153.9000,40914
2024-01-04,158.4500,163.4500,155.5500,160.6500,97382
2024-01-05,164.6000,166.3500,160.0000,160.9000,48978
2024-01-08,164.7000,168.3000,155.5500,162.9500,95621
2024-01-09,164.8000,173.0000,161.1000,167.4500,97391
2024-01-10,168.0500,169.7000,164.0500,164.6500,39065
