date,open,high,low,close,volume
2023-09-18,660.0250,666.7000,647.5000,650.9500,283838
2023-09-20,650.9250,656.2750,635.5250,638.1250,158316
2023-09-21,638.1250,643.0000,627.5250,633.8250,93908
2023-09-22,633.8250,642.4750,628.0750,639.3250,96498
2023-09-25,639.3250,644.0000,629.8000,632.0250,67010
2023-09-26,629.0250,636.7000,622.0500,623.0500,146908
2023-09-27,627.9500,634.4250,618.0000,623.6750,102522
2023-09-28,628.5000,635.9500,620.0250,622.7000,85890
2023-09-29,627.5000,631.1750,612.0000,616.6250,99476
2023-10-03,616.5000,620.4750,611.4000,613.7500,60304
2023-10-04,612.9250,612.9250,587.5000,590.0000,294700
2023-10-05,594.9500,598.2750,590.4750,592.2000,97260
2023-10-06,592.9750,601.4750,590.8250,598.4000,95954
2023-10-09,590.8500,596.0000,585.0000,588.8500,89902
2023-10-10,591.0000,605.9500,591.0000,602.8500,158970
2023-10-11,604.5000,634.0000,602.9750,624.0250,346334
2023-10-12,630.0000,633.9500,616.5000,620.9500,113916
2023-10-13,623.5000,627.4500,610.5000,622.1500,53060
2023-10-16,620.0000,624.4750,610.0500,620.3750,194378
2023-10-17,620.3750,629.6250,618.5000,620.9000,265544
2023-10-18,620.9000,626.4750,606.1000,608.3000,153206
2023-10-19,607.5000,609.8000,592.6250,596.8500,94730
2023-10-20,591.3500,602.5000,591.3500,599.2000,76964
2023-10-23,598.0000,605.0000,547.6250,565.9500,211946
2023-10-25,574.4500,581.9750,544.7750,547.0000,244436
2023-10-26,547.5000,571.4000,537.8000,564.0500,223660
2023-10-27,572.5000,587.0000,570.1250,583.7000,87510
2023-10-30,587.5000,587.5000,571.6250,579.3000,58406
2023-10-31,584.5000,596.0000,578.7250,584.8500,102722
2023-11-01,584.8500,592.0000,576.7250,579.3750,77266
2023-11-02,579.3750,588.2250,572.5250,574.9250,45222
2023-11-03,574.9250,580.4500,573.5000,574.9500,59332
2023-11-06,575.0000,580.6500,572.5000,574.0750,63790
2023-11-07,570.6000,579.5000,570.2750,576.4500,65220
2023-11-08,577.4500,599.4500,573.5000,589.7250,214618
2023-11-09,550.5000,572.0000,545.8500,552.8000,423790
2023-11-10,552.8250,562.4500,535.0500,536.7750,268108
2023-11-13,548.0000,548.0000,539.0000,540.4500,108940
2023-11-15,549.5250,549.8500,533.2250,537.1250,150644
2023-11-16,537.5000,547.0000,535.4500,542.0500,107590
2023-11-17,545.0000,565.0000,540.0000,544.3750,223150
2023-11-20,546.9250,548.4500,537.5000,538.4500,78146
2023-11-21,542.5000,545.0000,535.8250,539.4000,53450
2023-11-22,539.9250,569.0000,539.9250,548.2250,442682
2023-11-23,549.9750,557.5000,544.2500,545.9500,103664
2023-11-24,550.0000,560.4500,546.0500,554.8000,255106
2023-11-28,568.5250,569.5000,552.5000,556.8000,117758
2023-11-29,563.4500,563.4500,556.5250,558.1750,67324
2023-11-30,560.0000,561.8250,550.0000,556.3750,97750
2023-12-01,561.9750,563.4750,547.5250,550.4000,126622
2023-12-04,559.0000,559.1500,550.0000,551.2250,76024
2023-12-05,554.9750,560.6250,540.1250,543.0000,147790
2023-12-06,546.9000,565.2000,545.0000,554.5250,546186
2023-12-07,557.5000,564.0000,551.8500,554.9750,137074
2023-12-08,557.4750,558.2500,551.0000,555.9500,84442
2023-12-11,556.2500,558.2500,539.0000,540.8250,379044
2023-12-12,546.0000,566.7750,542.5000,553.1750,324516
2023-12-13,553.1750,555.2250,544.5000,549.2250,102674
2023-12-14,549.2250,574.0000,545.5500,569.2250,348278
2023-12-15,585.0000,587.5000,562.5000,570.3750,304302
2023-12-18,575.5000,582.6500,567.4250,580.3500,211364
2023-12-19,582.1250,587.3000,567.8000,571.5500,158182
2023-12-20,571.5500,577.5000,536.0000,541.9000,254200
2023-12-21,537.5000,589.1000,511.7500,570.0500,12900116
2023-12-22,591.0000,617.4250,583.6750,600.2000,2234972
2023-12-26,602.5000,606.4750,583.3000,587.4250,561194
2023-12-27,591.0250,606.5000,581.0000,595.7750,751044
2023-12-28,600.0250,602.5000,575.0250,577.2250,648044
2023-12-29,582.6750,588.3500,555.0000,561.0000,1104368
2024-01-01,567.4000,578.4000,562.5750,572.1750,450500
2024-01-02,572.9750,579.6000,561.8000,568.3000,393974
2024-01-03,572.0000,586.1250,562.5000,581.9000,355380
2024-01-04,581.5000,587.7000,577.8500,583.8250,347404
2024-01-05,583.8250,586.0000,572.5000,575.3500,247022
2024-01-08,581.5250,582.0000,560.0000,574.8500,426844
2024-01-09,574.8500,579.7250,569.5000,572.8250,170598
2024-01-10,576.9250,577.0000,565.0000,570.4750,193180
2024-01-11,574.5000,585.0000,570.4750,580.1500,245112
2024-01-12,584.0000,584.1750,572.5000,577.3000,235788
2024-01-15,577.3000,577.3000,577.3000,577.3000,0
2024-01-16,577.0500,579.8750,557.5250,560.7750,279546
2024-01-17,559.0000,567.6500,553.4500,565.6000,262032
2024-01-18,565.9500,567.3000,547.5000,565.5250,194910
2024-01-19,565.5250,570.8750,561.0000,565.4500,156864
