date,open,high,low,close,volume
2023-09-20,2502.3999,2533.6499,2458.8999,2470.3000,1203019
2023-09-21,2479.8000,2503.8000,2461.0000,2479.2500,1279908
2023-09-22,2489.9500,2498.0000,2460.0000,2464.8999,865589
2023-09-25,2479.9500,2489.0000,2424.0000,2482.1001,1216898
2023-09-26,2491.0000,2499.0000,2452.6001,2457.9500,698863
2023-09-27,2460.0000,2498.0000,2445.1001,2483.3000,1077373
2023-09-28,2489.9500,2511.0000,2446.7000,2475.2500,2225560
2023-09-29,2462.0500,2479.5500,2405.0500,2413.8999,1689201
2023-10-03,2418.0000,2424.8999,2372.0000,2387.2500,2019899
2023-10-04,2402.2000,2502.7500,2392.2500,2464.9500,2857377
2023-10-05,2477.9500,2486.5000,2446.3999,2466.3501,1132455
2023-10-06,2466.3501,2514.9500,2466.0500,2478.1001,1510035
2023-10-09,2440.0000,2459.7000,2411.3000,2442.6001,1408224
2023-10-10,2443.0000,2517.9500,2443.0000,2498.3000,1771910
2023-10-11,2533.8999,2538.0000,2482.5000,2488.6001,1627836
2023-10-12,2499.8999,2521.7500,2490.6499,2506.3501,1804818
2023-10-13,2488.8999,2495.0000,2422.3501,2454.5500,2278682
2023-10-16,2454.5500,2464.7000,2421.8501,2429.3501,803856
2023-10-17,2459.9500,2462.0000,2423.5000,2428.3999,707543
2023-10-18,2440.0000,2441.7500,2401.0500,2406.3501,776977
2023-10-19,2400.0000,2414.7000,2382.5500,2402.2000,1168822
2023-10-20,2398.0500,2443.9500,2382.0500,2393.7500,1240350
2023-10-23,2397.8000,2412.3501,2301.8000,2308.6499,1483549
2023-10-25,2320.0000,2348.0500,2235.3000,2257.0000,1540819
2023-10-26,2249.0000,2249.0000,2167.0500,2203.2000,2226073
2023-10-27,2222.0000,2275.0000,2212.0000,2261.7000,1244293
2023-10-30,2260.0500,2305.0000,2250.0000,2299.1001,996448
2023-10-31,2320.0000,2320.0000,2276.0000,2294.6499,1155280
2023-11-01,2299.0000,2312.2500,2207.0000,2217.3000,1666579
2023-11-02,2247.0000,2297.9500,2204.2000,2215.3000,2340997
2023-11-03,2215.3000,2279.0000,2215.0000,2229.8501,1853300
2023-11-06,2253.9500,2260.0000,2233.0000,2246.0000,770061
2023-11-07,2257.0000,2260.0000,2226.6499,2233.3501,641554
2023-11-08,2245.3000,2298.0000,2235.0000,2259.9500,1169180
2023-11-09,2269.0000,2272.6001,2210.1001,2214.6499,1267890
2023-11-10,2220.2500,2237.0000,2198.5000,2205.1001,1072597
2023-11-13,2215.5000,2241.8999,2195.5500,2213.6499,853633
2023-11-15,2240.0000,2250.0000,2220.5000,2225.3999,696475
2023-11-16,2226.0000,2232.8000,2196.1001,2205.8999,1307584
2023-11-17,2205.8999,2237.9500,2201.0000,2208.8000,916518
2023-11-20,2211.0000,2218.5000,2142.0000,2149.8501,1577213
2023-11-21,2160.0000,2232.5500,2158.3501,2196.6499,1839502
2023-11-22,2205.1499,2225.0000,2153.5000,2172.6499,1247205
2023-11-23,2190.0000,2190.0000,2160.6001,2175.2500,729114
2023-11-24,2179.0000,2251.9500,2160.8999,2225.4500,1946259
2023-11-28,2301.0000,2512.3999,2275.0000,2423.5000,11972275
2023-11-29,2468.7000,2477.6499,2390.0000,2396.6001,4561574
2023-11-30,2400.0500,2409.0000,2343.0500,2358.5500,2983879
2023-12-01,2370.0000,2403.3501,2354.1001,2362.7000,1792983
2023-12-04,2549.9500,2595.0000,2487.4500,2531.2000,5681516
2023-12-05,2531.2000,2999.8999,2531.2000,2959.3501,22879079
2023-12-06,3080.0000,3154.5500,2844.8501,2883.9500,19355777
2023-12-07,2900.0000,2945.8999,2853.0500,2887.1499,6325887
2023-12-08,2902.7000,2927.0000,2760.0000,2822.1499,6959428
2023-12-11,2837.0500,2919.8999,2811.0500,2855.8000,5064123
2023-12-12,2869.1001,2895.9500,2840.5500,2857.6499,2017772
2023-12-13,2860.0000,2899.1001,2805.0000,2875.0500,2805832
2023-12-14,2900.9500,2932.9500,2887.0000,2894.0500,3224681
2023-12-15,2912.0500,3000.0000,2893.8999,2991.8000,4921484
2023-12-18,2993.9500,3027.7500,2961.1001,2980.6001,2315922
2023-12-19,2988.8000,2994.3501,2915.0000,2941.2500,1741493
2023-12-20,2946.0000,2968.0000,2766.2000,2783.8501,3417739
2023-12-21,2750.0000,2821.9500,2725.0000,2799.7500,2678577
2023-12-22,2815.9500,2847.6001,2791.3999,2808.3501,1513956
2023-12-26,2817.0000,2893.7500,2800.1001,2865.4500,2048484
2023-12-27,2880.7000,2894.8000,2833.6001,2843.3501,1698325
2023-12-28,2855.0000,2867.3501,2800.1001,2809.8999,4102912
2023-12-29,2823.8999,2863.3000,2802.8501,2848.9500,1507086
2024-01-01,2852.3000,2947.0000,2842.0500,2917.2000,2898619
2024-01-02,2922.0000,2948.2000,2841.0000,2932.3999,2671368
2024-01-03,3047.0000,3199.0000,2955.6001,3003.0000,19725411
2024-01-04,3039.3999,3044.4500,2990.0000,2998.3000,2975620
2024-01-05,3009.9500,3066.8999,2981.1001,3006.6001,3219949
2024-01-08,3020.0000,3027.0000,2952.9500,2963.5000,1849061
2024-01-09,2990.7000,3068.8000,2980.0000,3014.6001,2885706
2024-01-10,3024.0000,3112.0000,3020.0500,3098.2000,3590297
2024-01-11,3120.0000,3129.0000,3065.0000,3080.8999,2008103
2024-01-12,3096.3501,3125.0000,3068.2000,3104.1001,1795933
2024-01-15,3127.0000,3130.0000,3067.4500,3089.5000,1407007
2024-01-16,3095.0000,3104.5000,3035.0000,3056.5000,2515564
2024-01-17,3033.0000,3045.0000,2946.3000,2971.0500,2897218
2024-01-18,2975.5500,2985.0000,2885.1001,2918.8999,2552342
2024-01-19,2945.3501,2949.4500,2903.0500,2915.6499,2014096
2024-01-23,3014.9500,3014.9500,2885.5000,2896.5500,1827002
2024-01-24,2901.0000,2929.1001,2871.2500,2903.4500,5807940
2024-01-25,2903.4500,2926.3501,2804.3999,2893.6001,2601969
2024-01-29,2929.0000,3092.7000,2923.0500,3064.6499,4402976
2024-01-30,3081.0000,3129.8999,3020.8999,3091.1001,3115506
2024-01-31,3092.7500,3151.7000,3072.3999,3142.0000,2671051
2024-02-01,3156.8999,3236.9500,3083.0500,3153.5000,4686595
2024-02-02,3184.9500,3208.5000,3140.0000,3157.4500,2708695
2024-02-05,3170.0000,3229.3999,3151.4500,3173.4500,2191195
2024-02-06,3183.8999,3228.2000,3160.0000,3203.7500,2078891
2024-02-07,3220.0500,3277.9500,3210.0000,3229.8501,2095911
2024-02-08,3245.6001,3245.6001,3146.1001,3168.6001,1679004
2024-02-09,3184.4500,3224.9500,3121.2000,3215.2000,1572789
2024-02-12,3229.0000,3241.9500,3160.0000,3169.7500,1083138
2024-02-13,3180.0000,3194.0000,3092.0500,3178.4500,1225207
2024-02-14,3184.0000,3255.2500,3169.8501,3207.2000,1741264
2024-02-15,3219.8501,3252.7500,3184.0500,3193.8000,2035204
2024-02-16,3214.0000,3252.3000,3192.6499,3223.6001,2193673
2024-02-19,3240.0000,3308.6001,3235.8000,3258.8000,1779444
2024-02-20,3267.0000,3269.8000,3210.1499,3228.6001,1467630
2024-02-21,3238.0000,3300.0000,3205.0000,3223.2000,1657021
2024-02-22,3239.0000,3274.0000,3210.5000,3263.0500,1138722
2024-02-23,3263.0500,3319.9500,3225.1001,3273.3000,1975035
2024-02-26,3272.0000,3344.0000,3263.0000,3327.7500,1695378
2024-02-27,3339.0000,3340.0000,3273.0000,3302.3000,1125570
2024-02-28,3309.2000,3318.8000,3207.5000,3219.0000,1358879
2024-02-29,3220.0500,3304.7500,3205.3501,3285.3999,1352988
2024-03-01,3309.8501,3346.0000,3281.8000,3318.7500,1161067
2024-03-04,3335.0000,3350.0000,3310.0500,3317.1499,1061244
2024-03-05,3325.3000,3334.0000,3295.0500,3310.2000,1190416
2024-03-06,3323.0000,3323.0000,3183.1499,3233.9500,1935203
2024-03-07,3240.0000,3262.0000,3220.0000,3226.5500,856328
2024-03-11,3241.2000,3259.0000,3200.0000,3207.3501,738851
2024-03-12,3207.3501,3222.7000,3111.0000,3122.5000,1199487
2024-03-13,3125.0000,3138.0500,2850.1499,2906.2000,3407040
2024-03-14,2927.4500,3101.2000,2880.0000,3087.4500,3759100
2024-03-15,3111.0000,3143.3999,3061.2500,3132.2000,2199094
2024-03-18,3050.1001,3124.0000,2976.0500,3111.7500,3042515
2024-03-19,3126.0000,3164.8000,3041.8501,3052.7000,1460452
2024-03-20,3075.0000,3083.2000,3021.1001,3051.4500,966481
2024-03-21,3089.5500,3107.1001,3059.6001,3066.5000,1175751
2024-03-22,3066.5500,3128.9500,3048.0500,3107.7000,951557
2024-03-26,3100.5000,3171.9500,3089.1001,3109.9500,937103
2024-03-27,3115.0000,3138.4500,3106.2500,3122.1001,900231
2024-03-28,3134.0000,3237.0000,3096.7500,3197.1001,2327053
2024-04-01,3230.2000,3291.8000,3207.8501,3252.1001,1292646
2024-04-02,3258.9500,3285.0000,3240.0000,3268.7500,868829
2024-04-03,3250.0000,3260.1499,3222.0000,3233.4500,1153109
2024-04-04,3250.0000,3273.0000,3201.7000,3210.8000,1403826
2024-04-05,3211.1001,3234.0000,3178.9500,3224.8000,755607
2024-04-08,3240.9500,3243.5000,3197.2000,3224.5500,577440
2024-04-09,3240.7000,3251.0000,3185.0000,3198.4500,833679
2024-04-10,3200.0000,3254.6001,3192.5000,3242.0000,1441138
2024-04-12,3210.0000,3247.5000,3205.3000,3209.8999,705173
2024-04-15,3150.0000,3180.3000,3103.2000,3147.4500,1035378
2024-04-16,3101.0000,3149.2000,3100.0000,3106.3999,1134184
2024-04-18,3125.1499,3145.0000,3008.3000,3019.3000,1703646
2024-04-19,3000.0000,3057.0500,2962.5000,3026.9500,1727317
2024-04-22,3053.0000,3077.5000,3025.0000,3063.3501,993929
2024-04-23,3059.0000,3091.0000,3043.1001,3065.1001,1654272
2024-04-24,3071.9500,3087.8501,3040.0000,3043.5500,605917
2024-04-25,3050.0000,3120.8999,3025.6499,3115.2500,1515529
2024-04-26,3119.8999,3129.8999,3066.0500,3080.3999,662764
2024-04-29,3110.0000,3110.5000,3051.5000,3081.2000,648544
2024-04-30,3094.0000,3108.4500,3045.0000,3054.7000,804552
2024-05-02,3071.9500,3119.8501,3015.0500,3039.6001,2219085
2024-05-03,3030.0000,3045.0000,2975.1001,2993.2500,1472168
2024-05-06,2993.2500,3000.2000,2850.0000,2874.6499,2377944
2024-05-07,2889.9500,2905.3501,2822.0000,2835.9500,1262311
2024-05-08,2850.0000,2890.8999,2820.0000,2860.5500,951411
2024-05-09,2864.8000,2883.6499,2756.0000,2766.6499,1485510
2024-05-10,2794.9500,2809.0000,2760.4500,2797.2500,2354794
2024-05-13,2803.0000,2890.0000,2790.5000,2879.6001,3784373
2024-05-14,2894.9500,3046.0000,2874.5500,3037.5500,5725807
2024-05-15,3046.7500,3118.8501,3037.6001,3049.7500,1688836
2024-05-16,3065.0000,3076.9500,2974.9500,3041.6499,1835312
2024-05-17,3041.0500,3091.0000,3015.5000,3060.5000,825436
2024-05-21,3067.8999,3175.0000,3034.5000,3117.5000,3091659
2024-05-22,3129.9500,3145.0000,3073.5000,3140.9500,3371077
2024-05-23,3156.7000,3406.0000,3135.5500,3387.3000,6979082
2024-05-24,3406.0000,3457.8501,3355.6001,3384.9500,3473668
2024-05-27,3358.0000,3358.0000,3267.0500,3289.0500,2582485
2024-05-28,3309.6499,3329.5000,3229.0500,3244.0500,1621168
2024-05-29,3250.0000,3322.8999,3212.0000,3258.8000,1910729
2024-05-30,3254.0000,3274.3000,3174.5000,3194.2500,1990208
