date,open,high,low,close,volume
2023-09-18,1015.0000,1029.9500,1001.0000,1004.9500,5210864
2023-09-20,1004.9500,1025.2500,988.1500,1008.9500,7657175
2023-09-21,1017.4500,1026.0000,1007.9000,1023.4500,8252497
2023-09-22,1025.0000,1025.4500,999.0000,1018.8000,6840537
2023-09-25,1021.9500,1021.9500,1002.4000,1013.8000,4649263
2023-09-26,1016.6000,1016.6000,999.0000,1012.3000,5535950
2023-09-27,1000.0000,1020.0000,998.0000,1018.7500,5379612
2023-09-28,1020.0000,1021.2500,1001.0000,1012.4500,3914462
2023-09-29,1005.0500,1011.9500,984.0000,987.1500,895626
2023-10-03,995.1000,997.9500,970.0000,973.9500,500850
2023-10-04,975.0500,997.4000,965.2500,971.9000,755636
2023-10-05,978.9500,982.1000,955.0000,959.6500,451208
2023-10-06,965.0000,968.9500,958.5500,961.2500,359021
2023-10-09,955.0000,955.0000,935.6500,938.9500,574852
2023-10-10,941.0500,949.0000,938.0000,939.7500,356178
2023-10-11,949.6500,970.8500,946.3000,962.4500,775846
2023-10-12,965.9500,969.9500,945.1500,948.6500,353632
2023-10-13,949.9500,952.5000,941.7000,948.9000,290187
2023-10-16,950.0000,956.6000,936.0000,938.8000,376852
2023-10-17,949.9500,958.4500,945.2000,948.6500,363315
2023-10-18,949.4000,953.9500,937.0000,939.0500,281564
2023-10-19,937.0000,942.9500,922.3500,933.0000,291740
2023-10-20,938.5000,946.8000,915.7500,920.1500,625755
2023-10-23,928.0000,929.9500,875.0000,880.8000,695285
2023-10-25,881.0000,899.0000,863.7500,876.1500,464127
2023-10-26,866.5000,869.6000,815.5500,848.1500,1138154
2023-10-27,852.8500,896.6000,852.8500,870.9000,902416
2023-10-30,875.0000,939.8000,868.4500,915.2500,2041633
2023-10-31,920.0000,933.3500,904.0000,911.6500,713136
2023-11-01,914.7000,921.7000,876.0000,880.2500,551732
2023-11-02,894.0000,912.9500,884.0000,892.1000,510410
2023-11-03,898.9500,907.3000,897.0000,902.7000,286930
2023-11-06,909.9000,929.8000,908.0000,926.5000,619386
2023-11-07,934.7000,953.2500,916.8500,932.1500,919787
2023-11-08,934.9500,950.6000,932.0000,946.6500,492815
2023-11-09,953.0000,953.7000,933.5000,938.1000,359924
2023-11-10,942.8000,946.2000,927.0500,938.7000,311274
2023-11-13,942.0500,946.9000,932.6000,940.1500,341112
2023-11-15,952.0000,954.9000,940.0500,950.1500,412643
2023-11-16,948.0000,949.5000,939.3500,941.3500,353018
2023-11-17,941.3500,943.6500,930.0000,936.1000,341144
2023-11-20,935.0000,938.0000,915.1500,926.2000,472979
2023-11-21,926.2000,936.8500,920.0000,926.6000,377892
2023-11-22,925.9500,929.9500,910.0000,914.4500,288736
2023-11-23,920.0000,935.0000,910.2000,930.7000,350091
2023-11-24,936.0000,952.8000,920.0000,937.9000,738018
2023-11-28,955.0000,1099.0000,955.0000,1052.8000,11565049
2023-11-29,1089.6500,1124.9000,1021.5000,1041.7000,6654207
2023-11-30,1040.0000,1040.0000,1006.2500,1028.8000,4253647
2023-12-01,1042.0000,1045.0000,1020.0000,1026.5000,1181792
2023-12-04,1160.0000,1184.0000,1092.5500,1123.7500,5999345
2023-12-05,1126.0000,1348.5000,1096.1000,1348.5000,16961888
2023-12-06,1474.5000,1608.0000,1463.2500,1563.4500,19688066
2023-12-07,1580.0000,1700.0000,1565.0000,1624.1500,10884637
2023-12-08,1645.0000,1668.8000,1495.0000,1550.3000,5410307
2023-12-11,1554.4000,1579.0000,1475.0000,1530.0000,2705685
2023-12-12,1532.8500,1539.9000,1453.5000,1463.9000,2007520
2023-12-13,1459.0000,1459.9500,1375.0000,1427.7000,2826807
2023-12-14,1435.9500,1535.0000,1435.9500,1508.3000,3437936
2023-12-15,1527.6500,1541.0000,1501.4000,1526.6500,1698622
2023-12-18,1518.9500,1544.8500,1500.2500,1524.6500,1077675
2023-12-19,1530.5000,1555.0000,1506.0000,1531.8000,965109
2023-12-20,1539.7500,1569.4000,1385.0000,1452.1500,2233664
2023-12-21,1390.0500,1549.0000,1390.0500,1519.5500,2134995
2023-12-22,1543.0000,1546.0000,1500.0000,1533.1000,1062643
2023-12-26,1555.0000,1632.0000,1551.5500,1600.2000,2810862
2023-12-27,1644.0000,1657.9500,1570.0500,1601.1000,2120712
2023-12-28,1605.1000,1608.4000,1555.0000,1561.0000,1156469
2023-12-29,1570.0000,1616.5000,1545.0000,1597.0000,1160954
2024-01-01,1598.0000,1620.0000,1585.0000,1598.4000,912757
2024-01-02,1598.8000,1616.0000,1565.7000,1603.5500,1031651
2024-01-03,1699.0000,1747.4000,1610.0000,1697.2500,8064214
2024-01-04,1706.5500,1723.0000,1675.0500,1692.5000,1492988
2024-01-05,1695.0000,1700.0000,1660.0000,1674.0000,871729
2024-01-08,1685.3000,1714.0000,1665.0000,1680.0500,1137776
2024-01-09,1698.0500,1725.0000,1679.0500,1683.4000,939531
2024-01-10,1704.0000,1755.0000,1691.0000,1723.2500,2417233
2024-01-11,1739.0000,1762.0500,1702.0000,1714.1500,985473
2024-01-12,1725.6000,1746.1000,1705.1000,1710.7000,620508
2024-01-15,1725.0000,1727.1000,1685.0000,1694.8000,687285
2024-01-16,1693.5000,1693.8000,1660.0000,1666.8000,961314
2024-01-17,1653.0000,1656.9500,1605.1000,1615.0000,1151828
2024-01-18,1615.0000,1629.0000,1565.6500,1588.2500,994211
2024-01-19,1610.0000,1619.1500,1562.7500,1570.7500,796187
2024-01-23,1740.0000,1745.0000,1632.0000,1680.9000,1594674
2024-01-24,1687.9500,1687.9500,1629.0000,1641.3500,9489231
2024-01-25,1647.0000,1677.0000,1636.0500,1664.8000,1088872
2024-01-29,1684.9500,1750.0000,1673.4500,1715.5000,3435566
2024-01-30,1720.0000,1722.0000,1674.0000,1679.4500,992518
2024-01-31,1680.0000,1694.9000,1665.0500,1669.4500,802666
2024-02-01,1689.0000,1706.0000,1655.6500,1665.9500,1735338
2024-02-02,1681.9000,1698.9500,1663.8500,1674.2500,946215
2024-02-05,1684.0000,1698.0000,1651.6000,1668.6500,1070961
2024-02-06,1668.6500,1744.9500,1653.0000,1721.6500,1975868
2024-02-07,1749.5000,1990.0000,1746.0000,1866.0000,8925796
2024-02-08,1884.1000,1918.0000,1820.0000,1827.9500,1698528
2024-02-09,1836.9000,1918.0000,1805.5500,1880.7000,3159808
2024-02-12,1888.0500,1908.0000,1830.0000,1842.6000,2383164
2024-02-13,1853.0000,1861.5000,1734.3000,1815.5500,1771092
2024-02-14,1813.0000,1882.9500,1796.4000,1852.2500,2627140
2024-02-15,1868.0000,1959.7000,1857.1500,1900.7500,3184514
2024-02-16,1910.0500,1930.7500,1891.6500,1904.7500,1701073
2024-02-19,1919.0000,1975.0000,1911.6500,1955.0500,2401867
2024-02-20,1963.7000,1964.0000,1920.0000,1926.6500,1252526
2024-02-21,1926.0000,1962.1000,1880.0500,1904.9500,1184961
2024-02-22,1915.0000,1930.0000,1866.7000,1922.6500,680137
2024-02-23,1930.5000,1943.3000,1910.0000,1923.3000,599092
2024-02-26,1931.4000,2000.0000,1925.0000,1970.4500,1995834
2024-02-27,1964.0000,2018.9500,1947.9500,1979.5000,1002672
2024-02-28,1989.8000,1996.5000,1891.0000,1918.1500,916806
2024-02-29,1921.0000,1947.3500,1855.9500,1895.0500,2243471
2024-03-01,1930.0000,1998.0000,1930.0000,1969.5500,947398
2024-03-04,1977.5500,1998.5500,1930.0000,1940.7000,609441
2024-03-05,1943.2000,1970.0000,1938.0000,1947.4000,415461
2024-03-06,1950.0000,1953.5000,1894.3000,1910.5000,643437
2024-03-07,1919.9000,1949.9500,1910.8000,1929.1000,517466
2024-03-11,1930.0000,1983.5500,1904.1000,1930.3000,755932
2024-03-12,1930.0000,1939.0000,1873.1000,1897.1000,639409
2024-03-13,1897.1000,1916.6000,1650.0000,1725.0000,2348187
2024-03-14,1716.0000,1913.0000,1663.2000,1895.3000,1875930
2024-03-15,1902.0000,1944.9500,1870.4500,1902.6000,1749994
2024-03-18,1810.0500,1899.9000,1750.8500,1869.9000,1479146
2024-03-19,1870.0000,1892.4000,1801.1500,1821.5500,587661
2024-03-20,1834.9000,1861.9500,1812.8500,1847.7500,463752
2024-03-21,1861.0000,1869.0000,1831.2500,1855.3500,328500
2024-03-22,1857.0500,1865.0000,1837.0500,1851.7500,390803
2024-03-26,1840.0000,1938.7000,1840.0000,1859.0000,955701
2024-03-27,1869.7000,1895.0000,1804.0000,1822.5000,1172737
2024-03-28,1832.5500,1863.0000,1820.0000,1835.1500,605145
2024-04-01,1865.0000,1908.9000,1865.0000,1888.3000,573430
2024-04-02,1891.0000,1906.0000,1872.0500,1892.6500,440580
2024-04-03,1893.1500,1904.0000,1877.0000,1878.9500,611123
2024-04-04,1900.5000,1925.0000,1882.0000,1890.8500,791178
2024-04-05,1890.8500,1937.7500,1875.0000,1901.9500,724439
2024-04-08,1948.0500,1974.9500,1904.4000,1919.1000,893399
2024-04-09,1930.4000,1945.0000,1908.9500,1916.2000,294088
2024-04-10,1920.0500,1924.1500,1895.0000,1907.5000,301534
2024-04-12,1907.9000,1925.0000,1880.0000,1884.0500,393681
2024-04-15,1801.0000,1850.0000,1800.0000,1815.1000,978516
2024-04-16,1803.0000,1838.1000,1802.2000,1811.6500,495006
2024-04-18,1829.7000,1849.9000,1761.2000,1775.4500,675360
2024-04-19,1761.2000,1785.0000,1733.0000,1770.0500,665956
2024-04-22,1802.0000,1814.6000,1780.0000,1793.7500,346708
2024-04-23,1809.6500,1840.0000,1799.7000,1816.4000,631341
2024-04-24,1824.9500,1838.5000,1795.0000,1808.3000,294136
2024-04-25,1818.0000,1819.6500,1792.3500,1812.6500,405971
2024-04-26,1820.0000,1823.3000,1797.0500,1806.6500,288470
2024-04-29,1815.9000,1822.0000,1795.7500,1806.8500,293373
2024-04-30,1814.0000,1838.8000,1791.0000,1797.6500,488769
2024-05-02,1798.0000,1805.0000,1759.2000,1786.8500,517699
2024-05-03,1796.0000,1820.0000,1745.2500,1799.8000,906386
