date,open,high,low,close,volume
2023-09-18,1099.0000,1105.0000,1065.0500,1095.9500,25436
2023-09-20,1100.0000,1100.0000,1054.1500,1063.2500,22551
2023-09-21,1063.1500,1074.1500,1022.0000,1051.8000,44750
2023-09-22,1054.1000,1123.8500,1046.0000,1111.0000,56169
2023-09-25,1118.0000,1135.0000,1100.0000,1128.3500,23864
2023-09-26,1128.0000,1128.6000,1102.5000,1113.8000,7382
2023-09-27,1114.7000,1123.7500,1102.6500,1111.8000,7943
2023-09-28,1109.2000,1115.0000,1095.0500,1101.1500,16746
2023-09-29,1102.0000,1121.8500,1098.3000,1106.6000,9367
2023-10-03,1090.0000,1117.9000,1090.0000,1105.1500,12205
2023-10-04,1105.1500,1115.0000,1102.2500,1107.9500,10484
2023-10-05,1117.0000,1126.1500,1105.0000,1109.9000,6480
2023-10-06,1110.0000,1115.9500,1100.0000,1108.6000,8671
2023-10-09,1101.0000,1128.7000,1095.0000,1107.2000,23968
2023-10-10,1120.0000,1123.7500,1105.0000,1114.4500,8936
2023-10-11,1126.9500,1128.0000,1105.0000,1107.3500,13939
2023-10-12,1118.0000,1145.0000,1107.5500,1137.0500,30418
2023-10-13,1134.0000,1142.3500,1115.0000,1129.6500,16966
2023-10-16,1135.9000,1210.0000,1135.9000,1190.7000,101121
2023-10-17,1202.2000,1228.0000,1191.0500,1213.7500,37491
2023-10-18,1213.7500,1234.9500,1210.4000,1228.0000,25552
2023-10-19,1225.0000,1281.8500,1216.6000,1275.4500,54845
2023-10-20,1270.4500,1270.4500,1232.4500,1251.0500,16673
2023-10-23,1250.0000,1268.1000,1155.0000,1174.9000,52797
2023-10-25,1198.1000,1219.9500,1172.3000,1189.3000,36273
2023-10-26,1171.4500,1231.9500,1144.2000,1187.7000,32549
2023-10-27,1172.0000,1209.4500,1165.0000,1174.0500,15929
2023-10-30,1196.2500,1219.0000,1175.1500,1195.4500,19535
2023-10-31,1209.0000,1249.9500,1185.0000,1198.0500,29272
2023-11-01,1211.2500,1225.9000,1186.8500,1193.3000,34315
2023-11-02,1209.4000,1220.0000,1191.0000,1205.2000,12596
2023-11-03,1205.2000,1220.0000,1196.0000,1213.0500,16335
2023-11-06,1229.3500,1289.0000,1215.3500,1265.4500,67558
2023-11-07,1274.4500,1337.0500,1267.0500,1310.2000,103809
2023-11-08,1320.0000,1354.4500,1310.6000,1323.8500,103370
2023-11-09,1425.9500,1527.0000,1378.0000,1446.9500,1005294
2023-11-10,1459.8500,1518.0000,1453.0500,1502.7500,177670
2023-11-13,1529.9500,1530.0000,1490.9500,1508.2500,62065
2023-11-15,1520.0000,1549.0000,1468.6000,1484.2000,64918
2023-11-16,1501.3500,1619.0000,1495.0500,1584.5000,367911
2023-11-17,1578.0000,1620.0000,1517.8500,1527.9500,140912
2023-11-20,1550.9000,1563.5000,1522.0000,1537.9500,69588
2023-11-21,1532.4000,1570.0000,1522.2000,1564.4500,42583
2023-11-22,1575.0000,1579.9500,1518.9500,1531.1500,26358
2023-11-23,1537.0000,1558.6500,1503.2500,1520.2000,18910
2023-11-24,1535.4000,1550.0000,1499.9000,1509.6000,28412
2023-11-28,1515.0000,1574.4000,1515.0000,1542.4000,40281
2023-11-29,1560.0000,1566.0000,1520.1000,1525.5500,16848
2023-11-30,1542.3500,1552.9000,1511.5500,1539.1000,15784
2023-12-01,1539.1000,1566.6500,1514.9500,1523.1000,16641
2023-12-04,1566.0000,1568.0000,1520.0000,1534.9000,17747
