date,open,high,low,close,volume
2023-09-20,152.1000,157.3500,151.5000,154.1500,834708
2023-09-21,153.9500,156.4500,150.5000,151.5500,610128
2023-09-22,151.7000,154.2500,151.0000,151.8000,730176
2023-09-25,152.2500,152.8000,146.5000,149.0500,514346
2023-09-26,149.1000,151.4000,148.2500,149.2000,337286
2023-09-27,149.0000,150.0000,147.0000,148.3500,266907
2023-09-28,148.6000,156.7000,148.5500,150.8500,1206610
2023-09-29,151.4500,154.0000,150.6500,152.7500,547688
2023-10-03,152.6000,153.3000,150.3000,151.5000,408303
2023-10-04,151.1500,152.4000,148.0000,148.6000,507025
2023-10-05,149.6000,151.1000,146.5000,146.9500,530731
2023-10-06,148.4000,148.9500,146.2000,146.6500,450908
2023-10-09,143.0000,144.9500,142.4000,142.6500,427070
2023-10-10,144.8500,147.3000,143.1500,144.0000,562526
2023-10-11,145.4000,149.5000,145.2500,147.0500,874168
2023-10-12,147.9000,160.4500,147.4000,158.1000,3641213
2023-10-13,158.0000,162.4500,156.1000,157.0000,2009389
2023-10-16,157.5000,158.0000,151.9000,152.3000,924543
2023-10-17,153.7000,157.4000,153.2500,154.7000,537721
2023-10-18,155.5000,165.4000,155.0500,161.8500,4641983
2023-10-19,160.7500,171.5000,160.1500,170.9500,6903576
2023-10-20,171.8500,173.8000,163.5500,165.0500,2254181
2023-10-23,165.1000,165.6000,152.9000,153.6500,2120790
2023-10-25,155.7000,158.3500,148.2500,150.7500,887683
2023-10-26,149.0000,152.4500,145.5500,150.6000,962754
2023-10-27,152.0000,155.9500,151.3500,152.2500,690947
2023-10-30,152.7500,154.6500,150.5500,152.5000,422854
2023-10-31,153.3000,164.4000,153.1500,160.8500,2669545
2023-11-01,162.0000,167.7000,160.0000,160.9500,1931300
2023-11-02,163.0500,165.4000,160.5000,161.7000,757572
2023-11-03,163.7500,166.5000,162.0500,163.3500,985509
2023-11-06,165.0000,172.7000,162.2000,163.1000,2646496
2023-11-07,164.0000,165.4500,162.3000,162.8500,661693
2023-11-08,163.8500,165.4500,159.2000,159.8500,621479
2023-11-09,160.0000,162.4500,158.0500,159.6000,644826
2023-11-10,159.2000,160.0500,155.5000,156.8000,626021
2023-11-13,160.0000,163.8000,158.3000,162.1500,659958
2023-11-15,163.8000,164.4000,160.4500,161.0000,490161
2023-11-16,161.3000,163.2000,159.5000,160.2000,428058
2023-11-17,160.2500,161.9500,157.2500,157.8500,479928
2023-11-20,158.4500,159.5000,156.3500,156.9000,405303
2023-11-21,157.9500,161.4000,156.9000,157.8500,643869
2023-11-22,158.4000,159.4000,155.9500,156.8500,317844
2023-11-23,157.2500,159.2500,155.9000,156.4000,278062
2023-11-24,156.4000,164.4500,156.4000,162.4500,1831074
2023-11-28,163.8500,165.5000,159.2000,159.6500,1101215
2023-11-29,160.4000,164.0000,158.6000,158.9500,508518
2023-11-30,159.7000,159.7000,156.6000,158.0500,538010
2023-12-01,159.0000,159.9000,156.8000,157.3500,456455
2023-12-04,159.9000,160.2500,157.1500,158.0500,450823
2023-12-05,158.7000,159.0000,155.0500,155.9500,553688
2023-12-06,156.9000,157.9500,154.8000,155.4000,487641
2023-12-07,155.0500,157.5500,154.4000,155.8000,446511
2023-12-08,156.4000,157.4000,154.3500,154.8000,363858
2023-12-11,155.6500,156.4000,153.6000,153.9000,466843
2023-12-12,153.6000,155.0000,151.0000,151.6500,633778
2023-12-13,152.1000,153.8500,151.3000,152.1500,349730
2023-12-14,153.0000,155.9000,151.6000,151.8000,702360
2023-12-15,152.4000,153.4500,150.3000,150.8500,487094
2023-12-18,150.0500,152.4500,150.0500,150.8500,510284
2023-12-19,151.5000,152.4000,150.2000,150.4500,413117
2023-12-20,151.4000,151.5000,142.2000,143.3500,1105524
2023-12-21,142.0000,147.2000,140.9000,145.5000,868271
2023-12-22,146.5000,150.9500,146.3000,148.8000,644618
2023-12-26,149.3000,150.2500,146.8000,147.7000,337734
2023-12-27,148.5500,149.6000,147.3500,147.8500,398969
2023-12-28,148.3500,158.8000,147.9000,157.0000,2724129
2023-12-29,157.9000,157.9000,154.0500,155.0000,802111
2024-01-01,155.3000,159.7000,154.9500,156.7500,969404
2024-01-02,157.3500,158.4500,154.9000,156.2000,717026
2024-01-03,155.7500,158.9000,154.8500,156.8000,539476
2024-01-04,156.3500,158.2000,156.2500,156.9500,476064
2024-01-05,158.0500,162.8500,157.0000,158.7500,1669373
2024-01-08,159.2500,159.6500,156.8500,157.6000,528689
2024-01-09,158.9000,159.0000,156.6500,157.9500,541782
2024-01-10,157.9500,158.5000,156.3000,157.8000,610196
2024-01-11,158.4000,176.6500,157.4500,173.8000,9184167
2024-01-12,176.0000,179.9000,169.3000,170.2000,2822818
2024-01-15,170.2000,170.2000,170.2000,170.2000,0
2024-01-16,166.7000,170.8000,161.0000,162.5000,1036297
2024-01-17,161.4000,165.4000,159.6000,160.9500,701320
2024-01-18,161.0000,163.0500,156.0500,159.3500,762065
2024-01-19,161.0000,163.0500,158.6000,159.2500,539385
