date,open,high,low,close,volume
2023-09-25,37.8500,37.8500,36.3000,36.9000,42745
2023-09-26,36.3500,37.4000,36.3500,37.0000,23513
2023-09-27,36.7000,37.7000,36.6000,37.0000,45062
2023-09-28,37.0500,37.3500,36.2500,36.6500,28649
2023-09-29,36.5000,37.4500,36.5000,36.8000,28476
2023-10-03,37.9000,39.5000,36.7500,39.1500,223587
2023-10-04,40.0000,40.2000,38.2000,38.8000,62107
2023-10-05,39.0000,39.1500,38.0500,38.3000,36541
2023-10-06,38.6000,38.8000,38.4000,38.6000,27377
2023-10-09,38.9000,38.9000,36.8500,37.1500,42639
2023-10-10,36.5500,37.9500,36.0000,36.8500,32949
2023-10-11,36.7500,37.5000,36.4000,36.8500,44084
2023-10-12,36.9000,39.0000,36.9000,38.2000,72575
2023-10-13,38.9500,38.9500,37.3500,37.9500,36667
2023-10-16,37.2500,40.5000,37.2500,39.8000,187892
2023-10-17,40.0000,40.5000,39.1500,39.8500,52538
2023-10-18,40.6500,40.6500,39.0000,39.4500,59178
2023-10-19,38.6000,39.4500,38.6000,39.1500,21404
2023-10-20,38.9000,39.5000,37.0000,38.0000,41747
2023-10-23,37.3000,38.5000,35.0500,35.4500,62708
2023-10-25,35.8000,36.6000,34.5500,34.9000,35207
2023-10-26,34.9000,35.1500,33.5000,34.0000,57874
2023-10-27,34.1000,36.1000,34.1000,35.0500,44989
2023-10-30,34.6000,36.0000,34.3500,34.6000,35326
2023-10-31,35.0000,35.9500,33.5000,34.0000,70672
2023-11-01,34.0000,34.6000,33.0000,33.6500,69125
2023-11-02,34.3000,35.3000,34.0000,34.4000,52452
2023-11-03,35.3500,35.3500,34.5000,35.0500,26235
2023-11-06,35.9000,36.0000,35.1000,35.4500,41821
2023-11-07,37.0000,37.0000,35.5500,36.3000,51062
2023-11-08,36.4000,36.6000,36.1500,36.1500,16589
2023-11-09,36.0000,37.4000,35.5000,35.9000,31844
2023-11-10,35.5500,39.4000,34.5500,37.3000,178684
2023-11-13,38.4500,38.4500,36.8000,37.4500,75673
2023-11-15,38.0000,38.1000,37.5000,37.5500,31742
2023-11-16,37.5500,38.0000,37.0000,37.2000,31398
2023-11-17,37.5000,37.5500,36.5500,36.8500,26709
2023-11-20,36.6500,37.2500,36.1500,36.4500,20873
2023-11-21,36.9500,38.9000,35.9500,37.9500,158336
2023-11-22,37.3000,41.0500,37.0000,40.4000,313901
2023-11-23,41.0000,41.0000,39.5500,39.8000,126633
2023-11-24,40.3500,40.3500,39.7500,40.0000,94214
2023-11-28,39.9000,40.7000,38.9000,39.1500,76189
2023-11-29,38.5500,39.3500,38.0500,38.1500,56511
2023-11-30,38.5000,39.3500,37.9000,38.8500,44398
2023-12-01,39.9500,39.9500,38.2500,38.8000,42631
2023-12-04,38.5500,39.0500,37.5000,38.0000,97841
2023-12-05,38.6000,38.6000,37.0500,37.9000,111499
2023-12-06,38.6000,39.6500,37.8000,39.2000,182571
2023-12-07,40.0000,40.0000,38.4000,39.0000,92777
2023-12-08,39.9000,41.9500,38.8000,39.9000,469811
2023-12-11,40.8000,41.5000,40.4000,41.1500,155128
2023-12-12,42.2000,43.0000,41.0000,41.3500,293639
2023-12-13,41.3500,42.9000,40.9000,42.0500,180784
2023-12-14,42.5000,42.9500,41.1000,41.2500,104725
2023-12-15,41.2500,43.2000,40.8000,42.1000,317907
2023-12-18,43.9500,43.9500,41.5000,42.2000,203858
2023-12-19,42.2000,42.4000,40.8000,41.0000,71702
2023-12-20,41.0500,42.1500,38.0000,38.5000,139161
2023-12-21,38.5000,39.7500,37.0000,38.6000,90551
2023-12-22,38.8500,40.0000,38.7500,39.2500,86381
2023-12-26,39.0000,40.5000,39.0000,39.5000,89380
2023-12-27,39.4500,40.2500,39.0500,39.4500,57179
2023-12-28,39.7500,41.8000,39.7500,40.4500,185838
2023-12-29,41.5000,47.9000,40.0000,45.2000,1650906
2024-01-01,45.5000,51.8500,45.4500,49.6000,1626418
2024-01-02,49.8500,52.5000,46.9000,48.5000,803315
2024-01-03,48.5000,49.9000,46.5500,47.1500,391677
2024-01-04,47.9000,49.9000,47.4000,48.8000,320437
2024-01-05,48.8000,49.7000,47.1000,47.3500,251628
2024-01-08,47.5500,47.9500,45.8000,46.0000,162649
2024-01-09,47.5000,48.4000,46.3500,47.4500,206716
2024-01-10,47.9500,48.5000,46.6500,47.3000,129959
2024-01-11,47.1000,48.7000,46.7500,47.2000,163362
2024-01-12,47.2500,47.9000,46.3000,46.5500,113534
2024-01-15,46.6500,47.3500,45.8000,45.9500,83875
2024-01-16,46.6000,46.6000,43.5000,44.3000,190033
2024-01-17,44.0000,45.2000,42.6500,44.1000,103165
2024-01-18,43.4000,44.6500,42.2500,44.0500,75099
2024-01-19,44.1000,48.5000,44.1000,48.1000,469387
2024-01-23,47.9500,48.7500,43.8500,44.4000,233095
2024-01-24,44.9500,48.0000,44.4000,47.7500,246505
2024-01-25,47.7000,48.3500,46.6000,47.6500,139207
2024-01-29,48.8000,49.9000,47.0000,49.0000,307207
2024-01-30,49.8000,51.0000,47.6000,48.1500,242907
2024-01-31,48.9000,49.4500,47.1500,47.8500,113913
2024-02-01,48.7500,50.0000,46.0500,46.5000,215303
2024-02-02,47.8500,55.8000,47.0000,55.8000,1953058
2024-02-05,57.8000,65.7500,57.0000,60.0000,3064561
2024-02-06,60.9500,60.9500,56.1000,57.2000,543016
2024-02-07,58.7500,59.0000,54.6500,55.4000,280479
2024-02-08,56.6500,57.9500,55.0000,56.8500,304845
2024-02-09,57.2000,57.4000,52.0000,53.6500,230445
2024-02-12,55.0000,55.0000,49.5000,50.0500,204264
2024-02-13,50.2500,51.4000,46.8000,49.5000,102786
2024-02-14,48.0000,54.9000,47.0500,52.8500,223232
2024-02-15,50.2500,52.4500,48.2500,49.6000,335230
2024-02-16,50.5000,51.1500,49.1000,49.4000,170546
2024-02-19,49.4000,50.8000,48.7000,49.2000,177928
2024-02-20,48.6000,50.1500,48.6000,49.7500,76009
