date,open,high,low,close,volume
2023-09-22,110.0000,113.2500,105.0000,107.2500,18340
2023-09-25,107.2000,109.5000,103.2000,108.5000,14996
2023-09-26,105.4500,107.8500,104.8000,106.4500,12878
2023-09-27,106.9000,111.7500,106.8500,111.7500,15653
2023-09-28,116.0000,116.0000,108.2000,109.1000,8727
2023-09-29,109.1000,114.5000,106.1000,111.1500,6247
2023-10-03,114.9500,114.9500,108.7000,113.5500,20313
2023-10-04,110.1000,116.0000,109.0500,112.4500,9249
2023-10-05,112.4500,118.0000,111.0000,114.2500,6679
2023-10-06,112.0500,116.9000,111.1500,115.4000,8379
2023-10-09,115.0000,115.0000,109.7000,112.8000,9156
2023-10-10,112.9500,114.8000,107.2500,108.9000,8431
2023-10-11,109.9000,111.7500,107.0000,110.0000,3100
2023-10-12,110.2000,112.3500,107.2500,109.0000,5115
2023-10-13,111.8000,112.9500,109.0000,111.3500,8545
2023-10-16,114.2500,114.2500,107.5000,109.0000,10168
2023-10-17,108.8000,112.4500,105.5500,108.1500,9403
2023-10-18,107.5500,108.4000,105.5000,107.1500,6525
2023-10-19,106.2500,110.8500,103.0000,108.6500,3567
2023-10-20,108.9000,108.9000,105.2000,107.1500,3465
2023-10-23,107.8500,110.4500,103.1500,107.0000,23988
2023-10-25,107.4000,109.0000,104.1000,105.2000,7653
2023-10-26,107.9500,109.5000,100.5500,109.4500,17848
2023-10-27,107.8000,114.9000,105.0000,111.7500,46142
2023-10-30,112.1500,114.9500,106.2000,114.8000,41739
2023-10-31,113.2500,116.6500,111.6000,115.3500,8164
2023-11-01,114.0000,115.5500,110.3000,112.8500,6679
2023-11-02,116.0000,118.4500,111.0000,117.2500,32419
2023-11-03,116.0000,120.0000,115.4000,117.3500,14824
2023-11-06,115.5000,120.8000,115.5000,117.6000,16912
2023-11-07,121.8500,121.8500,117.6000,119.1000,5228
2023-11-08,119.5000,125.0500,119.5000,125.0500,40135
2023-11-09,129.0000,130.0000,123.3000,129.1000,18642
2023-11-10,127.8000,135.4500,124.0000,133.5500,45446
2023-11-13,136.0000,136.0000,127.0000,129.5500,17103
2023-11-15,134.0000,134.0000,123.6000,129.2000,16983
2023-11-16,129.2000,129.2000,124.0000,128.3500,15004
2023-11-17,128.3500,132.9500,125.5000,129.8500,19577
2023-11-20,141.0000,141.0000,135.3000,137.8000,88437
2023-11-21,140.0000,143.8000,136.5000,138.2000,49546
2023-11-22,139.8500,139.8500,129.1000,132.8500,21795
2023-11-23,136.8500,136.8500,128.0000,129.3000,32761
2023-11-24,130.0500,132.9000,127.1000,127.8500,11067
2023-11-28,127.8500,128.9500,123.5000,124.7000,23907
2023-11-29,124.5500,128.8500,124.0000,124.9000,15744
2023-11-30,123.3000,137.7000,123.3000,128.0500,18371
2023-12-01,131.8500,131.8500,125.0000,125.6000,30110
2023-12-04,135.0000,135.0000,125.0000,125.7500,9856
2023-12-05,125.9000,129.0000,125.1000,126.9000,17268
2023-12-06,126.0500,127.9500,125.1500,125.6000,9754
2023-12-07,125.6000,128.8000,123.5000,124.3000,26853
2023-12-08,129.0000,129.0000,125.0500,127.0000,12372
2023-12-11,128.6500,134.2500,125.0500,132.0000,42143
2023-12-12,130.4000,133.0000,128.0000,128.7000,31261
2023-12-13,128.6500,137.0000,128.0000,128.9000,20738
2023-12-14,132.0500,136.0000,128.0000,129.1500,49135
2023-12-15,129.2500,131.7500,129.0000,129.5000,14975
2023-12-18,124.2000,131.4500,124.2000,128.4000,12600
2023-12-19,130.0000,130.3000,126.5500,128.3500,16818
2023-12-20,125.7500,130.0000,121.0500,122.0000,36779
2023-12-21,126.0000,128.0000,120.5000,124.9500,42909
2023-12-22,125.0000,129.0000,122.0000,125.7500,12804
2023-12-26,128.6000,130.6000,125.4000,129.3500,20315
2023-12-27,130.6000,130.6000,128.5000,129.6000,11866
2023-12-28,130.5000,130.5000,126.6000,128.9000,14073
2023-12-29,131.0000,131.0000,126.5000,130.3500,16487
2024-01-01,127.7000,134.7000,127.7000,130.7000,22989
2024-01-02,132.5000,137.4500,127.8500,133.9000,16237
2024-01-03,134.9000,156.0000,132.0000,142.8000,148297
2024-01-04,147.0000,154.0000,144.1000,145.8000,54347
2024-01-05,149.0000,149.0000,138.0000,139.2500,37592
2024-01-08,144.8000,145.7000,139.4000,142.5500,20606
2024-01-09,144.0000,145.4500,140.5500,141.7000,7352
2024-01-10,144.0000,146.0000,138.0000,138.7500,12891
2024-01-11,142.9500,143.5000,138.8500,142.2500,19744
2024-01-12,144.4000,145.9000,139.2000,139.4500,18902
2024-01-15,139.4500,139.4500,139.4500,139.4500,0
2024-01-16,143.7000,143.7000,130.6500,139.7500,24588
2024-01-17,142.5000,142.5000,136.0500,138.0500,9752
2024-01-18,138.0000,142.2000,136.6000,138.5500,12232
2024-01-19,142.0000,142.0000,136.4000,139.6000,17440
2024-01-23,138.5000,141.0000,137.0000,137.9000,16649
2024-01-24,137.9000,140.3500,137.5000,138.7000,4819
2024-01-25,137.0000,139.9500,137.0000,138.5000,2030
2024-01-29,142.4000,142.5000,137.5500,138.9500,23254
2024-01-30,142.0000,147.0000,138.0000,143.9000,22737
2024-01-31,144.0000,152.0000,141.6500,149.3500,50589
2024-02-01,152.9500,178.0000,151.2000,169.2500,363946
2024-02-02,169.2500,174.7000,156.0000,158.1500,82386
2024-02-05,157.3500,157.9000,146.0500,151.4000,49828
2024-02-06,150.2000,157.2000,146.6500,148.0500,40444
2024-02-07,152.0000,159.5000,148.8000,154.7500,52402
2024-02-08,155.2000,158.7000,148.6500,151.5500,14838
2024-02-09,151.5500,154.8500,145.0000,147.1500,17434
2024-02-12,147.5500,151.9500,138.9000,139.4500,19397
2024-02-13,147.9500,147.9500,141.1500,143.6000,8645
2024-02-14,146.0000,146.0000,141.5000,145.6000,6848
