date,open,high,low,close,volume
2023-09-25,1706.0000,1713.9500,1671.8000,1681.3500,192702
2023-09-26,1690.0000,1690.0000,1673.4000,1680.7000,134036
2023-09-27,1687.9500,1743.9500,1680.7000,1734.7000,395211
2023-09-28,1743.3500,1744.9500,1714.9000,1731.5000,78795
2023-09-29,1740.0000,1835.0000,1725.0500,1799.9000,381731
2023-10-03,1800.0000,1815.0000,1771.0000,1791.8000,125148
2023-10-04,1794.0500,1794.0500,1747.0000,1774.7500,208036
2023-10-05,1784.1000,1797.6000,1751.0000,1758.5500,200270
2023-10-06,1759.5500,1766.4500,1741.8500,1747.4500,163758
2023-10-09,1739.9000,1765.9000,1715.9000,1740.5000,201965
2023-10-10,1765.0000,1789.9500,1753.7000,1778.9500,124900
2023-10-11,1785.3500,1805.9500,1744.0000,1749.1500,110604
2023-10-12,1758.4000,1812.0000,1751.0500,1779.9000,167113
2023-10-13,1780.0000,1796.0000,1768.9000,1777.7500,66143
2023-10-16,1777.7500,1790.0000,1745.0000,1759.9000,63270
2023-10-17,1760.5000,1783.9500,1760.5000,1774.9500,114475
2023-10-18,1772.0000,1799.0000,1750.0000,1792.9000,204189
2023-10-19,1794.0000,1794.0000,1760.7000,1771.9500,41278
2023-10-20,1771.0000,1786.0000,1741.5500,1753.5000,109201
2023-10-23,1759.9000,1759.9000,1715.0000,1725.7500,146106
2023-10-25,1734.4000,1745.6500,1692.1000,1718.5000,122518
2023-10-26,1703.0000,1725.0000,1650.0500,1707.7000,425508
2023-10-27,1707.7000,1783.0000,1704.3000,1755.9000,182120
2023-10-30,1755.9000,1761.5500,1730.9000,1754.3000,73252
2023-10-31,1761.8500,1783.0500,1736.2000,1763.2000,364265
2023-11-01,1795.0500,1854.0000,1750.0000,1827.5500,599815
2023-11-02,1827.5500,1835.0500,1782.3000,1828.7000,199010
2023-11-03,1838.0000,1841.5500,1808.2000,1825.8000,93526
2023-11-06,1835.0000,1835.0000,1795.6500,1817.3500,160338
2023-11-07,1818.0000,1833.9500,1802.5500,1826.9000,179126
2023-11-08,1830.0000,1834.4000,1783.5000,1801.2500,202559
2023-11-09,1811.2000,1898.0000,1797.1000,1875.1500,394380
2023-11-10,1875.0000,1910.0000,1858.1000,1887.8500,235241
2023-11-13,1891.1500,1899.0000,1840.1000,1868.8500,57027
2023-11-15,1874.6500,1965.2000,1853.0000,1949.3000,476147
2023-11-16,1950.0000,1974.9500,1920.0500,1930.1000,138095
2023-11-17,1940.0000,1975.4500,1909.9000,1921.4000,146005
2023-11-20,1931.0500,1980.0000,1908.5500,1971.6500,192467
2023-11-21,1979.9500,1980.0000,1951.0500,1969.1500,63363
2023-11-22,1962.0000,1979.0000,1903.5500,1918.5500,108420
2023-11-23,1924.0000,1980.0000,1916.0000,1962.0500,119167
2023-11-24,1962.0500,1969.8000,1946.0000,1957.9500,68129
2023-11-28,1964.9000,1969.6500,1912.1000,1919.6000,77476
2023-11-29,1922.0000,1966.9500,1908.0000,1949.0500,61813
2023-11-30,1954.9500,1995.9500,1941.1500,1976.1500,221227
2023-12-01,1986.6000,1998.6500,1947.8000,1963.0000,48090
2023-12-04,1973.3000,1998.7000,1932.2000,1959.3500,92484
2023-12-05,1959.9000,1981.6500,1920.1000,1966.8500,101775
2023-12-06,1969.8500,2067.3999,1935.0000,1946.6500,613818
2023-12-07,1935.2500,1968.6500,1935.2500,1958.5500,68749
2023-12-08,1955.0000,1956.2500,1910.1000,1926.9500,144173
2023-12-11,1926.9500,1930.9500,1875.8500,1887.0000,183358
2023-12-12,1896.9000,1905.0000,1870.5500,1888.6000,64460
2023-12-13,1898.6000,1923.9500,1872.4000,1902.2000,29992
2023-12-14,1912.5500,1918.1500,1872.5000,1879.0000,45209
2023-12-15,1884.0000,1909.0000,1862.0000,1897.5000,67020
2023-12-18,1900.0000,1916.0500,1878.0000,1890.2500,126064
2023-12-19,1907.0000,1911.4000,1887.1500,1893.2000,67591
2023-12-20,1903.2000,1911.0000,1877.9500,1899.6500,65705
2023-12-21,1899.6500,1910.3000,1850.2500,1898.8500,151733
2023-12-22,1904.0000,1981.0000,1895.0000,1968.2000,225334
2023-12-26,1979.8500,1994.8000,1952.0000,1986.7500,65821
2023-12-27,1986.7500,2068.0000,1975.0000,1997.4500,276282
2023-12-28,2000.0500,2017.8000,1981.1000,1994.2500,91080
2023-12-29,2002.8500,2100.0000,1987.7000,2083.6499,161901
2024-01-01,2083.0000,2170.2000,2053.6499,2159.6499,166867
2024-01-02,2138.0500,2198.0000,2128.1499,2189.7500,127933
2024-01-03,2176.0500,2244.4500,2170.0500,2232.8501,121669
2024-01-04,2215.0000,2353.9500,2215.0000,2289.5000,191780
2024-01-05,2296.8999,2296.8999,2193.8000,2235.1001,116838
2024-01-08,2245.0000,2258.7000,2160.1001,2173.5000,50719
2024-01-09,2173.6001,2237.1499,2137.8000,2159.1001,96316
2024-01-10,2149.8000,2189.4500,2105.0000,2112.6499,65988
2024-01-11,2115.0500,2245.8999,2103.0500,2220.7000,131861
2024-01-12,2235.0000,2256.8501,2166.0000,2177.6001,101171
2024-01-15,2190.5000,2269.4500,2184.4500,2252.1001,85615
2024-01-16,2263.9500,2308.9500,2240.0000,2301.7500,98412
2024-01-17,2297.0000,2297.0000,2213.0000,2252.8501,84023
2024-01-18,2250.0000,2275.1499,2194.0000,2214.1001,44502
2024-01-19,2227.3999,2233.7500,2177.0500,2201.0000,44227
2024-01-23,2215.7000,2215.7000,2161.5000,2196.8999,42312
2024-01-24,2230.0000,2234.8501,2186.0000,2195.5000,46861
2024-01-25,2207.1001,2243.0000,2161.5000,2185.0500,54039
2024-01-29,2185.0500,2209.9500,2169.7500,2177.3999,48685
2024-01-30,2181.6499,2196.9500,2100.0000,2111.4500,68005
2024-01-31,2122.0000,2199.5000,2116.7000,2174.2500,74409
2024-02-01,2300.0000,2300.0000,2120.6001,2181.2500,374661
2024-02-02,2200.0000,2212.5500,2155.1001,2168.3999,72762
2024-02-05,2179.2500,2184.2500,2146.0500,2165.3501,129144
2024-02-06,2178.1001,2299.4500,2174.7500,2267.1499,226176
2024-02-07,2267.1499,2319.7500,2222.4500,2257.4500,222118
2024-02-08,2244.8999,2247.3000,2185.3501,2202.8501,212438
2024-02-09,2186.0000,2193.1001,2135.1001,2166.0500,165093
2024-02-12,2178.5000,2180.8999,2111.5500,2171.3000,96464
2024-02-13,2181.0500,2200.0000,2137.0000,2156.3999,72932
2024-02-14,2156.0000,2158.9500,2110.0500,2114.8999,67187
2024-02-15,2126.0000,2158.8501,2120.0000,2153.2500,100888
2024-02-16,2164.5000,2199.0000,2138.3501,2152.4500,134142
2024-02-19,2178.0000,2178.0000,2124.0000,2139.5000,125717
2024-02-20,2145.9500,2150.2000,2103.8000,2115.3999,71445
2024-02-21,2128.0000,2156.7000,2099.6499,2113.1001,71112
2024-02-22,2119.3999,2135.0000,2105.3501,2120.0000,31985
2024-02-23,2130.6001,2135.0000,2112.3501,2125.8501,60608
2024-02-26,2136.9500,2152.8000,2100.0000,2141.8999,77814
2024-02-27,2139.8999,2151.1499,2116.0000,2122.5500,25692
2024-02-28,2126.0000,2129.5500,2070.8501,2085.1499,44747
2024-02-29,2064.3501,2245.0000,2015.0500,2208.0000,259006
2024-03-01,2219.6001,2220.3000,2110.1001,2126.8501,156013
2024-03-04,2122.0000,2149.8501,2060.1001,2073.2000,342286
2024-03-05,2084.0000,2126.8999,2074.0000,2104.3999,65159
2024-03-06,2101.0500,2135.8999,2061.0000,2083.2500,213764
2024-03-07,2081.0500,2105.0000,2071.1001,2091.1001,128858
2024-03-11,2094.8000,2120.0000,2069.3000,2102.0500,120502
2024-03-12,2109.1499,2189.0000,2080.0000,2108.1499,46994
2024-03-13,2096.8999,2175.0000,1998.3500,2110.7000,122917
2024-03-14,2110.7000,2128.0000,2075.0000,2124.3000,84254
2024-03-15,2124.6001,2125.0000,2092.0000,2122.2000,45417
2024-03-18,2132.8000,2132.8000,2104.2500,2124.4500,62074
2024-03-19,2135.1001,2135.1001,2081.0000,2109.3501,24898
2024-03-20,2091.5000,2105.8000,2071.3000,2082.1001,23023
2024-03-21,2092.5000,2147.9500,2080.0000,2125.8999,322663
2024-03-22,2118.0000,2164.0000,2106.6001,2152.3000,153571
2024-03-26,2142.5000,2230.0000,2105.0000,2223.0500,107950
2024-03-27,2223.0500,2317.6499,2170.1001,2193.5000,259332
2024-03-28,2179.3501,2247.9500,2173.6001,2230.8501,149374
2024-04-01,2247.9500,2271.0000,2195.3501,2238.6001,173165
2024-04-02,2240.0500,2311.9500,2220.0000,2270.5000,148708
2024-04-03,2250.0500,2289.0000,2235.0000,2255.4500,53410
2024-04-04,2260.0000,2265.0000,2154.0500,2169.6001,121975
2024-04-05,2172.0000,2209.2000,2156.3000,2181.6001,131951
2024-04-08,2187.8000,2206.0000,2121.6001,2135.5000,57973
2024-04-09,2146.7000,2160.6001,2122.1499,2150.5500,53344
2024-04-10,2150.6499,2155.0000,2130.0000,2139.6499,87330
2024-04-12,2151.6001,2207.3501,2107.1499,2115.3000,79775
2024-04-15,2112.1001,2130.9500,2070.0000,2117.7500,81061
2024-04-16,2098.5000,2113.5500,2051.6001,2064.9500,52705
2024-04-18,2064.3999,2098.9500,2055.5000,2078.8501,55956
2024-04-19,2078.8501,2107.9500,2069.1499,2085.3999,34465
2024-04-22,2085.4500,2125.0000,2079.9500,2091.3501,138405
2024-04-23,2100.0000,2189.2500,2090.4500,2130.3501,98235
2024-04-24,2150.0000,2169.2000,2127.1001,2133.7000,69788
2024-04-25,2130.8000,2144.3501,2125.0500,2139.9500,35470
2024-04-26,2144.0000,2286.9500,2120.0000,2193.5000,205252
2024-04-29,2244.0000,2258.0000,2194.6499,2212.6001,225260
2024-04-30,2225.0000,2243.8000,2190.0000,2215.4500,82156
2024-05-02,2225.0500,2260.0000,2210.0000,2234.0000,83782
2024-05-03,2540.0000,2540.0000,2360.0500,2383.8501,2771320
2024-05-06,2388.4500,2434.0000,2324.4500,2414.5500,364670
2024-05-07,2418.9500,2443.6499,2367.3000,2398.0000,190565
2024-05-08,2405.6001,2435.0000,2362.0000,2367.7000,155535
2024-05-09,2377.8000,2423.8999,2361.0000,2409.6499,136168
2024-05-10,2453.5000,2458.9500,2370.1001,2377.3999,135221
2024-05-13,2385.5000,2394.9500,2350.7000,2380.2500,64649
2024-05-14,2395.2500,2445.0000,2375.0000,2438.2500,114737
2024-05-15,2448.0000,2449.0000,2381.6499,2394.8999,284058
2024-05-16,2409.7000,2417.7000,2380.0000,2395.2500,37795
2024-05-17,2401.8000,2401.8501,2370.0000,2381.0500,110014
2024-05-21,2403.8999,2405.0000,2370.0000,2398.8999,86631
2024-05-22,2400.0000,2404.3999,2373.0000,2378.8999,45167
2024-05-23,2381.4500,2418.0000,2376.0000,2402.0500,49992
2024-05-24,2409.0000,2426.8000,2392.6499,2422.6499,65037
2024-05-27,2436.2500,2449.0000,2391.0500,2434.7500,80372
2024-05-28,2449.0000,2449.0000,2408.0000,2417.5500,41522
2024-05-29,2415.0000,2416.8501,2382.1001,2395.1499,82572
2024-05-30,2342.0000,2431.1001,2151.0000,2412.0500,173906
2024-05-31,2386.2500,2398.9500,2313.0000,2333.1499,112849
2024-06-03,2342.1001,2364.7000,2270.0000,2326.5500,120363
2024-06-04,2334.0000,2343.9500,2111.0500,2290.8501,151120
2024-06-05,2340.0000,2340.0000,2270.0000,2326.2000,106420
2024-06-06,2328.0000,2329.0500,2285.0000,2301.6499,46104
2024-06-07,2312.0000,2431.5000,2302.2000,2420.7000,154569
2024-06-10,2443.9500,2495.0000,2405.6001,2414.8000,68970
2024-06-11,2430.0000,2439.9500,2373.0000,2384.4500,52675
2024-06-12,2387.1001,2408.3501,2375.0000,2398.0000,27313
2024-06-13,2410.0000,2428.0000,2403.6001,2420.3501,26448
2024-06-14,2425.0000,2425.0000,2368.1001,2378.6001,49730
2024-06-18,2370.0000,2417.5000,2345.3000,2412.7500,54426
2024-06-19,2375.0500,2411.0000,2343.2500,2371.1499,56638
2024-06-20,2350.0000,2362.3999,2335.0000,2340.8999,76532
2024-06-21,2365.0000,2385.0000,2341.1001,2345.8501,40793
2024-06-24,2340.0500,2350.0000,2319.0000,2329.2000,30937
2024-06-25,2341.5000,2379.0000,2303.2000,2331.3501,56798
2024-06-26,2348.6001,2351.0000,2304.7000,2316.3501,55789
2024-06-27,2323.2000,2348.6001,2261.0000,2283.7500,105711
2024-06-28,2297.1499,2319.8999,2280.0500,2287.2000,45657
2024-07-01,2286.2000,2306.8501,2244.8000,2256.3000,125115
2024-07-02,2272.0000,2280.0000,2225.0000,2238.9500,106739
2024-07-03,2251.4500,2265.0000,2229.3999,2241.1499,61749
2024-07-04,2248.0500,2271.8000,2214.0000,2219.7500,136647
2024-07-05,2222.0000,2275.8000,2160.1499,2266.6001,537594
2024-07-08,2235.8000,2298.2500,2233.2000,2288.6001,115831
2024-07-09,2300.0000,2304.8999,2225.0000,2251.1499,284775
2024-07-10,2254.0000,2285.8000,2202.3000,2255.4500,449201
2024-07-11,2260.0000,2284.8999,2205.0000,2213.8501,81010
2024-07-12,2226.9500,2240.5500,2196.0000,2201.8501,470693
2024-07-15,2203.0000,2275.0000,2203.0000,2261.1499,109661
2024-07-16,2260.0500,2261.1499,2222.3999,2227.7500,164816
2024-07-18,2230.0000,2305.1499,2223.5500,2285.1001,96744
2024-07-19,2300.1499,2317.0500,2225.0000,2287.6001,169360
2024-07-22,2262.7500,2321.0000,2236.1001,2294.6001,59568
2024-07-23,2300.0000,2355.5000,2258.8000,2335.1001,128311
2024-07-24,2339.0000,2389.8999,2316.2000,2384.7000,79166
2024-07-25,2370.0500,2409.2500,2360.0000,2398.8501,71566
2024-07-26,2404.8999,2409.0000,2366.6499,2401.6499,47163
2024-07-29,2404.0000,2445.8999,2401.1499,2418.5500,137949
2024-07-30,2430.0000,2579.8999,2406.1001,2530.5500,410629
2024-07-31,2541.0000,2717.5500,2506.3000,2695.1001,898259
2024-08-01,2685.0000,2815.0000,2663.8501,2792.5000,388039
2024-08-02,2750.0000,2866.0000,2736.4500,2828.5000,312024
2024-08-05,2775.9500,2873.9500,2716.8000,2841.8501,208623
2024-08-06,2834.0500,2880.0000,2762.0000,2788.4500,120355
2024-08-07,2803.1001,2965.0000,2800.0000,2939.6001,483349
2024-08-08,2910.1001,2989.9500,2910.1001,2961.7000,318391
2024-08-09,2961.3000,3034.2500,2940.3999,2998.8501,224992
2024-08-12,2980.0000,3085.0000,2980.0000,3067.4500,156802
2024-08-13,3067.4500,3189.0000,3067.3999,3175.3501,292386
2024-08-14,3175.3501,3389.8501,3015.5000,3045.8999,562647
2024-08-16,3050.0000,3105.8000,2980.3501,2995.3000,221692
2024-08-19,3012.7000,3065.9500,2902.0000,2933.0500,153513
2024-08-20,2948.4500,3125.0000,2935.2500,2958.7000,474123
2024-08-21,2958.6499,3125.0000,2917.3999,3077.6499,194717
2024-08-22,3077.6499,3165.3000,3038.3501,3123.1001,241684
2024-08-23,3112.8000,3127.8999,3075.0000,3103.3501,112255
2024-08-26,3099.8501,3099.8501,2955.0000,2986.2000,218844
2024-08-27,3005.8000,3013.2500,2961.5500,2969.9500,90238
2024-08-28,2985.6001,3128.2000,2966.5000,3080.4500,247956
2024-08-29,3077.8501,3235.5000,3066.1499,3151.0500,411629
2024-08-30,3151.8999,3275.0000,3112.0000,3243.5500,253887
2024-09-02,3243.5500,3258.2500,3192.0500,3202.3000,58916
2024-09-03,3202.8999,3247.3501,3145.0500,3175.3000,99491
2024-09-04,3169.3999,3275.0000,3151.8999,3229.5500,228403
2024-09-05,3250.0000,3379.0000,3244.6499,3330.1001,288675
2024-09-06,3345.0000,3409.3999,3292.0500,3350.3501,255583
2024-09-09,3319.8999,3338.8000,3231.7500,3297.0000,113082
2024-09-10,3299.0000,3473.7000,3299.0000,3426.5000,378239
2024-09-11,3415.8999,3477.4500,3379.0000,3390.1499,205612
2024-09-12,3409.6499,3485.0000,3380.6499,3391.2000,138694
2024-09-13,3410.8000,3450.4500,3264.0000,3325.5000,198166
2024-09-16,3339.1001,3342.1499,3150.0000,3165.8000,127205
2024-09-17,3187.7500,3195.0000,3097.0000,3149.0000,172443
2024-09-18,3149.0000,3172.7000,3090.0500,3121.1499,134622
2024-09-19,3134.0000,3225.3501,3123.6001,3198.5000,140616
2024-09-20,3238.7500,3238.7500,3117.8501,3131.5000,119556
2024-09-23,3170.0000,3179.0000,3085.5000,3105.8999,100195
2024-09-24,3105.8999,3290.0000,3067.0500,3223.2500,215614
2024-09-25,3199.0500,3267.8501,3147.0000,3238.3501,101699
