date,open,high,low,close,volume
2025-02-17,576.0000,609.0000,566.0000,595.4000,6686060
2025-02-18,584.1000,617.8500,583.0000,607.8000,1404994
2025-02-19,605.0000,616.0000,590.5000,600.7500,611248
2025-02-20,597.0000,628.8500,595.0000,600.5000,773303
2025-02-21,605.0000,610.0000,598.1000,603.1000,1089413
2025-02-24,595.0000,609.9000,585.4500,603.1500,767309
2025-02-25,601.0000,607.9000,598.0000,601.5500,272650
2025-02-27,601.5000,617.4000,598.2500,600.9500,530302
2025-02-28,598.0000,602.0000,583.4500,595.0500,382913
2025-03-03,588.5000,597.2000,580.5000,588.1000,335574
2025-03-04,566.0500,610.0000,566.0500,604.7500,402151
2025-03-05,600.0000,609.2000,592.0000,596.7500,286011
2025-03-06,599.7500,619.7500,595.0000,599.6500,488530
2025-03-07,608.0000,610.6500,600.1000,602.3500,152435
2025-03-10,611.0000,620.0000,602.5000,612.1500,617619
2025-03-11,600.6000,606.4500,590.3000,592.3500,207260
2025-03-12,594.0000,599.2000,577.2000,585.6000,295612
2025-03-13,585.6000,599.0000,585.6000,590.1500,184288
2025-03-17,589.0000,609.0000,580.3500,605.2000,294298
2025-03-18,605.2000,605.2000,605.2000,605.2000,0
2025-03-19,610.7500,650.0000,608.1500,646.2000,2844516
2025-03-20,652.4500,658.3000,615.0000,623.8000,851396
2025-03-21,620.9000,637.4000,584.8000,601.4000,791319
2025-03-24,600.7000,607.7500,582.3000,590.0000,652331
2025-03-25,594.4500,625.2000,586.6000,607.3000,779915
2025-03-26,611.9000,627.8500,606.7500,609.9000,415795
2025-03-27,612.9000,615.0000,593.8000,596.9500,307628
2025-03-28,603.9000,606.5000,590.0000,593.8000,165650
2025-04-01,586.3000,615.0000,586.3000,612.1000,263798
2025-04-02,619.1500,631.0000,606.6000,627.7000,515603
2025-04-03,611.0000,630.5000,610.7000,627.3000,225987
2025-04-04,627.0000,635.0000,601.9000,610.1000,328531
2025-04-07,549.1000,588.3500,549.1000,581.5500,199567
2025-04-08,597.0000,607.8000,588.8000,604.2500,198833
2025-04-09,602.8000,605.9500,595.2000,601.9500,91314
2025-04-11,607.0000,638.0000,607.0000,622.6500,449431
2025-04-15,625.0000,631.7500,620.0000,626.9000,201464
2025-04-16,634.0000,687.9000,628.9500,679.0000,1644688
2025-04-17,674.2000,714.9000,666.3500,700.6500,1332052
2025-04-21,701.0000,729.0000,697.3000,718.6000,792317
2025-04-22,710.2500,734.3500,710.2500,714.6500,549293
2025-04-23,716.0500,724.0000,682.0000,692.7000,476191
2025-04-24,694.7500,715.0000,692.7500,704.3000,247567
2025-04-25,709.7000,712.8000,633.9000,668.6000,631697
2025-04-28,668.6000,682.0500,663.3500,669.5500,147714
2025-04-29,680.4000,687.7000,665.2500,672.5000,156400
2025-04-30,667.2500,675.3000,625.8500,641.1500,179557
2025-05-02,653.4000,690.2500,645.1500,652.8000,429020
2025-05-05,657.9000,677.4000,651.0500,664.4500,123513
2025-05-06,678.9500,678.9500,651.0000,665.4000,839946
2025-05-07,660.0000,673.7000,653.7500,667.4500,365706
2025-05-08,668.0000,705.4500,668.0000,675.4500,357133
2025-05-09,624.4500,670.0000,624.4500,662.6500,198419
2025-05-12,699.0000,699.0000,680.0000,693.4500,184138
2025-05-13,698.1500,735.0000,690.0000,730.9000,514436
2025-05-14,739.7500,756.2000,722.8000,740.0000,576194
2025-05-15,739.0000,754.9500,732.6000,742.3000,321692
2025-05-16,743.3500,747.8000,668.1500,671.6500,587083
2025-05-19,680.0000,704.7500,673.0000,697.8000,320402
2025-05-20,703.0000,706.9000,671.3000,673.5500,215410
2025-05-21,682.0000,683.1000,667.1000,668.3000,114640
2025-05-22,670.0000,682.4000,663.7000,668.4500,93921
2025-05-23,672.1000,693.8500,660.6000,682.1500,219462
2025-05-26,686.0000,692.0500,678.0000,680.7500,100941
2025-05-27,684.9000,695.0000,678.8500,685.9000,130146
2025-05-28,667.1000,680.0000,656.0000,659.2500,653622
2025-05-29,680.0000,680.0000,650.0000,651.2500,224264
2025-05-30,658.4500,664.2000,649.9000,652.9000,155544
2025-06-02,659.8500,660.9000,632.8500,645.7000,260246
2025-06-03,645.7500,649.9500,634.0000,638.7000,126591
2025-06-04,640.9500,645.7000,626.0000,628.4500,364103
2025-06-05,634.9500,634.9500,614.9500,616.4000,222503
2025-06-06,625.9500,631.0500,611.0500,622.7500,319530
2025-06-09,625.9000,627.9500,619.4500,621.3000,159487
2025-06-10,620.0000,624.7000,613.9500,618.8000,219409
2025-06-11,618.7000,626.0000,615.5500,619.4000,104416
2025-06-12,622.4000,625.0000,609.4000,611.0000,103044
2025-06-13,600.0000,612.0000,597.1000,609.0500,104170
2025-06-16,603.0500,622.5000,598.8000,605.5500,84684
2025-06-17,607.9000,619.0000,601.2500,608.2500,121848
2025-06-18,612.9000,612.9000,598.5000,602.5500,84934
2025-06-19,605.0000,607.8500,582.3000,588.7500,114504
2025-06-20,588.0000,605.4500,582.0000,602.5000,147260
2025-06-23,597.0000,610.0000,592.3500,596.0500,109849
2025-06-24,608.9000,635.9500,604.5000,631.6000,422055
2025-06-25,637.0000,642.5000,626.0000,636.4500,232532
2025-06-26,635.0000,640.9500,626.0000,628.6000,94700
2025-06-27,630.0000,635.0000,626.3000,628.7500,63262
2025-06-30,632.9500,633.0000,620.6500,631.1000,101918
2025-07-01,631.1000,638.0000,629.3000,632.1000,86546
2025-07-02,632.0000,634.3000,620.0500,627.0500,46994
2025-07-03,629.0000,649.6000,628.0000,641.7500,311343
2025-07-04,650.0000,669.6000,641.7500,662.7000,534218
2025-07-07,669.9000,685.3000,664.0500,679.8500,356105
2025-07-08,685.3000,687.9000,670.7000,684.0000,235929
2025-07-09,694.0000,703.0000,676.0500,698.9000,320143
2025-07-10,698.0500,712.9000,683.0500,692.7500,218248
2025-07-11,695.7000,697.5000,685.0000,688.2500,89804
2025-07-14,686.0000,689.8500,676.0000,678.4000,102583
2025-07-15,678.0000,697.4000,678.0000,691.8500,125847
2025-07-16,697.6000,710.0000,689.1000,703.8500,221882
2025-07-17,704.0000,716.5500,698.0000,708.3500,115857
2025-07-18,709.0000,719.0000,688.0000,700.2000,193919
2025-07-21,700.2000,707.0000,692.0000,694.3500,80546
2025-07-22,695.0000,703.7000,691.0000,692.5500,60151
2025-07-23,692.0000,697.2500,684.4500,691.9500,63748
2025-07-24,692.0000,702.3500,678.7000,685.7000,89505
2025-07-25,681.0000,689.9000,670.4000,673.2000,90580
2025-07-28,673.2000,677.8500,660.1000,662.6500,77774
2025-07-29,661.1000,675.4500,660.2500,673.0500,58578
2025-07-30,675.9000,683.0000,670.3000,673.1500,49189
2025-07-31,669.8500,703.3000,660.2000,695.7500,184674
2025-08-01,701.0000,709.9500,665.0000,674.0000,115026
2025-08-04,643.7500,650.0000,610.0000,636.1500,360986
2025-08-05,640.8500,654.6500,636.1500,643.3000,426358
2025-08-06,644.0000,661.3500,643.3000,652.8500,103513
2025-08-07,648.9500,683.4000,643.1500,678.6500,237386
2025-08-08,671.0500,700.0500,666.0000,689.8500,298720
2025-08-11,695.0000,721.0000,687.2500,714.4500,348978
2025-08-12,713.2000,724.8000,706.0000,719.7000,279926
2025-08-13,704.0000,724.5500,702.0500,722.2000,153919
2025-08-14,720.4000,730.1000,692.1000,707.1000,168599
2025-08-18,707.0000,714.4500,696.0000,698.8500,58490
2025-08-19,698.8500,702.4000,684.5500,689.9500,71417
2025-08-20,691.0000,698.3500,685.7000,690.1500,71948
2025-08-21,687.5000,700.0500,681.4500,683.7000,144301
2025-08-22,687.6000,687.6000,672.1500,679.8500,107551
2025-08-25,687.9000,698.0000,680.1000,694.5000,118810
