date,open,high,low,close,volume
2023-09-18,614.7000,614.9500,598.9000,604.4500,25863
2023-09-20,604.5000,610.0000,600.0500,605.5000,10522
2023-09-21,605.5000,606.1500,591.6500,601.1000,9207
2023-09-22,601.4000,605.0000,587.7000,596.5500,22778
2023-09-25,596.5500,609.8000,593.1500,605.8500,11122
2023-09-26,609.8500,609.8500,600.0000,602.4000,6917
2023-09-27,602.6000,610.0000,602.5000,606.7500,10071
2023-09-28,609.0000,613.9500,595.0000,596.2500,9296
2023-09-29,600.7000,604.0000,594.5500,600.5500,3895
2023-10-03,605.0000,610.0000,596.7000,609.0500,8340
2023-10-04,613.0000,615.0000,599.1500,605.8500,17986
2023-10-05,605.0000,610.8000,604.4000,607.9000,12546
2023-10-06,612.4500,612.4500,602.0000,607.5000,18422
2023-10-09,601.0000,601.0000,581.0500,583.0500,16010
2023-10-10,585.2000,590.0500,579.0000,581.1500,12873
2023-10-11,585.5000,591.0500,582.6000,589.5500,7105
2023-10-12,594.0000,594.0000,581.2000,586.8500,8818
2023-10-13,583.3000,592.7000,582.6500,588.1000,8286
2023-10-16,587.1000,606.9000,587.0000,604.5500,11015
2023-10-17,607.0000,610.0000,599.0000,600.5500,16886
2023-10-18,605.3500,620.0000,600.0000,617.8500,53482
2023-10-19,625.0000,638.8000,611.1000,624.5000,93940
2023-10-20,627.0000,630.3000,621.0000,622.3000,21146
2023-10-23,627.2000,641.0000,605.0000,610.1500,59587
2023-10-25,617.8000,635.0000,608.8500,628.3500,45768
2023-10-26,632.2500,639.0000,608.0000,630.9000,26400
2023-10-27,641.0000,645.0000,631.1000,642.2500,105716
2023-10-30,650.0000,687.1000,650.0000,676.2500,386543
2023-10-31,668.4000,685.8000,666.0000,670.7000,111571
2023-11-01,678.6500,679.9500,656.0000,658.8000,72322
2023-11-02,663.9500,676.0000,660.6000,670.8500,69475
2023-11-03,680.0000,684.0000,668.6000,682.0000,74891
2023-11-06,700.9500,700.9500,681.0000,684.5000,119425
2023-11-07,684.0500,690.0000,675.0500,682.8500,60105
2023-11-08,689.0000,690.0000,683.8000,688.0500,55974
2023-11-09,688.0500,689.9500,662.0500,664.5500,115944
2023-11-10,637.0000,637.4500,620.0000,630.0500,68599
2023-11-13,644.0000,644.0000,625.0000,631.3000,27874
2023-11-15,643.0000,650.0000,635.0000,644.0000,46297
2023-11-16,648.8500,657.4000,643.5500,651.1500,34835
2023-11-17,652.0500,659.7500,652.0500,657.7000,27252
2023-11-20,659.0000,665.0000,655.5500,658.7500,23298
2023-11-21,659.0000,665.5000,656.9000,659.3500,16257
2023-11-22,654.2500,663.0000,654.2500,660.2000,15737
2023-11-23,660.2500,674.5000,650.5500,653.9500,59158
2023-11-24,655.3500,661.9500,649.1000,651.9500,30001
2023-11-28,651.9500,661.9000,644.6000,651.1000,23897
2023-11-29,654.7000,654.7000,622.8000,626.4500,46218
2023-11-30,627.0000,643.3500,618.0000,641.2000,35200
2023-12-01,638.4000,640.8000,632.2000,634.8000,13216
2023-12-04,637.0000,639.5500,621.0000,623.1000,39532
2023-12-05,623.1000,635.4500,619.9500,621.1000,32407
2023-12-06,622.0000,639.9500,617.4500,635.3000,69007
2023-12-07,637.9000,649.5000,632.0500,644.8500,33782
2023-12-08,649.7000,649.7000,633.2000,643.9500,16996
2023-12-11,645.0000,649.9500,635.0000,640.4000,12809
2023-12-12,636.0000,644.9500,636.0000,640.1000,7591
2023-12-13,644.9500,645.5000,630.0500,641.0000,73216
2023-12-14,645.0000,647.4500,631.5500,635.1500,25834
2023-12-15,635.1500,647.9000,632.0000,637.7500,23452
2023-12-18,640.0000,689.9000,637.5500,675.9000,140906
2023-12-19,682.6500,682.6500,656.0000,661.3000,39276
2023-12-20,662.0000,668.7000,633.1000,637.1000,31768
2023-12-21,630.0000,655.0000,625.0000,653.0500,14454
2023-12-22,653.0000,668.2000,647.0500,661.3500,14045
2023-12-26,661.3500,663.0500,643.0500,648.1500,37935
2023-12-27,653.0000,674.0000,635.2000,656.0500,19897
2023-12-28,650.0000,659.3500,650.0000,653.0000,4571
2023-12-29,653.0500,660.0000,649.0000,652.5000,12622
2024-01-01,657.3500,675.0000,650.2500,661.6500,14846
2024-01-02,660.3000,663.4500,651.0000,654.5000,11521
2024-01-03,655.1500,655.9000,640.3000,653.1500,9707
2024-01-04,656.8000,675.0000,651.5000,667.3500,19014
2024-01-05,671.0000,671.0000,656.0000,659.4500,11650
2024-01-08,650.0500,663.9000,647.8500,652.0500,13647
2024-01-09,653.7500,657.3000,647.9000,650.9000,12095
2024-01-10,655.7500,659.0000,646.3500,656.8000,8364
2024-01-11,659.7500,662.5000,649.0500,651.7000,17770
2024-01-12,656.5500,663.1000,651.0000,654.1000,23789
2024-01-15,659.4500,686.5000,659.4500,675.8500,72650
2024-01-16,675.8500,677.9000,645.0500,659.2500,21119
2024-01-17,648.0000,660.0000,643.0500,655.2000,17756
2024-01-18,648.6500,670.4000,644.8500,657.0500,37941
2024-01-19,662.4500,685.0000,659.7000,679.6500,39766
2024-01-23,695.0000,731.9500,692.5500,702.1500,504129
2024-01-24,702.0000,800.0000,693.0000,765.9500,619747
2024-01-25,789.7000,822.8000,781.5000,812.4000,367950
2024-01-29,818.8000,824.9000,775.1000,786.0500,138589
2024-01-30,780.0000,816.0000,780.0000,806.1000,117563
2024-01-31,810.7000,816.9500,781.5000,786.7000,69835
2024-02-01,786.0000,797.8500,765.6000,770.9000,31694
2024-02-02,780.0000,790.0000,760.0000,766.3500,33120
2024-02-05,760.0000,777.1000,751.7500,755.1500,31433
2024-02-06,758.0000,784.2500,755.1500,770.9500,27805
2024-02-07,777.1000,777.4500,749.0000,756.0500,19446
2024-02-08,756.0500,758.5000,725.6500,730.7500,33209
2024-02-09,730.0000,736.7500,710.0000,715.8000,62890
2024-02-12,725.0000,750.0000,705.3000,709.4000,28551
2024-02-13,710.0000,730.1500,710.0000,721.0500,23302
2024-02-14,707.4000,749.0000,707.0000,731.2000,28406
2024-02-15,725.0000,749.1500,725.0000,741.4500,12724
2024-02-16,743.3500,796.0000,741.0500,787.2500,97441
2024-02-19,804.9000,888.9000,800.0000,875.0500,235569
2024-02-20,888.0000,895.0000,826.6500,836.2000,226289
2024-02-21,836.0000,859.0000,826.0000,836.9500,109872
2024-02-22,841.0000,866.7000,838.0000,859.3500,45017
2024-02-23,860.0000,865.8000,844.1500,846.5500,20181
2024-02-26,846.5500,852.7500,821.3000,831.9500,26609
2024-02-27,831.9500,869.0000,825.1500,851.0500,27175
2024-02-28,841.0000,879.8000,792.1000,811.7500,80572
2024-02-29,808.1000,850.0000,804.0000,822.9500,43717
2024-03-01,822.9500,835.0000,809.2500,812.3500,13679
2024-03-04,827.0000,829.6500,803.0000,805.8500,15773
2024-03-05,797.8000,821.8500,776.8500,786.3500,20117
2024-03-06,794.2000,794.2000,745.0000,781.1500,31019
2024-03-07,771.6000,782.1000,740.2500,752.0000,28008
2024-03-11,752.0000,772.0000,736.1000,751.2000,19897
2024-03-12,751.5500,780.9000,723.8000,728.3000,77385
2024-03-13,728.0500,735.8000,695.0500,715.1000,59814
2024-03-14,714.4500,738.0000,710.0000,729.3500,17867
2024-03-15,733.0000,733.4500,697.0000,718.3000,22445
2024-03-18,715.0000,741.4500,708.2500,733.3000,20086
2024-03-19,732.0000,732.3000,711.0000,715.1000,13611
2024-03-20,707.9500,748.0000,696.5000,716.2000,80606
2024-03-21,718.1000,751.8500,718.0500,743.8000,36386
2024-03-22,752.0000,759.5000,729.8000,742.9000,12028
2024-03-26,750.0000,753.0000,717.1000,726.2500,17534
2024-03-27,733.9000,737.0000,714.9500,728.6500,20848
2024-03-28,734.3500,745.3000,721.0000,730.6000,13933
2024-04-01,734.6500,745.3000,723.1000,733.0500,27132
2024-04-02,737.0000,760.0000,720.0000,731.8500,19669
2024-04-03,724.5500,748.0000,720.0000,737.6500,17555
2024-04-04,743.0000,750.9500,723.1500,727.3000,17049
2024-04-05,733.5000,738.2500,723.5500,725.8000,26081
2024-04-08,731.2000,735.9000,709.0000,712.8500,14345
2024-04-09,718.9500,719.1500,700.5000,705.8500,18009
2024-04-10,710.9000,710.9500,697.0000,699.9500,24909
2024-04-12,705.2000,730.0000,700.5000,713.2000,32212
2024-04-15,707.0000,748.0000,697.5500,707.1500,84107
2024-04-16,707.0000,737.0000,703.0000,725.1500,24893
2024-04-18,734.0000,745.0000,711.2000,726.0000,21543
2024-04-19,713.0000,731.9000,705.0500,725.5000,18915
2024-04-22,730.0000,733.0000,716.0000,726.9000,14761
2024-04-23,726.9000,741.5000,722.0500,738.0500,11965
2024-04-24,738.0500,801.0000,737.0500,789.6500,257945
2024-04-25,802.9000,812.0000,775.5000,786.1000,84759
2024-04-26,795.0000,801.9500,766.1500,777.6500,32941
2024-04-29,785.0000,785.3000,759.8500,769.0000,18102
2024-04-30,775.0000,779.0000,760.0000,765.3500,10360
2024-05-02,766.0000,832.9000,766.0000,803.7000,160271
2024-05-03,815.0000,841.2000,800.7500,818.2000,87212
2024-05-06,827.0000,849.8000,812.1000,842.8000,74332
2024-05-07,935.1000,1011.3500,921.2000,957.7000,1602240
2024-05-08,957.9500,1047.0000,939.2000,1005.4000,1228563
2024-05-09,1010.0000,1027.9500,985.0000,994.5500,191749
2024-05-10,991.9000,999.0000,947.5500,982.2500,52222
2024-05-13,1026.9000,1045.0000,992.3500,1029.8500,136143
2024-05-14,1035.0000,1060.0000,1017.0000,1030.5000,64580
2024-05-15,1040.0000,1053.9000,1033.0500,1042.7500,33200
2024-05-16,1044.9000,1046.3000,991.0000,1009.2500,30944
2024-05-17,995.0000,1060.0000,993.0000,1055.9500,41783
2024-05-21,1097.7000,1097.7000,1051.4000,1082.0500,113836
2024-05-22,1083.0000,1092.4500,1050.0500,1080.6000,43622
2024-05-23,1089.0000,1089.0000,1024.9000,1039.9500,30327
2024-05-24,1048.0000,1049.8000,995.0000,1001.4000,23328
2024-05-27,1006.0000,1044.5000,980.2000,1033.5000,27894
2024-05-28,1047.1500,1066.6000,1035.1500,1057.6500,21587
2024-05-29,1066.0000,1100.0000,1060.0000,1098.3500,33946
2024-05-30,1115.0000,1115.0000,1020.1000,1052.9000,28319
2024-05-31,1053.0000,1076.0000,1023.0000,1040.1000,12125
2024-06-03,1045.0000,1091.9500,991.0000,1010.5500,24145
2024-06-04,1032.0000,1032.0000,910.0000,969.0500,44290
2024-06-05,984.9000,1024.9000,927.0000,1005.7500,19225
2024-06-06,1026.6000,1040.9500,1015.2000,1028.5000,17467
2024-06-07,1023.0000,1109.0000,1023.0000,1099.2000,40686
2024-06-10,1110.7000,1149.0000,1050.0000,1069.9500,43756
2024-06-11,1083.0000,1135.0500,1055.1000,1096.9500,33417
2024-06-12,1088.0000,1154.0500,1072.0000,1147.1500,35933
2024-06-13,1154.0000,1185.0000,1140.0000,1153.4500,38385
2024-06-14,1155.0000,1181.0000,1118.1000,1163.1000,38475
2024-06-18,1155.0000,1234.0000,1155.0000,1203.4500,145046
2024-06-19,1214.2500,1214.3000,1160.0000,1169.8500,30089
2024-06-20,1182.4000,1185.0500,1157.2000,1161.7000,21000
2024-06-21,1166.0000,1211.1500,1106.0000,1141.3000,182325
2024-06-24,1150.4000,1157.3000,1121.0500,1147.0500,19295
2024-06-25,1135.0000,1154.3000,1127.0000,1130.3500,10963
2024-06-26,1138.8000,1139.2000,1105.0000,1112.9500,17125
2024-06-27,1113.9000,1165.9500,1111.0500,1141.6500,37172
2024-06-28,1152.8500,1170.0000,1143.0000,1154.0500,12608
2024-07-01,1165.5000,1242.0000,1165.5000,1220.8500,105851
2024-07-02,1238.0000,1251.9000,1175.0000,1177.8000,81335
2024-07-03,1181.6000,1185.8500,1129.1000,1132.2000,50445
2024-07-04,1149.2000,1165.0000,1127.0000,1151.0000,26400
2024-07-05,1165.0000,1165.0000,1123.0500,1133.9000,23761
2024-07-08,1133.9000,1139.3000,1100.0000,1109.2000,28755
2024-07-09,1118.1000,1174.0000,1087.3500,1118.8500,21201
2024-07-10,1111.0000,1150.0000,1085.0000,1128.6500,31010
2024-07-11,1140.0000,1170.9000,1111.0000,1145.4000,28561
2024-07-12,1151.4500,1190.0000,1131.7500,1148.9500,25562
2024-07-15,1158.1000,1158.1000,1100.0000,1136.9500,20395
2024-07-16,1136.9500,1165.0000,1127.0500,1145.5500,12955
2024-07-18,1154.0000,1154.0000,1121.5500,1135.3500,10078
2024-07-19,1126.0000,1140.9000,1078.1000,1099.2500,20921
