date,open,high,low,close,volume
2023-09-25,14.7833,15.2833,14.3000,14.4250,433860
2023-09-26,14.3000,14.6667,14.3000,14.5000,359022
2023-09-27,14.6667,14.6667,14.3833,14.4917,124656
2023-09-28,14.8333,14.8500,14.3667,14.4750,110520
2023-09-29,14.9917,14.9917,14.4000,14.5083,246240
2023-10-03,14.4583,14.6167,14.2667,14.4083,319866
2023-10-04,14.2750,14.5833,14.2500,14.4583,117282
2023-10-05,14.5917,14.7083,14.0250,14.1833,288840
2023-10-06,14.1833,14.4667,14.0333,14.2417,77682
2023-10-09,14.1667,14.3750,13.9250,14.0583,161526
2023-10-10,14.0750,14.2333,14.0250,14.1167,999636
2023-10-11,14.6750,14.7500,14.3000,14.6583,1259574
2023-10-12,14.6667,14.8500,14.2833,14.3500,282360
2023-10-13,14.3500,14.5250,14.3333,14.4333,287154
2023-10-16,14.3583,15.1667,14.2917,14.5667,562518
2023-10-17,14.7083,15.0000,14.4583,14.7833,431304
2023-10-18,15.0000,15.1500,14.5250,14.6500,518568
2023-10-19,14.7500,14.7583,14.4500,14.5167,392232
2023-10-20,14.5917,14.8333,14.3500,14.4000,690876
2023-10-23,14.4250,14.5833,13.8250,14.0167,901572
2023-10-25,13.8333,14.2917,13.4667,13.6833,317184
2023-10-26,13.7583,13.8167,13.1500,13.5750,456084
2023-10-27,13.6083,14.0667,13.5917,13.8583,215034
2023-10-30,13.8583,14.0000,13.6750,13.9333,239214
2023-10-31,13.9583,14.0000,13.6667,13.8833,118620
2023-11-01,13.8417,14.3167,13.8417,14.0000,177996
2023-11-02,14.1167,14.2167,13.9333,13.9583,32652
2023-11-03,14.1583,14.3500,13.7583,13.8000,182640
2023-11-06,14.0750,14.4583,13.7167,14.3000,559356
2023-11-07,14.4000,14.8250,14.0917,14.1583,334758
2023-11-08,14.2417,14.3417,13.6667,13.7333,698172
2023-11-09,13.8167,13.9000,13.6000,13.6750,91434
2023-11-10,13.6667,13.7667,13.5083,13.6167,87534
2023-11-13,13.8083,14.0000,13.7917,13.9333,116634
2023-11-15,14.0000,14.1667,13.3333,13.5583,316248
2023-11-16,13.6583,14.7500,13.4833,13.9583,1058886
2023-11-17,14.1417,14.6667,13.8750,14.5250,897156
2023-11-20,14.5333,14.9500,14.2833,14.3750,716754
2023-11-21,14.1750,14.5167,14.1750,14.4750,329196
2023-11-22,14.4667,14.5000,14.2417,14.3333,354384
2023-11-23,14.4167,15.5000,14.3333,14.8417,1771014
2023-11-24,14.8417,15.1667,14.5750,14.6083,432726
2023-11-28,14.5167,15.0000,14.4667,14.6833,639846
2023-11-29,14.5917,14.9083,14.4667,14.6667,341352
2023-11-30,14.6750,14.9250,14.5583,14.7250,467034
2023-12-01,14.7917,15.9750,14.6500,15.4833,2291514
2023-12-04,15.6667,15.9167,15.0417,15.1333,690342
2023-12-05,15.1333,15.4167,14.7750,15.0250,503406
2023-12-06,15.0833,15.2417,14.5833,14.7167,488100
2023-12-07,14.8333,15.1417,14.6167,14.7500,537774
2023-12-08,14.7500,15.1417,14.6000,14.6333,349992
2023-12-11,14.8167,14.8917,14.4167,14.4417,182376
2023-12-12,14.4500,14.9750,14.0250,14.3333,548616
2023-12-13,14.4667,14.5333,14.2250,14.3000,138540
2023-12-14,14.3333,14.6583,14.2583,14.3333,368124
2023-12-15,14.5000,14.5000,14.1833,14.3667,224346
2023-12-18,14.3667,14.6500,14.2083,14.5583,240690
2023-12-19,14.3500,15.1083,14.3500,14.8250,429252
2023-12-20,14.6583,16.1500,14.5583,14.8500,3308820
2023-12-21,14.8333,15.4833,14.6667,15.1667,435612
2023-12-22,15.2833,15.3333,14.8333,15.0167,127068
2023-12-26,15.0167,15.3167,14.6667,15.0917,537054
2023-12-27,15.0833,15.2917,14.9833,15.0583,152022
2023-12-28,14.8500,15.1417,14.3083,14.6000,198822
2023-12-29,14.8167,15.0250,14.5417,14.8667,260142
2024-01-01,14.8667,15.4333,14.6750,14.9250,464874
2024-01-02,14.8333,15.0000,14.3667,14.5250,408030
2024-01-03,14.2167,16.2583,14.0500,16.0500,2826534
2024-01-04,16.1583,19.2583,16.0917,19.2583,11097588
2024-01-05,19.6667,23.1083,19.3000,22.9917,21774936
2024-01-08,22.9417,25.2833,21.6667,23.9917,34266582
2024-01-09,23.4917,24.0000,22.0417,22.5500,8430162
2024-01-10,22.6667,22.9667,20.3000,20.3000,5237316
2024-01-11,19.5917,20.9833,19.5917,20.4250,968094
2024-01-12,20.4250,20.5000,19.4083,19.6583,584634
2024-01-15,19.6583,20.6333,19.6500,20.6167,947790
2024-01-16,21.5333,21.6417,20.5167,21.1833,1370034
2024-01-17,21.4833,21.9833,20.6667,20.9000,422442
2024-01-18,20.6667,21.6667,20.5167,20.6500,167928
2024-01-19,21.1667,21.5833,20.3833,20.6000,206814
2024-01-23,20.8250,21.5167,20.5333,20.8583,565596
2024-01-24,21.4917,21.9000,20.8333,21.5833,1046646
2024-01-25,21.8333,22.3000,21.3833,21.9250,479904
2024-01-29,22.3333,22.9167,21.6833,22.0833,355266
2024-01-30,22.4833,22.4833,20.9833,21.0167,656724
2024-01-31,20.8333,21.4917,19.9667,20.8917,785748
2024-02-01,20.5083,21.1667,19.8500,19.8750,774792
2024-02-02,20.0000,20.1667,19.1667,19.4083,727428
2024-02-05,19.8250,19.8250,18.8917,19.0667,103218
2024-02-06,18.6667,19.8083,18.6667,19.5083,138900
2024-02-07,19.5000,20.4833,19.1667,20.3583,832686
2024-02-08,20.8333,20.8333,19.3417,19.3583,552648
2024-02-09,19.3417,20.3167,18.5667,19.6333,288942
2024-02-12,20.0000,20.0000,18.8250,19.0000,251346
2024-02-13,19.0000,19.4833,18.3750,19.0833,422604
2024-02-14,19.5833,19.8000,18.3833,19.3167,295824
2024-02-15,19.7083,20.2500,19.3167,19.8417,402360
2024-02-16,20.2500,20.2500,19.1667,19.3333,149754
2024-02-19,19.6667,19.9667,19.0167,19.5167,146676
2024-02-20,19.5000,20.0000,18.7500,18.8417,458532
2024-02-21,19.1417,19.5000,18.3333,18.6167,148044
2024-02-22,19.1583,19.1583,18.2583,18.3250,95712
