date,open,high,low,close,volume
2023-09-20,31.7000,32.3000,30.7500,31.1000,98772
2023-09-21,31.5000,31.8500,29.7500,30.1000,54905
2023-09-22,30.5000,32.4500,30.5000,31.7500,117638
2023-09-25,31.7000,33.4500,30.9500,31.7000,253230
2023-09-26,31.3500,32.2500,31.0000,31.1500,106270
2023-09-27,31.3000,32.6500,30.6500,31.7500,148074
2023-09-28,32.2000,32.4000,31.4500,32.1500,59335
2023-09-29,32.7000,32.7000,31.5000,31.7500,31835
2023-10-03,31.6500,31.8500,31.0500,31.5000,18673
2023-10-04,31.7000,31.8000,30.1000,30.6500,47624
2023-10-05,31.3500,32.2500,30.7500,30.9000,74836
2023-10-06,30.9000,31.4000,30.6000,31.1000,28870
2023-10-09,30.6000,31.5000,29.6500,30.1500,137601
2023-10-10,30.5500,33.0500,30.4000,32.6500,252063
2023-10-11,32.9500,34.4500,32.6500,32.9000,192860
2023-10-12,32.7500,35.5000,32.5000,34.6000,324569
2023-10-13,34.9000,35.0500,32.7500,33.1500,96547
2023-10-16,33.7500,33.9000,32.4000,32.5500,141718
2023-10-17,32.6000,33.4000,32.0000,32.2500,67114
2023-10-18,32.2500,32.8000,31.8000,31.9500,28645
2023-10-19,32.1500,33.6000,31.3500,32.0000,130366
2023-10-20,32.3000,32.4500,31.2500,31.3500,43604
2023-10-23,31.5500,32.1000,30.2500,30.3500,217304
2023-10-25,31.0500,31.5000,29.6000,30.2000,46961
2023-10-26,29.8000,30.8000,29.3000,29.9000,32289
2023-10-27,30.6500,32.3500,29.6000,31.4000,59885
2023-10-30,31.6500,31.8500,30.8000,31.0500,47346
2023-10-31,31.6500,31.6500,30.1500,30.5000,28811
2023-11-01,30.6500,32.0000,30.6000,31.0000,59672
2023-11-02,31.1500,31.6500,30.5500,30.9500,48665
2023-11-03,31.5000,31.9500,30.8000,31.5500,48001
2023-11-06,33.0000,34.0000,32.3500,33.7500,284375
2023-11-07,34.4500,34.4500,32.8500,33.1000,155323
2023-11-08,33.7000,34.2000,32.3500,32.6500,140767
2023-11-09,33.0000,38.7000,32.5500,38.2500,2182115
2023-11-10,38.5500,38.5500,36.3000,36.5500,462947
2023-11-13,36.3500,38.9000,36.3500,38.7000,549854
2023-11-15,40.0000,41.1000,38.9000,39.5000,677882
2023-11-16,39.9000,40.4500,38.0000,39.1500,266019
2023-11-17,39.6500,41.9000,38.8000,40.0500,572036
2023-11-20,41.4000,41.6000,39.2500,40.2000,383896
2023-11-21,41.0500,41.0500,38.4000,39.0500,101048
2023-11-22,39.6500,40.2000,38.0000,38.6500,185925
2023-11-23,38.3000,40.0500,38.3000,39.5500,109425
2023-11-24,40.1500,40.1500,38.1000,38.5000,77753
2023-11-28,38.6000,39.9500,37.5000,37.9500,170600
2023-11-29,38.6000,38.6000,37.2000,37.5000,82813
2023-11-30,38.2500,40.2500,36.6000,38.5000,344392
2023-12-01,39.4000,39.5000,37.9000,38.2000,89673
2023-12-04,39.2500,39.4500,38.3000,38.7000,57838
2023-12-05,39.7000,41.0000,38.2000,39.1000,242749
2023-12-06,39.8000,39.9500,38.6000,39.1500,132220
2023-12-07,39.7000,41.1000,38.9500,40.4500,328533
2023-12-08,40.8000,41.0000,38.5000,38.7500,269703
