date,open,high,low,close,volume
2023-09-18,121.4000,122.2000,118.7000,119.3000,294497
2023-09-20,119.3000,122.9500,118.0000,121.9000,423021
2023-09-21,121.9000,122.5500,119.0500,119.2500,194422
2023-09-22,119.7000,121.4000,117.5000,118.3500,261914
2023-09-25,118.3500,128.6500,118.3500,123.4500,1585799
2023-09-26,124.4500,124.6500,121.5500,122.6000,230549
2023-09-27,123.0000,123.0000,120.6500,121.2000,200119
2023-09-28,121.9500,123.5000,118.2500,119.0000,406543
2023-09-29,119.9500,120.8500,116.2500,118.6500,260905
2023-10-03,118.2500,119.3500,117.6000,118.5500,169628
2023-10-04,118.4500,120.3000,116.4000,117.6500,283839
2023-10-05,118.6500,120.0000,116.7000,117.0500,172248
2023-10-06,117.9000,119.9000,116.7000,117.4500,226643
2023-10-09,117.4500,118.3500,114.1500,114.7500,248396
2023-10-10,116.2500,117.2000,114.4000,116.4000,147699
2023-10-11,117.0000,118.9000,116.6000,118.2500,352301
2023-10-12,118.2500,119.8500,117.9000,118.9500,186335
2023-10-13,118.9500,120.0500,117.6000,118.2500,192579
2023-10-16,118.2000,120.9500,118.2000,118.8500,244772
2023-10-17,119.9500,121.8500,119.1500,120.2500,328146
2023-10-18,121.0000,122.9000,118.0000,118.8500,437957
2023-10-19,118.8500,118.8500,117.3000,117.8500,128118
2023-10-20,117.8500,118.5000,116.0500,117.1000,147340
2023-10-23,117.6500,117.6500,108.1000,108.8000,451044
2023-10-25,109.2000,111.6000,106.8000,108.8500,326983
2023-10-26,108.6500,109.3000,105.9000,108.7000,187112
2023-10-27,108.9500,111.5000,108.9500,110.8500,151868
2023-10-30,111.7000,112.6000,107.5000,108.1000,351649
2023-10-31,109.0000,109.5500,105.6000,106.2500,343697
2023-11-01,106.9000,107.4000,106.1500,106.4500,111254
2023-11-02,107.3000,108.5000,107.0000,107.8500,162634
2023-11-03,108.8000,110.7500,108.1000,109.4500,232350
2023-11-06,109.7000,112.3000,108.7000,109.8500,501788
2023-11-07,110.6000,110.7500,109.5000,109.6500,187064
2023-11-08,110.3000,110.4000,108.6500,109.1000,145971
2023-11-09,109.2500,109.9000,107.0000,107.9500,164766
2023-11-10,107.5000,109.7000,106.9500,108.2000,129429
2023-11-13,109.0000,110.0000,108.6000,109.6500,132040
2023-11-15,110.0000,110.6000,108.0000,108.5000,151686
2023-11-16,109.4500,109.4500,108.0000,108.3000,124908
2023-11-17,108.3000,111.5000,108.2500,109.1000,233102
2023-11-20,109.8500,110.6000,108.7000,110.1500,186730
2023-11-21,110.7500,110.9500,108.4000,108.8500,153979
2023-11-22,108.8500,109.4000,107.9000,108.7000,90590
2023-11-23,109.0000,114.3000,108.9000,112.6500,749598
2023-11-24,113.5000,113.6000,110.3000,110.6000,280807
2023-11-28,111.2000,111.7000,109.3000,110.1500,279879
2023-11-29,111.1000,111.2000,110.0000,110.2000,96079
2023-11-30,109.5000,111.8500,109.5000,110.8000,220922
2023-12-01,111.1000,111.6000,109.8000,110.0000,159461
2023-12-04,111.1500,111.5500,109.5500,109.7500,200352
2023-12-05,109.8000,110.9000,108.1000,108.4500,282521
2023-12-06,109.9000,110.5000,108.3500,109.2500,567599
2023-12-07,108.5000,109.8000,106.9000,108.8500,586920
2023-12-08,108.0000,108.7000,104.4000,106.7500,388642
2023-12-11,106.9500,108.5500,106.9000,107.8000,264826
2023-12-12,108.4000,109.5000,107.5000,108.5500,220561
2023-12-13,109.6500,109.6500,107.7500,108.5000,115540
2023-12-14,109.0000,110.6500,108.1000,108.6000,369001
2023-12-15,108.7500,109.5000,108.5000,108.9000,152275
2023-12-18,112.2500,113.7500,108.4500,109.5000,1408457
2023-12-19,109.4500,109.8000,108.4500,109.4500,213294
2023-12-20,110.3500,110.3500,106.3500,106.6500,352043
2023-12-21,106.6000,108.0000,105.9000,107.5500,222651
2023-12-22,107.9500,109.5000,107.6500,109.0000,206544
2023-12-26,110.0000,110.0000,108.1000,108.6500,154684
2023-12-27,108.7500,110.9000,108.7500,110.4500,341722
2023-12-28,111.0000,111.4500,110.2000,110.6500,239225
2023-12-29,110.6500,112.5000,110.4000,111.4500,638183
2024-01-01,112.4000,113.2500,110.9000,111.1000,437171
2024-01-02,111.0500,112.8000,110.1500,112.0000,326958
2024-01-03,112.0000,113.4000,111.3000,111.7500,289835
2024-01-04,112.7000,113.0000,111.4000,111.6000,190091
2024-01-05,112.5500,112.9000,110.0000,110.9500,217617
2024-01-08,112.4000,113.5000,111.0000,111.1500,365542
2024-01-09,111.9500,113.4000,110.4000,111.2000,346323
2024-01-10,112.0000,112.9000,111.0000,111.4000,166354
2024-01-11,111.5000,115.0000,111.5000,114.4500,475613
2024-01-12,115.5000,117.0000,114.4500,115.2500,554995
2024-01-15,115.5500,116.8500,113.4000,115.0500,267038
2024-01-16,114.7000,115.3000,111.5000,112.4000,337651
2024-01-17,111.0000,111.9500,108.9000,109.9500,186891
2024-01-18,109.9500,110.7500,107.6000,109.6500,204363
2024-01-19,110.2500,114.7500,109.7000,113.5500,277704
2024-01-23,113.5500,113.7000,107.7000,108.1000,373226
2024-01-24,106.0000,111.9000,106.0000,110.8500,152792
2024-01-25,112.0000,112.9500,110.0500,110.7500,244495
2024-01-29,111.7500,111.8000,110.1000,110.5000,194769
2024-01-30,110.2500,111.7500,108.9000,109.3000,271296
2024-01-31,109.0500,111.2000,109.0500,111.0000,145065
2024-02-01,111.0000,111.7000,110.7500,111.1000,143239
2024-02-02,111.0500,113.7500,111.0500,113.0000,390652
2024-02-05,113.5000,117.2000,112.2000,114.1500,857595
2024-02-06,114.2000,117.2000,112.8500,114.8500,736475
2024-02-07,115.0500,119.5500,114.5000,114.8500,1083903
2024-02-08,115.3000,115.8000,112.0000,113.7000,454225
2024-02-09,114.4500,114.4500,110.0500,111.2500,346803
2024-02-12,111.3000,111.9500,105.0000,107.0000,424259
2024-02-13,105.8000,106.4500,104.4000,106.0000,248546
2024-02-14,104.8000,108.1500,104.8000,107.7500,147392
2024-02-15,108.2500,109.1500,107.0000,107.2500,140165
2024-02-16,107.9500,108.9500,107.0000,108.2000,158095
2024-02-19,108.2000,111.0000,108.0000,108.5500,206348
2024-02-20,109.8500,111.9500,108.5000,109.6500,247171
2024-02-21,111.9500,117.2500,111.1000,114.1500,1300710
2024-02-22,115.8000,115.8000,112.0000,113.0000,339083
2024-02-23,114.9000,114.9000,112.5000,112.9500,197266
2024-02-26,113.2500,114.1000,111.1500,111.8500,151282
2024-02-27,112.5000,112.9000,110.7000,112.3000,145971
2024-02-28,112.8000,113.5000,108.5500,109.3000,412091
2024-02-29,108.1500,110.5000,108.1500,110.0000,211606
2024-03-01,109.5000,111.5000,109.5000,110.2000,135857
2024-03-04,111.0500,113.5000,109.6500,111.7500,347040
2024-03-05,111.8000,112.8000,108.2000,109.0000,271189
2024-03-06,109.3500,109.3500,105.5500,106.9000,270312
2024-03-07,107.0500,109.9500,106.5500,106.9000,138947
2024-03-11,107.8500,107.8500,104.4000,104.9000,190415
2024-03-12,104.2500,105.0500,101.6000,102.3500,208328
