date,open,high,low,close,volume
2023-09-18,5240.0000,5251.0000,5103.0498,5236.8999,83770
2023-09-20,5255.0000,5739.9502,5217.2998,5451.1001,599593
2023-09-21,5470.0000,5474.4502,5205.2500,5232.3501,152435
2023-09-22,5282.3501,5439.0000,5215.0498,5276.0498,217244
2023-09-25,5334.8999,5470.0000,5271.0000,5438.8999,155860
2023-09-26,5490.0000,5856.9502,5431.7998,5805.0498,544392
2023-09-27,5849.0000,6019.8501,5690.0498,5745.2500,487026
2023-09-28,5749.9502,5768.0000,5380.1001,5485.6001,377326
2023-09-29,5504.9502,5555.0000,5379.2500,5477.5498,134935
2023-10-03,5494.0000,5629.0000,5456.5498,5496.1001,117836
2023-10-04,5517.7002,5533.4502,5275.0000,5341.7998,130052
2023-10-05,5387.9502,5474.2002,5350.0000,5392.8999,97929
2023-10-06,5422.0000,5449.0000,5367.8999,5438.3999,51194
2023-10-09,5300.0000,5369.0000,5225.0000,5256.6499,75648
2023-10-10,5277.0000,5324.9502,5141.0000,5179.6499,88265
2023-10-11,5200.0000,5375.0000,5180.3999,5323.7998,88248
2023-10-12,5369.2998,5510.0000,5362.0498,5482.2002,106678
2023-10-13,5490.0000,5507.6499,5380.0000,5411.5498,49224
2023-10-16,5443.9502,5508.0000,5370.0000,5496.5000,57680
2023-10-17,5534.8999,5549.9502,5391.0000,5416.9502,42740
2023-10-18,5449.0000,5449.0000,5266.2998,5289.7998,74637
2023-10-19,5230.0000,5370.0000,5108.6001,5305.0000,143563
2023-10-20,5286.7002,5340.0000,5212.0000,5309.3999,61286
2023-10-23,5298.9502,5300.0000,5155.0000,5197.3999,269191
2023-10-25,5199.6001,5298.0000,4927.5498,4992.8501,126214
2023-10-26,4950.0000,5214.3501,4545.6499,5165.3999,539025
2023-10-27,5190.0000,5329.0000,4981.0000,5020.2998,170247
2023-10-30,5020.2998,5136.1001,4826.0000,5074.1001,174356
2023-10-31,5080.0000,5255.4502,5055.6001,5179.4502,110690
2023-11-01,5187.8999,5198.7002,5011.0000,5054.1001,81855
2023-11-02,5090.0000,5163.0000,5057.9502,5107.0498,65076
2023-11-03,5124.8999,5165.0000,5060.0000,5077.7998,62438
2023-11-06,5099.9502,5169.9502,5052.0000,5120.9502,59005
2023-11-07,5120.9502,5163.2002,5063.0000,5079.6499,42912
2023-11-08,5095.0000,5149.8999,5051.3999,5126.6001,49099
2023-11-09,5126.6001,5336.1001,5126.6001,5185.3999,66696
2023-11-10,5152.0000,5258.1001,5060.0000,5107.6001,67686
2023-11-13,5159.3501,5446.0000,5122.4502,5428.3999,200648
2023-11-15,5446.0000,5668.5000,5440.0000,5621.4502,179378
2023-11-16,5621.0498,5649.8999,5536.0000,5560.5000,75382
2023-11-17,5560.0000,5967.0498,5544.0498,5797.5498,369897
2023-11-20,5900.0000,5994.7002,5832.0000,5871.7500,130082
2023-11-21,5905.0000,5974.3999,5719.0498,5790.6499,91843
2023-11-22,5809.5000,5829.6499,5505.0000,5577.6499,123771
2023-11-23,5588.0000,5825.0000,5480.0000,5682.6499,144862
2023-11-24,5690.0000,5690.0000,5580.5498,5607.6001,73540
2023-11-28,5630.0000,5695.0000,5425.0000,5449.0498,144771
2023-11-29,5550.0000,5649.9502,5450.0000,5462.7998,116642
2023-11-30,5466.0000,5648.0000,5436.0000,5581.3999,132006
2023-12-01,5640.0000,5680.7998,5511.0000,5531.0000,95447
2023-12-04,5500.0000,5609.0000,5371.3999,5537.1001,375312
2023-12-05,5572.0000,5581.7002,5480.0000,5544.0498,100019
2023-12-06,5580.0000,5580.0000,5401.0000,5443.0498,78470
2023-12-07,5460.6001,5471.0000,5384.0000,5399.1499,75133
2023-12-08,5415.0000,5448.8999,5276.0000,5297.5000,81850
2023-12-11,5335.9502,5335.9502,5252.5000,5273.6499,89978
2023-12-12,5328.0000,5379.8999,5257.0000,5265.5000,62896
2023-12-13,5290.0000,5320.3501,5272.0000,5293.0498,51656
2023-12-14,5325.0000,5500.1499,5293.0498,5375.9502,163774
2023-12-15,5450.0000,5465.0000,5387.0498,5403.8501,73125
2023-12-18,5400.0000,5445.0000,5371.0000,5418.2500,60151
2023-12-19,5445.0000,5449.9502,5322.0000,5350.8501,126071
2023-12-20,5360.0000,5474.8501,5312.0498,5361.5000,205938
2023-12-21,5350.0000,5419.0000,5250.0000,5389.3501,88011
2023-12-22,5444.0000,5725.1001,5391.7002,5657.6499,322890
2023-12-26,5695.0000,5726.9502,5572.2998,5622.1001,77355
2023-12-27,5650.4502,5906.1001,5591.2002,5796.3501,146378
2023-12-28,5864.0000,6048.0000,5750.5498,5993.2998,347671
2023-12-29,6047.0000,6102.6001,5901.1499,6053.3999,238216
2024-01-01,6053.3999,6133.0000,6000.0498,6058.2500,70761
2024-01-02,6058.0000,6077.1001,5885.9502,6028.8999,89835
2024-01-03,6008.0000,6019.8999,5842.5000,5868.2998,68542
2024-01-04,5900.0000,5999.7500,5841.0498,5884.1499,72148
2024-01-05,5884.2002,5917.0000,5752.0498,5819.3999,85509
2024-01-08,5819.3999,5994.5498,5708.0000,5950.3999,120761
2024-01-09,5950.0000,6073.0000,5777.0000,5804.8501,129258
2024-01-10,5804.8501,5807.7002,5601.0000,5638.2998,134029
2024-01-11,5640.0000,5673.0000,5480.0000,5500.0498,180246
2024-01-12,5480.0000,5493.0000,5293.0000,5310.7500,232433
2024-01-15,5270.1001,5434.7998,5270.1001,5349.1499,165437
2024-01-16,5374.0000,5490.0000,5353.6001,5476.4502,102300
2024-01-17,5437.0000,5514.9502,5366.6001,5473.9502,71645
2024-01-18,5490.0000,5599.7500,5331.7002,5358.0498,101829
2024-01-19,5425.0000,5458.0000,5371.3999,5406.3999,44676
2024-01-23,5440.0000,5475.0000,5151.0000,5351.7002,97585
2024-01-24,5370.0000,5650.0000,5330.1499,5628.8999,145718
2024-01-25,5648.9502,5670.0000,5431.0000,5466.0498,56807
2024-01-29,5469.8999,5788.0000,5467.0498,5752.5498,125828
2024-01-30,5758.8999,6388.0000,5740.5000,6068.7500,784828
2024-01-31,6068.7500,6450.0000,5990.2998,6321.2998,706894
2024-02-01,6350.0000,6401.0000,6185.3999,6301.9502,139425
2024-02-02,6265.1499,6419.8999,6243.2500,6323.5000,111350
2024-02-05,6301.1001,6340.0000,6034.0000,6056.0000,115955
2024-02-06,6137.0000,6366.8501,6117.0000,6316.8999,146671
2024-02-07,6324.9502,6511.0000,6316.8999,6442.2002,121998
2024-02-08,6401.0498,6541.5498,6201.8999,6228.7500,79023
