date,open,high,low,close,volume
2023-09-22,506.2000,508.7000,499.0500,501.8000,21556
2023-09-25,502.0000,508.0000,497.0000,497.9500,28669
2023-09-26,498.0500,512.9500,497.9500,508.6500,24966
2023-09-27,509.2000,510.0000,497.1500,508.0000,36294
2023-09-28,510.9000,511.0000,501.0000,502.9500,32035
2023-09-29,502.9500,518.8500,501.4500,509.5000,34662
2023-10-03,512.9500,512.9500,502.3500,504.7000,28434
2023-10-04,504.4000,509.8500,500.2500,506.0000,19697
2023-10-05,504.0000,512.0000,499.1000,508.7000,27905
2023-10-06,510.0000,510.0000,497.3500,500.6000,29052
2023-10-09,500.0500,515.0000,489.9000,505.1500,101159
2023-10-10,505.0000,517.0000,495.1000,514.2500,98732
2023-10-11,516.8500,530.0000,512.0000,527.8500,100757
2023-10-12,529.8000,535.0000,518.0500,533.3000,100994
2023-10-13,535.8000,538.0000,522.0000,524.4500,47304
2023-10-16,527.0500,528.7000,521.0500,525.2000,26224
2023-10-17,531.9000,538.9500,525.0000,529.0000,31356
2023-10-18,531.6500,531.6500,516.0500,518.9500,24302
2023-10-19,515.1000,520.9500,513.0000,515.8500,14694
2023-10-20,515.8500,518.4500,507.1000,511.2500,17898
2023-10-23,514.9000,514.9000,497.0000,500.2500,35922
2023-10-25,495.5000,505.1500,486.2000,490.7500,31811
2023-10-26,495.1000,499.7500,475.6000,488.9000,113740
2023-10-27,490.1000,495.0000,482.0000,490.1500,40287
2023-10-30,498.0000,498.0000,483.2500,491.4000,28991
2023-10-31,490.6000,494.9000,482.1000,484.0500,30111
2023-11-01,484.0500,486.0500,480.0000,481.6000,13749
2023-11-02,484.0500,489.5500,482.0000,483.7500,15197
2023-11-03,486.0500,499.0000,482.0000,493.9000,26883
2023-11-06,494.6000,499.7500,482.2500,485.5500,43851
2023-11-07,486.8000,487.3000,481.2500,482.3000,22719
2023-11-08,484.7500,495.7000,483.7500,493.2500,29809
2023-11-09,495.5000,499.9500,479.0500,482.4000,32059
2023-11-10,486.9500,492.9000,481.6000,490.9500,24379
2023-11-13,507.7000,523.0000,496.5000,521.0500,200655
2023-11-15,524.9500,527.6000,511.0000,518.6000,63652
2023-11-16,522.5000,524.0000,512.5000,522.5000,42521
2023-11-17,522.5000,554.0000,518.7000,545.2500,229220
2023-11-20,545.2500,563.3500,540.5000,552.0500,131590
2023-11-21,552.1500,562.5500,540.0000,543.0000,50041
2023-11-22,544.1500,549.8500,526.1000,532.2000,73020
2023-11-23,532.2000,539.2000,527.0000,529.4000,36185
2023-11-24,529.5500,537.2500,522.1000,527.1000,43751
2023-11-28,527.5000,544.4000,522.4000,532.8000,39792
2023-11-29,535.5000,536.0000,522.0000,522.9500,23632
2023-11-30,525.6000,529.8500,513.1000,528.2500,45689
2023-12-01,530.0000,535.0000,521.2000,526.7000,25212
2023-12-04,527.9500,539.0000,521.5500,531.6500,41010
2023-12-05,533.9500,540.5000,520.1000,528.2500,51111
2023-12-06,528.2500,530.9000,520.1000,520.7500,25520
2023-12-07,521.0000,524.3000,505.2500,507.1500,73487
2023-12-08,509.6500,516.0000,500.0000,503.8500,57769
2023-12-11,510.0000,518.3000,505.8000,516.4500,49789
2023-12-12,516.5500,522.7000,512.0000,516.8500,38661
2023-12-13,516.8500,522.0000,515.1500,518.7500,18271
2023-12-14,519.8500,525.0000,515.6000,517.1000,45502
2023-12-15,517.1000,523.9500,508.1500,520.9000,47455
2023-12-18,525.0000,535.0000,523.8500,525.5500,58009
2023-12-19,534.9500,535.0000,518.8500,523.5000,31247
2023-12-20,526.1500,533.0000,505.0000,507.8000,87418
2023-12-21,501.0000,514.4000,497.5000,501.8000,58278
2023-12-22,505.0000,508.3500,494.0000,499.6000,80274
2023-12-26,505.9500,508.9500,499.6000,506.3500,33232
2023-12-27,507.8500,526.3000,504.3000,520.9000,71894
2023-12-28,520.9000,520.9000,507.0000,510.1500,40382
2023-12-29,515.2500,515.2500,506.0000,509.7000,20820
2024-01-01,515.9000,515.9000,503.9000,504.7000,38795
2024-01-02,506.2000,508.6000,500.0000,503.1000,38130
2024-01-03,501.0000,508.0500,498.0000,503.4500,37144
2024-01-04,506.0000,506.0000,499.7000,502.7500,26153
2024-01-05,505.3000,506.6000,500.0000,503.5000,27916
2024-01-08,503.5000,508.8000,498.6000,500.0500,27004
2024-01-09,498.4000,503.9500,498.0000,499.2000,22403
2024-01-10,500.9500,511.7000,495.1500,501.9000,46186
2024-01-11,506.0000,508.3000,490.1000,503.3500,42614
2024-01-12,505.0000,509.8500,501.0500,503.6000,32250
2024-01-15,509.9500,510.2500,500.3000,509.3000,45413
2024-01-16,504.2000,514.0500,504.2000,508.0000,45836
2024-01-17,500.1000,506.3000,495.0000,498.3500,41647
2024-01-18,499.9500,515.0000,492.2500,513.8000,51684
2024-01-19,515.0000,529.0000,512.1000,526.2000,86521
2024-01-23,530.7000,536.9000,490.0000,494.7000,162640
2024-01-24,484.9000,504.4000,480.3000,491.9000,100682
2024-01-25,491.0000,503.0000,485.0000,488.6000,81468
2024-01-29,489.9500,491.0500,473.9500,480.5500,94469
2024-01-30,486.4500,486.4500,462.3000,470.1000,87403
2024-01-31,470.1000,483.5500,466.2500,480.4500,48465
2024-02-01,480.0000,485.0000,475.7000,484.2500,23775
2024-02-02,485.0000,487.0000,470.0000,474.9500,50152
2024-02-05,480.0000,480.0000,461.0000,465.6000,92517
2024-02-06,467.9500,471.5500,460.7000,465.1500,33399
2024-02-07,467.5000,475.0000,466.0500,470.9500,35673
