date,open,high,low,close,volume
2023-09-18,25.9000,26.7500,25.0000,26.0000,50200
2023-09-20,26.0000,26.8000,25.5500,25.9500,14125
2023-09-21,26.6000,26.6000,25.5500,25.6000,18100
2023-09-22,25.7500,26.2000,25.5000,25.5000,14308
2023-09-25,25.6500,26.0000,25.5000,25.7500,11254
2023-09-26,25.9000,26.0000,25.0000,25.1000,60648
2023-09-27,25.2000,25.8000,24.9500,25.4000,19139
2023-09-28,25.2000,25.9500,24.8500,24.9500,25681
2023-09-29,25.5000,25.5500,25.0000,25.1000,12678
2023-10-03,25.0500,25.5000,24.2500,25.2500,31712
2023-10-04,25.2500,26.4000,25.0500,25.2500,33181
2023-10-05,25.2500,25.6000,25.0000,25.2500,16436
2023-10-06,25.2500,25.5500,25.1000,25.1500,15440
2023-10-09,24.1500,26.3500,24.1500,25.9000,87064
2023-10-10,26.7500,26.9000,25.5000,26.8000,276262
2023-10-11,27.0000,27.5000,27.0000,27.1000,127376
2023-10-12,27.7000,27.7000,26.1000,26.2500,64498
2023-10-13,26.1000,26.7500,25.6500,25.9500,68426
2023-10-16,26.4000,26.5000,25.6000,25.8500,62105
2023-10-17,25.9500,26.5000,25.6000,25.8000,124998
2023-10-18,25.7500,26.1000,24.6500,25.1000,63761
2023-10-19,25.5000,26.3500,25.0000,26.0500,99284
2023-10-20,26.4000,26.4500,25.0000,25.1500,81141
2023-10-23,25.1000,25.6500,23.9000,23.9000,166724
2023-10-25,24.0000,24.0000,22.7000,22.9500,51184
2023-10-26,22.9500,23.3500,22.0000,22.9500,109285
2023-10-27,23.1000,23.7500,22.7500,23.1500,86354
2023-10-30,23.4500,24.3000,22.8000,24.1000,78441
2023-10-31,24.7000,24.7000,24.0000,24.2500,103265
2023-11-01,24.2500,24.4500,23.5000,23.6500,30487
2023-11-02,24.2000,24.6500,23.7500,24.4000,39145
2023-11-03,24.6500,24.8000,23.9500,24.2000,53487
2023-11-06,24.0500,25.0000,24.0500,24.6000,38815
2023-11-07,25.0000,25.6500,24.7000,25.3500,90979
2023-11-08,25.8000,26.2500,24.1000,24.1000,232144
2023-11-09,24.6000,25.0000,23.5000,24.9000,140613
2023-11-10,25.0500,25.2500,24.5000,24.8500,19265
2023-11-13,25.8000,25.8000,24.9500,25.6000,80283
2023-11-15,25.6000,25.9500,24.3500,24.7000,107131
2023-11-16,24.8000,25.3500,24.3500,24.5000,36263
2023-11-17,24.9000,24.9000,24.1000,24.2500,55296
2023-11-20,24.8000,25.0500,24.4000,24.7500,46874
2023-11-21,25.1500,25.1500,24.2000,24.3000,36948
2023-11-22,24.9000,24.9000,24.0000,24.1500,68252
2023-11-23,24.3000,25.3500,23.6000,24.9500,270814
2023-11-24,25.5000,26.1500,24.7000,26.1500,422007
2023-11-28,26.3500,26.6000,25.5000,25.7000,113469
2023-11-29,26.3000,26.3000,25.3000,25.6000,29886
2023-11-30,25.8500,26.0000,25.0500,25.4000,44235
2023-12-01,25.9500,25.9500,24.7500,24.9000,98713
2023-12-04,25.6500,25.6500,24.7500,24.8500,98292
2023-12-05,25.1500,25.4500,24.5500,24.9000,60898
2023-12-06,25.2000,25.2000,24.5000,24.7500,49057
2023-12-07,25.0000,25.8500,24.9500,25.3500,101050
2023-12-08,25.7500,26.9000,25.2000,25.7500,197704
2023-12-11,26.0000,26.8000,25.5000,26.4000,115968
2023-12-12,26.4000,27.6500,26.0000,26.9500,324035
2023-12-13,27.6000,27.7000,26.4000,26.5500,159214
2023-12-14,27.0500,29.2000,26.8000,28.7000,538196
2023-12-15,29.0500,31.5500,28.2000,31.2000,1931193
2023-12-18,30.9500,31.3500,28.6500,29.9000,632188
2023-12-19,30.8500,31.4500,29.4500,29.8500,252240
2023-12-20,30.3000,30.9000,27.5500,28.3000,226766
2023-12-21,27.6000,29.3500,27.6000,28.6500,199822
2023-12-22,29.0000,30.4000,28.6000,29.0500,159634
2023-12-26,29.8000,31.2000,28.9000,30.0500,335890
2023-12-27,30.8500,31.2000,29.5500,29.7000,86289
2023-12-28,30.0000,30.4000,29.0000,29.2500,119266
2023-12-29,29.6000,29.6000,28.5000,28.6000,119346
2024-01-01,28.9500,29.4000,28.0000,29.1000,136446
2024-01-02,29.5000,29.9000,28.7000,29.4500,121069
2024-01-03,29.2500,29.4500,28.5000,28.8500,82475
2024-01-04,29.4000,29.4000,26.5500,27.5000,163355
