date,open,high,low,close,volume
2023-09-25,639.9000,639.9000,633.0000,636.7000,197306
2023-09-26,639.0000,646.4500,635.5500,641.8500,290636
2023-09-27,641.0000,642.0500,636.5000,638.6500,191185
2023-09-28,638.7000,644.7500,635.5500,638.1500,188953
2023-09-29,638.1500,643.7000,635.5500,637.4000,252801
2023-10-03,642.5500,653.9500,635.5500,643.3000,807375
2023-10-04,643.3000,660.8500,637.6000,648.7000,1060677
2023-10-05,657.9500,657.9500,638.0000,640.2500,538218
2023-10-06,645.0000,646.0500,640.0000,644.5500,325211
2023-10-09,638.0000,641.8500,630.3000,634.2000,366439
2023-10-10,634.9500,638.9500,634.0500,635.1500,197441
2023-10-11,638.5000,646.7500,637.5000,642.2000,238222
2023-10-12,643.9500,656.8500,641.1000,648.0500,628929
2023-10-13,646.0500,651.5000,646.0500,647.6500,187719
2023-10-16,645.0000,645.2000,637.6500,638.8000,351334
2023-10-17,640.0000,653.0000,638.8500,642.9000,592044
2023-10-18,644.9500,647.8000,639.0000,641.1000,308332
2023-10-19,640.3000,641.1000,636.1000,637.5000,175886
2023-10-20,636.0500,638.1000,624.4000,628.0500,361065
2023-10-23,628.1000,630.0000,615.5000,617.2000,335280
2023-10-25,617.2000,623.0000,605.0500,610.7000,351799
2023-10-26,610.8500,610.8500,599.0000,604.1500,450074
2023-10-27,609.0500,623.5000,609.0500,621.0000,191571
2023-10-30,621.0000,644.0000,617.4000,631.2500,503388
2023-10-31,631.9500,633.9500,609.0000,613.2000,428617
2023-11-01,628.0000,635.5000,616.0000,617.9000,676585
2023-11-02,621.0000,625.1000,617.1000,618.0000,229449
2023-11-03,621.3500,622.9500,618.5500,621.0500,192600
2023-11-06,624.9500,632.9000,622.0000,629.0000,278018
2023-11-07,629.9500,634.8000,628.0000,632.1500,344096
2023-11-08,633.9500,641.0000,630.8000,635.3500,300572
2023-11-09,636.9500,638.4000,626.1000,631.1500,308887
2023-11-10,629.1000,630.5000,625.5500,628.1500,136433
2023-11-13,639.9500,642.2000,634.0500,639.4500,267377
2023-11-15,641.9500,652.2000,636.1000,642.4500,408571
2023-11-16,644.8500,648.6000,640.5500,642.4000,279419
2023-11-17,642.4000,648.0000,636.7000,639.2000,336206
2023-11-20,641.9500,646.2000,639.0000,640.7500,203779
2023-11-21,643.0000,658.8000,641.0000,655.0500,969614
2023-11-22,660.0000,660.0000,648.0500,650.8000,338176
2023-11-23,651.4000,669.9000,646.2500,666.7500,1480523
