date,open,high,low,close,volume
2023-09-18,1385.8500,1389.9000,1360.0000,1367.2500,4935
2023-09-20,1367.0000,1367.2000,1336.2500,1342.2500,6812
2023-09-21,1349.0000,1362.0000,1320.0000,1324.4000,9382
2023-09-22,1330.0000,1366.0000,1305.0000,1342.1000,12857
2023-09-25,1344.0000,1348.8500,1306.1500,1311.8000,7455
2023-09-26,1335.0000,1335.0000,1307.0500,1313.8500,5614
2023-09-27,1326.3000,1326.3000,1306.0500,1313.0000,4075
2023-09-28,1324.0000,1325.0000,1300.0000,1303.1000,6343
2023-09-29,1313.0000,1347.9000,1303.0500,1323.6500,17089
2023-10-03,1323.6500,1323.6500,1301.0000,1309.2500,5847
2023-10-04,1311.1500,1325.0000,1296.6000,1320.9000,6853
2023-10-05,1318.5000,1340.0000,1306.9500,1335.7500,5961
2023-10-06,1323.7500,1385.0500,1320.0000,1366.7500,13229
2023-10-09,1359.9500,1360.0000,1303.2000,1314.0000,9557
2023-10-10,1320.6000,1332.0000,1313.0500,1322.7000,4233
2023-10-11,1324.1000,1334.9500,1311.0000,1320.5000,5078
2023-10-12,1322.0500,1328.8500,1313.0000,1317.8000,4331
2023-10-13,1324.4000,1335.0000,1318.0000,1320.0500,3186
2023-10-16,1326.7000,1328.3000,1315.0000,1319.8000,5565
2023-10-17,1322.0000,1332.3000,1310.1000,1322.0500,5026
2023-10-18,1328.6500,1328.6500,1305.0500,1317.4500,7510
2023-10-19,1320.0000,1320.0000,1292.0000,1295.8000,8896
2023-10-20,1295.8000,1305.9500,1250.1500,1268.7000,16754
2023-10-23,1254.0000,1266.1000,1220.6000,1228.3000,12231
2023-10-25,1233.8000,1247.8000,1179.0500,1203.7500,10361
2023-10-26,1203.7500,1204.9500,1149.1000,1182.4500,14033
2023-10-27,1195.2000,1228.2500,1175.0000,1202.5500,10880
2023-10-30,1162.0000,1240.6000,1150.0000,1214.5000,38743
2023-10-31,1203.1500,1230.7500,1168.0000,1220.4500,8352
2023-11-01,1220.4500,1235.0000,1214.0500,1225.8000,4017
2023-11-02,1225.9000,1259.9500,1222.0000,1252.0000,9439
