date,open,high,low,close,volume
2023-09-20,13.9500,14.1000,13.7500,14.1000,24948
2023-09-21,14.1000,14.5000,13.4000,13.9500,30032
2023-09-22,14.2500,14.2500,13.7500,14.0000,59226
2023-09-25,13.5500,14.4000,13.5500,13.9000,18463
2023-09-26,14.2000,14.4000,13.8000,14.0000,16897
2023-09-27,14.2000,14.2500,13.8000,14.0000,12224
2023-09-28,14.5000,14.5000,13.3000,13.9000,32613
2023-09-29,14.1000,14.4000,13.7000,14.2500,10625
2023-10-03,14.2500,14.2500,13.8500,14.1500,12383
2023-10-04,14.1500,14.1500,13.9000,13.9000,12314
2023-10-05,13.9000,14.2000,13.7000,13.9500,18601
2023-10-06,14.0000,14.1500,13.7500,14.1000,41696
2023-10-09,13.4000,14.5000,13.4000,14.0500,66651
2023-10-10,13.8500,14.6000,13.8500,14.3500,28454
2023-10-11,14.3500,15.0500,13.7500,15.0500,54952
2023-10-12,15.7000,15.8000,15.1000,15.4500,116500
2023-10-13,15.5000,16.2000,15.5000,16.2000,64292
2023-10-16,16.7500,16.8000,15.5000,16.0000,57232
2023-10-17,16.2000,16.2000,15.4000,15.5000,32640
2023-10-18,15.5000,15.9500,14.9500,15.3500,26778
2023-10-19,15.7000,15.7000,14.6000,15.2000,45718
2023-10-20,15.4500,15.7500,14.4500,15.6000,59634
2023-10-23,15.6000,15.9500,14.8500,15.2000,54806
2023-10-25,15.7500,15.7500,14.5500,14.7500,8603
2023-10-26,14.6000,14.6000,14.0500,14.5000,29430
2023-10-27,14.6000,14.8500,14.2500,14.7000,6297
2023-10-30,15.3500,15.4000,15.0000,15.4000,33810
2023-10-31,16.1000,16.1000,15.0000,15.2500,32404
2023-11-01,15.8500,15.8500,14.7000,14.9000,50786
2023-11-02,14.9500,15.3500,14.4000,15.0000,23977
2023-11-03,15.0000,15.7500,15.0000,15.7500,40418
2023-11-06,16.1000,16.1500,15.1500,15.9500,71769
2023-11-07,16.5000,16.7000,15.9000,16.7000,72827
2023-11-08,17.5000,17.5000,17.0500,17.5000,57875
2023-11-09,17.0500,17.9000,16.7000,17.0000,109009
2023-11-10,17.7500,17.8500,17.5000,17.8500,54270
2023-11-13,19.5000,19.6000,18.3000,19.6000,162486
2023-11-15,20.5500,20.5500,20.5000,20.5500,146666
2023-11-16,20.9500,21.5500,20.2000,21.5500,130213
2023-11-17,22.6000,22.6000,21.9000,22.6000,211763
2023-11-20,23.5500,23.7000,21.5000,21.8000,612959
2023-11-21,22.5000,22.5000,20.7500,20.7500,152022
2023-11-22,20.7000,20.7000,19.7500,19.7500,188778
2023-11-23,19.8000,20.7000,19.8000,20.7000,39206
2023-11-24,21.7000,21.7000,21.4500,21.7000,49069
2023-11-28,22.6000,22.7500,22.6000,22.7500,65437
2023-11-29,23.8500,23.8500,23.5000,23.8500,118565
2023-11-30,24.9500,25.0000,22.9000,25.0000,414587
2023-12-01,26.1500,26.2500,25.2000,25.8500,273070
2023-12-04,25.5500,27.1000,24.5500,24.5500,75111
2023-12-05,23.5500,23.5500,23.3500,23.3500,10005
2023-12-06,22.2000,22.2000,22.2000,22.2000,11100
2023-12-07,21.1000,21.5500,21.1000,21.1000,36207
2023-12-08,20.6000,22.1500,20.0500,21.9500,99048
2023-12-11,21.1500,22.9500,21.0500,21.2000,94222
2023-12-12,22.2500,22.2500,22.2500,22.2500,27037
2023-12-13,23.3500,23.3500,23.3500,23.3500,24373
2023-12-14,24.5000,24.5000,23.4000,24.5000,70989
2023-12-15,25.6500,25.7000,25.6500,25.7000,92722
2023-12-18,26.1000,26.5000,24.4500,25.4000,98533
2023-12-19,25.4000,26.6000,24.6000,24.8500,67222
2023-12-20,25.0000,25.7500,23.6000,23.7500,84212
2023-12-21,24.2000,24.7000,22.6000,23.7000,57240
2023-12-22,23.0000,24.0000,22.8000,23.6500,78973
2023-12-26,23.7000,24.4500,23.0000,23.5500,46586
2023-12-27,24.0000,24.7000,23.7000,24.7000,83652
2023-12-28,24.9000,25.9000,24.0000,25.3000,123929
