date,open,high,low,close,volume
2026-08-31,961.0000,1019.8000,900.0000,908.1500,17691142
2026-09-01,899.4500,899.9500,851.0000,866.2500,3757111
2026-09-02,865.0000,952.8500,857.0500,952.8500,4700620
2026-09-03,975.0000,979.9500,912.0000,922.7000,3652464
2026-09-04,922.7000,940.1000,894.0000,901.5000,942895
2026-09-07,908.8000,931.4000,878.1000,891.6000,1669696
2026-09-08,899.0000,909.9500,882.8000,893.4000,693093
2026-09-09,885.5000,926.2000,885.5000,895.3000,1284516
2026-09-10,910.2000,950.0000,890.8000,917.5000,2403694
2026-09-11,915.0000,915.0000,873.7000,886.1500,1169259
2026-09-14,886.1500,886.1500,886.1500,886.1500,0
2026-09-15,889.9500,889.9500,825.3000,832.2500,925392
2026-09-16,836.2000,851.4500,812.1000,833.0500,732576
