date,open,high,low,close,volume
2023-09-25,124.6000,127.5000,123.2500,124.3000,45374
2023-09-26,124.3000,125.3500,123.0500,123.2000,23948
2023-09-27,123.4000,125.5500,123.4000,124.1000,27036
2023-09-28,124.9500,125.7000,122.2000,122.4500,21778
2023-09-29,124.9500,124.9500,122.5000,122.7500,18752
2023-10-03,124.0000,124.8000,122.1500,123.2000,24784
2023-10-04,124.2000,124.6500,119.7500,122.0000,42059
2023-10-05,122.0000,124.6500,121.6000,121.9500,27560
2023-10-06,123.8000,132.0000,122.1000,129.3500,141220
2023-10-09,129.3500,129.3500,123.8000,126.1500,77354
2023-10-10,127.9000,127.9500,124.8500,125.9000,31237
2023-10-11,125.9000,128.3500,125.3000,125.8500,42751
2023-10-12,125.3000,126.8500,123.8000,124.2500,52569
2023-10-13,124.3000,126.0000,123.9500,124.4000,26565
2023-10-16,125.0500,130.6500,125.0000,129.2500,153301
2023-10-17,130.3500,131.8000,128.6500,130.0500,96889
2023-10-18,130.9500,132.0000,129.8000,130.3000,66368
2023-10-19,130.0000,131.0000,128.5500,130.5500,52386
2023-10-20,130.9000,132.4000,128.0000,129.5500,69954
2023-10-23,131.8500,131.8500,119.9000,123.9500,54592
2023-10-25,124.0000,127.0500,121.4000,124.4500,71450
2023-10-26,122.5000,127.9500,117.6500,124.5000,149679
2023-10-27,125.9500,130.0000,124.9500,128.1500,43751
2023-10-30,129.7000,129.7000,123.9500,125.8500,42390
2023-10-31,125.8500,128.4000,124.5500,126.6000,37076
2023-11-01,126.0500,128.9000,125.4000,128.2500,30824
2023-11-02,128.1000,130.6000,127.0000,127.6000,49593
2023-11-03,128.8000,129.6000,127.0500,128.0000,20996
2023-11-06,130.6000,130.6000,127.0000,128.6000,63959
2023-11-07,128.5000,134.6500,128.1000,133.1000,257339
2023-11-08,134.3500,136.0000,132.7000,133.7500,112014
2023-11-09,133.7500,133.9500,132.0000,133.0000,52964
2023-11-10,132.0000,135.9000,132.0000,133.6000,66389
2023-11-13,134.3500,136.8000,133.1000,134.9000,78039
2023-11-15,136.9000,137.9000,135.1000,135.7500,111846
2023-11-16,137.1000,137.1000,127.0000,130.2500,99818
2023-11-17,131.9500,134.5000,130.5000,132.1500,45706
2023-11-20,133.5000,134.9000,130.3000,134.3500,87548
2023-11-21,135.8000,137.0000,131.2000,133.0500,71749
2023-11-22,133.0500,135.6000,132.3000,134.6500,45479
2023-11-23,132.6500,135.0000,132.5000,134.6000,35520
2023-11-24,135.1500,135.5000,132.2500,133.4000,36153
2023-11-28,135.7000,135.7000,130.2000,132.4000,79148
2023-11-29,133.0000,134.1500,127.2000,130.4000,106298
2023-11-30,131.0000,135.9000,130.0000,132.0000,155212
2023-12-01,133.1000,133.7500,131.1000,131.6000,23187
2023-12-04,134.8000,134.8000,130.6500,131.8500,43009
2023-12-05,133.1500,133.7000,128.2000,129.8500,78047
2023-12-06,129.8500,133.4000,127.3000,132.6000,118803
2023-12-07,130.6000,133.5000,130.2000,130.8500,59185
2023-12-08,130.8500,131.9000,129.5000,129.9000,43332
2023-12-11,131.8500,132.5000,129.7500,130.1000,49957
2023-12-12,130.0000,130.9500,127.9500,128.1500,45285
2023-12-13,127.1500,129.9500,127.1500,128.1000,23500
2023-12-14,128.1000,142.8000,127.8500,140.1000,774294
2023-12-15,143.0000,146.9000,138.1000,140.5000,354479
2023-12-18,140.5000,141.7000,136.0000,137.8500,142815
2023-12-19,139.2500,143.0000,136.0500,138.7500,241018
2023-12-20,142.0000,142.2000,130.1000,132.1000,245012
2023-12-21,130.1000,134.6000,128.4500,130.8000,86081
2023-12-22,132.7500,133.5500,128.6000,129.7500,62559
2023-12-26,131.6500,131.6500,129.5500,130.0000,46505
2023-12-27,131.0000,132.0000,129.0500,129.5500,42994
2023-12-28,129.7000,130.9000,128.3500,129.1000,62644
2023-12-29,129.1000,130.5000,128.0500,129.1000,43902
2024-01-01,129.1000,129.9000,125.1000,127.9500,52090
2024-01-02,128.8500,130.0000,127.4000,128.7000,55384
2024-01-03,128.7000,130.0000,126.5500,127.6000,39615
2024-01-04,128.0000,130.0000,127.1000,128.9000,95210
2024-01-05,130.0000,130.9000,128.0000,129.2000,70525
2024-01-08,130.9500,155.0000,130.0500,153.4000,2385721
2024-01-09,155.0000,156.0000,144.2500,145.2500,761529
2024-01-10,146.9000,165.9500,145.0500,157.6500,1737919
2024-01-11,158.5000,159.0000,151.1500,155.4500,242796
2024-01-12,160.0000,170.8000,157.1000,161.4500,1074948
2024-01-15,161.4500,161.4500,161.4500,161.4500,0
2024-01-16,157.3500,163.0000,144.6000,150.1500,370713
2024-01-17,148.0000,171.6500,146.8500,165.7500,1747897
2024-01-18,168.0000,185.0000,160.0500,172.7000,1741563
2024-01-19,177.0000,186.4000,171.1500,182.1000,1156089
2024-01-23,180.0000,181.0000,156.0500,158.8000,508595
2024-01-24,164.0000,168.9500,157.1000,166.4000,290655
2024-01-25,167.9500,173.5000,165.7000,167.6500,189947
2024-01-29,169.9500,171.2000,159.4000,162.2500,248949
2024-01-30,164.6000,164.6000,157.6500,160.5000,163499
2024-01-31,158.3000,159.9500,155.0000,156.6000,48099
2024-02-01,159.4500,163.4000,149.4500,160.7000,49952
2024-02-02,160.0000,163.0000,156.3000,158.2000,121957
2024-02-05,158.2000,165.8000,151.0000,152.4000,58309
2024-02-06,152.6000,155.6000,151.1000,151.8000,37327
2024-02-07,151.9000,159.3500,144.2500,159.1500,140242
2024-02-08,156.0500,164.4000,156.0000,159.2000,67704
2024-02-09,160.5000,160.5000,152.0000,153.0500,46874
2024-02-12,151.4000,156.9000,146.0000,147.4500,46811
2024-02-13,148.0000,153.7500,145.0000,148.7500,19872
2024-02-14,146.0000,152.0000,145.8500,148.0500,25632
2024-02-15,146.4500,152.0000,146.4500,151.0500,26731
2024-02-16,153.0000,156.9500,147.0000,153.2000,66332
2024-02-19,154.4000,160.0000,154.1000,156.3500,82277
2024-02-20,157.9000,163.0000,152.1000,157.1000,57555
2024-02-21,157.1000,162.9500,153.2000,155.0000,38840
2024-02-22,155.1000,159.4000,149.4000,153.6500,87217
2024-02-23,156.8500,157.5000,150.0000,152.9000,56231
2024-02-26,154.3500,154.3500,147.5000,148.6500,39585
2024-02-27,148.0000,148.6500,144.4000,145.9500,46935
2024-02-28,145.9500,150.0000,139.3000,141.8500,61698
2024-02-29,141.9500,144.0000,139.4000,140.6000,21621
2024-03-01,141.1000,145.1000,139.7500,142.1000,48348
2024-03-04,145.0000,146.0000,142.0500,144.3500,42683
2024-03-05,146.8500,146.8500,140.0000,142.1000,55748
2024-03-06,145.9000,145.9000,136.3500,138.1000,69006
2024-03-07,136.4000,142.8000,136.4000,141.1500,55325
2024-03-11,141.1000,144.9000,137.0000,141.0500,66193
2024-03-12,141.0500,143.0000,136.5000,139.5000,50851
2024-03-13,141.9500,141.9500,132.5500,133.0500,94689
2024-03-14,132.6000,138.7000,130.3500,136.7500,42087
2024-03-15,138.0000,140.0000,136.0000,138.8000,33987
2024-03-18,138.5000,140.0000,134.4500,136.4500,26342
2024-03-19,135.0500,137.7000,133.8000,134.4500,25546
2024-03-20,134.5000,136.8000,131.0000,132.8500,44525
2024-03-21,135.0000,136.9500,130.0000,130.5500,34981
2024-03-22,130.9500,135.0000,130.5500,131.2000,49982
2024-03-26,131.4000,135.5000,130.0000,134.3000,111614
2024-03-27,134.9500,135.0000,130.0000,130.7500,76139
2024-03-28,137.2000,137.2000,130.0000,130.0500,71483
2024-04-01,133.9000,136.5500,133.0000,136.5500,56613
2024-04-02,141.0000,143.3500,137.5500,143.3500,33683
2024-04-03,149.0000,150.5000,145.0000,147.6000,71622
2024-04-04,149.9000,150.5000,142.6500,148.9000,60723
2024-04-05,149.0000,150.5000,146.1500,148.1500,64945
2024-04-08,150.6000,153.5000,146.0000,151.4500,119312
2024-04-09,152.3000,152.3000,143.9000,144.4500,48655
2024-04-10,144.4500,149.0000,143.6000,144.0500,66892
2024-04-12,144.0500,148.3000,143.0000,145.0500,13734
2024-04-15,144.0000,145.2500,139.0000,145.0000,40128
2024-04-16,138.5000,145.0000,138.5000,140.3000,24191
2024-04-18,141.9500,144.7000,137.0000,142.0000,43114
2024-04-19,141.4000,141.9000,139.5500,141.0000,15207
