date,open,high,low,close,volume
2023-09-18,76.2500,77.0000,75.0000,76.6500,5411
2023-09-20,76.0000,77.2000,74.3000,75.0500,6672
2023-09-21,76.9500,77.0000,74.1500,74.7000,8153
2023-09-22,75.7500,75.9000,73.3000,74.0500,10474
2023-09-25,74.5000,75.8500,74.4000,75.3500,8171
2023-09-26,74.3000,75.5000,73.8000,74.8000,7827
2023-09-27,75.5000,75.5000,73.8000,74.9500,16040
2023-09-28,74.9000,75.4000,73.1000,74.5500,11259
2023-09-29,75.2000,84.0000,73.1500,81.5500,93082
2023-10-03,80.4000,80.4000,76.8500,77.1000,24477
2023-10-04,76.4000,77.9500,76.0500,77.2500,15425
2023-10-05,77.6000,78.9000,76.0000,76.5000,6896
2023-10-06,76.8000,77.9500,75.8000,76.1000,9621
2023-10-09,75.8000,77.5000,73.5000,74.4500,18116
2023-10-10,74.5000,76.2000,74.5000,75.8000,14714
2023-10-11,76.8000,90.9500,74.9500,90.8000,778849
2023-10-12,92.0000,101.0000,87.3500,98.1500,795490
2023-10-13,96.0500,97.7500,92.0000,95.2500,136655
2023-10-16,94.0500,98.0000,92.8500,94.9500,178299
2023-10-17,96.9500,96.9500,90.2000,90.2000,21041
2023-10-18,90.0000,90.0000,85.7000,85.7000,6847
2023-10-19,83.2500,83.2500,81.4500,81.4500,6163
2023-10-20,79.9000,79.9000,77.4000,77.4000,8645
2023-10-23,73.7500,77.0000,73.5500,73.5500,8481
2023-10-25,73.4500,73.4500,69.9000,69.9000,3546
2023-10-26,66.4000,68.1000,66.4000,66.4000,5710
2023-10-27,64.0000,69.7000,64.0000,69.3000,9384
2023-10-30,72.1500,72.7500,69.0000,72.5000,3051
2023-10-31,73.0000,73.0000,69.1500,72.5000,1663
2023-11-01,74.0000,74.0000,70.0000,71.6500,1508
2023-11-02,71.6500,71.6500,68.1000,70.0000,3734
2023-11-03,70.0500,71.8000,67.4500,69.9000,2260
2023-11-06,71.0000,72.0000,68.7500,71.0000,2530
2023-11-07,68.5000,72.0000,67.4500,70.1000,8303
2023-11-08,69.9500,70.5000,68.0000,68.9000,2306
