date,open,high,low,close,volume
2023-09-26,699.3000,699.4000,676.0500,681.5500,92751
2023-09-27,684.0000,694.9000,671.6500,692.7500,97958
2023-09-28,690.0000,713.9000,687.1000,692.7000,157079
2023-09-29,693.7000,697.2000,685.0000,687.9500,63138
2023-10-03,688.2500,703.0000,676.9000,679.1000,67348
2023-10-04,685.0000,709.3500,665.0500,671.0500,236720
2023-10-05,675.4000,687.6000,652.8500,659.8000,102531
2023-10-06,664.9000,678.0000,658.0000,660.9000,89913
2023-10-09,660.9000,667.8000,652.1000,655.7000,83036
2023-10-10,660.7500,674.2500,658.0500,662.6500,68539
2023-10-11,671.0000,675.3500,658.5500,664.9000,42391
2023-10-12,667.6500,689.5000,662.2500,677.3500,113427
2023-10-13,677.0000,678.1000,664.7000,666.0500,46443
2023-10-16,669.7000,696.0000,666.8500,686.6500,137967
2023-10-17,688.0000,698.6000,687.8500,691.5500,85178
2023-10-18,694.9500,722.2000,683.1000,688.4500,328602
2023-10-19,689.9500,689.9500,677.6000,680.2500,68663
2023-10-20,680.2500,684.7500,667.2500,671.7500,66387
2023-10-23,671.7500,685.3000,647.6000,678.1500,191181
2023-10-25,686.0000,739.0000,682.4000,703.0500,717245
2023-10-26,704.8000,705.0000,670.3000,686.0000,121425
2023-10-27,688.0000,726.2000,688.0000,704.6500,186826
2023-10-30,702.3000,749.0000,694.0500,724.8000,286309
2023-10-31,724.3500,770.6000,713.4500,759.4000,352482
2023-11-01,750.0000,755.0000,744.0000,750.7000,138882
2023-11-02,759.7000,773.0000,751.7000,756.2500,81480
2023-11-03,757.4000,778.3000,750.0000,752.0000,152344
2023-11-06,755.8000,777.0000,755.6000,758.0000,125617
2023-11-07,760.9000,768.0000,747.0000,749.5000,73143
2023-11-08,754.5000,774.8000,720.0000,725.0000,648740
2023-11-09,732.0000,734.9500,695.2500,702.8000,114751
2023-11-10,700.0000,716.3500,696.1000,702.1000,92841
2023-11-13,702.5000,704.8500,691.5500,696.5000,57879
2023-11-15,698.4500,708.0000,697.5000,700.2000,56460
2023-11-16,703.7500,705.1000,678.2000,684.4500,61410
2023-11-17,686.9000,700.8000,681.1000,697.9000,52887
2023-11-20,705.5500,730.6000,702.5000,727.7500,172096
2023-11-21,731.4000,744.7500,721.0000,734.6000,120645
