date,open,high,low,close,volume
2023-09-18,580.6500,586.0000,571.8000,575.1500,133910
2023-09-20,572.0000,585.9500,568.7500,574.7500,111200
2023-09-21,575.9000,587.3000,560.0500,563.4500,187434
2023-09-22,567.3000,569.4500,547.8500,554.9500,273997
2023-09-25,557.9500,570.3500,555.2500,561.2500,150440
2023-09-26,561.5000,565.9000,551.8500,555.0500,124861
2023-09-27,555.3000,566.8500,555.0500,558.9000,99458
2023-09-28,561.8000,575.2000,558.5500,560.9000,150429
2023-09-29,560.9000,564.4000,554.2000,555.4000,264788
2023-10-03,555.9500,600.0000,553.5000,595.0500,400901
2023-10-04,595.0000,598.1000,568.3500,581.2000,373577
2023-10-05,586.0000,587.8000,563.0500,567.2000,270890
2023-10-06,570.9500,581.6500,562.5000,570.5500,204502
2023-10-09,562.0000,563.0000,550.9500,553.2500,169996
2023-10-10,562.8000,568.2000,557.0500,563.1000,219727
2023-10-11,567.7000,568.5000,551.8500,553.6500,229696
2023-10-12,567.9500,568.0000,543.2000,546.7500,297455
2023-10-13,544.4500,546.0500,526.0000,528.9500,828269
2023-10-16,532.0000,535.7500,525.4000,529.1500,392656
2023-10-17,532.5000,553.2500,528.3000,535.3500,445802
2023-10-18,537.3000,557.7000,529.0000,536.1500,527569
2023-10-19,532.6500,534.8000,528.4500,530.1500,288051
2023-10-20,531.9000,539.2000,524.3000,530.3000,320487
2023-10-23,530.0000,532.8000,498.3000,502.7500,401499
2023-10-25,509.7000,513.5500,477.4500,479.8500,389976
2023-10-26,474.8500,575.8000,456.1500,489.9500,3591889
2023-10-27,512.0000,512.0000,495.2000,503.7500,664717
2023-10-30,507.2000,510.5500,492.8500,498.8500,317733
2023-10-31,501.9500,503.1000,495.0000,496.2500,251533
2023-11-01,498.4000,499.3000,487.0000,492.7500,203357
2023-11-02,497.0000,503.4500,491.0000,493.8500,181552
2023-11-03,495.9500,502.0000,492.7000,498.7000,127730
2023-11-06,504.9000,507.6000,498.1500,503.3000,173551
2023-11-07,503.5500,514.2000,483.2500,493.7500,374590
2023-11-08,494.9500,504.0000,491.3000,502.2000,142534
2023-11-09,483.0000,491.3500,480.0000,486.7000,375019
2023-11-10,488.0500,491.9000,470.5000,472.3500,329700
2023-11-13,490.0000,490.0000,478.5000,480.8000,274193
2023-11-15,490.9500,493.5000,476.0000,481.0000,389589
2023-11-16,485.0000,485.0000,477.6000,478.8500,165455
2023-11-17,479.0000,481.9000,475.7000,476.8000,168057
2023-11-20,480.0000,481.0000,476.0000,478.0500,128547
2023-11-21,480.7500,480.7500,474.6000,477.4500,246832
2023-11-22,477.0000,480.2500,473.3500,476.8000,87962
2023-11-23,476.8500,480.0000,473.1000,478.6000,129162
2023-11-24,479.9500,486.9500,476.0000,479.0500,156023
2023-11-28,485.0000,506.7000,483.0000,500.6500,710837
2023-11-29,505.5500,512.3000,501.2000,505.6000,358963
2023-11-30,505.6500,513.9000,501.5500,504.2500,329669
2023-12-01,507.6500,510.7000,505.0500,506.3500,139986
2023-12-04,521.0000,522.0000,505.6000,508.8500,203875
2023-12-05,511.4500,514.8000,503.4000,505.1500,196979
2023-12-06,505.4500,508.5000,494.1000,496.4000,708863
2023-12-07,498.7500,514.3000,490.0000,510.1500,495751
2023-12-08,513.6000,521.0000,508.1000,514.3500,377961
2023-12-11,514.3500,526.4500,512.0000,521.8000,466473
2023-12-12,524.7000,534.4000,512.2000,527.1000,511219
2023-12-13,525.0000,527.5000,518.5500,520.9500,170498
2023-12-14,526.0000,537.4000,522.3000,524.1000,255457
2023-12-15,527.0000,528.6500,508.5000,512.3000,202920
2023-12-18,510.1500,521.0000,510.1500,518.3000,118651
2023-12-19,525.0000,547.9000,522.0000,541.9500,812230
2023-12-20,545.9000,557.6000,510.0000,515.0000,756966
2023-12-21,506.0000,538.0000,505.0000,535.1500,300359
2023-12-22,541.0000,559.2500,538.3500,551.4000,637573
2023-12-26,552.5000,562.8000,550.5500,557.0000,329197
2023-12-27,559.9500,576.0000,557.2000,565.9500,664399
2023-12-28,566.2000,568.5500,551.4500,553.2000,182039
2023-12-29,554.8000,559.9000,548.4500,551.1000,193904
2024-01-01,550.0000,556.0000,539.9500,544.2000,181698
2024-01-02,544.9500,545.7500,531.4000,535.7000,310990
2024-01-03,537.9000,547.5000,528.2000,538.0000,142898
2024-01-04,540.0000,554.0000,538.1000,550.1000,223729
2024-01-05,551.5000,556.9500,540.0500,545.2000,175079
2024-01-08,545.0000,546.7000,531.2500,532.8500,183977
2024-01-09,540.0000,551.8000,532.8500,549.5000,227925
2024-01-10,552.4000,553.9500,534.8500,540.8500,120307
2024-01-11,542.2000,548.1500,538.2000,544.9500,109646
2024-01-12,545.9500,554.7000,539.1000,541.6000,145814
2024-01-15,541.6000,541.6000,541.6000,541.6000,0
2024-01-16,558.9500,562.1500,543.9000,555.3500,160307
2024-01-17,550.0000,552.0000,540.0000,542.6000,132991
2024-01-18,542.0000,546.3500,526.0500,529.5500,227732
2024-01-19,534.8500,545.0000,524.7500,527.6000,517083
2024-01-23,530.1500,536.5000,512.2500,520.4000,168014
2024-01-24,520.4500,530.5000,519.0000,528.9500,235395
2024-01-25,534.9500,534.9500,521.0500,525.7500,68699
2024-01-29,526.1000,536.2500,520.2000,523.3500,142828
2024-01-30,524.9000,542.0000,524.8500,531.6000,164422
2024-01-31,534.9500,557.4500,534.9000,545.9500,314885
2024-02-01,549.0000,549.1000,522.9000,525.2000,196201
2024-02-02,520.0000,520.8000,505.0000,507.3000,379522
2024-02-05,507.3000,514.0500,495.0000,496.9500,246743
2024-02-06,499.8500,500.7000,472.5000,475.4000,531305
2024-02-07,470.1000,488.4000,469.0000,472.7500,434093
2024-02-08,480.0000,493.3000,472.1000,484.3500,2161682
2024-02-09,498.9000,498.9000,474.1000,480.9500,344927
2024-02-12,484.9500,493.0000,475.5000,484.9000,226614
2024-02-13,485.6500,485.8500,467.9000,473.6500,411540
2024-02-14,474.0000,486.8000,469.7000,474.7500,151374
2024-02-15,476.5000,489.0000,476.5000,487.6000,118632
2024-02-16,491.5000,517.6000,489.3500,507.9500,346480
2024-02-19,509.7000,515.0000,507.1000,509.4500,136886
2024-02-20,507.0500,508.0000,496.0500,501.5000,165760
2024-02-21,504.9500,511.0000,501.4000,504.2500,171050
2024-02-22,508.7500,510.0000,495.0000,501.5500,76062
2024-02-23,504.8500,519.1000,503.0500,512.9500,248382
2024-02-26,514.8000,527.9500,514.7500,523.5000,233645
2024-02-27,526.5000,527.6000,520.6000,524.1500,349975
2024-02-28,520.6500,525.9000,516.0000,521.9500,167192
2024-02-29,520.0000,535.0000,506.2500,530.9500,198289
2024-03-01,534.0000,535.0000,523.7000,525.2500,106150
2024-03-04,527.9500,529.0500,518.7000,526.2000,145023
2024-03-05,525.6000,526.0000,517.7500,523.8500,131645
2024-03-06,523.8500,524.9000,504.1000,514.9000,604463
2024-03-07,516.9500,521.7000,508.6500,520.2500,78284
2024-03-11,520.3000,522.9500,506.7000,520.1500,173073
2024-03-12,515.0000,522.0000,514.3000,520.1000,160257
2024-03-13,522.4000,522.4000,488.0000,496.5500,326961
2024-03-14,470.0000,500.5000,469.9500,494.9500,151049
2024-03-15,502.3500,504.7000,480.0000,485.8500,74525
2024-03-18,485.8500,494.4000,480.8000,484.0000,73621
2024-03-19,485.0000,507.8500,480.0000,496.6500,238589
2024-03-20,498.1000,499.9500,480.8500,490.5500,90113
2024-03-21,490.0000,501.4500,489.1000,497.1000,100999
2024-03-22,496.8000,506.4000,491.9500,494.6000,128183
2024-03-26,490.0000,500.9500,475.0000,481.9500,134006
2024-03-27,483.1000,495.5000,482.3000,493.2000,163421
2024-03-28,495.0000,497.8000,491.0000,494.0000,100632
2024-04-01,498.0000,508.7000,495.3000,506.3500,80916
2024-04-02,509.9000,517.0000,502.1000,513.1500,74340
2024-04-03,513.1500,519.8000,508.8500,518.1000,87943
2024-04-04,519.9000,523.5000,509.3000,520.1000,250574
2024-04-05,518.8000,523.0000,503.2500,517.9000,105174
2024-04-08,518.0000,524.1500,512.3000,519.7000,89155
2024-04-09,524.0000,524.0000,513.6000,518.9000,71768
2024-04-10,518.9000,530.0000,514.2500,520.7500,110110
2024-04-12,520.0500,524.0000,516.2500,519.7500,80375
2024-04-15,509.0000,514.5500,488.3500,505.0500,118125
2024-04-16,500.0000,524.7000,491.2000,515.9000,111765
2024-04-18,515.7500,525.6500,508.9000,510.5000,111072
2024-04-19,505.0000,521.4500,498.1000,517.8000,90032
2024-04-22,520.2000,529.9000,517.8000,521.1000,83281
2024-04-23,524.0000,524.0000,515.0000,515.6500,39607
2024-04-24,523.4000,544.8500,515.7500,531.2000,277756
2024-04-25,534.9000,549.0000,525.0000,528.0000,104787
2024-04-26,529.9000,534.4500,519.8500,520.7000,63403
2024-04-29,524.9000,527.1000,515.6000,517.0500,45206
2024-04-30,518.0000,521.9500,510.0000,517.3500,74862
2024-05-02,517.0000,520.9500,502.0000,507.0500,71980
2024-05-03,507.2500,513.9500,503.4000,512.1000,153248
2024-05-06,510.4500,517.4500,502.8000,511.6000,72424
2024-05-07,511.6000,518.8500,503.0000,514.8500,91026
2024-05-08,518.7000,520.8000,505.0000,514.8500,69645
2024-05-09,521.9000,521.9000,507.3500,516.0500,78664
2024-05-10,516.0500,519.2000,505.6000,507.5500,68247
2024-05-13,507.9000,508.9000,490.1000,492.3000,90509
2024-05-14,494.1000,497.9000,491.0000,492.3500,64055
2024-05-15,496.5000,497.9000,492.1000,493.0500,126124
2024-05-16,495.0000,503.9500,491.0000,493.1500,106480
2024-05-17,487.1000,497.0000,479.1000,488.6000,290563
2024-05-21,494.0000,508.0000,483.0000,493.9000,163617
2024-05-22,494.0000,503.5000,485.7000,486.9500,112889
2024-05-23,489.0500,490.8500,481.1500,482.8000,387073
2024-05-24,485.2000,485.6000,474.8500,483.0000,173861
2024-05-27,485.5500,491.8000,481.1000,482.6500,104512
2024-05-28,481.5500,487.4000,477.2000,485.1000,296932
2024-05-29,485.2000,491.0000,484.0000,487.1000,55397
2024-05-30,484.0000,489.0000,477.1000,480.4000,46197
2024-05-31,480.4000,488.0000,478.0500,486.7000,61115
2024-06-03,496.7000,497.7000,484.0000,489.4000,164513
2024-06-04,482.6000,494.0000,458.5500,471.4500,104870
2024-06-05,475.0000,483.9500,457.2000,471.7000,86845
2024-06-06,475.0000,485.0000,474.0000,479.9000,93252
2024-06-07,480.0000,495.0000,480.0000,491.0000,109939
2024-06-10,491.0000,500.0000,487.0000,488.5000,89101
2024-06-11,496.8500,512.0000,489.0500,509.9500,194590
