date,open,high,low,close,volume
2023-09-18,1021.5500,1029.9000,1019.0000,1024.7500,6397319
2023-09-20,1012.3000,1047.5000,1012.3000,1027.3000,13619788
2023-09-21,1026.6000,1033.6000,1012.1000,1014.4500,8156588
2023-09-22,1010.0000,1027.2500,1008.0000,1018.2500,7108110
2023-09-25,1015.2000,1026.0000,1005.1500,1018.9500,7123890
2023-09-26,1019.0000,1020.7000,1011.0000,1014.1500,6387615
2023-09-27,1009.9500,1027.9500,1004.0000,1025.2000,5158686
2023-09-28,1027.0000,1037.9500,1025.2000,1030.9000,15818489
2023-09-29,1030.9000,1041.0000,1024.5000,1036.7000,9528626
2023-10-03,1035.0000,1044.7000,1032.6000,1041.0500,11589322
2023-10-04,1035.3500,1037.0000,988.8500,995.5500,22584212
2023-10-05,1000.0000,1009.2000,988.9000,1003.2500,7950412
2023-10-06,1005.0000,1008.0000,999.4000,1000.9500,5289753
2023-10-09,994.8000,999.7000,988.2500,996.2500,6823214
2023-10-10,999.9000,1014.9500,996.5000,1012.2500,5728499
2023-10-11,1019.0000,1025.6500,1012.0000,1019.1000,7396783
2023-10-12,1022.0000,1031.0000,1014.9500,1018.4500,4920222
2023-10-13,1009.0000,1011.4500,992.2500,994.0500,12173162
2023-10-16,990.0000,1009.4500,990.0000,1004.8000,4646960
2023-10-17,1008.8500,1014.7000,1003.1000,1008.0500,6105067
2023-10-18,1010.0000,1014.1000,989.3500,992.8500,7818946
2023-10-19,979.7000,999.0000,979.7000,991.4000,4836625
2023-10-20,989.0000,992.9000,977.7500,980.3500,5664400
2023-10-23,980.0000,984.9000,961.1000,964.3000,5896695
2023-10-25,960.0000,974.0000,951.4000,955.4500,6957048
2023-10-26,956.0000,975.0000,952.7500,972.0500,17540495
2023-10-27,980.0000,1004.7500,973.3000,1002.7500,13443016
2023-10-30,1002.7500,1002.7500,979.2000,989.2000,5270567
2023-10-31,998.0000,998.0000,978.0000,981.8500,7816805
2023-11-01,977.8500,979.3000,968.0000,971.8000,5703984
2023-11-02,978.0000,988.3500,974.0000,982.9500,5193982
2023-11-03,986.0000,991.4000,981.5000,988.8500,4268048
2023-11-06,995.0000,1016.2000,993.1000,1009.4000,6552178
2023-11-07,1008.0000,1022.2000,1005.2500,1020.9000,6559859
2023-11-08,1024.0000,1026.9500,1015.6000,1021.7000,7643314
2023-11-09,1024.7500,1028.8500,1016.6500,1021.9000,4407935
2023-11-10,1017.9000,1031.0000,1016.6500,1029.2000,3294063
2023-11-13,1030.0500,1031.8500,1023.5000,1025.3500,5985481
2023-11-15,1045.0000,1045.0000,1031.5500,1041.3500,7240388
2023-11-16,1042.8000,1044.0000,1022.1500,1026.3500,6908825
2023-11-17,1014.9000,1020.0000,991.8500,994.3500,13268353
2023-11-20,981.0000,994.7500,980.3500,988.7000,8215656
2023-11-21,989.9500,997.5000,986.6500,991.8000,7061614
2023-11-22,991.0000,999.9000,988.0000,998.1000,6103988
2023-11-23,999.0000,1003.4000,995.4000,999.0500,3112891
2023-11-24,1002.0000,1010.7500,999.7000,1008.5000,6956281
