date,open,high,low,close,volume
2023-09-25,1089.0000,1120.0000,1045.0000,1109.9500,43287
2023-09-26,1100.0000,1109.0000,1078.0000,1097.2000,25826
2023-09-27,1095.0000,1117.0000,1070.0000,1111.1500,20508
2023-09-28,1110.0000,1139.9000,1099.3500,1106.5000,12914
2023-09-29,1147.8500,1147.8500,1096.1000,1102.4000,17511
2023-10-03,1101.1000,1109.4500,1084.1000,1091.8000,33011
2023-10-04,1099.9500,1099.9500,1067.0000,1069.9500,27894
2023-10-05,1084.9500,1085.3000,1061.0000,1064.7500,17033
2023-10-06,1077.9000,1077.9000,1055.0000,1060.7000,24019
2023-10-09,1065.9500,1066.0000,1046.5500,1058.7500,20985
2023-10-10,1068.7500,1087.0000,1054.3500,1060.3000,42948
2023-10-11,1070.0000,1075.0000,1057.5500,1063.1500,20567
2023-10-12,1072.0000,1077.7000,1058.6500,1068.4500,17733
2023-10-13,1075.0000,1079.0000,1065.4000,1073.6500,15558
2023-10-16,1144.0000,1148.0000,1070.0000,1083.2500,567950
2023-10-17,1083.7000,1105.0000,1083.7000,1089.6000,42382
2023-10-18,1127.1000,1145.0000,1090.0000,1122.6000,306615
2023-10-19,1110.9000,1119.5500,1094.0000,1099.1000,45953
2023-10-20,1103.0000,1111.5000,1065.0500,1074.3500,48958
2023-10-23,1075.0000,1084.4500,1035.9500,1045.8000,39939
2023-10-25,1054.9000,1061.5000,1021.0000,1033.3500,27381
2023-10-26,1015.0000,1032.9500,1007.0000,1013.1000,30528
2023-10-27,1014.9500,1050.0000,1013.1000,1044.2000,24235
2023-10-30,1044.2000,1057.0000,1030.0000,1035.4000,21776
2023-10-31,1037.0500,1046.3500,1009.0500,1020.4500,25684
2023-11-01,1020.4500,1033.2500,1015.3000,1024.1000,14295
2023-11-02,1035.0000,1047.2500,1025.9000,1039.1500,26681
2023-11-03,1026.0000,1051.0500,1026.0000,1042.8500,15867
2023-11-06,1042.0000,1064.8500,994.8000,1048.5000,191156
2023-11-07,1048.5000,1055.8500,1016.5000,1018.8500,69464
