date,open,high,low,close,volume
2023-09-18,418.0000,438.9000,418.0000,426.1500,630578
2023-09-20,432.0000,434.8000,422.2500,428.6000,603618
2023-09-21,432.6500,460.0000,429.0000,438.1500,1303102
2023-09-22,450.0000,474.3000,442.3000,464.7500,1713332
2023-09-25,475.4500,497.0000,471.3500,478.6000,1213794
2023-09-26,482.6000,482.6000,461.3500,465.5500,437436
2023-09-27,466.9000,474.5000,461.1500,463.1000,187730
2023-09-28,468.0000,469.7000,456.1000,462.0500,188638
2023-09-29,464.0500,482.0000,464.0500,472.6500,262247
2023-10-03,474.6500,497.4500,467.5000,490.4000,407753
2023-10-04,489.0500,490.3500,464.0500,473.9500,451224
2023-10-05,475.7500,482.3500,468.8000,472.9000,153596
2023-10-06,475.8000,481.2000,467.5000,469.8500,145014
2023-10-09,469.0000,469.0000,452.8500,462.2500,205685
2023-10-10,465.0000,475.0500,440.6000,450.8000,248560
2023-10-11,454.0000,472.4000,451.0000,470.1000,377912
2023-10-12,474.0000,489.9500,464.0500,484.9500,473739
2023-10-13,486.0000,501.9500,485.5500,497.7000,664338
2023-10-16,510.0000,513.4000,463.2000,468.3000,874035
2023-10-17,476.0000,476.0000,465.6500,468.2500,192529
2023-10-18,472.0000,472.3000,457.9000,459.5000,188134
2023-10-19,461.4000,471.0000,456.8500,461.6500,289336
2023-10-20,461.4000,461.7500,435.0500,439.4000,265881
2023-10-23,441.0000,442.7000,388.1500,394.0500,734873
2023-10-25,401.0000,421.8000,392.6500,415.8000,455753
2023-10-26,408.0500,415.7000,395.7000,400.2000,273634
2023-10-27,409.0000,423.4000,401.4000,413.4000,241588
2023-10-30,413.0000,430.9500,411.0500,422.0000,166371
2023-10-31,424.0000,426.6000,410.0000,413.7500,167587
2023-11-01,413.0000,416.2000,400.0000,402.2000,101684
2023-11-02,406.8000,421.0000,404.2000,416.9000,176088
2023-11-03,413.0000,420.5000,411.2000,413.2000,72980
2023-11-06,416.0000,419.0000,410.1500,415.5000,101589
2023-11-07,415.1500,421.3500,407.7000,409.1500,116412
2023-11-08,411.8000,415.0000,400.9000,403.0500,106144
2023-11-09,405.6500,407.9000,391.3000,396.4500,156283
2023-11-10,385.4000,390.7500,374.2500,377.3000,420519
2023-11-13,379.0000,406.4500,376.9000,397.5000,454707
2023-11-15,407.0000,407.0000,388.0000,390.9500,149983
2023-11-16,392.4000,395.3000,389.5000,392.8000,98051
2023-11-17,392.8000,407.0000,391.3000,395.3000,143401
2023-11-20,395.1000,396.9500,384.1000,384.8500,119750
2023-11-21,385.9500,388.9500,381.0000,384.2500,90669
2023-11-22,385.0000,393.9000,378.7000,385.3000,108032
2023-11-23,387.9500,390.2500,379.0000,380.6000,106544
2023-11-24,384.5000,384.5000,377.5000,378.5500,64817
2023-11-28,378.5500,381.4500,374.9500,376.2500,70103
2023-11-29,379.4500,384.5000,375.5000,378.9000,81749
2023-11-30,380.2000,390.6500,378.5000,388.1500,152212
2023-12-01,386.3500,391.9500,384.0000,385.2500,78663
2023-12-04,390.0000,390.0000,378.7000,381.0000,94583
2023-12-05,383.7000,388.2500,370.0000,372.4500,168753
2023-12-06,375.7000,377.8000,371.0000,374.1500,68366
2023-12-07,376.0000,376.0000,368.8000,374.2000,93319
2023-12-08,376.5000,377.7000,368.0500,373.1000,67586
