date,open,high,low,close,volume
2023-09-25,2245.1499,2250.8999,2210.8501,2239.1001,36277
2023-09-26,2245.3999,2258.9500,2221.0000,2250.7500,46648
2023-09-27,2250.7000,2259.6001,2226.2500,2240.2500,36991
2023-09-28,2248.1499,2258.8999,2178.4500,2184.1001,39801
2023-09-29,2199.0000,2214.9500,2170.0000,2174.2500,37271
2023-10-03,2185.4500,2185.4500,2155.0000,2176.6001,30205
2023-10-04,2165.0000,2230.0000,2161.1001,2196.1499,66170
2023-10-05,2196.0000,2218.0000,2188.8999,2215.4500,37480
2023-10-06,2215.4500,2223.0500,2192.6499,2216.8999,47930
2023-10-09,2195.0500,2206.0000,2166.8999,2193.0500,42461
2023-10-10,2186.0000,2215.0000,2183.1001,2211.6499,35776
2023-10-11,2215.0000,2238.0000,2212.0000,2231.8000,36202
2023-10-12,2231.5500,2250.0000,2205.0500,2219.3000,37528
2023-10-13,2205.0000,2221.8999,2190.0000,2197.1001,20565
2023-10-16,2199.9500,2209.1001,2185.0000,2192.8501,26444
2023-10-17,2204.2500,2214.6499,2192.0000,2195.8000,12723
2023-10-18,2195.8000,2206.2000,2186.8501,2194.7500,20372
2023-10-19,2180.0000,2210.2500,2128.8999,2160.9500,35951
2023-10-20,2177.0000,2177.0000,2120.0000,2125.6499,25510
2023-10-23,2129.8999,2139.0000,2091.0500,2101.3000,24300
2023-10-25,2101.3000,2121.7500,2046.3500,2055.0000,42016
2023-10-26,2055.0000,2056.0000,2008.6500,2030.1500,42443
2023-10-27,2031.0000,2105.0000,2031.0000,2093.0500,22781
2023-10-30,2099.8999,2099.8999,2033.1000,2038.6500,29091
2023-10-31,2048.3501,2050.0000,2032.0500,2045.6500,17838
2023-11-01,2049.9500,2050.0000,2030.0000,2034.8500,14967
2023-11-02,2045.0000,2069.0000,2020.0000,2045.2000,29921
2023-11-03,2057.5000,2067.8501,2040.2000,2041.7000,13951
2023-11-06,2061.8501,2110.0000,2043.7500,2088.9500,54127
2023-11-07,2089.8000,2097.6499,2065.0000,2075.8501,22935
2023-11-08,2075.8501,2109.0000,2059.6499,2064.4500,41529
2023-11-09,2030.0000,2030.0000,2005.2500,2010.7000,72181
2023-11-10,2000.0000,2053.3999,2000.0000,2025.0000,46964
2023-11-13,2041.0000,2066.0000,2016.8500,2031.7500,28612
2023-11-15,2044.0000,2050.0000,2015.0000,2024.6000,41140
2023-11-16,2024.6000,2079.0000,2024.6000,2035.3500,49238
2023-11-17,2048.9500,2060.5500,2005.1000,2046.1000,40927
2023-11-20,2050.0000,2067.9500,2022.0000,2029.6000,37389
2023-11-21,2044.8500,2049.0000,2027.0500,2030.1000,18456
2023-11-22,2030.9500,2039.0000,2017.9500,2029.7000,26349
2023-11-23,2039.9500,2040.0000,2015.0000,2018.8500,31359
2023-11-24,2020.1000,2034.2500,2017.0000,2019.4000,19732
2023-11-28,2024.9500,2040.0000,2005.0500,2015.0500,32630
2023-11-29,2015.4500,2028.9000,2011.1500,2018.6000,27695
2023-11-30,2030.0000,2031.0000,2013.1000,2016.8000,29202
2023-12-01,2030.0000,2037.8000,2008.6000,2017.7000,30507
2023-12-04,2041.9500,2042.0000,2019.0000,2022.0000,27921
2023-12-05,2025.0000,2073.2500,2025.0000,2056.8000,82707
2023-12-06,2069.2500,2375.0000,2061.0000,2307.6001,1769793
2023-12-07,2290.0000,2368.9500,2258.0500,2347.2500,346907
2023-12-08,2350.0000,2361.3999,2270.6001,2296.8000,115221
2023-12-11,2299.8999,2300.0000,2240.0000,2267.2500,98062
2023-12-12,2267.9500,2294.0000,2221.4500,2232.6499,72500
2023-12-13,2243.8000,2249.8000,2203.2500,2235.8501,48245
2023-12-14,2250.0000,2279.0000,2220.0000,2224.3000,51791
2023-12-15,2224.9500,2390.0000,2224.9500,2345.3501,465839
2023-12-18,2358.8000,2449.8999,2352.5500,2398.8999,315176
2023-12-19,2421.0000,2462.0000,2400.0000,2412.8000,117708
2023-12-20,2412.8999,2440.0000,2250.0500,2272.7000,155537
2023-12-21,2268.0000,2386.5000,2229.0000,2365.5500,125373
2023-12-22,2390.0000,2415.0000,2325.8000,2365.2000,67027
2023-12-26,2410.0000,2650.0000,2395.5000,2614.6001,1412772
2023-12-27,2645.0000,2725.0000,2615.0000,2669.9500,729154
2023-12-28,2669.9500,2669.9500,2591.1001,2608.2000,223938
2023-12-29,2620.0000,2689.8999,2585.1001,2668.5000,309097
2024-01-01,2675.0000,2735.0000,2657.3000,2697.6499,237557
2024-01-02,2697.6499,2719.5000,2590.0000,2611.3501,236949
2024-01-03,2625.0000,2625.9500,2580.2500,2591.7000,83053
2024-01-04,2608.0000,2710.0000,2595.0500,2672.2000,257622
2024-01-05,2689.0000,2689.0000,2607.9500,2630.3501,103094
2024-01-08,2649.8999,2649.8999,2555.0000,2572.6001,92867
2024-01-09,2600.4500,2630.5000,2510.3501,2526.8999,91240
2024-01-10,2529.9500,2540.0000,2488.0000,2507.4500,83772
2024-01-11,2525.0000,2532.1001,2480.7000,2496.6499,48967
2024-01-12,2510.3999,2586.0000,2503.6001,2554.3501,109057
2024-01-15,2580.0000,2587.7000,2498.0500,2504.6001,64258
2024-01-16,2525.0000,2528.6001,2440.0000,2491.6499,73260
2024-01-17,2456.2000,2484.2000,2441.0000,2454.6001,50995
2024-01-18,2467.6499,2482.8999,2334.0000,2395.7000,110044
2024-01-19,2424.0000,2508.7000,2417.6001,2475.6499,59242
2024-01-23,2467.0500,2474.7000,2355.0000,2360.3999,80226
2024-01-24,2375.3000,2412.3000,2317.5500,2387.9500,62033
2024-01-25,2403.7000,2405.0000,2359.1001,2366.4500,25877
2024-01-29,2378.6001,2380.0000,2336.2000,2349.8501,34971
2024-01-30,2351.0000,2360.3999,2290.0000,2299.2500,42846
2024-01-31,2299.5000,2494.9500,2279.0000,2438.7000,217630
2024-02-01,2399.0000,2440.4500,2355.0000,2387.8999,74698
2024-02-02,2389.4500,2409.7000,2320.0000,2326.6499,56848
2024-02-05,2321.0000,2324.3501,2230.8501,2252.1001,81023
2024-02-06,2250.0000,2305.0000,2242.0000,2277.1001,50318
2024-02-07,2277.1001,2292.8501,2248.0000,2259.4500,36882
2024-02-08,2259.4500,2337.8501,2241.0000,2260.5000,59108
2024-02-09,2260.5000,2279.0000,2173.0000,2200.8000,71685
2024-02-12,2202.3501,2233.0000,2175.0000,2182.8000,55019
2024-02-13,2187.0000,2196.7500,2132.3999,2182.5500,42654
2024-02-14,2156.0000,2178.0000,2141.8000,2169.4500,41918
2024-02-15,2180.0000,2278.9500,2172.3000,2234.5500,75884
2024-02-16,2271.0000,2336.9500,2234.0000,2266.3000,73839
2024-02-19,2268.8501,2324.7500,2247.0500,2291.0500,52394
2024-02-20,2289.9500,2319.6499,2275.0000,2303.2000,34747
2024-02-21,2312.0000,2345.0000,2277.2000,2292.5000,60787
2024-02-22,2292.5000,2300.7000,2260.0000,2267.8501,19872
2024-02-23,2270.0500,2280.1499,2225.0000,2238.0500,37834
2024-02-26,2259.0000,2259.0000,2205.0000,2246.4500,45869
2024-02-27,2217.1499,2265.0000,2204.4500,2216.5500,35517
2024-02-28,2216.5500,2229.1499,2180.0000,2185.6499,24201
2024-02-29,2176.0000,2194.0000,2152.0000,2173.7500,29538
