date,open,high,low,close,volume
2023-09-25,2552.7000,2578.8999,2535.4500,2562.3501,316861
2023-09-26,2555.0000,2572.7500,2542.8000,2555.2000,97834
2023-09-27,2553.9500,2565.0500,2512.8999,2555.8000,152126
2023-09-28,2555.8000,2570.8999,2515.9500,2544.7000,229380
2023-09-29,2532.5000,2568.7500,2517.8000,2557.8000,340383
2023-10-03,2557.4500,2557.4500,2478.1499,2518.2000,160421
2023-10-04,2522.0000,2538.1499,2497.1001,2529.1001,94099
2023-10-05,2529.0000,2610.0000,2526.8999,2585.2500,309033
2023-10-06,2598.0000,2598.0000,2553.8501,2562.0500,77637
2023-10-09,2511.0000,2553.2500,2511.0000,2543.2500,167254
2023-10-10,2543.0000,2579.9500,2540.0000,2566.6499,170493
2023-10-11,2574.8000,2604.0000,2567.0000,2586.3000,274965
2023-10-12,2590.0500,2604.7500,2581.0000,2595.3501,161807
2023-10-13,2588.0000,2618.0000,2572.7000,2585.2500,124851
2023-10-16,2575.5000,2599.8000,2531.1001,2594.7000,228937
2023-10-17,2612.0000,2637.0000,2596.8501,2616.5000,260441
2023-10-18,2614.0500,2627.3999,2566.1001,2587.3000,165439
2023-10-19,2567.0500,2589.0000,2548.0500,2576.1001,105214
2023-10-20,2571.5500,2581.6499,2528.3999,2540.7500,204557
2023-10-23,2498.9500,2590.7000,2488.8999,2566.8999,1026913
2023-10-25,2564.1001,2640.0000,2555.0000,2592.8501,821381
2023-10-26,2586.0000,2587.0000,2516.3000,2556.0000,563889
2023-10-27,2560.0000,2617.4500,2557.0500,2599.6001,207553
2023-10-30,2608.0000,2608.0000,2563.3501,2576.6499,325343
2023-10-31,2579.6001,2595.8501,2545.0500,2553.8000,190106
2023-11-01,2567.2000,2575.8000,2547.7000,2559.0000,162750
2023-11-02,2574.0000,2587.6499,2530.3999,2538.9500,137560
2023-11-03,2545.6499,2553.9500,2533.1499,2543.6499,147094
2023-11-06,2551.1001,2579.5000,2545.0000,2565.4500,365431
2023-11-07,2564.8999,2567.8501,2546.5500,2558.8501,159650
2023-11-08,2563.2000,2628.5000,2558.8999,2600.5000,507671
2023-11-09,2606.8999,2616.9500,2566.4500,2584.1499,88418
2023-11-10,2580.0000,2583.7500,2547.0000,2566.5500,103882
2023-11-13,2572.4500,2582.0000,2540.0000,2573.4500,177737
2023-11-15,2591.0500,2656.0000,2585.3501,2634.8000,399100
2023-11-16,2634.9500,2682.7500,2623.6499,2653.9500,466453
