date,open,high,low,close,volume
2023-09-25,1899.9250,1905.0000,1858.8000,1871.0250,16926
2023-09-26,1880.0000,1904.9000,1823.7750,1838.8250,41096
2023-09-27,1830.1500,1848.3250,1810.6250,1817.3500,25210
2023-09-28,1817.5000,1849.5000,1780.0500,1786.9000,31478
2023-09-29,1799.9500,1829.0250,1767.5500,1802.8750,39360
2023-10-03,1824.0000,1867.4750,1806.6250,1826.7250,27546
2023-10-04,1835.8750,1845.0000,1790.0000,1807.3000,20144
2023-10-05,1816.3500,1859.9250,1812.5500,1842.8500,32258
2023-10-06,1850.0000,1930.7000,1844.0500,1921.4500,43284
2023-10-09,1921.4500,1934.0250,1839.3250,1850.2000,28434
2023-10-10,1858.0000,1915.0000,1839.9750,1898.4750,33496
2023-10-11,1909.1750,1918.4750,1875.0000,1883.6500,21716
2023-10-12,1890.7250,1909.3750,1837.5000,1900.0000,34572
2023-10-13,1878.0000,1903.3000,1840.0000,1873.6500,56136
2023-10-16,1884.0250,1922.7250,1875.0000,1885.8500,17304
2023-10-17,1895.3000,1915.0000,1890.0750,1907.8000,13452
2023-10-18,1911.8250,1933.2500,1900.5000,1920.7250,16970
2023-10-19,1900.3000,1919.5000,1882.0750,1908.8500,61786
2023-10-20,1918.4000,1936.2250,1858.3500,1904.2250,27104
2023-10-23,1909.0000,1922.2500,1823.5000,1850.5000,41596
2023-10-25,1850.5000,1892.2500,1760.5000,1800.9250,42912
2023-10-26,1773.9000,1857.4750,1712.5000,1837.7750,63522
2023-10-27,1845.0000,1884.3750,1818.6250,1874.9750,24142
2023-10-30,1885.5000,1990.0000,1859.5000,1903.2500,131302
2023-10-31,1912.5000,1923.2500,1867.7500,1874.1250,33762
2023-11-01,1874.5000,1904.0000,1845.0500,1882.2750,28666
2023-11-02,1891.7000,1914.5000,1858.2500,1896.8000,16922
2023-11-03,1895.0000,1907.0750,1794.0000,1826.9750,50778
2023-11-06,1834.9750,1876.6750,1826.0250,1839.1500,23158
2023-11-07,1844.9250,1894.0000,1836.7250,1844.9250,33266
2023-11-08,1862.2500,1870.9000,1837.5000,1846.0500,14196
2023-11-09,1846.5000,1865.5750,1807.4500,1818.1500,22114
2023-11-10,1803.5000,1831.4750,1785.5000,1789.8500,29462
2023-11-13,1854.0000,1854.0000,1804.7750,1813.5250,27766
2023-11-15,1832.9500,1845.0000,1804.5000,1808.1000,33168
2023-11-16,1821.7500,1851.1000,1805.0000,1840.9000,40274
2023-11-17,1835.0000,1860.7000,1786.5000,1798.9000,138418
2023-11-20,1824.5000,1926.5000,1812.8250,1827.8000,120170
2023-11-21,1838.3250,1857.5000,1822.0500,1839.6500,45264
2023-11-22,1840.0000,1859.0750,1832.5000,1839.7000,21956
2023-11-23,1848.9000,1915.0000,1845.1750,1878.3750,111456
2023-11-24,1893.4750,1898.5000,1860.0000,1868.6250,28416
2023-11-28,1910.5000,1937.0000,1875.0000,1879.6750,75366
2023-11-29,1889.0750,1912.3500,1877.0250,1907.2000,47056
2023-11-30,1897.5500,1936.9750,1891.0000,1896.3000,50236
2023-12-01,1905.8000,1924.9750,1894.2750,1912.9250,29808
2023-12-04,1939.0000,2066.3501,1915.6250,2000.9250,187078
2023-12-05,2034.0000,2049.5000,1925.0000,1935.0500,92776
2023-12-06,1960.5000,1974.0000,1925.5000,1935.4000,50242
2023-12-07,1931.5000,1968.9250,1907.5250,1947.1500,37688
2023-12-08,1947.2500,1972.5500,1930.0000,1948.1250,43794
2023-12-11,1954.5000,1990.1250,1948.1500,1985.1750,29320
2023-12-12,1990.0000,1997.2000,1964.9750,1973.6250,12722
2023-12-13,1983.4750,1998.6250,1961.0250,1968.3000,45840
2023-12-14,1970.0000,1983.9500,1947.0250,1954.6500,24746
2023-12-15,1956.2750,1975.3500,1940.6250,1958.4750,20284
2023-12-18,1968.2750,1994.5250,1960.5000,1983.9000,34778
2023-12-19,1975.0000,1995.0000,1962.6500,1968.2000,32792
2023-12-20,1980.0000,2019.5000,1925.5000,1936.5000,101338
2023-12-21,1905.0000,1957.5000,1896.2750,1949.7750,22572
2023-12-22,1955.0000,2045.0000,1955.0000,2035.7500,105550
2023-12-26,2055.0000,2339.9751,2045.8500,2310.3750,465284
2023-12-27,2374.5000,2400.0000,2200.5000,2381.8000,355016
2023-12-28,2381.8000,2450.0000,2291.0500,2431.6250,261228
2023-12-29,2439.8000,2440.5000,2387.5000,2416.3750,75930
2024-01-01,2419.9751,2480.0000,2394.2500,2468.8000,75368
2024-01-02,2468.8000,2499.3250,2440.4500,2478.2749,56652
2024-01-03,2485.0000,2505.0000,2421.8000,2438.8000,54312
2024-01-04,2464.8250,2475.0000,2400.5000,2412.1499,44692
2024-01-05,2415.0000,2460.5000,2331.0249,2386.2500,86952
