date,open,high,low,close,volume
2023-09-25,1208.7000,1213.0000,1190.0000,1200.4000,37661
2023-09-26,1208.0000,1217.8500,1191.3000,1202.6500,39094
2023-09-27,1200.0000,1237.8000,1197.0500,1229.0000,132643
2023-09-28,1231.9500,1263.9500,1217.3500,1230.7000,108549
2023-09-29,1242.8000,1307.7500,1230.0000,1261.4500,416553
2023-10-03,1256.0500,1256.0500,1230.0000,1237.0000,58899
2023-10-04,1238.7000,1247.9500,1214.1500,1237.0000,63975
2023-10-05,1239.0000,1252.0500,1228.9500,1234.1500,35172
2023-10-06,1239.7000,1254.9000,1224.0500,1243.3000,44811
2023-10-09,1226.0000,1264.7000,1220.0000,1243.6500,72212
2023-10-10,1243.2500,1262.0000,1238.0500,1240.6500,64968
2023-10-11,1251.3000,1273.8000,1239.0000,1240.3500,55588
2023-10-12,1247.0000,1256.6500,1223.9000,1228.9000,39901
2023-10-13,1220.4000,1227.9000,1175.0000,1185.6500,75580
2023-10-16,1185.6500,1210.0000,1175.0500,1184.4500,57598
2023-10-17,1200.0000,1206.0000,1191.1500,1194.9000,41790
2023-10-18,1194.0000,1199.2500,1172.0000,1174.8000,37202
2023-10-19,1174.0000,1202.6500,1166.6500,1182.7000,48813
2023-10-20,1182.0000,1419.2000,1182.0000,1419.2000,2397848
2023-10-23,1475.0000,1512.4500,1351.0000,1427.5000,2666853
2023-10-25,1420.9500,1444.6000,1340.0500,1410.2000,580208
2023-10-26,1420.0000,1438.0000,1357.0000,1419.1000,403687
2023-10-27,1403.5500,1475.0000,1403.5500,1458.5500,414427
2023-10-30,1450.0000,1452.0000,1410.1000,1422.5000,155131
2023-10-31,1420.0000,1440.7500,1332.5500,1353.8500,253222
2023-11-01,1354.0000,1491.7000,1354.0000,1413.3500,1750164
2023-11-02,1426.8500,1447.0000,1408.0000,1428.0000,195073
2023-11-03,1433.0000,1449.0000,1391.3000,1411.4000,104688
2023-11-06,1419.9500,1429.0000,1401.4500,1412.9000,105257
2023-11-07,1412.9500,1546.0000,1412.9500,1457.4500,1595715
2023-11-08,1463.6500,1463.6500,1441.1000,1447.6000,146887
2023-11-09,1451.0000,1489.9000,1420.0500,1431.4000,137382
2023-11-10,1432.9500,1488.8500,1420.0000,1459.9500,197232
2023-11-13,1494.7500,1515.0000,1440.0500,1453.8000,255047
2023-11-15,1470.0000,1481.2000,1425.5500,1438.9000,113649
2023-11-16,1444.0000,1503.0000,1443.9500,1489.7000,273128
2023-11-17,1489.7000,1527.0000,1452.0500,1484.0000,374572
2023-11-20,1489.6000,1525.0000,1464.0000,1480.3000,227287
2023-11-21,1490.0000,1499.0000,1462.0000,1470.3000,89536
2023-11-22,1475.0000,1519.9500,1442.3500,1453.4500,152820
2023-11-23,1456.0000,1472.6500,1426.0000,1432.9500,100198
2023-11-24,1441.0000,1484.9500,1431.0500,1443.2000,82650
2023-11-28,1435.0000,1435.0000,1385.0000,1401.7500,178333
2023-11-29,1404.9500,1427.2500,1386.0500,1393.7500,70879
2023-11-30,1402.9500,1409.0500,1356.1000,1360.6500,77775
2023-12-01,1370.0000,1433.7000,1370.0000,1412.3500,294669
2023-12-04,1439.0000,1449.7000,1403.1000,1415.3000,109155
2023-12-05,1419.9500,1425.6000,1390.0000,1398.4500,60231
2023-12-06,1409.0000,1414.8000,1368.6000,1377.3500,77780
2023-12-07,1384.4000,1393.0000,1374.9500,1382.8000,39644
2023-12-08,1376.0000,1403.0000,1350.0000,1362.5500,115888
2023-12-11,1379.9000,1398.2000,1367.2000,1383.2500,65160
2023-12-12,1395.7000,1395.7000,1335.1000,1340.3000,70912
2023-12-13,1350.0000,1389.5500,1342.4000,1370.4500,89810
2023-12-14,1383.7000,1384.0000,1355.1000,1362.0000,55250
2023-12-15,1371.9500,1393.0000,1369.4500,1379.1000,63760
2023-12-18,1385.7000,1385.7000,1340.6500,1344.9500,108881
2023-12-19,1356.9500,1362.0500,1333.5500,1345.7000,102066
2023-12-20,1352.4000,1361.9000,1266.1000,1272.9500,86417
2023-12-21,1269.0000,1336.1000,1259.3000,1328.9500,90582
2023-12-22,1323.5000,1352.9500,1311.0000,1328.4000,55323
2023-12-26,1330.5500,1499.0000,1322.4000,1468.7000,680789
2023-12-27,1468.6500,1572.5500,1441.9000,1524.0500,574476
2023-12-28,1523.9500,1549.7000,1500.5500,1510.2000,286619
2023-12-29,1500.2000,1589.7000,1488.7500,1574.3000,553121
2024-01-01,1579.0000,1609.7000,1495.5500,1516.7500,456619
2024-01-02,1511.0000,1536.2500,1463.1500,1515.5000,291892
2024-01-03,1509.9500,1527.9500,1482.6000,1491.3500,102534
2024-01-04,1492.8500,1665.1500,1492.8500,1592.9500,1333282
2024-01-05,1599.8000,1639.7000,1541.0000,1593.8500,454317
2024-01-08,1599.9000,1648.0000,1570.0000,1576.0500,453956
2024-01-09,1594.0000,1615.1000,1572.0000,1585.5500,145555
2024-01-10,1581.9500,1585.0000,1558.0000,1573.6000,91976
2024-01-11,1576.1500,1657.4000,1560.3000,1625.2500,444297
2024-01-12,1636.0000,1689.7000,1619.9500,1651.7500,423035
2024-01-15,1660.0500,1679.9500,1635.1500,1654.1500,154683
2024-01-16,1660.0000,1702.0000,1608.7000,1648.7000,242908
2024-01-17,1606.0000,1639.9000,1576.5000,1584.7500,181535
2024-01-18,1588.0000,1622.0000,1531.5500,1591.4000,120798
2024-01-19,1602.0000,1626.0000,1597.0500,1606.4500,84175
2024-01-23,1630.0000,1635.1000,1528.4000,1537.4000,138363
2024-01-24,1549.9500,1624.8000,1545.1000,1606.7500,325897
2024-01-25,1606.0000,1701.0000,1600.1000,1662.7000,298128
2024-01-29,1670.0000,1677.9500,1650.0000,1657.7000,102584
2024-01-30,1657.7000,1737.5000,1637.9500,1671.0500,407586
2024-01-31,1671.0500,1739.7000,1654.0500,1734.2000,229788
2024-02-01,1741.7000,1744.0000,1688.3000,1715.2000,89217
2024-02-02,1732.2000,1752.0000,1694.0500,1706.7500,108218
2024-02-05,1710.0000,1715.2500,1633.0000,1658.8500,85142
2024-02-06,1666.0000,1807.0000,1666.0000,1714.1500,460032
2024-02-07,1714.1500,1809.8000,1685.2000,1774.2500,287791
2024-02-08,1790.0000,1790.0000,1732.2000,1741.2500,111828
2024-02-09,1740.9000,1743.2000,1650.2000,1716.3000,116544
2024-02-12,1702.0000,1714.7000,1634.7000,1656.4500,94638
2024-02-13,1655.0000,1839.9500,1644.5500,1782.7000,567747
2024-02-14,1741.0000,1782.7000,1701.7500,1719.3500,162877
2024-02-15,1718.0000,1747.8000,1704.6500,1733.9500,93524
2024-02-16,1743.9000,1818.9000,1735.7000,1764.7500,207325
2024-02-19,1755.0500,1826.0000,1755.0500,1788.2500,145427
2024-02-20,1787.0000,1836.9000,1745.1000,1782.4500,228995
2024-02-21,1778.0000,1794.8000,1697.5000,1712.7500,179465
2024-02-22,1716.9000,1725.6500,1672.8500,1711.4000,95903
2024-02-23,1724.0000,1769.9500,1710.0000,1731.0000,105008
2024-02-26,1730.0000,1780.0500,1718.0500,1762.9500,65270
2024-02-27,1754.0000,1762.9500,1719.5500,1727.5500,50257
2024-02-28,1735.0000,1735.0000,1665.0000,1670.0000,56638
2024-02-29,1668.9500,1750.0000,1639.9500,1736.9500,98889
2024-03-01,1748.0000,1748.6500,1700.0000,1722.0500,50188
2024-03-04,1723.3000,1763.0000,1708.1000,1733.0500,62354
2024-03-05,1727.9000,1758.4000,1711.0000,1728.6500,40779
2024-03-06,1723.7000,1724.1500,1670.0000,1682.6000,51578
2024-03-07,1684.9500,1814.0000,1684.7000,1745.2500,260140
2024-03-11,1759.0000,1767.8000,1678.0000,1688.1500,74219
2024-03-12,1695.9000,1695.9000,1620.3000,1650.0500,79954
2024-03-13,1656.9500,1677.0000,1525.3500,1543.8000,82996
2024-03-14,1551.0000,1639.4500,1531.0500,1627.1000,54482
2024-03-15,1599.9000,1625.0000,1568.8000,1609.9500,47495
2024-03-18,1609.9500,1621.9000,1556.1000,1564.2000,34366
2024-03-19,1573.0000,1585.8500,1535.1000,1542.3000,31475
2024-03-20,1546.6500,1560.7000,1522.0000,1540.7500,30603
2024-03-21,1548.9500,1585.0000,1546.9000,1575.6500,18900
2024-03-22,1570.9500,1594.8500,1570.0000,1574.8000,24772
2024-03-26,1575.0000,1598.0000,1561.5500,1573.0000,28429
2024-03-27,1573.0000,1581.7000,1530.1000,1545.5000,73341
2024-03-28,1558.2500,1589.3000,1550.0500,1567.7500,39831
2024-04-01,1574.9000,1625.5000,1574.8500,1608.8500,35737
2024-04-02,1612.0000,1660.0000,1609.0500,1636.1500,43181
2024-04-03,1636.0000,1649.0000,1620.0000,1634.6000,34543
2024-04-04,1642.5000,1669.0000,1629.8500,1652.3000,51409
2024-04-05,1648.0000,1659.5000,1612.0000,1623.7500,37245
2024-04-08,1634.0000,1663.9500,1621.0500,1633.3000,45912
2024-04-09,1641.5000,1658.6000,1556.4000,1598.2000,70248
2024-04-10,1604.0000,1612.0500,1585.8500,1591.6500,24355
2024-04-12,1590.0000,1622.0000,1575.0000,1594.5500,66407
2024-04-15,1568.0000,1588.9500,1535.0000,1550.9000,23662
2024-04-16,1550.0000,1568.7500,1530.0500,1538.8500,22681
2024-04-18,1548.0000,1555.0000,1506.2000,1517.4500,35261
2024-04-19,1516.0000,1516.0000,1490.0500,1497.6500,32446
2024-04-22,1524.0000,1640.3500,1523.6500,1570.3000,564236
2024-04-23,1585.0000,1591.8500,1551.9500,1580.4500,83776
2024-04-24,1590.0000,1604.8500,1567.7500,1583.8500,55919
2024-04-25,1588.0000,1609.9000,1565.3000,1578.9000,41053
2024-04-26,1583.6500,1613.1500,1556.5500,1569.1000,75616
2024-04-29,1575.9500,1599.9500,1557.9500,1577.3000,28309
2024-04-30,1582.0000,1584.3500,1541.3500,1558.9500,32495
2024-05-02,1563.9500,1570.0000,1544.5000,1560.5500,24296
2024-05-03,1566.0000,1567.1500,1530.0000,1538.5500,46622
2024-05-06,1545.0000,1599.9500,1504.0000,1560.5000,192065
2024-05-07,1556.3000,1572.9500,1520.1000,1541.0000,43411
2024-05-08,1541.0000,1597.0000,1527.9000,1576.9500,48010
2024-05-09,1580.0500,1583.7500,1500.0000,1511.1500,31974
2024-05-10,1517.9000,1521.8500,1493.8500,1505.6500,19917
2024-05-13,1508.0000,1563.7000,1477.4000,1553.7000,70653
2024-05-14,1553.7500,1566.5500,1530.0500,1539.1500,50300
2024-05-15,1555.0000,1602.0000,1540.2000,1551.9000,140613
2024-05-16,1564.4000,1567.8500,1534.7000,1549.5500,25940
2024-05-17,1563.0000,1567.5500,1540.4000,1547.0000,37763
2024-05-21,1578.0000,1605.4000,1537.9000,1558.4000,76613
2024-05-22,1558.0000,1589.9000,1542.0500,1547.9000,46503
2024-05-23,1552.0000,1560.8000,1535.6000,1539.0000,21295
2024-05-24,1530.0000,1574.0000,1530.0000,1536.5500,43414
2024-05-27,1554.7000,1554.7000,1529.0000,1533.5500,33533
2024-05-28,1532.0000,1541.0000,1502.8000,1514.1500,32842
2024-05-29,1508.0000,1550.0000,1500.0000,1508.3500,47354
2024-05-30,1509.0000,1518.6000,1473.1000,1480.1000,39575
2024-05-31,1487.9000,1499.8000,1457.4000,1467.6000,44686
