date,open,high,low,close,volume
2023-09-18,428.9500,437.7000,428.9500,428.9500,1654
2023-09-20,420.4000,432.0000,420.4000,420.4000,1929
2023-09-21,415.0000,418.0000,412.0000,415.0000,8162
2023-09-22,408.0000,413.1000,407.9000,408.0000,11347
2023-09-25,408.0000,428.4000,404.0000,428.1500,6592
2023-09-26,433.0000,449.5500,433.0000,441.0000,9473
2023-09-27,449.0000,463.0500,448.0000,460.9500,16442
2023-09-28,461.0000,480.0000,456.1000,469.7000,14189
2023-09-29,475.0000,489.5000,470.0000,481.0000,11735
2023-10-03,485.0000,499.0000,477.1000,493.4000,17765
2023-10-04,505.0000,505.0000,468.7500,476.4500,5781
2023-10-05,475.0000,481.4000,466.9500,475.0000,3153
2023-10-06,473.0000,476.1500,473.0000,473.0000,3360
2023-10-09,463.5500,469.0000,463.5500,463.5500,1614
2023-10-10,460.1000,464.0000,460.1000,460.1000,3310
2023-10-11,469.3000,469.3000,464.0000,469.3000,5788
2023-10-12,478.6500,478.6500,478.3000,478.6500,55167
2023-10-13,488.2000,488.2000,488.2000,488.2000,3744
2023-10-16,497.9500,497.9500,497.9500,497.9500,5236
2023-10-17,507.9000,507.9000,500.0000,507.9000,3521
2023-10-18,500.0000,510.0000,497.7500,500.0000,3162
2023-10-19,498.0000,498.0000,489.5500,498.0000,1758
2023-10-20,490.0000,498.0000,490.0000,490.0000,1779
2023-10-23,480.2000,481.1000,480.2000,480.2000,4543
2023-10-25,475.5000,489.0000,475.5000,475.5000,2350
2023-10-26,466.0000,474.0000,466.0000,466.0000,2757
2023-10-27,474.7500,475.0000,474.0000,474.7500,2456
2023-10-30,466.0000,470.0000,465.3500,466.0000,3615
2023-10-31,475.0000,475.0000,466.0000,475.0000,426
2023-11-01,481.0000,481.0000,475.0000,481.0000,1652
2023-11-02,490.0000,490.4500,482.0000,490.0000,1406
2023-11-03,491.0000,495.0000,484.0000,491.0000,2887
2023-11-06,485.0000,497.9000,482.0000,485.0000,5898
2023-11-07,480.0000,484.0000,480.0000,480.0000,3548
2023-11-08,485.0000,485.0000,480.0000,485.0000,2385
2023-11-09,494.7000,494.7000,480.0000,494.7000,2192
2023-11-10,504.5500,504.5500,504.5500,504.5500,987
2023-11-13,556.2000,556.2000,540.0000,556.2000,65122
2023-11-15,579.0000,584.0000,560.0000,579.1000,47884
2023-11-16,597.0000,607.9000,570.0000,588.2000,14021
2023-11-17,580.0000,607.8000,567.3000,603.1500,11555
2023-11-20,610.0000,632.0000,608.0000,629.9000,12807
2023-11-21,646.0000,661.3500,626.1500,655.7500,91081
2023-11-22,658.0000,666.0000,642.6500,658.0000,26335
2023-11-23,649.9500,660.0000,644.8500,649.9500,10127
2023-11-24,649.5000,656.0000,647.0000,649.5000,5493
2023-11-28,645.0000,659.3500,636.5500,645.0000,9557
2023-11-29,632.1000,636.0000,632.1000,632.1000,9322
2023-11-30,644.7000,644.7000,639.5000,644.7000,7108
2023-12-01,657.5500,657.5500,657.5500,657.5500,203093
2023-12-04,670.7000,670.7000,670.7000,670.7000,1851
2023-12-05,684.1000,684.1000,684.1000,684.1000,990
2023-12-06,697.7500,697.7500,697.7500,697.7500,383
2023-12-07,711.7000,711.7000,711.7000,711.7000,4237
