date,open,high,low,close,volume
2026-08-18,433.9500,433.9500,422.0500,424.0500,1239
2026-08-19,415.0000,434.0000,415.0000,427.3000,429
2026-08-20,425.2000,435.0000,423.1000,423.2500,1734
2026-08-21,430.0000,449.8000,421.0000,435.3000,1137
2026-08-24,435.3000,444.5000,423.3000,444.0500,1093
2026-08-25,435.0000,438.0000,426.2000,434.3500,1905
2026-08-26,430.0000,434.0500,424.9500,425.0000,6547
2026-08-27,434.9000,449.0000,426.1500,427.2500,1954
2026-08-28,428.0000,444.0000,419.0000,424.2000,6911
2026-08-31,417.1000,437.0000,394.1000,403.1000,8561
2026-09-01,403.1000,403.1000,392.2500,396.8500,824
2026-09-02,390.2000,413.9500,390.2000,404.3000,3760
2026-09-03,404.0000,420.0000,404.0000,419.5500,2983
2026-09-04,419.5500,421.0000,406.8500,417.4000,4726
2026-09-07,405.1000,430.0000,405.1000,428.3000,2437
2026-09-08,429.9500,435.6500,420.2500,427.6000,3407
2026-09-09,426.9000,429.5000,420.3000,426.1500,2146
2026-09-10,426.9500,440.0000,420.1000,433.4000,2538
2026-09-11,430.3000,446.5000,417.0000,425.6000,25298
2026-09-15,428.0500,442.2000,427.0500,435.1500,2968
2026-09-16,437.0000,443.4500,417.1500,431.8000,2215
2026-09-17,426.0000,435.8000,419.0500,426.5500,1515
