date,open,high,low,close,volume
2023-09-25,70.6000,72.2000,68.3000,69.8500,15110
2023-09-26,71.9500,72.0000,70.0000,70.9000,16744
2023-09-27,70.9000,71.9000,69.3500,70.8000,23576
2023-09-28,71.8000,72.5000,69.1500,70.0500,16202
2023-09-29,70.9000,70.9000,69.5000,69.8000,41245
2023-10-03,70.0000,70.5000,67.5500,70.2500,26569
2023-10-04,69.9500,69.9500,67.6000,68.4000,18168
2023-10-05,69.0000,70.0000,67.8000,68.0000,14275
2023-10-06,68.1000,69.9000,67.0000,68.7000,14212
2023-10-09,68.5000,68.5000,65.3000,65.8500,39523
2023-10-10,66.7000,67.0000,63.2000,65.5500,28903
2023-10-11,65.4500,68.2000,64.4000,66.7000,22553
2023-10-12,67.0000,70.0000,67.0000,70.0000,44768
2023-10-13,71.7500,73.5000,70.0000,73.5000,43754
2023-10-16,76.6500,76.8000,75.0000,76.7500,85140
2023-10-17,78.5000,80.5500,72.9500,78.5500,103046
2023-10-18,77.0000,77.0000,77.0000,77.0000,3688
2023-10-19,75.5000,75.5000,75.5000,75.5000,4439
2023-10-20,74.0000,74.0000,74.0000,74.0000,11107
2023-10-23,72.5500,72.5500,72.5500,72.5500,1962
2023-10-25,71.1000,71.1000,71.1000,71.1000,769
2023-10-26,69.7000,69.7000,69.7000,69.7000,2432
2023-10-27,68.3000,68.3000,68.3000,68.3000,4290
2023-10-30,66.9500,67.0000,66.9500,66.9500,3310
2023-10-31,65.6500,65.7000,65.6500,65.6500,4999
2023-11-01,64.4000,64.4000,64.3500,64.4000,17322
2023-11-02,64.2000,64.4000,63.2500,64.2000,13207
2023-11-03,65.4500,65.4500,64.4000,65.4500,5092
2023-11-06,66.7500,66.7500,66.6000,66.7500,10257
2023-11-07,68.0500,68.0500,68.0000,68.0500,9185
2023-11-08,69.4000,69.4000,69.4000,69.4000,16439
2023-11-09,68.0500,68.2000,68.0500,68.0500,1610
2023-11-10,66.7000,66.7000,66.7000,66.7000,1329
2023-11-13,66.7500,68.0000,66.7500,66.7500,3260
2023-11-15,65.4500,66.0000,65.4500,65.4500,8868
2023-11-16,64.2000,64.2000,64.1500,64.2000,7977
2023-11-17,63.0000,64.0000,63.0000,63.0000,11777
2023-11-20,64.2500,64.2500,63.0000,64.2500,19554
2023-11-21,65.0000,65.5000,64.5000,65.0000,16041
2023-11-22,64.5000,65.0000,64.5000,64.5000,4985
2023-11-23,63.4500,64.5000,63.2500,63.4500,8569
2023-11-24,64.7000,64.7000,63.5000,64.7000,9264
2023-11-28,64.7000,66.8500,63.7000,65.0000,25597
2023-11-29,65.8000,68.2500,63.7500,67.9500,33052
2023-11-30,68.9000,71.0000,65.3500,70.0500,22491
2023-12-01,70.0500,70.0500,67.5500,68.9000,25573
2023-12-04,68.1000,70.0000,66.3500,68.7500,35503
2023-12-05,68.3000,71.0000,68.0000,69.7000,43962
2023-12-06,70.0000,70.5000,67.2500,68.2000,44157
2023-12-07,67.5500,71.6000,67.5500,70.1500,40997
2023-12-08,72.5000,73.6500,70.5000,73.6500,47557
2023-12-11,80.0000,85.3500,77.6000,81.9500,422544
2023-12-12,81.5000,82.8000,77.0000,81.0000,196507
2023-12-13,81.0500,81.0500,77.6000,78.3000,75904
2023-12-14,80.3500,80.5000,77.0000,77.6500,43379
2023-12-15,77.5500,80.0000,72.0000,73.4000,139497
2023-12-18,83.9500,88.0500,81.2000,88.0500,500125
2023-12-19,94.0000,94.9500,83.0500,85.0500,1607288
2023-12-20,85.9000,89.4000,78.1000,79.3500,307526
2023-12-21,80.7000,87.8000,78.1000,86.7000,299796
2023-12-22,87.9500,94.0000,85.9500,87.8500,772496
2023-12-26,89.1500,91.5000,87.0000,88.3500,167505
2023-12-27,89.2500,90.5000,86.5500,87.7000,96386
2023-12-28,88.8500,105.2000,86.5500,98.9000,2637385
2023-12-29,100.4000,110.5000,99.1500,103.8000,2811076
2024-01-01,104.5000,106.1500,100.0500,100.8500,454959
2024-01-02,100.8500,102.9000,96.9000,98.0500,245660
2024-01-03,99.2500,103.5500,98.7000,99.8000,225200
2024-01-04,101.0000,105.9000,101.0000,103.4000,309233
2024-01-05,104.3000,106.8000,102.0500,103.0000,175897
2024-01-08,103.0000,104.2500,97.9500,99.3000,114519
2024-01-09,99.8500,102.4500,96.0000,97.0000,139244
2024-01-10,97.4500,104.0000,97.4000,99.0000,122378
2024-01-11,99.5000,103.8500,98.8500,100.7500,157556
2024-01-12,101.3500,103.7000,99.4500,101.8000,124551
2024-01-15,102.1500,106.0000,97.6000,99.1500,188155
2024-01-16,100.8000,101.8500,96.4500,99.6500,119312
2024-01-17,99.0000,101.5500,96.9000,99.1000,108988
2024-01-18,97.6000,99.9000,91.9000,95.1500,188626
2024-01-19,96.6000,98.7000,94.2000,94.8000,81534
2024-01-23,99.8000,101.0000,92.2000,94.3000,110109
2024-01-24,95.8000,104.0000,94.4500,102.2500,329967
2024-01-25,105.0000,106.7500,98.2000,100.2500,282169
2024-01-29,99.5000,100.2500,93.4500,94.6000,382448
2024-01-30,95.9000,98.6000,94.3500,95.5500,173911
2024-01-31,95.5500,96.6000,93.8500,94.8500,79515
2024-02-01,96.0000,96.4000,92.2000,94.6000,86298
2024-02-02,95.8000,99.1000,95.1500,97.8500,225014
2024-02-05,98.5000,106.5000,98.4500,99.5000,444160
2024-02-06,100.2500,119.4000,98.5000,119.4000,2406215
2024-02-07,119.0000,119.0000,107.8500,108.9500,1227095
2024-02-08,111.9000,112.9000,104.0000,107.7000,464984
2024-02-09,109.5000,109.5000,101.0000,102.5000,327299
2024-02-12,103.9500,104.7000,97.5000,98.3000,191256
2024-02-13,99.9500,99.9500,93.3500,96.7500,168219
2024-02-14,96.0000,101.5000,94.0500,100.0000,162193
2024-02-15,100.8000,104.5000,100.0000,101.8500,170038
2024-02-16,103.0000,109.5500,101.9500,106.5500,428477
2024-02-19,107.0500,108.9000,104.1000,104.6500,129450
2024-02-20,105.5500,108.5500,101.2500,103.8500,129503
2024-02-21,104.6500,106.9500,102.0000,103.4500,111764
2024-02-22,104.3500,104.3500,98.0000,102.8500,212919
2024-02-23,103.0000,105.2000,97.9500,100.4000,141964
2024-02-26,101.2000,104.4000,99.3500,101.7000,78307
2024-02-27,102.1500,102.2000,98.3000,99.0000,95834
2024-02-28,99.0500,100.5000,93.2000,95.0500,153746
2024-02-29,95.9000,98.9500,92.5000,94.9500,205911
2024-03-01,96.3500,99.0000,95.0000,95.4500,83806
2024-03-04,99.7500,99.7500,95.3500,96.9500,87382
2024-03-05,97.0000,98.1000,94.5500,96.4500,98804
2024-03-06,96.4500,96.4500,92.0500,93.7500,107256
2024-03-07,95.0500,95.8500,93.9000,94.9500,44930
2024-03-11,94.9500,95.3000,89.4500,90.8500,101432
2024-03-12,89.6000,90.8500,85.0000,86.0000,121753
2024-03-13,87.5000,88.9000,77.6500,79.2000,133095
2024-03-14,77.4000,85.0000,76.0000,83.1000,103941
2024-03-15,84.5000,88.4500,81.0000,85.1500,146721
2024-03-18,82.0000,88.2000,82.0000,86.2000,50160
2024-03-19,86.6000,86.6000,81.5000,82.4000,46676
2024-03-20,83.0000,85.0000,81.1000,82.3500,40897
2024-03-21,83.3000,86.4000,82.3000,84.8000,43640
2024-03-22,85.2000,87.9000,83.1500,84.1000,99203
2024-03-26,84.2500,88.0000,82.5000,82.8000,52069
2024-03-27,82.8000,85.9000,79.0500,81.3000,139912
2024-03-28,81.2500,84.3000,80.0000,81.7500,100274
2024-04-01,82.7000,98.1000,82.7000,98.1000,506880
2024-04-02,112.1500,114.0000,102.4000,103.8500,984153
2024-04-03,99.3500,103.8500,99.3500,101.5500,247823
2024-04-04,104.7000,111.5000,104.7000,110.4000,565579
2024-04-05,109.9000,118.5000,107.0000,115.0000,763911
2024-04-08,115.0500,121.0500,111.2000,113.2500,415879
2024-04-09,112.7000,122.1000,112.6000,118.8000,560681
2024-04-10,118.2500,121.2000,114.1000,118.2000,259596
2024-04-12,125.9500,125.9500,120.0000,122.1000,446511
2024-04-15,116.6000,120.3500,112.7000,115.1000,242801
2024-04-16,113.1000,123.4000,113.1000,119.9000,266016
2024-04-18,120.9000,122.0000,114.1000,115.3500,185969
2024-04-19,114.0500,117.3500,110.5500,113.4000,194422
2024-04-22,117.0000,121.7000,115.0000,118.9000,232047
2024-04-23,119.7000,123.0000,113.6000,115.7000,130607
2024-04-24,117.1000,118.9000,115.2000,117.0500,61139
2024-04-25,118.0000,118.0000,115.4500,116.6000,53951
2024-04-26,116.6500,120.0000,112.3500,113.8500,193346
2024-04-29,114.8000,115.9000,113.0000,114.4000,61644
2024-04-30,113.6500,115.9500,108.3500,111.6500,101597
2024-05-02,112.1000,113.9000,110.1000,111.4500,69952
2024-05-03,111.4500,113.5500,109.6000,111.6500,57554
2024-05-06,111.0500,117.0000,108.3000,112.2000,113488
