date,open,high,low,close,volume
2026-01-19,45.0000,45.0900,40.1200,40.5800,738039378
2026-01-20,40.7500,43.4500,40.1400,40.7100,295990371
2026-01-21,41.4000,42.2700,38.2700,39.1000,227367877
2026-01-22,40.2000,40.9500,38.6700,38.9400,81826431
2026-01-23,38.9400,38.9500,36.1500,36.5500,81632463
2026-01-27,36.5500,38.0000,35.0900,37.7300,131538802
2026-01-28,38.1900,38.8600,36.8200,37.1800,75489206
2026-01-29,37.0900,39.0000,36.4300,38.0200,84812609
2026-01-30,38.0800,41.8800,37.8000,39.8200,156252681
2026-02-02,39.1800,39.2500,37.8000,38.7100,28264905
2026-02-03,40.0000,40.8000,37.1200,38.7100,36306168
2026-02-04,36.1000,38.1000,36.1000,37.4600,45277265
2026-02-05,37.6300,38.1500,37.2500,37.4300,16848811
2026-02-06,37.5000,37.7200,36.8500,37.0400,12409757
2026-02-09,37.5000,37.5800,36.5000,36.6100,16783982
2026-02-10,36.7800,37.1100,36.4200,36.8500,11882851
2026-02-11,36.9500,37.1000,36.5100,36.6900,9497348
2026-02-12,36.6000,36.6000,35.8000,36.0300,8157678
2026-02-13,35.4900,35.7400,35.1000,35.2500,11926406
2026-02-16,35.2500,35.2600,33.5500,33.9200,17403880
2026-02-17,33.8800,34.9900,33.6200,34.0300,17178843
2026-02-18,34.1500,34.9000,33.8600,34.6400,9266940
2026-02-19,34.6500,34.8100,34.0500,34.2500,7232440
2026-02-20,34.0000,34.1200,33.7600,33.9400,5717816
2026-02-23,34.1000,34.1000,32.6500,32.8800,11444054
2026-02-24,32.7500,33.7400,32.2000,32.9000,14291336
2026-02-25,33.0600,33.5600,32.5800,33.2800,11041182
2026-02-26,33.2800,34.1500,33.0500,33.4200,10604211
2026-02-27,33.4000,33.5100,32.6000,32.7400,8637486
2026-03-02,31.1600,32.3800,31.1600,32.1400,12534381
2026-03-04,31.6000,33.8000,31.3500,33.4700,22621569
2026-03-05,34.0000,34.3200,32.6700,33.0100,13592750
2026-03-06,33.0100,33.6000,32.7700,32.9700,6618917
2026-03-09,32.0400,32.8400,32.0300,32.4000,7064353
2026-03-10,33.0100,33.1600,32.6300,33.0000,4970106
2026-03-11,33.1100,33.9100,33.0200,33.3500,8797846
2026-03-12,33.3900,36.6400,32.8100,35.8100,62076847
2026-03-13,36.2200,37.2400,35.2700,36.1000,42777382
2026-03-16,36.0200,36.0200,34.1200,34.4900,13019730
2026-03-17,34.6000,34.9800,34.0400,34.2100,8128642
2026-03-18,34.3800,34.9600,34.2600,34.7900,7390906
2026-03-19,34.0500,35.5100,33.7500,33.8900,9697853
2026-03-20,34.3100,34.4400,33.7000,33.9000,7411885
2026-03-23,33.9000,33.9600,31.7100,31.9000,11242454
2026-03-24,32.7900,32.7900,31.3500,31.4500,13549280
2026-03-25,31.6500,32.3200,31.6500,31.9300,9564273
2026-03-27,31.9000,32.6000,31.1700,31.6600,10058451
2026-03-30,31.5000,31.5900,29.7400,29.9500,14322309
2026-04-01,31.0000,32.2500,30.7800,31.9800,11725101
2026-04-02,31.5800,32.3200,30.9300,32.1200,8325921
2026-04-06,32.1600,32.7500,31.3000,32.6400,10009017
2026-04-07,32.5900,33.0500,32.2100,32.6200,6877055
2026-04-08,33.5000,33.8900,33.0300,33.6800,9357379
2026-04-09,33.6000,34.0000,32.3800,32.6800,10513648
2026-04-10,32.8700,33.1900,32.7000,32.7400,6863406
2026-04-13,32.4900,32.7400,31.8600,32.5600,8688952
2026-04-15,32.9900,33.6400,32.5200,33.0800,16124694
2026-04-16,33.3400,36.9900,33.3000,35.7800,72500168
2026-04-17,36.0900,36.0900,35.3100,35.7600,19153314
2026-04-20,35.7600,36.5000,34.8100,35.8400,20521935
2026-04-21,36.0400,36.8000,35.7000,36.1300,14828723
2026-04-22,36.0000,36.4000,35.7500,35.8200,11702555
2026-04-23,34.6000,35.1000,33.9000,34.0100,22125516
2026-04-24,34.1600,34.3800,33.3100,33.7200,7583568
2026-04-27,33.8900,34.2800,33.8200,33.9100,7974881
2026-04-28,34.0000,34.0000,33.6000,33.6700,6900819
2026-04-29,33.8000,33.8400,33.4500,33.6500,7044854
2026-04-30,33.6500,33.8300,32.9000,33.3500,7202977
2026-05-01,33.3500,33.3500,33.3500,33.3500,0
2026-05-04,33.4500,33.6100,32.9600,33.0300,7008692
2026-05-05,33.1200,33.3100,32.8400,32.9000,4969098
