date,open,high,low,close,volume
2024-11-22,280.9000,285.9000,255.3500,260.0500,6737252
2024-11-25,260.0000,270.8500,253.0000,263.7500,1220081
2024-11-26,260.2500,261.3000,248.3500,253.1500,610591
2024-11-27,250.6000,268.3500,250.6000,265.1500,926033
2024-11-28,265.9500,274.0000,263.1000,270.4000,662453
2024-11-29,269.9500,277.0000,265.8500,271.1000,878299
2024-12-02,267.2500,325.3000,262.9000,325.3000,5755861
2024-12-03,329.0000,341.4500,295.0500,319.3000,4802212
2024-12-04,316.8500,382.8500,316.1000,361.9000,6062982
2024-12-05,351.0000,368.0000,341.2000,347.7000,1306989
2024-12-06,347.7000,356.5500,334.7000,340.7500,493260
2024-12-09,341.9500,362.0000,337.8000,344.6000,552110
2024-12-10,347.8000,381.7500,345.0500,356.3500,1042518
2024-12-11,357.0000,371.9000,355.0000,357.8500,489340
2024-12-12,360.0000,429.4000,358.5000,424.1000,4771978
2024-12-13,441.2000,460.5000,408.6000,423.2000,3682964
2024-12-16,410.0000,425.6500,399.2000,403.1500,647777
2024-12-17,407.4500,443.4500,400.3000,422.4500,1333265
2024-12-18,429.0000,462.3000,427.4500,453.0000,1307812
2024-12-19,444.0000,498.3000,433.3000,498.0500,1105717
2024-12-20,496.9500,514.7000,460.6000,501.6500,2253098
2024-12-23,509.4000,550.7000,502.3000,510.8500,1743530
2024-12-24,513.0000,528.9500,487.1500,517.9000,904704
2024-12-26,520.3500,543.7500,520.0000,522.3500,582871
2024-12-27,526.0000,547.8000,526.0000,533.9500,478833
2024-12-30,534.0000,536.5000,507.2500,507.2500,300212
2024-12-31,481.9000,481.9000,481.9000,481.9000,18307
2025-01-01,457.8000,471.1000,457.8000,457.8000,223057
2025-01-02,444.0000,465.0000,434.9500,451.3000,665037
2025-01-03,451.2500,461.4500,440.0000,453.4000,261161
2025-01-06,453.4000,453.4000,430.7500,432.3000,178687
2025-01-07,424.6000,439.0000,415.0000,425.1000,272415
2025-01-08,420.0000,442.0000,414.0000,421.4000,173126
2025-01-09,420.0000,423.7000,404.5000,408.8500,85267
2025-01-10,408.7500,408.7500,393.0000,403.5000,123230
2025-01-13,390.0000,404.6500,383.3500,383.3500,63137
2025-01-14,385.5500,398.4500,366.3000,394.1000,125557
2025-01-15,400.0000,403.0000,388.0000,394.6000,66711
2025-01-16,402.9500,407.3000,398.2000,404.6500,192306
2025-01-17,400.0000,424.8500,399.1000,421.5000,50922
2025-01-20,442.5500,442.5500,414.0000,428.4000,161194
2025-01-21,428.0000,438.1500,407.0000,416.7000,79621
2025-01-22,416.7000,416.7000,395.9000,398.7000,85616
2025-01-23,394.6000,394.6000,378.8000,379.9500,149544
2025-01-24,385.3000,388.0000,360.9500,361.6500,90082
2025-01-27,361.6500,365.8500,343.6000,343.6000,72875
2025-01-28,345.0000,348.7500,326.4500,332.5500,102150
2025-01-29,329.9500,349.1500,329.4500,349.1500,28541
2025-01-30,366.6000,366.6000,355.1000,366.6000,34526
2025-01-31,384.9000,384.9000,384.9000,384.9000,17725
2025-02-03,400.8500,411.7500,395.0000,409.3000,82672
2025-02-04,414.0000,429.7500,413.9500,429.7500,209980
2025-02-05,451.2000,451.2000,433.3000,444.0000,146566
2025-02-06,466.2000,466.2000,466.2000,466.2000,49870
2025-02-07,489.5000,489.5000,489.5000,489.5000,43096
2025-02-10,513.9500,513.9500,513.9500,513.9500,404147
2025-02-11,519.0000,520.0000,488.2500,488.2500,48130
2025-02-12,463.8500,510.9500,463.8500,480.4000,261078
2025-02-13,473.1500,484.3500,465.2500,469.9500,60146
2025-02-14,485.9000,485.9000,460.2500,465.0500,62595
2025-02-17,458.0000,459.9500,441.8000,447.8000,55270
2025-02-18,433.0500,447.0000,425.4500,425.4500,82055
2025-02-19,408.0000,438.8000,406.3000,421.1500,113625
2025-02-20,416.8000,432.6000,405.3000,426.4000,96703
2025-02-21,429.9000,435.0000,416.2000,420.8000,43570
2025-02-24,419.0000,430.2000,410.1000,423.9000,113032
2025-02-25,423.0000,426.7500,416.0000,423.8500,38307
2025-02-27,423.0000,423.0000,405.1500,417.5500,58959
2025-02-28,414.0000,430.7000,406.2000,422.7000,59771
2025-03-03,419.0000,421.1000,405.0000,408.6000,64653
2025-03-04,401.0000,416.6500,401.0000,414.3000,29120
2025-03-05,405.0000,426.9500,405.0000,414.6500,75291
2025-03-06,411.0000,422.8000,411.0000,416.0000,51798
2025-03-07,411.0000,425.2500,410.0000,419.3000,110170
2025-03-10,421.0000,440.2500,417.1000,440.2500,58030
2025-03-11,418.2500,426.7000,418.2500,418.2500,123985
2025-03-12,398.0000,413.0000,397.3500,410.2500,224913
2025-03-13,397.1000,408.9000,397.1000,405.5500,53584
2025-03-17,405.3500,409.0000,393.0000,405.4500,127887
2025-03-18,405.4500,405.4500,405.4500,405.4500,0
2025-03-19,413.0000,420.0000,409.0000,418.8500,73914
2025-03-20,403.1000,411.5000,401.3000,409.2000,70560
2025-03-21,401.6000,412.7000,400.3500,410.6500,74388
2025-03-24,411.8500,430.0000,397.3000,415.3500,172023
2025-03-25,420.0000,424.9500,406.0000,416.4000,41872
2025-03-26,415.0000,419.5000,404.8500,418.7500,99695
2025-03-27,418.7500,436.6500,408.7500,430.7500,276403
2025-03-28,429.9500,430.4500,415.0000,424.0000,66736
2025-04-01,423.5500,434.9500,413.0000,424.3500,58670
2025-04-02,424.0000,424.0000,407.0000,411.9500,66010
2025-04-03,407.9500,420.5000,405.9500,416.5000,30149
2025-04-04,417.9500,417.9500,407.2000,413.8500,21025
2025-04-07,405.0000,405.0000,374.7500,389.0000,279629
2025-04-08,400.0000,400.0000,388.0500,391.7500,57115
2025-04-09,391.6000,391.6000,373.2000,378.3500,46492
2025-04-11,386.0500,409.7000,382.2000,396.3000,86267
2025-04-15,404.8500,409.9500,391.3500,399.6500,97419
2025-04-16,410.0000,410.8500,398.0000,402.1500,207063
2025-04-17,398.0000,406.0000,391.5000,400.3500,76260
2025-04-21,399.9500,403.0000,387.8500,399.6500,111449
2025-04-22,409.1000,409.1000,397.0000,398.5500,60253
2025-04-23,399.8500,438.4000,396.2500,432.6000,671032
2025-04-24,425.1000,453.0500,413.0000,427.3000,237899
2025-04-25,428.0000,434.9500,397.3500,406.7500,163658
2025-04-28,406.7500,407.9000,397.0500,404.0000,160576
