date,open,high,low,close,volume
2026-08-19,465.0000,537.0000,458.7000,502.2000,37618013
2026-08-20,525.1000,548.0000,497.2000,504.2500,23599466
2026-08-21,504.2500,519.0000,492.4000,494.9500,6765126
2026-08-24,495.8500,499.4500,452.0000,460.1500,3313371
2026-08-25,463.7500,474.5500,441.3000,450.3000,2752275
2026-08-26,454.3000,479.9500,431.2000,470.8500,6762367
2026-08-27,469.0000,483.0000,458.2000,469.8500,2844518
2026-08-28,470.0000,470.5000,452.3000,457.4500,1468288
2026-08-31,457.4500,463.2000,435.1000,440.7000,972620
2026-09-01,441.2000,447.0000,432.0000,436.4000,1089456
2026-09-02,434.0000,452.8000,431.1000,445.2500,1657322
2026-09-03,448.8000,465.5000,443.2000,454.2500,1940745
2026-09-04,454.2500,458.8000,448.0000,453.1500,823610
2026-09-07,456.3000,483.0000,456.0000,478.3000,2567920
2026-09-08,477.7500,485.0000,448.0000,451.0500,2671760
2026-09-09,452.0000,465.8000,451.1500,456.7500,1056205
2026-09-10,458.9000,461.6500,437.1500,441.6000,563397
2026-09-11,437.9500,445.0500,429.0000,442.1500,733830
2026-09-14,442.1500,442.1500,442.1500,442.1500,0
2026-09-15,445.0000,447.7000,433.8500,439.6500,646122
2026-09-16,435.0000,436.7000,415.0000,428.4000,589709
2026-09-17,430.1000,437.9000,423.2000,436.1000,530548
2026-09-18,437.9000,444.3000,434.2000,440.4000,370777
2026-09-21,440.9000,444.0000,434.3500,439.5500,317773
2026-09-22,447.0000,475.0000,445.1500,469.0500,1602127
2026-09-23,473.8000,476.0000,463.5500,469.6000,625104
2026-09-24,464.0000,464.3500,442.2000,447.3000,611656
