date,open,high,low,close,volume
2023-09-20,240.1500,246.9000,235.0000,239.5500,17619
2023-09-21,243.7500,246.1000,238.0000,238.9500,15295
2023-09-22,238.9500,246.0000,238.9500,245.3000,12980
2023-09-25,245.1000,251.1000,241.3500,246.7000,14774
2023-09-26,250.0000,254.1000,245.2000,251.0500,25416
2023-09-27,250.0000,250.0000,243.5000,243.9500,17103
2023-09-28,245.0500,248.8000,243.0000,244.7000,13112
2023-09-29,250.7000,250.7000,243.3000,246.3000,8214
2023-10-03,251.6500,251.6500,241.0000,242.0500,10804
2023-10-04,248.0000,248.0000,240.0000,241.9000,7855
2023-10-05,241.9000,246.6500,240.2000,241.1500,9598
2023-10-06,236.5000,244.9000,236.5000,242.4500,9166
2023-10-09,237.6000,245.0000,234.8000,240.6500,15279
2023-10-10,235.9500,245.0000,235.8500,238.7500,12369
2023-10-11,244.1500,244.1500,238.0000,239.2000,7537
2023-10-12,243.7500,243.7500,236.9000,242.5000,12153
2023-10-13,241.0000,244.0000,239.0000,241.8000,10187
2023-10-16,235.1500,245.7500,235.1500,241.8500,17855
2023-10-17,246.7000,247.0000,234.1000,234.5000,29403
2023-10-18,234.5000,236.9500,227.1500,227.7500,18412
2023-10-19,227.7500,232.8000,221.1000,226.3500,14606
2023-10-20,222.5500,232.1000,222.5500,228.9500,14098
2023-10-23,232.0000,232.0000,222.4000,227.2500,20159
2023-10-25,227.2500,232.0000,220.0000,221.3500,16307
2023-10-26,220.0000,224.9500,214.1000,215.5000,19081
2023-10-27,219.9500,222.1000,217.0500,218.3000,10354
2023-10-30,220.1000,220.1000,215.5000,216.3500,8462
2023-10-31,216.3500,222.9000,215.3500,219.2500,17592
2023-11-01,219.2500,222.0000,214.9500,217.7500,7607
2023-11-02,222.9500,222.9500,214.7000,216.7000,16970
2023-11-03,222.9500,222.9500,215.5500,216.9000,9689
2023-11-06,225.0000,227.4000,220.1000,226.8500,58456
2023-11-07,227.0000,238.0500,227.0000,237.2500,78372
2023-11-08,246.4000,247.5000,238.8000,246.4000,44676
2023-11-09,249.0000,250.0000,240.1000,241.8500,23433
2023-11-10,242.1500,249.0000,242.0500,248.0500,23488
2023-11-13,252.0000,252.0000,242.2000,244.6500,12200
2023-11-15,244.7000,248.9000,240.1500,241.4000,13026
2023-11-16,241.4000,241.9000,233.0000,233.6500,28917
2023-11-17,234.5000,236.8000,229.0000,230.3500,17505
2023-11-20,230.0000,235.0000,224.5000,225.1000,14523
2023-11-21,230.0000,230.0000,221.0000,222.3000,19244
2023-11-22,229.0000,229.0000,222.6000,223.6500,8862
2023-11-23,229.0000,229.0000,222.5000,224.1000,10845
2023-11-24,224.1000,227.8000,220.5500,222.0000,17380
2023-11-28,220.0000,221.9500,218.0000,218.9500,28805
2023-11-29,218.0000,224.0000,216.6000,217.9500,20430
2023-11-30,217.0500,223.0000,216.4500,218.0500,20954
2023-12-01,220.0000,222.8500,218.1000,219.6000,11723
2023-12-04,220.0000,222.9500,219.0000,220.3000,12989
2023-12-05,223.9500,227.9000,220.1000,225.3000,30762
2023-12-06,229.9500,229.9500,220.1000,222.7500,50848
2023-12-07,227.0000,242.9000,224.1000,237.0500,136233
2023-12-08,252.0000,260.7500,243.0000,258.8000,198797
2023-12-11,268.9000,276.1000,265.0000,275.5000,183959
2023-12-12,287.0000,297.0000,284.0000,291.8000,130460
2023-12-13,300.0000,301.9500,278.5000,279.3000,157270
2023-12-14,281.0000,281.0000,265.3500,266.8000,116453
2023-12-15,271.7000,271.7000,259.4500,260.2500,39695
2023-12-18,266.7000,266.7000,253.1000,260.3000,72152
2023-12-19,258.0500,267.1000,258.0500,265.8000,48833
2023-12-20,268.9000,272.1000,261.3000,264.7000,110296
2023-12-21,261.0500,265.0000,254.1000,263.4000,54846
