date,open,high,low,close,volume
2023-09-20,1038.0000,1055.7000,1020.0000,1024.7500,85109
2023-09-21,1029.9000,1034.0500,994.6000,1003.4000,66589
2023-09-22,1010.0000,1012.1000,984.3000,999.8000,40371
2023-09-25,999.7000,1014.7000,991.0000,997.8500,49543
2023-09-26,1003.9000,1019.4000,988.8000,1013.7000,53901
2023-09-27,1015.0000,1049.9000,1015.0000,1022.1000,101506
2023-09-28,1025.0000,1043.9000,1017.5500,1027.6000,56729
2023-09-29,1032.7000,1037.9000,1018.6000,1030.8500,65627
2023-10-03,1037.9000,1054.8000,1030.0500,1050.1000,106337
2023-10-04,1054.8500,1078.0000,1027.6000,1072.8500,188240
2023-10-05,1084.0000,1089.8000,1060.6500,1082.0000,103482
2023-10-06,1078.3500,1084.9500,1065.1500,1079.9500,73864
2023-10-09,1065.0000,1076.4000,1044.1500,1053.0000,84335
2023-10-10,1058.3000,1075.0000,1047.5500,1057.1000,50245
2023-10-11,1062.7000,1077.9500,1045.0000,1071.5500,61824
2023-10-12,1077.2000,1143.9500,1063.4000,1113.0500,267344
2023-10-13,1115.0000,1123.6500,1105.1000,1107.9000,82628
2023-10-16,1097.8500,1129.7500,1073.1000,1093.1000,87624
2023-10-17,1097.0000,1106.9000,1065.5500,1070.2500,63691
2023-10-18,1079.8500,1098.0500,1060.0000,1088.4000,57392
2023-10-19,1080.0000,1095.0500,1068.2000,1072.5500,36863
2023-10-20,1077.9500,1084.2500,1060.0000,1065.4500,39802
2023-10-23,1067.9500,1070.8000,991.0000,997.4000,132784
2023-10-25,1011.3500,1019.7000,983.3500,999.7500,53839
2023-10-26,996.9500,996.9500,954.0000,976.7500,89532
2023-10-27,981.8500,1021.1000,981.8000,1016.6500,52548
2023-10-30,1016.6500,1033.9000,1001.2000,1014.9000,36571
2023-10-31,1020.2000,1032.5000,1010.5000,1025.5000,34843
2023-11-01,1027.0000,1039.5000,1007.9000,1020.6000,33081
2023-11-02,1027.6000,1036.9500,1001.1000,1008.8000,38875
2023-11-03,1016.0000,1058.2000,1013.0000,1053.1500,98047
2023-11-06,1054.0000,1098.5000,1050.2000,1091.4500,98820
2023-11-07,1054.0000,1108.9500,1054.0000,1075.9500,82522
2023-11-08,1080.0000,1115.9500,1079.5000,1097.5000,77286
2023-11-09,1095.2500,1137.9000,1082.1500,1106.4500,264234
2023-11-10,1115.0000,1230.0000,1111.5500,1199.0000,1483187
2023-11-13,1282.0000,1292.7500,1254.0000,1262.0500,276152
2023-11-15,1284.0000,1337.8000,1252.0500,1313.1500,345283
2023-11-16,1319.9500,1323.2000,1279.5000,1284.5000,107250
2023-11-17,1284.5000,1309.8000,1261.5500,1286.3000,76281
2023-11-20,1292.0000,1298.0000,1264.0500,1269.6000,84978
2023-11-21,1270.0000,1315.4000,1237.4500,1251.1500,115229
2023-11-22,1260.0000,1276.3000,1205.5500,1220.4500,180663
2023-11-23,1220.4500,1249.9000,1218.1000,1229.0000,91970
2023-11-24,1230.0000,1245.9500,1210.0000,1229.4500,67916
2023-11-28,1225.0500,1272.9500,1221.6000,1251.7000,86418
2023-11-29,1270.0000,1270.0000,1244.0000,1256.5000,58877
2023-11-30,1260.5000,1266.5500,1247.0000,1255.0000,63415
2023-12-01,1261.3000,1310.0000,1259.6000,1294.4500,178641
2023-12-04,1328.4000,1328.4000,1240.0000,1258.0500,156901
2023-12-05,1280.0000,1280.0000,1238.2000,1250.0000,132423
2023-12-06,1258.0000,1259.3000,1200.1000,1205.5000,174693
2023-12-07,1209.0000,1240.0000,1185.0500,1230.9500,129346
2023-12-08,1230.9500,1236.3000,1202.0000,1209.9000,66756
2023-12-11,1217.6000,1220.0000,1189.0000,1202.9000,73351
2023-12-12,1210.3000,1212.8000,1194.1500,1198.0000,70037
2023-12-13,1182.0000,1224.0000,1178.0000,1221.3000,88746
2023-12-14,1223.0000,1255.4000,1222.8000,1251.5500,102169
2023-12-15,1251.5500,1278.9000,1240.5500,1269.7000,111020
2023-12-18,1278.7000,1301.4000,1268.0500,1295.4000,106139
2023-12-19,1294.0000,1311.0000,1281.2500,1296.9000,145120
2023-12-20,1307.0000,1309.9500,1265.3500,1286.8000,145807
2023-12-21,1240.0000,1306.6500,1240.0000,1300.9000,113571
2023-12-22,1309.0000,1421.2000,1302.1000,1405.8000,514845
2023-12-26,1410.0000,1429.1000,1396.0000,1421.1000,199075
2023-12-27,1425.8500,1428.2500,1376.4000,1392.0500,122822
2023-12-28,1392.0000,1395.0000,1368.0500,1373.5500,90812
2023-12-29,1375.0000,1396.0000,1340.2000,1356.1500,81734
2024-01-01,1368.3000,1425.4000,1341.0500,1355.9500,313018
2024-01-02,1366.9000,1398.0000,1345.9500,1393.9500,213457
2024-01-03,1400.0000,1420.0000,1380.1000,1399.7000,129735
2024-01-04,1399.0000,1419.9000,1382.0500,1406.8500,121300
2024-01-05,1415.7500,1424.0000,1379.8500,1399.7500,107829
2024-01-08,1409.9500,1423.0000,1375.0000,1389.6000,144865
2024-01-09,1402.0000,1470.0000,1391.5500,1445.1500,421273
2024-01-10,1448.0500,1482.4500,1409.2500,1438.1000,191080
2024-01-11,1440.0000,1441.0000,1420.3000,1429.8000,43171
2024-01-12,1434.0000,1450.0000,1415.2000,1442.1500,68356
2024-01-15,1447.0000,1461.0000,1420.0000,1457.5000,83547
2024-01-16,1465.4000,1479.9500,1453.3500,1475.3500,93164
2024-01-17,1475.0000,1493.0000,1436.0000,1480.0000,129597
2024-01-18,1479.0000,1508.8500,1425.2500,1450.6000,134992
2024-01-19,1459.9500,1498.4000,1450.1000,1477.2000,90803
2024-01-23,1452.0000,1519.9500,1433.0500,1504.1000,131227
2024-01-24,1519.0000,1550.0000,1474.3500,1479.8000,127749
2024-01-25,1494.9000,1494.9000,1440.0000,1446.5000,75613
2024-01-29,1459.0000,1467.0000,1412.6000,1420.3500,114093
2024-01-30,1419.8500,1461.0000,1390.0000,1448.4500,156757
2024-01-31,1455.0000,1456.0000,1436.1000,1448.3500,107567
2024-02-01,1449.0000,1452.9500,1396.0500,1400.3500,190701
2024-02-02,1404.9500,1441.0000,1390.0000,1401.0500,62562
2024-02-05,1401.0000,1420.0000,1391.2000,1402.5000,151214
2024-02-06,1407.8000,1463.0000,1401.0500,1411.4500,175075
2024-02-07,1422.0000,1425.0500,1393.7500,1400.1000,142528
2024-02-08,1420.0000,1448.8000,1389.8500,1439.9000,95232
2024-02-09,1445.0000,1473.0500,1396.2500,1428.8000,206153
2024-02-12,1429.0000,1547.8000,1411.1500,1481.3500,354956
2024-02-13,1480.0000,1531.0000,1440.9000,1527.1500,169995
2024-02-14,1524.8000,1538.3500,1485.1500,1517.7000,133568
2024-02-15,1529.4500,1557.9500,1514.7000,1543.5500,120983
2024-02-16,1543.0000,1588.8000,1535.0000,1572.3500,86407
2024-02-19,1584.4500,1619.0500,1547.0500,1597.7000,122943
2024-02-20,1599.6000,1603.9500,1555.6500,1562.0000,44484
2024-02-21,1572.5000,1572.5000,1527.0000,1545.4500,102635
2024-02-22,1555.0000,1555.0000,1515.0000,1521.5000,54531
2024-02-23,1529.1500,1530.0000,1490.0000,1499.2500,93032
2024-02-26,1499.2500,1501.9000,1454.2000,1473.2500,79895
2024-02-27,1473.6000,1483.3500,1427.0000,1433.5000,106884
2024-02-28,1446.1000,1494.9000,1433.5000,1452.2000,95325
2024-02-29,1455.0000,1496.7000,1418.6500,1483.0000,112553
2024-03-01,1500.2000,1533.6000,1497.8500,1527.0500,67274
2024-03-04,1540.0000,1540.0000,1485.0000,1491.7000,44596
2024-03-05,1499.2000,1499.2000,1425.0000,1430.1000,99546
