date,open,high,low,close,volume
2023-09-22,619.0000,625.3500,616.1000,619.5000,100807
2023-09-25,619.9500,639.0000,616.0500,635.8500,481211
2023-09-26,638.9000,647.5000,637.1000,643.9500,110851
2023-09-27,642.6500,647.0500,629.4000,632.4000,125126
2023-09-28,633.0000,638.9500,624.5000,634.5500,190151
2023-09-29,634.6000,647.6000,630.1000,645.7000,172511
2023-10-03,648.9000,672.3000,644.0000,660.8000,1207326
2023-10-04,668.0000,668.0000,643.5500,644.9500,235534
2023-10-05,648.1500,658.7000,642.2500,655.4000,120116
2023-10-06,657.9000,659.3000,641.0000,646.7500,111857
2023-10-09,646.7500,659.0000,636.5000,648.8000,166312
2023-10-10,650.3500,662.0500,645.6500,658.0500,75729
2023-10-11,661.3000,666.8500,647.2000,655.4500,138935
2023-10-12,655.9000,658.7000,643.0500,646.4500,79749
2023-10-13,645.7000,661.0000,640.0000,658.7000,134635
2023-10-16,660.0000,663.0000,641.0500,643.5000,115458
2023-10-17,646.9000,649.3000,635.0000,637.2500,79647
2023-10-18,640.4000,656.9500,635.1000,653.1500,128565
2023-10-19,654.0000,671.7500,646.9500,660.1500,306644
2023-10-20,663.4500,673.6500,625.7500,629.6000,266765
2023-10-23,629.9500,634.9500,617.6500,621.3500,127497
2023-10-25,622.4000,637.9500,608.3000,630.8000,135614
2023-10-26,622.1000,624.7000,606.3000,614.7000,148312
2023-10-27,617.8500,627.9500,615.7000,623.3000,45005
2023-10-30,616.0000,625.6500,613.2500,618.1500,49061
2023-10-31,620.0000,620.6000,585.5000,590.1500,368750
2023-11-01,593.1000,613.8000,593.0000,609.3500,163661
2023-11-02,610.5000,619.9000,610.5000,616.3000,91661
2023-11-03,616.7000,620.7500,607.0000,610.7000,84765
2023-11-06,615.0000,637.9500,613.7000,636.0000,253566
2023-11-07,638.0000,638.0000,620.0000,625.2500,116294
2023-11-08,628.0000,637.7500,615.4000,635.8500,158455
2023-11-09,638.9000,641.4500,618.0000,625.3500,300315
2023-11-10,627.0000,641.0000,621.6000,625.6000,151439
2023-11-13,631.7500,637.0000,625.3000,633.3500,58155
2023-11-15,633.3500,636.7000,629.3500,635.0000,54357
2023-11-16,641.3500,645.0000,637.1000,640.3000,94999
2023-11-17,638.0000,639.7500,625.1500,627.0000,64739
2023-11-20,627.9500,633.9000,615.0000,619.7000,150084
2023-11-21,622.8000,631.8000,620.0000,629.7500,60902
2023-11-22,632.8500,641.9500,626.1500,635.4500,110665
2023-11-23,635.9000,642.0000,635.0000,640.3000,61229
2023-11-24,640.0000,641.8500,625.2000,628.8500,117804
2023-11-28,625.1000,636.6500,622.1500,634.0000,132378
2023-11-29,635.1000,653.9500,630.0000,651.8500,270227
2023-11-30,654.9000,662.5000,643.6500,660.1500,197409
2023-12-01,675.0000,677.9500,654.0000,657.5000,176404
2023-12-04,657.5500,668.0000,645.9000,662.6000,190789
2023-12-05,662.6000,666.5000,651.3500,657.6500,99218
2023-12-06,659.9500,672.9500,654.5000,668.6500,353357
2023-12-07,668.0000,668.0000,651.3500,657.4000,375908
2023-12-08,655.0000,665.0000,646.3000,650.5000,201581
2023-12-11,651.9000,653.7500,643.0000,647.5000,80541
2023-12-12,650.3500,652.9500,633.1000,644.7000,143784
2023-12-13,645.0000,658.2500,640.0000,652.7000,83052
2023-12-14,652.9000,660.0000,634.2500,637.2500,142271
2023-12-15,640.0000,645.9500,635.9000,639.6500,267069
2023-12-18,639.6500,642.8000,627.3000,628.8500,106910
2023-12-19,628.9000,634.9500,626.0000,628.9500,72565
2023-12-20,632.3000,634.9500,623.7000,624.9500,107126
2023-12-21,624.0000,655.4000,620.5500,634.3000,498427
2023-12-22,630.7500,642.6500,626.1000,630.6000,288785
2023-12-26,625.5000,646.6000,625.5000,640.1000,426067
2023-12-27,643.3000,643.3000,633.8500,635.3000,139602
2023-12-28,638.2500,638.2500,622.6000,626.2500,313094
2023-12-29,625.0000,650.0000,624.1500,643.7500,415526
2024-01-01,643.7500,647.9500,632.6000,633.5000,135892
2024-01-02,635.9500,635.9500,624.1000,629.8500,163082
2024-01-03,630.0000,632.9500,621.3000,623.9000,114519
2024-01-04,628.0000,636.0000,625.0000,630.4000,210606
2024-01-05,630.6000,636.9000,626.8000,632.0000,58663
2024-01-08,632.0000,635.2000,620.0000,630.4000,134057
2024-01-09,630.4000,640.3000,627.5000,635.4000,96720
2024-01-10,635.5000,641.8000,625.2500,636.6000,96976
2024-01-11,636.6000,644.2000,636.6000,641.1500,91268
2024-01-12,641.1500,643.8000,635.3500,642.8500,61133
2024-01-15,647.9000,648.0000,631.0000,635.3000,81702
2024-01-16,635.0500,637.7500,632.2500,636.2000,38423
2024-01-17,630.4000,633.9500,626.3500,628.3500,59105
2024-01-18,625.6000,632.0000,623.0000,629.3000,71363
2024-01-19,631.0000,637.9000,629.3500,633.6500,69610
2024-01-23,631.1500,639.4000,627.0000,633.4500,132957
2024-01-24,633.4500,644.2000,630.1500,636.8500,107858
2024-01-25,640.0000,643.2500,634.0000,641.9000,63607
2024-01-29,644.9000,674.0000,644.1000,668.3000,513506
2024-01-30,675.0000,678.9500,668.7500,673.0500,219458
2024-01-31,671.0000,688.2500,667.6000,671.0500,492299
2024-02-01,671.0500,674.8500,667.4000,670.0000,103305
2024-02-02,670.2000,677.3000,639.0500,645.2000,227117
