date,open,high,low,close,volume
2024-08-08,419.0000,424.8000,383.2500,386.7500,14377496
2024-08-09,398.0000,399.9000,389.0500,397.0500,2584165
2024-08-12,398.0000,400.7500,389.0500,390.3000,1195723
2024-08-13,390.0000,394.0000,379.3000,381.1500,999278
2024-08-14,382.9500,385.0000,368.2000,372.2500,909917
2024-08-16,380.0000,397.4000,373.1000,392.8000,1464796
2024-08-19,398.0000,402.5000,391.0500,393.9000,1265384
2024-08-20,394.0000,396.0000,386.0000,389.1000,699752
2024-08-21,390.0000,397.6000,386.2000,390.8500,604419
2024-08-22,391.0000,409.7000,389.7500,397.3000,1806007
2024-08-23,401.4000,406.1000,396.5000,400.9500,911770
2024-08-26,404.8500,404.9000,391.1000,393.8000,728742
2024-08-27,408.5000,421.5000,400.1000,404.2500,3682889
2024-08-28,408.0500,409.9500,396.0000,396.8500,788103
2024-08-29,400.9500,401.4000,387.1500,389.1500,825213
2024-08-30,392.7500,403.7000,390.1000,394.0500,864163
2024-09-02,400.0000,402.0000,391.7000,392.9000,557247
2024-09-03,393.4000,393.9500,383.4000,387.8500,558055
2024-09-04,382.3000,394.2000,382.3000,390.9000,528786
2024-09-05,390.0000,391.5000,381.8000,386.0000,511565
2024-09-06,386.9500,388.8500,377.2500,381.4000,700386
2024-09-09,379.4500,379.6000,368.5000,369.4500,527229
2024-09-10,374.0000,380.4500,367.9000,370.4500,573384
2024-09-11,373.0000,382.0000,370.8000,375.0500,605551
2024-09-12,378.9500,384.0000,374.5000,380.4500,592066
2024-09-13,384.0000,387.5000,380.5500,384.7500,348843
2024-09-16,385.0000,386.0000,376.6000,381.7500,469766
2024-09-17,381.6500,381.6500,374.5000,377.2000,251178
2024-09-18,399.0000,399.6000,387.5000,390.9000,2517765
2024-09-19,390.9000,393.1500,375.0000,379.5500,490009
2024-09-20,381.6500,385.2000,377.0000,379.9500,362503
2024-09-23,384.0000,396.9000,381.6500,392.2500,635474
2024-09-24,394.5500,395.0000,383.5000,388.7000,586214
2024-09-25,391.0000,394.7000,382.3000,387.9000,354650
2024-09-26,388.0000,388.0000,382.7000,384.7500,268268
2024-09-27,385.9500,387.0000,380.0000,380.3500,232288
2024-09-30,380.9000,382.0000,375.0500,376.3000,174821
2024-10-01,376.2000,388.8000,375.1000,385.7500,510742
