date,open,high,low,close,volume
2023-09-22,281.0000,283.4000,276.6000,279.5000,1495556
2023-09-25,283.2500,286.6500,280.5000,281.0500,3095986
2023-09-26,281.9500,282.9500,278.7000,279.6500,968854
2023-09-27,279.6000,281.6000,277.4000,279.9000,1236589
2023-09-28,280.0500,280.5500,271.4000,272.8500,1639324
2023-09-29,275.0000,278.9500,274.0000,276.8500,898310
2023-10-03,276.6500,276.6500,274.1000,275.6000,678800
2023-10-04,274.0000,275.6000,269.7000,271.5500,1344336
2023-10-05,272.2500,275.5000,271.5500,272.9000,636784
2023-10-06,273.6000,275.4000,272.2000,274.4500,724228
2023-10-09,272.5000,275.3500,267.7500,272.9000,1061225
2023-10-10,273.3500,285.7000,273.0000,284.2000,4210878
2023-10-11,286.0000,288.4500,283.9500,284.5000,3096897
2023-10-12,287.0000,293.0000,285.0000,291.0500,4572511
2023-10-13,291.0000,294.4000,288.7000,291.2000,3552488
2023-10-16,293.9000,300.9500,292.1000,295.3500,8581627
2023-10-17,297.8500,297.8500,292.6500,295.2000,2339061
2023-10-18,296.2500,297.9000,289.0500,293.8000,2350287
2023-10-19,293.0000,296.5000,290.1000,295.6000,1694556
2023-10-20,294.9500,297.5000,288.0000,289.1000,2239577
2023-10-23,289.1000,291.5000,276.0000,277.3000,2326748
2023-10-25,278.2500,282.8000,273.0500,275.7500,1270319
2023-10-26,275.0500,275.0500,263.4500,270.0000,2254962
2023-10-27,271.0500,280.8000,271.0500,279.6500,1400874
2023-10-30,280.3000,283.3000,277.4000,281.7000,934460
2023-10-31,282.8000,291.9000,282.1000,288.5500,3023658
2023-11-01,287.5000,289.1500,284.4500,285.3500,681230
2023-11-02,286.6000,288.8500,283.4500,286.0000,893169
2023-11-03,287.3000,289.2500,281.8500,286.9000,3943506
2023-11-06,287.6000,293.9000,287.6000,290.3500,1997583
2023-11-07,291.8000,292.7500,288.3000,290.1000,1336641
2023-11-08,295.5000,301.5000,292.0000,300.2000,5192656
2023-11-09,304.6000,309.8000,303.2000,307.2500,8498358
2023-11-10,306.8000,308.6000,304.0000,307.8000,2685242
2023-11-13,309.6500,309.6500,300.0500,300.8500,2268666
2023-11-15,303.4000,306.5000,303.0000,304.7500,2426532
2023-11-16,304.7000,317.8000,304.6000,309.0500,9067894
2023-11-17,310.0000,311.1000,305.6000,306.9000,2081644
2023-11-20,308.0000,309.0000,303.0000,304.6500,1485297
2023-11-21,305.0000,312.0000,305.0000,310.6000,3134275
2023-11-22,311.0500,314.6000,306.5000,312.2500,2069743
2023-11-23,314.1000,318.8000,309.7500,310.9500,4363615
2023-11-24,311.8000,312.5000,307.0000,308.6500,1498689
2023-11-28,311.3000,317.0000,308.6500,314.5000,3058903
2023-11-29,316.0000,322.9000,314.7000,319.0500,4692708
2023-11-30,320.0000,321.2000,315.0000,318.2500,3294977
2023-12-01,318.5000,324.0000,316.5000,320.2000,2325486
2023-12-04,324.0000,327.0000,322.0000,324.9500,3299972
2023-12-05,325.8000,328.9500,321.4500,328.3500,2446077
2023-12-06,329.9000,354.0000,329.0000,351.8500,11583736
2023-12-07,356.0000,356.2500,348.3500,349.5500,3763322
2023-12-08,350.0000,351.2500,338.4500,341.9000,1808585
