date,open,high,low,close,volume
2023-09-18,207.5000,209.4500,205.0000,207.1250,912880
2023-09-20,207.0250,207.2250,202.8500,203.8500,572692
2023-09-21,203.9500,204.7500,203.2750,203.8000,462848
2023-09-22,204.0000,206.9500,204.0000,206.2000,868790
2023-09-25,206.0000,208.0000,205.9500,207.6250,832804
2023-09-26,208.3500,209.8500,207.2500,207.6250,873390
2023-09-27,207.7500,210.5000,207.7500,208.9750,919592
2023-09-28,209.0000,210.9500,206.6500,207.9000,1047274
2023-09-29,209.8000,211.3250,206.0000,210.5750,983888
2023-10-03,212.2750,212.5000,210.5000,210.9000,691390
2023-10-04,211.5000,212.6250,210.1750,211.1000,793348
2023-10-05,212.4750,213.2000,210.6250,211.1000,1543826
2023-10-06,212.2500,213.4000,211.8500,212.6750,634914
2023-10-09,213.8750,213.8750,209.4750,210.0000,1054952
2023-10-10,211.4500,212.1000,209.0750,210.0750,596930
2023-10-11,211.3750,211.7000,207.9750,208.8750,1061860
2023-10-12,209.2500,211.0000,208.5500,210.1250,387338
2023-10-13,211.3250,212.3500,210.6250,211.6000,866718
2023-10-16,213.4500,218.6250,211.6500,214.2500,2184196
2023-10-17,219.5000,220.5000,215.2750,217.3500,1454816
2023-10-18,218.9750,219.3000,216.5000,217.1750,728986
2023-10-19,217.8750,218.4000,214.7000,215.6250,1125148
2023-10-20,215.5000,216.4750,211.7750,213.2250,680676
2023-10-23,213.2250,214.3500,203.5000,205.0750,1393512
2023-10-25,205.7750,207.1500,198.1000,201.2500,420918
2023-10-26,200.5250,201.1000,193.5000,198.9000,504650
2023-10-27,200.8750,208.1000,197.5250,204.1500,847470
2023-10-30,204.9500,205.4250,201.4750,204.2250,653262
2023-10-31,204.5000,206.9750,201.0000,204.9500,792302
2023-11-01,205.1750,205.3750,203.0500,204.4000,371340
2023-11-02,204.5000,206.2250,202.6500,205.3750,661220
2023-11-03,207.4250,207.4250,203.5000,204.2250,616018
2023-11-06,206.4500,206.7500,202.8000,206.1750,685756
2023-11-07,206.5000,208.9500,206.5000,208.3500,602150
2023-11-08,211.0000,217.2000,209.0000,215.5250,1919172
2023-11-09,217.7000,219.8500,215.8500,217.0250,1366178
2023-11-10,224.0000,224.0000,218.4500,220.5500,1288660
2023-11-13,226.8750,226.9250,223.7500,224.6250,1079314
2023-11-15,227.0000,227.8250,220.0750,221.4000,866108
2023-11-16,222.4000,222.4000,216.8000,219.2250,998568
2023-11-17,219.5000,221.4000,218.0000,220.1500,536024
2023-11-20,220.7500,221.4500,218.5500,219.7000,542936
2023-11-21,220.3500,220.7500,218.3250,219.0250,307446
2023-11-22,219.4000,219.5250,217.6500,218.8750,280374
2023-11-23,220.4500,220.4500,218.5000,219.2500,497638
2023-11-24,219.9500,220.5250,218.0000,218.5750,686086
2023-11-28,220.4000,221.3500,219.3250,219.8750,407994
2023-11-29,221.9750,223.2000,219.1500,220.4000,442704
2023-11-30,221.3000,221.3000,216.0000,217.1500,436092
2023-12-01,217.9750,219.3500,215.8000,218.2500,441154
2023-12-04,220.4750,221.8750,216.5000,220.4000,1007318
2023-12-05,222.6000,222.6000,218.5250,219.8750,1975840
2023-12-06,220.5000,220.9500,217.7250,218.5500,1739806
2023-12-07,218.9500,224.2500,216.7500,220.7750,1486232
2023-12-08,227.5000,227.5000,220.5750,221.5500,1116018
2023-12-11,228.7500,228.7500,223.7500,225.0250,1116974
2023-12-12,227.2000,228.3500,223.0500,224.0250,891710
2023-12-13,228.0000,228.4500,224.3000,224.9750,1842734
2023-12-14,225.9250,227.1750,223.5000,224.6750,813064
2023-12-15,225.9500,227.3500,220.6000,221.6000,1380510
2023-12-18,222.7000,224.2250,221.2500,221.7750,913374
2023-12-19,222.0250,223.0000,219.7750,221.8500,394924
2023-12-20,222.7000,229.0000,218.6500,219.9000,992764
2023-12-21,219.8750,221.5000,217.0250,220.4500,186330
2023-12-22,220.4500,221.6000,217.1250,218.2250,145774
2023-12-26,218.9500,221.3500,214.9000,219.6750,529856
2023-12-27,221.4000,224.8500,219.7000,222.5750,816930
2023-12-28,224.7500,230.7250,221.7500,228.0500,2069444
2023-12-29,229.2500,231.3000,227.8250,230.1250,1061134
2024-01-01,233.5000,235.3250,231.6250,232.5750,1226584
2024-01-02,234.0000,234.7250,229.5750,230.3250,857038
2024-01-03,230.9750,239.0000,229.0000,235.8500,718576
2024-01-04,238.2500,240.8500,237.1750,238.8250,749788
2024-01-05,239.7250,242.7500,238.9500,240.2750,701196
2024-01-08,241.9500,245.8000,241.0500,243.9250,1360830
2024-01-09,246.5250,253.2500,246.2500,251.7500,2037372
2024-01-10,264.7500,266.9000,257.0750,258.8500,3238934
2024-01-11,261.5000,264.3750,259.7000,261.4500,1455736
2024-01-12,264.4500,272.2500,262.8250,267.9750,2744946
2024-01-15,267.9750,267.9750,267.9750,267.9750,0
2024-01-16,280.0000,280.0000,265.6250,269.8250,5412990
2024-01-17,269.8250,271.4000,266.2500,267.9750,914090
2024-01-18,269.0000,269.9000,262.5000,268.0250,564284
2024-01-19,271.8750,273.6250,268.6250,270.8250,604156
2024-01-23,269.7250,270.2250,261.5500,263.4500,382514
2024-01-24,264.9750,271.8000,260.5000,269.9500,1148814
2024-01-25,271.2500,275.3500,269.9000,270.6000,746906
2024-01-29,271.4250,273.3500,268.0000,269.5500,316750
2024-01-30,270.4000,271.7500,267.8750,268.9000,580860
2024-01-31,269.6500,272.6500,266.2750,271.0750,392430
2024-02-01,272.2750,274.4500,269.2250,273.5500,801532
2024-02-02,276.0000,280.4500,275.6250,276.6750,1104530
2024-02-05,280.5000,282.3250,277.5250,278.5500,676600
2024-02-06,281.2500,282.3750,278.6000,279.2000,446110
2024-02-07,280.9000,282.1250,275.0000,276.5250,383404
2024-02-08,277.5000,280.5000,271.1000,276.8500,1197272
2024-02-09,282.0000,284.0000,273.6500,281.7000,815026
2024-02-12,284.1250,284.2500,276.0250,278.7250,648320
2024-02-13,280.5000,280.5000,270.0000,271.1000,396500
2024-02-14,270.5000,273.2000,266.0500,270.9500,405824
2024-02-15,272.7750,278.0000,272.1500,273.4750,514548
2024-02-16,275.0000,277.3500,269.4500,271.9500,577236
2024-02-19,275.0000,283.2750,275.0000,281.5500,1053640
2024-02-20,296.0000,302.0000,282.0500,289.5500,1234622
2024-02-21,290.0000,292.2000,283.0500,286.0000,574145
2024-02-22,291.5000,293.2500,286.0000,289.1500,493342
2024-02-23,290.0000,291.4500,285.2500,288.5500,242810
2024-02-26,289.9000,289.9000,283.5000,285.1000,242255
2024-02-27,285.6000,286.5000,275.2500,279.8500,148774
2024-02-28,280.9000,282.9500,272.1500,279.6500,919401
2024-02-29,276.0000,278.9000,270.3500,274.9500,455799
2024-03-01,276.2000,277.8000,271.7500,273.8000,383393
2024-03-04,280.0000,280.0000,270.1000,274.8500,274316
2024-03-05,277.5000,277.5000,269.1500,274.6000,423542
2024-03-06,274.6000,275.0000,268.0000,274.1000,657991
2024-03-07,274.8000,275.7000,268.0000,270.3000,293855
2024-03-11,270.7000,270.7500,260.2500,262.0000,286333
2024-03-12,262.0000,262.3500,250.3000,255.5000,538033
2024-03-13,258.8000,258.8000,243.8500,246.0500,592596
2024-03-14,246.8000,258.0000,244.0000,253.7000,303617
2024-03-15,254.0000,255.4500,247.0000,250.9000,391347
2024-03-18,253.9000,254.8000,247.6000,250.1000,260601
2024-03-19,250.9500,252.0000,246.1000,249.0500,511953
2024-03-20,250.2000,252.8000,245.5500,249.9000,666416
2024-03-21,253.0000,257.3500,250.2000,252.3500,575649
2024-03-22,255.9500,262.5500,254.1500,258.5000,500296
2024-03-26,258.6500,263.5000,256.0000,261.6500,535326
2024-03-27,261.8500,264.5000,259.1500,260.4000,784066
2024-03-28,264.5000,275.8000,262.2500,273.4000,702145
2024-04-01,279.0000,282.3000,275.6000,280.0000,623886
2024-04-02,288.5000,296.6500,285.4000,289.7000,1087215
2024-04-03,296.0000,296.8000,289.0000,290.5000,729718
2024-04-04,295.0000,295.9000,287.5000,289.0000,583486
2024-04-05,290.1500,294.3000,287.3500,292.4000,948825
2024-04-08,294.9000,307.5000,294.0000,304.3000,2315033
2024-04-09,308.5000,310.3000,304.5000,307.0000,995668
2024-04-10,308.8000,311.8000,307.0500,308.1500,739713
2024-04-12,309.2000,311.8500,302.5000,303.1500,576324
2024-04-15,301.5000,304.4000,291.0000,297.1500,588737
2024-04-16,297.0500,305.7500,296.3500,301.5500,897437
2024-04-18,308.9500,316.2000,308.0000,310.2500,1633025
2024-04-19,309.5500,316.0000,304.2000,314.4500,789111
2024-04-22,323.8500,328.5000,322.0000,327.1000,2091452
2024-04-23,331.9500,335.5000,329.4500,330.3000,1878796
2024-04-24,334.4000,334.4000,320.9000,324.9500,941234
2024-04-25,326.6500,326.6500,320.4000,322.5000,401038
2024-04-26,325.3000,328.5000,323.5000,325.0500,403579
2024-04-29,328.0000,328.5000,323.5000,326.1500,484831
2024-04-30,326.8500,330.2500,323.3000,325.2000,486556
2024-05-02,328.8500,332.9000,324.5500,330.5500,651632
2024-05-03,333.9500,337.8000,330.3000,335.8000,1077671
2024-05-06,342.0000,345.2500,338.1000,341.5000,1142527
2024-05-07,344.0000,344.8000,335.0500,341.0000,1693449
2024-05-08,341.3500,342.8000,331.3000,332.3500,847547
2024-05-09,332.0000,333.6000,321.0500,322.6500,363976
2024-05-10,323.0000,324.5000,318.2500,322.3500,636883
2024-05-13,323.0000,324.7000,313.6500,315.5000,376328
2024-05-14,316.8500,322.0000,315.0000,319.5500,959264
2024-05-15,322.4000,334.5000,321.7000,330.1500,864894
2024-05-16,337.0000,337.5500,330.4500,336.1500,660716
2024-05-17,338.0000,339.0000,332.6000,337.9500,544179
2024-05-21,342.9500,343.2500,338.2500,340.0000,367208
2024-05-22,342.0000,344.0000,335.5000,339.7500,640248
2024-05-23,338.8000,348.9000,335.1000,345.0000,1282982
2024-05-24,347.0000,347.6500,342.1000,344.4500,418180
2024-05-27,348.5000,349.0000,344.0000,345.2000,622015
2024-05-28,345.9000,346.5500,338.7000,339.3000,480477
2024-05-29,340.1000,350.1000,336.8000,342.3500,668941
2024-05-30,343.1000,345.0000,341.5500,343.4000,665458
2024-05-31,348.0000,360.5000,346.0000,356.3500,3238956
2024-06-03,369.9000,374.0000,359.2000,365.5000,721486
2024-06-04,368.9000,368.9000,324.0000,331.9500,923081
2024-06-05,339.8000,359.4000,321.6000,353.6500,931167
2024-06-06,357.7000,362.0000,354.5000,356.0000,515998
2024-06-07,357.9000,363.1000,354.5500,361.1000,462644
2024-06-10,363.9500,364.6000,358.5000,360.7500,382092
2024-06-11,362.5000,365.9000,358.1000,363.3000,461982
2024-06-12,365.2500,368.8000,363.3500,365.3500,1092878
2024-06-13,366.9000,369.0000,366.0000,366.9000,691209
2024-06-14,368.2500,375.9000,367.3000,370.0000,741261
2024-06-18,375.8500,375.8500,371.0000,372.5500,438937
2024-06-19,374.7000,378.0000,367.2500,374.0000,749274
2024-06-20,375.4500,379.6000,373.6000,377.0500,639543
2024-06-21,379.0000,380.4500,376.0000,378.5500,520803
2024-06-24,378.0000,382.5000,374.7000,380.8000,324804
2024-06-25,382.4500,385.3000,380.5000,382.4500,690588
2024-06-26,383.5000,451.2000,382.1500,383.9500,1197222
2024-06-27,385.0000,388.2500,382.0000,384.7500,506518
2024-06-28,385.0000,388.0000,384.2500,386.7500,504288
2024-07-01,388.5000,394.8000,387.3500,392.1000,473372
