date,open,high,low,close,volume
2023-09-18,110.5000,110.9500,109.7500,110.5000,29134
2023-09-20,110.0000,110.1000,109.9500,110.0000,40908
2023-09-21,107.8000,108.1000,107.8000,107.8000,19994
2023-09-22,105.6500,108.0000,105.6500,105.6500,36903
2023-09-25,107.7500,107.7500,107.7500,107.7500,12075
2023-09-26,109.9000,109.9000,109.9000,109.9000,1031
2023-09-27,111.9000,112.0500,109.9000,111.9000,19086
2023-09-28,114.1000,114.1000,112.0000,114.1000,16039
2023-09-29,116.3500,116.3500,116.3000,116.3500,14772
2023-10-03,118.6500,118.6500,118.6500,118.6500,63790
2023-10-04,121.0000,121.0000,121.0000,121.0000,22454
2023-10-05,123.4000,123.4000,123.4000,123.4000,10956
2023-10-06,125.8500,125.8500,125.8500,125.8500,20037
2023-10-09,125.8500,128.3500,125.8500,125.8500,98317
2023-10-10,125.9000,126.0000,123.5000,125.9000,24481
2023-10-11,123.4000,125.7000,123.4000,123.4000,577
2023-10-12,124.9000,125.8000,123.2500,124.9000,32182
2023-10-13,122.4500,124.1000,122.4000,122.4500,13184
2023-10-16,123.0000,124.2500,116.3500,116.9500,81860
2023-10-17,118.9500,119.0000,115.0500,116.5000,29844
2023-10-18,118.6500,119.5000,114.3500,116.4000,36630
2023-10-19,116.0000,118.3000,114.0500,114.8000,29902
2023-10-20,115.8500,117.9000,115.0500,115.2500,35009
2023-10-23,117.4000,117.7000,109.5000,109.5500,24153
2023-10-25,109.5500,113.7500,104.1000,105.7500,39138
2023-10-26,103.8500,107.8000,103.8500,105.0500,47041
2023-10-27,105.5000,110.3000,105.5000,109.7500,53946
2023-10-30,112.0000,112.0000,105.9500,106.5500,48589
2023-10-31,107.0000,111.8500,106.0000,111.5500,69492
2023-11-01,110.0000,110.1500,107.0000,110.1000,26101
2023-11-02,110.0000,110.8500,108.8000,109.2000,2506
2023-11-03,107.6500,111.4000,107.6500,111.4000,20449
2023-11-06,111.4000,116.9500,108.3000,111.4500,54842
2023-11-07,112.8000,117.0000,110.3000,117.0000,46898
2023-11-08,122.4500,122.8500,122.4500,122.8500,30275
2023-11-09,128.9500,128.9500,128.9500,128.9500,53898
2023-11-10,128.9500,128.9500,122.5000,122.5000,189158
2023-11-13,120.1000,120.1000,118.9500,120.1000,59329
2023-11-15,122.0000,122.5000,121.9000,121.9000,27725
2023-11-16,124.4000,124.9500,120.0500,124.4000,35621
2023-11-17,124.0000,124.3500,123.9000,124.0000,6810
2023-11-20,122.0000,124.0000,122.0000,122.0000,8536
2023-11-21,122.0000,123.0000,121.9000,122.0000,23727
2023-11-22,120.7000,121.9000,119.6000,120.7000,21882
2023-11-23,118.5000,118.5500,118.3000,118.5000,5352
2023-11-24,120.8000,120.8000,118.6000,120.8000,7635
2023-11-28,123.2000,123.2000,122.9500,123.2000,16576
2023-11-29,120.7500,124.9000,120.7500,120.7500,149001
2023-11-30,120.8000,122.0000,118.3500,120.8000,66551
2023-12-01,120.4500,120.8000,120.0000,120.4500,43771
2023-12-04,122.8500,122.8500,122.0000,122.8500,34911
2023-12-05,123.1000,123.1000,122.5000,123.1000,53415
2023-12-06,123.1000,123.5000,122.1000,123.1000,26759
2023-12-07,125.5500,125.5500,125.5500,125.5500,33377
2023-12-08,128.0500,128.0500,128.0000,128.0500,78603
2023-12-11,130.6000,130.6000,130.6000,130.6000,72040
2023-12-12,132.0000,133.2000,130.6000,132.0000,29786
2023-12-13,133.8500,133.8500,133.0000,133.8500,38210
2023-12-14,136.5000,136.5000,131.2000,136.5000,112578
2023-12-15,134.0000,136.0500,134.0000,134.0000,40166
2023-12-18,136.6500,136.6500,131.5500,136.6500,47479
2023-12-19,136.5000,136.7000,135.0000,136.5000,56393
2023-12-20,135.0000,139.2000,135.0000,135.0000,60362
2023-12-21,136.5000,136.5000,135.0000,136.5000,23704
2023-12-22,136.5000,136.5000,136.0000,136.5000,34061
2023-12-26,136.1000,136.5000,136.0000,136.1000,21867
2023-12-27,138.8000,138.8000,136.0000,138.8000,15445
2023-12-28,137.0500,138.3000,136.5000,137.0500,14307
2023-12-29,135.1000,135.1000,135.0000,135.1000,19346
2024-01-01,137.8000,137.8000,137.8000,137.8000,4005
2024-01-02,140.5500,140.5500,139.0000,140.5500,19854
2024-01-03,143.3500,143.3500,140.1000,143.3500,42492
2024-01-04,141.5000,144.4500,141.0000,141.5000,14886
2024-01-05,139.5000,141.0000,139.5000,139.5000,34499
2024-01-08,139.6000,139.6000,139.1500,139.6000,22949
2024-01-09,139.5000,140.0000,139.5000,139.5000,6616
2024-01-10,142.0000,142.0000,139.6500,142.0000,15982
2024-01-11,140.7000,141.0500,140.2500,140.7000,39984
2024-01-12,143.4000,143.4000,140.9000,143.4000,23879
2024-01-15,144.5500,144.5500,141.7000,144.5500,13425
2024-01-16,146.8000,146.9000,146.0000,146.8000,30948
2024-01-17,144.1000,144.2500,143.9000,144.1000,29961
2024-01-18,145.9500,145.9500,142.2500,145.9500,11600
2024-01-19,146.0000,147.9500,146.0000,146.0000,10365
2024-01-23,158.2500,160.9000,145.7500,151.5000,60692
2024-01-24,149.9500,152.0000,147.0000,149.6000,23803
2024-01-25,146.0000,154.7000,145.9500,149.6500,12653
2024-01-29,147.2500,153.2500,147.2500,152.3500,10892
2024-01-30,153.5500,153.6000,150.0000,150.0500,18588
2024-01-31,152.3000,152.3000,148.5500,149.0000,20206
