date,open,high,low,close,volume
2023-09-20,15.0000,15.7000,14.7500,14.9000,133415
2023-09-21,15.2000,15.2000,14.6000,14.6500,37671
2023-09-22,14.6500,14.9500,14.2500,14.6500,70276
2023-09-25,14.6500,14.8000,14.5000,14.6000,32415
2023-09-26,14.8500,14.8500,14.2000,14.4000,11811
2023-09-27,14.2500,14.4500,14.0500,14.2500,32671
2023-09-28,14.4000,14.4000,13.7000,13.9500,26827
2023-09-29,14.2500,15.0500,14.0000,14.4000,79351
2023-10-03,14.5500,15.1000,14.2000,14.9000,43816
2023-10-04,14.7500,15.0000,14.4500,14.6500,46022
2023-10-05,15.0000,15.0500,14.3500,14.5500,21789
2023-10-06,14.9000,15.2500,14.5500,14.9500,53289
2023-10-09,15.3000,15.4000,14.1500,14.2000,80367
2023-10-10,14.2500,15.4000,14.2500,14.9000,101792
2023-10-11,15.3000,15.3000,14.9500,15.0500,71955
2023-10-12,15.1500,15.5500,14.8500,15.4500,115051
2023-10-13,15.4500,17.1000,15.4500,16.8500,341435
2023-10-16,17.5000,17.7500,16.1000,17.1000,196773
2023-10-17,17.2500,20.5000,17.2000,20.5000,2316759
2023-10-18,21.2500,24.4500,21.1500,23.6500,3398897
2023-10-19,23.6500,23.7000,21.3000,21.6500,744461
2023-10-20,21.5000,23.8000,20.5500,21.1000,1014561
2023-10-23,20.5500,21.3500,20.0500,20.0500,50842
2023-10-25,19.0500,19.4000,19.0500,19.0500,37671
2023-10-26,18.2000,18.7000,18.1000,18.4500,52555
2023-10-27,18.9500,18.9500,17.5500,18.4000,125517
2023-10-30,18.8500,18.8500,17.5000,17.5500,62036
2023-10-31,16.9000,17.9500,16.7000,16.9000,56809
2023-11-01,17.6500,17.6500,16.0500,16.1000,71652
2023-11-02,16.6000,16.8500,16.0500,16.3500,37012
2023-11-03,16.5000,17.1000,16.0500,16.8000,24057
2023-11-06,17.3000,17.6000,16.6000,17.5500,25235
2023-11-07,17.6000,18.2000,17.0000,17.8500,40947
2023-11-08,18.0000,18.7000,17.5000,18.2000,56773
2023-11-09,18.5000,18.8000,18.0000,18.2000,26985
2023-11-10,18.8000,18.8000,17.6000,17.8000,15969
2023-11-13,18.0000,18.0500,17.1500,17.9000,26932
2023-11-15,17.0500,18.2500,17.0500,17.4500,51714
2023-11-16,17.8000,18.3000,17.2000,18.3000,93060
2023-11-17,18.8500,18.9500,17.6500,18.7500,49188
2023-11-20,19.2500,19.2500,17.8500,18.6000,31710
2023-11-21,19.0000,19.5000,18.7000,19.4500,91695
2023-11-22,20.1500,20.1500,18.5000,18.6500,73123
2023-11-23,18.1500,18.9500,18.1500,18.5500,27172
2023-11-24,18.5500,18.6500,17.6500,17.8000,53485
2023-11-28,17.8000,18.3000,17.5500,17.7500,24772
2023-11-29,17.5000,18.3500,17.5000,18.1000,24414
2023-11-30,18.5500,18.6500,17.3000,17.8500,36582
2023-12-01,18.0000,18.4000,17.7000,17.8000,15978
2023-12-04,18.0000,18.2000,17.5500,17.7500,20583
2023-12-05,17.6000,18.2000,17.3000,17.6000,22512
2023-12-06,18.4000,18.4000,17.3000,17.5000,31583
2023-12-07,17.3000,17.7000,17.1000,17.5000,14747
2023-12-08,17.5000,17.7000,16.6500,17.2000,34259
2023-12-11,17.2000,17.6500,16.5500,17.5000,32462
2023-12-12,17.5000,17.9000,17.5000,17.6000,44111
2023-12-13,17.6500,18.4500,17.5500,18.0500,48565
2023-12-14,18.4500,18.6000,17.5000,17.8500,37269
2023-12-15,18.5000,18.5000,17.3000,17.6500,24142
2023-12-18,17.6500,17.9500,17.6000,17.6500,37331
2023-12-19,17.6500,17.8500,17.2500,17.5000,36847
2023-12-20,17.9000,17.9500,17.0500,17.0500,40092
2023-12-21,17.6000,17.6000,16.6000,17.3500,15172
2023-12-22,17.4000,17.9000,17.1000,17.1500,9080
2023-12-26,17.1500,17.6000,16.6500,17.1500,15202
2023-12-27,17.1500,17.5000,16.9000,16.9500,15658
2023-12-28,16.9000,16.9500,16.5000,16.6000,17533
2023-12-29,17.2500,17.2500,16.5000,16.9000,18770
2024-01-01,16.9000,17.7000,16.9000,17.7000,31059
2024-01-02,17.8000,18.2000,17.2500,17.5500,18374
2024-01-03,17.7000,18.1500,17.4000,17.4000,19765
2024-01-04,17.8500,18.1500,17.3500,17.9500,43390
2024-01-05,18.1500,18.1500,17.5500,17.9500,22579
2024-01-08,17.3500,18.2000,17.3500,17.6500,23651
2024-01-09,17.5500,17.8000,17.2000,17.5500,28464
2024-01-10,17.2000,17.7000,17.0000,17.0500,40586
2024-01-11,17.5000,17.5000,17.0000,17.0500,21988
2024-01-12,17.1000,17.5000,16.5500,17.2000,85126
2024-01-15,17.4500,18.0500,17.1000,18.0500,110968
2024-01-16,17.6500,18.4500,17.6500,18.1500,49172
2024-01-17,18.1500,18.5000,17.8000,18.0000,32816
2024-01-18,18.0000,18.3000,17.5000,18.0000,16515
2024-01-19,18.4500,18.4500,17.6000,17.9000,11279
2024-01-23,18.3500,18.5000,17.7500,18.1000,61475
2024-01-24,18.5000,18.5000,18.0000,18.3500,18567
2024-01-25,18.5500,18.9500,18.1000,18.4000,58391
2024-01-29,18.0500,18.8000,17.6500,18.2500,59526
2024-01-30,18.4500,18.7500,18.3000,18.4000,44249
2024-01-31,18.3000,19.3000,18.3000,19.3000,119071
2024-02-01,20.1000,20.2500,18.5500,19.7500,324456
2024-02-02,20.2000,20.7000,19.2500,20.0500,182104
2024-02-05,20.5000,20.9000,19.5500,20.5500,133302
2024-02-06,20.6500,21.5500,20.6500,21.5500,263531
2024-02-07,22.3500,23.4500,21.0000,22.0000,340019
2024-02-08,22.6500,22.9000,20.9500,21.1000,143749
2024-02-09,21.6500,21.6500,19.4000,20.3000,165943
2024-02-12,20.1000,20.3500,18.3500,18.5000,161982
2024-02-13,18.5000,20.3500,17.2500,20.0500,317912
