date,open,high,low,close,volume
2023-09-25,284.3000,289.0000,281.1500,288.0500,9118957
2023-09-26,288.4500,291.4000,286.1500,286.7500,11256196
2023-09-27,288.0000,293.4000,284.5000,291.5500,12805340
2023-09-28,291.5500,294.1500,289.0000,290.2000,12432497
2023-09-29,292.8000,297.5000,291.4000,295.2000,8640829
2023-10-03,297.0500,297.1000,290.1000,291.9000,9348540
2023-10-04,290.8000,291.5000,285.9000,287.9500,6338888
2023-10-05,288.8000,290.5500,283.9000,289.3500,8687014
2023-10-06,290.9500,291.0000,287.0000,287.8000,3741467
2023-10-09,286.0500,288.9500,283.0500,287.8000,4647845
2023-10-10,288.2500,303.9000,287.8000,303.2500,23283411
2023-10-11,304.5500,305.0000,299.4500,301.8500,12321154
2023-10-12,302.5500,309.1000,301.9000,307.2000,15375295
2023-10-13,305.0000,310.8500,304.4500,307.9500,9516879
2023-10-16,307.8500,313.6500,306.5500,312.0000,10535107
2023-10-17,313.0000,318.3500,312.1000,317.4000,7760527
2023-10-18,317.3500,319.7500,315.2500,316.9500,9662837
2023-10-19,315.3000,315.7000,308.8500,314.8000,8977527
2023-10-20,312.5000,316.7000,309.6000,312.4000,6009115
2023-10-23,312.5500,312.8500,305.0000,306.1000,8086150
2023-10-25,306.1000,312.7000,305.0000,310.3000,7253336
2023-10-26,309.1500,309.1500,302.9000,305.2500,8329092
2023-10-27,306.0000,317.1500,306.0000,313.9500,10503070
2023-10-30,315.0000,315.8000,311.9500,314.5500,6229982
2023-10-31,316.7500,316.8000,310.7500,314.2500,7446586
2023-11-01,313.2000,315.8000,305.8500,306.6500,9593653
2023-11-02,308.9500,312.8000,307.3000,308.8500,7071960
2023-11-03,310.6000,314.7000,310.3000,312.0000,4658440
2023-11-06,313.2000,319.5500,313.0000,316.5500,10340818
2023-11-07,316.5000,318.8000,313.6500,314.2500,6826885
2023-11-08,316.0000,318.1500,314.5500,317.4000,6424833
2023-11-09,318.4500,324.5000,315.7000,323.5500,15503280
2023-11-10,324.4500,326.1500,321.5500,323.4000,8445203
2023-11-13,333.0000,350.0000,330.3000,349.3500,42178783
2023-11-15,359.0000,359.0000,348.6000,350.6000,35092206
2023-11-16,353.0000,354.5000,344.8500,345.8000,17617280
2023-11-17,348.0000,348.5500,342.3000,345.2500,13542916
2023-11-20,348.0000,352.4000,343.9500,347.7500,19032608
2023-11-21,335.0000,338.5000,328.8500,334.2000,15148068
2023-11-22,335.8000,337.9000,330.0000,332.1500,7599447
2023-11-23,332.5000,336.0500,330.0000,334.4500,6186567
2023-11-24,335.3500,337.4500,332.1000,332.8000,7054445
2023-11-28,334.8000,342.5000,333.3000,341.9500,10791886
2023-11-29,343.0000,345.0000,338.1000,342.3500,14149513
2023-11-30,345.0000,345.0000,338.0500,342.1500,11959336
2023-12-01,343.8000,351.1000,342.4500,346.6500,15105221
2023-12-04,351.1000,360.0000,350.6500,354.7000,22705896
2023-12-05,355.7000,356.4500,350.0000,355.5500,15782945
2023-12-06,355.8000,362.5000,349.4500,352.1500,14817158
2023-12-07,353.8000,353.8000,348.4000,351.9500,8507659
2023-12-08,352.0000,358.4000,346.9000,351.0000,13444251
2023-12-11,351.0000,358.6000,351.0000,353.6500,11420609
2023-12-12,354.1500,354.6000,345.1500,347.5000,8789103
