date,open,high,low,close,volume
2023-09-18,559.0000,563.4000,550.0000,554.4000,618187
2023-09-20,552.1000,552.4500,539.4500,543.3500,220344
2023-09-21,540.1000,545.0000,531.2500,536.2000,240325
2023-09-22,536.9000,541.6000,527.0500,529.8500,164729
2023-09-25,528.0000,533.5500,518.0000,527.1500,114406
2023-09-26,528.3500,544.9000,524.2500,530.7000,360749
2023-09-27,531.9000,540.9500,528.0000,535.1000,132995
2023-09-28,535.5500,550.0000,533.0000,544.0500,257318
2023-09-29,547.0000,567.0000,544.1000,561.3500,441833
2023-10-03,578.9500,578.9500,565.2500,573.9000,402551
2023-10-04,570.0000,570.0000,558.6500,567.1000,140615
2023-10-05,567.0000,575.0000,556.4000,573.5500,286455
2023-10-06,572.1000,574.4500,564.0000,565.2500,129886
2023-10-09,561.9000,568.7000,545.1000,565.9000,211392
2023-10-10,565.0500,567.3500,557.5000,562.1500,414403
2023-10-11,562.1500,576.1000,562.1500,573.4500,190055
2023-10-12,573.4500,594.6500,573.0000,589.9500,552601
2023-10-13,589.0000,595.0000,576.1000,589.9500,360319
2023-10-16,586.4500,591.0000,579.0500,582.4500,262661
2023-10-17,583.0000,587.8000,572.6000,582.0000,259326
2023-10-18,582.0000,587.9000,564.8500,580.0000,257194
2023-10-19,576.1000,576.1000,568.0000,574.5000,141567
2023-10-20,571.6000,600.0000,571.1500,589.1000,834489
2023-10-23,588.0500,589.1000,560.1000,572.4500,159983
2023-10-25,579.0000,580.0000,565.6000,574.7500,470890
2023-10-26,571.6000,575.0000,541.0000,570.6000,380960
2023-10-27,569.9500,572.4500,558.9000,568.3500,116797
2023-10-30,568.0000,575.0000,560.4000,564.1500,165475
2023-10-31,564.1500,588.2000,560.4500,578.7000,247346
2023-11-01,581.5500,581.5500,570.1500,573.1500,55970
2023-11-02,573.1500,580.7500,573.1500,578.7000,120752
2023-11-03,576.5000,585.5000,552.0500,557.0000,347532
2023-11-06,557.0000,574.0000,554.1000,570.8000,143915
2023-11-07,573.7500,579.9500,566.9000,571.8500,251607
2023-11-08,572.0000,574.8000,565.0000,568.2500,163900
2023-11-09,568.3000,569.8500,550.0000,556.6000,212363
2023-11-10,549.7000,585.9000,542.1000,580.7000,769856
2023-11-13,582.6500,584.8500,576.0000,577.9500,92624
2023-11-15,578.0000,580.7000,558.5000,570.2000,237076
2023-11-16,573.2000,576.8500,565.0500,570.5000,154853
2023-11-17,570.5000,580.0000,563.0000,579.9000,192190
2023-11-20,580.0000,595.0000,577.0000,593.4000,393959
2023-11-21,600.0000,615.0000,593.3500,600.0500,461932
2023-11-22,615.0000,622.0000,605.0000,611.0500,583129
2023-11-23,611.5000,621.0000,604.2000,614.0500,149910
2023-11-24,614.0000,634.9500,608.5000,615.4000,589234
2023-11-28,624.9000,659.4500,611.8000,649.4000,1333986
2023-11-29,652.7500,671.4500,643.2000,655.3500,509064
2023-11-30,655.6000,665.0000,648.0000,659.7000,184501
2023-12-01,659.7000,683.0000,659.7000,674.3500,387978
2023-12-04,680.5000,690.0000,670.0000,675.0000,157787
2023-12-05,678.3500,681.4000,662.3500,667.3000,183098
2023-12-06,670.0000,676.8500,655.3000,666.3000,325843
2023-12-07,666.0000,686.7000,660.2500,682.5500,377445
2023-12-08,686.1000,688.0000,660.0000,665.6500,132985
2023-12-11,665.6500,700.0000,663.0500,690.2000,649196
2023-12-12,692.0000,701.6000,680.1000,695.7500,181296
2023-12-13,698.8000,698.8000,680.1500,688.1000,145370
2023-12-14,691.7000,691.7000,669.5500,673.2500,193133
2023-12-15,676.7500,718.1000,671.5500,698.6000,663281
2023-12-18,695.5000,708.9500,687.0000,694.6000,513694
2023-12-19,698.1000,700.0000,680.2500,687.6500,127803
2023-12-20,691.1000,697.5000,660.7000,674.8500,210550
2023-12-21,656.0000,681.2500,656.0000,675.8000,162847
2023-12-22,679.0000,720.0000,674.8500,712.1000,390855
2023-12-26,720.0000,720.0000,694.0000,709.7000,144654
2023-12-27,715.0000,720.0000,694.1500,697.0500,129841
2023-12-28,705.0000,706.0000,693.1000,698.2000,124206
2023-12-29,699.4000,730.0000,697.0500,722.8000,396489
2024-01-01,728.0000,740.0000,712.0000,720.3500,207098
2024-01-02,722.0000,731.6000,712.4500,727.5500,424799
2024-01-03,730.0000,750.0000,723.0500,738.7500,389437
2024-01-04,740.0500,768.0000,740.0500,750.9000,277193
2024-01-05,754.9000,760.9500,737.2000,743.9000,120106
2024-01-08,743.9500,747.4500,717.8000,723.0000,97512
2024-01-09,726.6000,739.6500,719.8500,729.6000,94449
2024-01-10,729.0000,735.7000,720.6000,734.5500,189695
2024-01-11,736.9500,739.5000,713.2500,724.6000,120786
2024-01-12,727.8000,727.8000,712.0500,718.2000,120274
2024-01-15,720.5000,724.0500,695.5500,703.0500,275874
2024-01-16,706.0000,706.5500,675.3500,694.3000,208612
2024-01-17,694.3000,694.3000,651.1000,668.1500,149206
2024-01-18,674.8000,685.0000,651.1500,680.7500,202820
2024-01-19,685.5000,698.0000,682.0000,686.8500,301472
2024-01-23,707.2500,720.0000,675.2500,686.8000,113067
2024-01-24,682.7000,691.2500,651.8500,685.1500,109434
2024-01-25,688.5500,696.7000,675.0000,681.6000,47969
2024-01-29,685.0000,695.9500,673.5500,683.4000,160981
2024-01-30,680.0000,699.0000,671.6500,685.1000,293448
2024-01-31,682.2000,682.2000,670.0000,672.8000,72134
2024-02-01,674.8000,674.8000,644.8000,659.9500,181735
2024-02-02,663.0000,669.7000,646.0000,652.6000,139987
2024-02-05,653.0000,655.2500,642.7500,653.1000,179323
2024-02-06,606.0000,634.0000,585.2000,614.1500,2019278
2024-02-07,616.0000,634.6500,615.0500,621.2500,516783
2024-02-08,624.3500,640.1000,623.3000,634.5500,1068698
2024-02-09,637.8000,639.9500,619.0500,625.0000,152053
2024-02-12,627.0500,644.4000,627.0500,635.5500,409812
2024-02-13,636.8000,672.8500,634.9500,656.3500,994479
2024-02-14,658.9500,658.9500,650.0500,655.1500,147914
2024-02-15,656.2500,661.0000,652.4500,655.7500,67305
2024-02-16,654.0000,676.4000,653.9500,669.6500,209948
2024-02-19,672.5000,686.0000,669.6500,673.1500,123953
2024-02-20,676.0000,677.9000,668.6500,672.1500,69914
2024-02-21,674.1500,683.0000,664.2000,668.4000,143772
2024-02-22,671.7000,675.0000,662.0000,665.0000,147973
2024-02-23,668.3000,669.9500,658.0000,664.6000,378135
2024-02-26,678.0000,698.8000,666.0000,670.6500,283809
2024-02-27,674.0000,674.0000,658.0000,664.3000,91797
2024-02-28,660.9000,667.6000,636.9500,642.6000,278121
2024-02-29,643.0000,645.8000,625.0000,629.4000,300601
2024-03-01,648.9000,715.0000,645.0000,686.1000,14277053
2024-03-04,730.0000,730.0000,685.0000,694.8500,786425
2024-03-05,683.0500,689.4000,651.1500,659.0000,401755
2024-03-06,662.0000,678.9000,645.3000,675.1000,514264
2024-03-07,673.0000,678.6000,657.5500,661.8000,118644
2024-03-11,661.8000,665.3000,645.1500,650.7000,90280
2024-03-12,644.8000,656.6500,637.9500,653.8000,884796
2024-03-13,657.2000,657.2000,624.0000,632.4500,238886
2024-03-14,628.0000,640.3500,624.0500,637.9500,140676
2024-03-15,637.5500,641.1500,612.0000,618.6000,228319
2024-03-18,613.0000,629.4000,599.0500,617.8500,149954
2024-03-19,614.7500,618.0000,608.0000,610.4500,71124
2024-03-20,612.8000,624.0000,608.0000,620.0500,77121
2024-03-21,617.4500,638.8500,613.9000,630.8000,439127
2024-03-22,630.3000,655.0000,628.7000,650.0500,368493
2024-03-26,653.0000,653.0000,633.8500,642.3500,200308
2024-03-27,638.2500,645.2500,636.6500,639.9500,61318
2024-03-28,641.2000,693.9500,641.2000,677.1000,319943
2024-04-01,680.6000,683.2000,660.2500,669.7000,132385
2024-04-02,663.6000,671.9000,656.2000,659.0000,61513
2024-04-03,659.9500,671.5000,658.0000,663.4500,124550
2024-04-04,666.7500,668.5000,639.2500,645.6000,136174
2024-04-05,649.0000,659.0000,638.3000,648.2000,155403
2024-04-08,651.1000,656.0000,624.5000,628.3500,149195
2024-04-09,628.3500,640.0000,613.6000,631.0000,271061
2024-04-10,631.9500,633.2000,614.4500,615.6500,148300
2024-04-12,616.0000,629.9500,609.3000,625.6000,325671
2024-04-15,621.0000,633.8000,605.3500,627.6000,192469
2024-04-16,622.0000,638.2000,613.8500,634.3000,107056
2024-04-18,643.0500,653.9000,626.5000,650.4000,172913
2024-04-19,638.8500,649.9000,632.2500,644.5500,70598
2024-04-22,647.9500,651.0500,632.2500,637.4500,97371
2024-04-23,637.4500,649.7000,627.4500,645.4500,70579
2024-04-24,645.4500,649.0000,635.1500,641.5000,47789
2024-04-25,640.0000,649.8500,635.7500,646.8000,271782
2024-04-26,648.0000,664.5000,648.0000,659.7000,122136
2024-04-29,659.7000,662.0000,638.0500,650.9000,387440
2024-04-30,654.3000,664.5000,645.0000,660.4500,169236
2024-05-02,663.9000,672.0000,658.6500,669.6000,137164
2024-05-03,670.0000,674.9000,657.0000,672.1000,157209
2024-05-06,670.0000,676.8000,654.7500,668.4000,61022
2024-05-07,669.0000,670.3500,655.1000,666.0000,155647
2024-05-08,665.6000,668.0000,650.5500,661.1000,122213
2024-05-09,655.0000,663.0000,639.0000,645.6500,67938
2024-05-10,645.5500,654.1000,636.1000,643.9000,43550
2024-05-13,640.0000,674.0000,634.9500,663.0000,153513
2024-05-14,666.5000,669.8000,648.0000,652.7500,71043
2024-05-15,654.3500,664.3000,645.5500,648.3500,108685
2024-05-16,655.1500,655.1500,638.5000,644.9500,168389
2024-05-17,646.8500,649.5000,632.0000,644.1500,56119
2024-05-21,645.0000,646.5500,626.4500,630.5000,99062
2024-05-22,633.5000,633.7500,604.7500,620.5500,167318
2024-05-23,625.0000,636.2500,622.3500,630.2500,209227
2024-05-24,630.8500,637.4500,627.4500,632.1500,107330
2024-05-27,635.4500,637.7000,629.9000,634.6000,71653
2024-05-28,636.6500,645.0000,634.0000,643.1000,77281
2024-05-29,642.8000,655.0000,636.5500,650.5500,139424
2024-05-30,654.0000,654.4500,629.7000,632.0500,72178
2024-05-31,610.0000,640.6500,602.0000,617.3000,903867
2024-06-03,621.0000,624.8500,598.0000,610.5000,441486
2024-06-04,620.0000,629.0000,600.0500,618.2000,304741
2024-06-05,614.7500,642.2000,614.7500,630.4500,156464
2024-06-06,633.8000,641.0500,623.3000,635.5500,175224
2024-06-07,638.9000,659.0000,637.1000,648.3000,108056
2024-06-10,650.0000,704.9500,650.0000,681.6000,606932
2024-06-11,685.5000,686.0000,671.2500,681.0500,138007
2024-06-12,682.1500,683.0500,662.9000,671.8500,186935
2024-06-13,675.0000,677.0000,656.0000,667.9500,568182
2024-06-14,695.0000,728.0000,686.0000,719.1500,1115165
2024-06-18,725.0000,757.6500,725.0000,748.4500,873723
2024-06-19,753.0000,753.0000,730.8500,734.4000,227329
