date,open,high,low,close,volume
2023-09-20,22.0500,22.5000,22.0500,22.2500,55357
2023-09-21,22.0500,22.3500,21.6000,21.7500,66179
2023-09-22,21.7000,22.4500,21.3500,21.8000,91220
2023-09-25,22.0000,22.0000,21.6000,21.6500,36376
2023-09-26,21.6000,22.0500,21.4500,21.8000,47454
2023-09-27,21.8000,22.1000,21.6500,21.9000,39561
2023-09-28,22.3500,23.2500,22.0000,22.6500,231518
2023-09-29,22.7500,23.2000,22.0500,22.1500,95382
2023-10-03,22.4500,23.1000,21.7000,22.5000,145630
2023-10-04,22.5000,22.8000,21.7000,21.7500,130907
2023-10-05,22.0000,22.0000,21.6000,21.7000,77794
2023-10-06,21.5000,21.9000,21.5000,21.7000,57519
2023-10-09,21.5000,21.6500,20.3500,20.8500,143183
2023-10-10,20.8500,22.3500,20.8500,21.7500,114625
2023-10-11,21.8500,22.4500,21.6500,22.0500,121255
2023-10-12,22.4000,22.4000,21.7500,21.9000,42506
2023-10-13,21.7500,22.0000,21.6500,21.7000,40765
2023-10-16,21.6500,24.2000,21.6500,22.2000,435709
2023-10-17,22.5500,23.6500,22.4000,23.1000,314924
2023-10-18,23.6500,23.6500,22.5500,22.8000,109336
2023-10-19,22.5000,22.8000,22.3500,22.5000,53963
2023-10-20,22.5000,22.9500,22.2000,22.3000,57672
2023-10-23,22.2500,22.4000,20.6000,21.0000,153995
2023-10-25,21.1000,21.2500,20.3500,20.4000,120701
2023-10-26,20.0000,20.4000,19.6000,20.2000,80246
2023-10-27,20.5000,21.3000,20.5000,20.9500,96934
2023-10-30,21.2000,21.5000,20.7500,20.8500,72862
2023-10-31,21.2000,21.3000,20.8000,20.9000,43469
2023-11-01,20.5000,21.2000,20.5000,20.9000,70331
2023-11-02,21.1000,21.1500,20.8000,20.9500,33426
2023-11-03,21.2000,21.5000,21.0500,21.1000,127909
2023-11-06,21.5000,22.4000,21.1500,21.9500,240588
2023-11-07,21.8500,22.3000,21.8500,22.0000,48682
2023-11-08,23.0500,25.1500,23.0000,23.4000,1316383
2023-11-09,24.2500,24.8500,23.5000,24.1000,488725
2023-11-10,23.8000,24.2500,23.8000,24.1500,197672
2023-11-13,24.8500,24.8500,23.6000,23.8500,147599
2023-11-15,24.2000,24.3000,23.5000,23.6000,183303
2023-11-16,24.0000,24.8000,23.0000,24.3000,417357
2023-11-17,24.6500,25.0000,24.1000,24.2500,276972
2023-11-20,24.3000,24.9000,23.8000,24.2000,262191
2023-11-21,24.2000,24.5000,24.0000,24.1000,188257
2023-11-22,24.2500,28.9000,24.1000,28.9000,5326463
2023-11-23,30.4000,30.8000,29.2000,30.0500,2340999
2023-11-24,30.8000,36.0500,30.5000,36.0500,4835055
2023-11-28,37.9000,39.6500,36.2000,39.6500,4521791
2023-11-29,40.4500,43.6000,40.0000,43.6000,4162940
2023-11-30,43.3000,43.3000,41.4500,41.4500,118045
2023-12-01,39.4000,39.4000,39.4000,39.4000,79771
2023-12-04,37.4500,37.4500,37.4500,37.4500,158691
2023-12-05,35.6000,35.6000,35.6000,35.6000,55814
2023-12-06,33.8500,37.3500,33.8500,36.9500,720552
2023-12-07,37.9000,37.9500,35.1000,35.1000,384610
2023-12-08,33.3500,35.9000,33.3500,33.3500,511605
2023-12-11,32.6000,33.0000,31.7000,31.7000,273830
2023-12-12,30.1500,32.9000,30.1500,31.7500,429296
2023-12-13,31.6000,31.7500,30.2000,30.3500,302908
2023-12-14,30.0500,30.0500,29.5500,29.6500,237207
2023-12-15,30.0000,31.1000,30.0000,31.1000,120749
2023-12-18,31.9500,32.6500,31.1500,32.6500,242936
2023-12-19,33.3500,34.2000,32.1000,33.1500,274423
2023-12-20,33.9000,33.9500,31.5000,31.5000,192764
2023-12-21,30.2500,32.2500,29.9500,30.8000,209827
2023-12-22,30.8000,31.9500,30.8000,31.2000,95376
2023-12-26,31.8500,31.8500,30.1000,30.8000,185883
2023-12-27,31.3000,31.3000,30.2000,30.4000,112442
2023-12-28,31.1000,31.1000,29.9000,30.3500,72795
2023-12-29,29.8500,30.5000,29.8500,30.3000,76384
2024-01-01,30.5000,31.4000,29.8000,31.0000,101535
2024-01-02,30.6500,31.5000,30.1500,30.7500,45753
2024-01-03,30.8000,31.5000,30.4000,31.1000,81618
2024-01-04,31.2500,32.6500,30.8500,32.6500,153528
2024-01-05,33.9500,33.9500,32.2500,32.7500,137091
2024-01-08,33.7000,33.7000,32.0000,32.5000,103702
2024-01-09,32.8500,33.2000,32.0000,32.0500,78677
2024-01-10,32.3500,32.3500,31.0000,31.2500,73262
2024-01-11,31.2500,31.8000,30.9000,31.3500,72884
2024-01-12,31.6000,32.5000,31.0000,32.1500,116047
2024-01-15,32.4000,33.4000,31.7500,33.0000,198854
2024-01-16,33.3000,33.7000,31.7000,32.3500,99160
2024-01-17,32.3500,32.5000,31.3000,31.7500,56220
2024-01-18,31.4000,32.5000,31.3000,31.8500,52158
2024-01-19,32.3000,32.3000,30.8000,31.5500,79337
2024-01-23,30.5000,31.4500,29.5000,29.6500,118124
2024-01-24,29.7500,30.4000,29.0000,29.9500,104164
2024-01-25,30.2500,30.4500,29.1500,30.3500,52661
2024-01-29,30.9000,31.8500,30.3000,31.0500,177061
2024-01-30,31.7000,31.8500,30.8500,31.2000,78779
2024-01-31,30.3500,31.0000,30.0000,30.3500,206033
2024-02-01,30.4500,30.6000,29.6500,30.2000,117275
2024-02-02,30.2000,30.5000,29.3000,29.9000,105951
2024-02-05,30.0000,30.2000,28.4000,28.7500,132654
2024-02-06,28.8000,28.9500,28.2000,28.8000,123503
2024-02-07,29.0500,30.2000,29.0500,30.2000,130559
2024-02-08,31.3000,31.4000,30.2000,30.4000,122923
2024-02-09,30.1000,31.3500,29.1000,30.0500,80477
2024-02-12,29.9500,30.0000,28.5500,28.7500,71712
2024-02-13,28.5000,30.1500,27.3500,29.1500,87180
2024-02-14,28.5000,29.3000,27.7000,28.4000,67205
2024-02-15,28.0000,29.4000,28.0000,29.1500,54001
2024-02-16,29.1500,29.8000,28.4000,29.3000,41928
2024-02-19,29.0000,29.5000,28.8000,28.9500,59561
2024-02-20,28.6000,29.0000,28.4500,28.6000,52292
2024-02-21,28.6000,28.9000,28.1000,28.3500,60653
2024-02-22,28.6500,29.7500,28.3500,29.6000,111563
2024-02-23,29.6000,29.9500,29.2500,29.3500,57614
2024-02-26,29.5000,30.8000,28.7000,30.4000,103620
2024-02-27,30.8000,30.8000,29.5500,29.8500,68425
2024-02-28,30.4000,30.6000,28.6000,28.8000,64089
2024-02-29,28.5000,30.0500,28.0000,29.9500,98250
2024-03-01,30.4000,30.8500,29.5000,29.8500,74499
2024-03-04,31.9500,32.0500,28.3500,29.1000,280774
2024-03-05,29.4500,29.8500,28.5000,28.7000,102895
2024-03-06,28.4500,28.5000,26.3000,27.0000,173939
2024-03-07,27.0000,27.5000,26.1000,27.0500,75959
2024-03-11,27.0500,27.4500,25.1500,25.4500,115758
2024-03-12,25.0500,26.0000,24.1500,25.0000,134205
2024-03-13,24.3000,25.7500,22.5000,22.8000,280099
2024-03-14,23.3500,25.0500,22.8500,25.0500,134965
2024-03-15,25.7000,25.7000,24.0500,24.9000,82939
2024-03-18,24.2000,25.6000,24.2000,24.7500,36110
2024-03-19,24.9000,25.4000,24.4000,24.7000,44975
2024-03-20,24.6000,25.4000,24.2500,24.5000,50702
2024-03-21,25.0000,25.6000,24.5000,25.2500,72185
2024-03-22,24.7000,26.9000,24.7000,26.2000,103785
2024-03-26,26.0500,26.5000,25.0000,25.1000,140002
2024-03-27,25.2000,25.5000,23.0500,23.7500,128623
2024-03-28,23.7500,24.8000,22.6000,23.3500,130541
2024-04-01,24.2000,25.6500,23.5500,25.6500,84485
2024-04-02,25.9000,26.9000,25.4500,26.4000,143576
2024-04-03,26.1500,27.5000,26.1500,27.2500,104454
2024-04-04,27.9000,28.3000,27.0000,28.1500,114827
2024-04-05,29.0000,32.3500,28.0500,31.4000,1008459
2024-04-08,32.3500,33.3500,30.4500,30.7000,459007
2024-04-09,31.0000,31.2500,29.6000,30.5500,148664
2024-04-10,30.5500,31.4500,29.8500,30.3000,161381
2024-04-12,30.3500,31.4000,30.3500,31.1500,208316
2024-04-15,30.1000,30.6000,28.0000,29.7500,181042
2024-04-16,29.9500,30.2000,28.9000,29.9000,63855
2024-04-18,30.2000,30.2000,28.8000,29.0000,93647
2024-04-19,28.1000,29.4500,28.0000,28.7000,102882
2024-04-22,29.3000,29.4500,28.7500,29.2000,47075
2024-04-23,29.7000,29.7500,29.1000,29.3500,72691
2024-04-24,29.4000,35.2000,29.3500,35.2000,2430636
2024-04-25,38.2500,39.7500,35.5000,35.9500,3107625
2024-04-26,35.9500,36.5000,33.1000,33.9500,636969
2024-04-29,34.5000,34.5000,32.2500,32.5500,367060
2024-04-30,32.5500,38.2000,32.5000,36.4500,2850106
2024-05-02,37.1500,37.8000,35.2000,35.5000,427201
2024-05-03,35.9500,36.5000,34.0500,34.6500,227721
2024-05-06,35.0000,35.0000,32.8000,33.2000,165696
2024-05-07,33.4500,36.5500,33.0000,34.9000,949592
2024-05-08,35.3000,35.7500,33.9000,34.4500,245133
2024-05-09,34.7500,35.6000,33.6000,34.0000,242614
2024-05-10,33.7000,35.1000,33.7000,34.1000,212160
2024-05-13,34.0500,34.5000,32.5500,33.0000,164531
2024-05-14,33.5000,33.6500,33.1000,33.2000,93267
2024-05-15,33.6000,34.7000,32.4000,32.7000,174775
2024-05-16,33.2500,33.2500,32.5000,32.9000,83836
2024-05-17,33.4500,35.2000,32.9500,34.0500,394665
2024-05-21,35.2000,35.2500,33.5000,33.6000,100250
2024-05-22,33.7000,34.2000,33.2000,33.5000,131622
2024-05-23,33.2500,34.0000,33.2500,33.5500,76835
2024-05-24,33.3500,33.7500,32.5000,33.0500,96321
2024-05-27,32.7500,32.9500,28.0000,29.8500,821552
2024-05-28,29.8500,30.4000,28.6000,28.8000,221632
2024-05-29,28.2000,29.4500,28.1000,28.8500,208305
2024-05-30,28.8500,28.9500,28.2000,28.3000,74255
2024-05-31,28.3000,28.7500,27.0500,27.4500,156141
2024-06-03,28.7500,28.9500,28.1000,28.3000,89002
2024-06-04,28.3000,28.7500,24.1000,26.0500,257268
2024-06-05,26.5000,26.9500,25.2500,26.1500,150046
2024-06-06,26.8000,28.0500,26.5500,27.5500,166155
2024-06-07,27.6000,29.2500,27.6000,28.7000,128780
2024-06-10,29.0000,29.8900,28.4200,28.9100,146203
2024-06-11,29.3500,30.8300,28.7000,30.0900,418639
2024-06-12,30.1100,30.9000,30.1100,30.2700,88314
2024-06-13,30.5200,30.5200,29.1000,29.3200,100254
2024-06-14,29.3200,30.9000,29.1500,30.0700,216056
2024-06-18,30.0000,30.2900,29.2600,29.4200,115203
2024-06-19,29.4200,29.6500,28.9300,29.1900,130181
2024-06-20,29.2500,30.6800,29.2500,29.4500,173894
2024-06-21,29.7000,30.2600,29.3000,29.4100,86143
2024-06-24,29.4400,29.9300,29.0100,29.4100,124561
2024-06-25,29.4000,29.7000,29.0000,29.0700,55295
2024-06-26,29.0000,30.3000,28.6200,29.0500,169018
2024-06-27,29.0500,29.4500,28.1200,28.5100,96720
2024-06-28,28.7400,28.9200,28.2100,28.3600,60762
2024-07-01,28.7000,28.7900,28.2500,28.4100,38558
2024-07-02,28.7800,29.3700,28.2100,28.3700,59582
2024-07-03,28.3800,28.6400,28.1600,28.2300,99104
2024-07-04,28.4000,28.8100,27.9900,28.2200,108255
2024-07-05,28.5000,28.5000,27.5100,27.8000,100493
2024-07-08,27.7500,28.0000,27.3000,27.5800,120575
2024-07-09,27.5200,29.8000,27.5200,28.4200,266010
2024-07-10,28.8000,28.8000,26.5000,27.9900,101163
2024-07-11,28.0000,28.0900,27.3500,27.5200,101035
2024-07-12,27.8600,28.1800,27.3100,27.4600,93372
2024-07-15,27.5100,27.9500,27.3000,27.5000,58955
2024-07-16,27.3500,33.0000,27.3500,33.0000,1282264
2024-07-18,35.7000,37.3800,33.2000,34.5800,3779412
2024-07-19,34.0000,34.5000,30.7300,31.1300,643407
2024-07-22,30.4000,33.6900,30.2600,32.1800,503664
2024-07-23,32.9000,33.0900,29.3500,31.2700,271138
2024-07-24,31.6000,32.1300,30.7100,31.0400,185100
2024-07-25,30.8900,30.8900,29.6000,30.1200,205010
2024-07-26,30.7700,31.4400,30.5200,30.8100,207585
2024-07-29,31.2500,32.0000,30.7900,31.0600,213084
2024-07-30,31.5000,31.8400,31.0500,31.2600,110980
2024-07-31,31.3000,31.7000,30.8000,30.9700,142819
2024-08-01,31.3900,31.6000,30.3200,30.6700,107417
2024-08-02,30.5500,30.7100,30.0000,30.4400,102307
2024-08-05,30.4000,30.5400,28.6200,28.8400,153186
2024-08-06,28.8400,29.9900,28.4100,28.7100,91880
2024-08-07,28.9300,30.5100,28.5800,29.7700,87473
2024-08-08,30.1500,30.8000,30.0500,30.1800,89889
2024-08-09,30.2100,30.5900,29.6700,29.9600,70274
2024-08-12,29.1300,29.7500,29.0000,29.2500,86761
2024-08-13,29.1800,30.9000,29.1800,30.0600,174653
2024-08-14,30.5000,30.5000,29.0100,29.2700,52063
2024-08-16,29.4500,29.4700,28.9200,29.0400,61691
2024-08-19,29.0100,29.4600,29.0000,29.2100,54308
2024-08-20,29.7500,35.0500,29.0800,33.4800,3358886
2024-08-21,32.7100,32.8500,31.1500,31.5300,601094
2024-08-22,31.9000,32.3000,31.0100,31.2800,266023
2024-08-23,31.3000,32.4200,31.2000,31.4000,132184
2024-08-26,31.4000,31.7400,30.7700,30.9200,151214
2024-08-27,31.0000,34.6500,30.9900,32.6200,1226447
2024-08-28,33.1000,33.2900,31.6100,31.8900,292815
2024-08-29,31.8000,32.3600,31.2000,31.5300,123351
2024-08-30,32.0000,32.7300,30.7100,31.0900,135738
2024-09-02,31.5500,31.5500,30.7600,30.8400,76769
2024-09-03,31.0000,32.7000,30.8100,31.8900,281807
2024-09-04,31.4000,31.8400,31.3000,31.4900,100406
2024-09-05,31.4900,32.3500,31.3100,31.8100,110971
2024-09-06,32.2800,34.9900,31.8100,33.8500,1637628
2024-09-09,34.3400,35.8900,32.4300,32.9900,1022401
2024-09-10,32.6000,38.0000,31.9600,36.5300,2147280
2024-09-11,38.0100,40.5000,37.5300,39.0200,5921273
2024-09-12,40.5000,41.5000,37.6600,38.8700,1679610
2024-09-13,39.1000,40.0000,38.0000,38.2200,387647
2024-09-16,38.5000,39.3000,35.8500,36.8400,513987
2024-09-17,36.9900,36.9900,34.4500,34.7200,314821
2024-09-18,34.9800,37.2500,34.5000,35.9800,443992
2024-09-19,36.0000,37.2600,32.3500,33.1100,650837
2024-09-20,33.9900,35.4100,33.9900,34.4200,233688
2024-09-23,34.5000,35.1400,32.8000,32.9600,298752
2024-09-24,33.4000,34.9900,33.0000,34.4100,380794
2024-09-25,34.5000,34.5000,33.0100,33.1800,127434
2024-09-26,33.4900,33.7400,32.8000,33.0700,105296
2024-09-27,33.5000,33.7000,32.8200,33.0400,87655
2024-09-30,32.8500,33.2500,31.9500,32.1100,177419
2024-10-01,32.2000,33.0000,32.0000,32.4900,159788
2024-10-03,32.4500,32.4500,29.1200,30.2000,284256
2024-10-04,30.2000,31.4500,30.1100,30.2700,186582
2024-10-07,31.2200,32.4500,27.6200,28.4900,294413
2024-10-08,28.0200,29.7100,28.0200,29.3100,136008
2024-10-09,29.8800,30.9900,29.6600,30.6400,103691
2024-10-10,30.7500,31.8000,30.1600,30.2400,87829
2024-10-11,30.8500,30.8500,30.0200,30.1900,53195
2024-10-14,30.0000,30.4700,29.9100,30.0500,48131
2024-10-15,30.3000,32.9800,30.0100,31.8000,316286
2024-10-16,31.5500,32.9500,31.3300,32.3400,113738
2024-10-17,32.1000,32.1000,31.1300,31.4100,43130
2024-10-18,31.4100,31.8000,30.6000,30.7100,90738
2024-10-21,31.1400,31.1400,29.7200,30.1200,88228
2024-10-22,30.4000,30.5000,28.4900,28.6100,203510
2024-10-23,27.1100,29.7000,27.1100,29.4100,99381
2024-10-24,29.4100,29.9900,29.0000,29.2100,46248
2024-10-25,29.6000,29.6000,27.7700,28.1300,62205
2024-10-28,28.1300,28.6900,27.4000,28.3900,33090
2024-10-29,28.6000,28.9800,27.1500,27.7700,52002
2024-10-30,28.6500,28.9800,28.0900,28.7100,51184
2024-10-31,29.3900,29.3900,27.9000,28.2200,48894
2024-11-01,28.2200,29.9000,28.2200,29.3200,44876
2024-11-04,29.5000,29.5000,27.6000,28.4000,83179
2024-11-05,28.0600,29.1600,28.0600,28.9700,34807
2024-11-06,29.1500,29.4900,28.6600,29.3600,60722
2024-11-07,29.8400,29.9000,29.2100,29.3400,65423
2024-11-08,29.6500,31.8800,29.3100,31.1200,288341
2024-11-11,31.0000,31.0000,28.6000,29.5500,180898
2024-11-12,29.8900,30.0600,28.0600,28.3300,117704
2024-11-13,28.3300,28.3300,27.1100,27.5300,100826
2024-11-14,27.9000,28.6900,27.5000,27.6200,69958
2024-11-18,27.6200,28.2100,26.8000,27.2700,58322
2024-11-19,27.7000,28.2600,27.4700,27.6900,39421
2024-11-21,27.9500,27.9900,27.0000,27.6700,60536
2024-11-22,27.8000,28.4800,27.2600,27.9900,40844
2024-11-25,28.0500,28.7900,27.9900,28.0700,55436
2024-11-26,28.6000,29.8000,28.0500,28.4600,174425
2024-11-27,28.8500,28.8900,28.4100,28.7600,25378
2024-11-28,28.7600,29.1900,28.2600,28.3900,39990
2024-11-29,28.8800,28.8800,27.6500,28.0400,68916
2024-12-02,28.4000,28.5200,27.6000,27.9700,47960
2024-12-03,28.6500,28.9300,27.9600,28.4700,67809
2024-12-04,28.7300,29.9000,28.4100,28.7200,80826
2024-12-05,28.6000,29.2700,28.6000,28.7400,60200
2024-12-06,28.8900,29.2400,28.7900,28.9500,39706
2024-12-09,28.9500,29.2300,28.7100,28.8000,36035
2024-12-10,28.8000,31.8000,28.5700,30.1700,121814
2024-12-11,31.4000,31.5000,29.1600,29.6800,313858
2024-12-12,29.5200,31.8000,29.5200,30.8900,213409
2024-12-13,30.8400,30.8400,29.6000,29.8300,57203
2024-12-16,30.4400,31.7500,29.3600,29.7200,440285
2024-12-17,29.4500,31.0000,29.4500,30.1200,146956
2024-12-18,30.7000,30.7000,28.8000,29.0400,73924
2024-12-19,29.0000,30.5000,28.5000,28.8900,172206
2024-12-20,28.7200,30.3900,28.2300,28.5400,290996
2024-12-23,29.6500,29.9000,28.1600,29.0700,86229
2024-12-24,29.6500,29.6500,28.6000,29.1600,21679
2024-12-26,29.1600,29.3700,28.7000,28.7500,22144
2024-12-27,29.4000,29.5000,28.3000,28.4700,42510
2024-12-30,29.0900,29.0900,27.9500,28.1600,20240
2024-12-31,28.0000,28.5900,28.0000,28.3500,35576
2025-01-01,28.8000,29.4000,28.3500,28.7100,55168
2025-01-02,28.7100,29.4500,28.5700,28.7000,63591
2025-01-03,28.7500,29.0900,28.1000,28.1700,87416
2025-01-06,28.1700,28.3200,27.0200,27.1300,75089
2025-01-07,27.1500,27.8900,27.1300,27.6200,58632
2025-01-08,27.8500,27.9300,27.1200,27.3000,30514
2025-01-09,27.0000,27.5400,26.8100,26.9300,41688
2025-01-10,27.1100,28.7400,26.1800,26.3800,239813
2025-01-13,26.0000,27.1900,23.7100,24.0700,96596
2025-01-14,24.0900,25.3400,24.0900,24.8600,42340
2025-01-15,25.8000,26.5100,24.8000,26.3800,39902
2025-01-16,26.7000,27.8900,26.1000,26.2100,109130
2025-01-17,26.8400,26.8400,25.7900,26.1000,31655
2025-01-20,26.6200,26.6800,25.6000,26.0200,30229
2025-01-21,26.2500,26.5000,25.7500,25.9300,33478
2025-01-22,26.2000,26.2000,25.1000,25.2700,35819
2025-01-23,25.5500,25.9800,24.8100,25.1400,33464
2025-01-24,25.1100,25.3100,24.7200,24.8000,23875
2025-01-27,24.8000,24.8600,23.7100,23.9300,38394
2025-01-28,23.9800,23.9800,21.3500,22.2000,136863
2025-01-29,22.9000,23.6800,22.5800,23.3900,57683
2025-01-30,23.8600,24.1000,23.3500,23.5600,30995
2025-01-31,23.7900,24.1300,23.0000,23.2300,57355
2025-02-01,23.2500,26.0000,23.2500,24.8800,101263
2025-02-03,24.8800,24.8800,23.3500,23.6400,35005
2025-02-04,24.4000,24.4700,23.4500,23.6600,46929
2025-02-05,24.1800,24.4000,23.8700,24.0800,24212
2025-02-06,24.1100,24.3400,24.0100,24.1600,24856
2025-02-07,24.3400,24.4900,23.7500,23.9500,18389
