date,open,high,low,close,volume
2023-09-26,748.6000,769.9000,748.6000,758.8000,19470
2023-09-27,759.9500,766.3500,746.3500,748.6500,23361
2023-09-28,755.5000,774.8000,738.0000,743.4000,14943
2023-09-29,740.0000,769.8000,740.0000,756.4500,27702
2023-10-03,750.5000,766.8000,740.0000,745.9000,33018
2023-10-04,745.9000,750.0000,735.5500,745.1000,22216
2023-10-05,750.0000,774.7000,748.0000,767.6500,29137
2023-10-06,770.0000,794.0000,760.0000,787.9500,30926
2023-10-09,787.6500,803.3500,755.0500,794.4500,70121
2023-10-10,794.9000,816.9500,790.0000,809.2000,44868
2023-10-11,809.0000,815.0000,796.1000,808.3500,42506
2023-10-12,815.9500,816.3500,798.6000,804.9000,26586
2023-10-13,812.0500,812.9500,795.0500,797.8000,26182
2023-10-16,797.8000,802.9000,792.5000,795.5500,14732
2023-10-17,800.0000,824.0000,793.0000,799.9500,23046
2023-10-18,810.6000,810.6000,790.0000,795.7000,17087
2023-10-19,800.0000,841.0000,785.0000,838.1500,178512
2023-10-20,837.0000,837.0000,815.4000,832.9500,47875
2023-10-23,835.0000,849.7000,825.0500,839.8500,145743
2023-10-25,850.0000,850.0000,807.0000,818.2000,71267
2023-10-26,810.0000,867.0000,793.0000,862.4000,122290
2023-10-27,872.4000,896.3500,855.0000,864.2000,73917
2023-10-30,862.0500,869.1500,839.8000,858.4500,57076
2023-10-31,858.4500,869.6500,836.6000,845.2000,37537
2023-11-01,842.0500,854.8500,835.0000,839.7500,25129
2023-11-02,850.0000,887.1000,845.0000,857.4000,81161
2023-11-03,858.8000,883.3500,856.0500,872.4500,33134
2023-11-06,879.0000,884.7000,852.0000,866.0000,41041
2023-11-07,866.0000,877.5500,852.5000,855.3500,13959
2023-11-08,855.5000,882.4000,855.5000,867.8000,21873
2023-11-09,867.8000,885.0000,860.0000,869.3500,32360
2023-11-10,869.3500,875.0000,842.2000,851.3500,29467
2023-11-13,879.5500,887.4000,861.0000,866.1500,20261
2023-11-15,875.0000,932.2000,875.0000,906.9500,128480
2023-11-16,907.7500,916.9500,892.8500,903.1000,19083
2023-11-17,904.5000,907.1000,888.7500,891.0000,21699
2023-11-20,889.0000,908.4000,882.0000,888.8000,22666
2023-11-21,895.4000,911.0000,875.0000,886.0500,27177
2023-11-22,889.9000,897.7000,864.0000,871.6000,31991
2023-11-23,871.6000,892.0000,856.6000,862.2500,26817
2023-11-24,865.3500,884.2500,854.1000,863.5000,19656
2023-11-28,863.5000,880.0000,851.6500,855.3500,20596
2023-11-29,866.8000,872.9500,850.0000,856.5500,18378
2023-11-30,858.0000,867.6500,843.9000,859.1500,16515
2023-12-01,865.0000,879.0000,837.9500,852.0000,30684
2023-12-04,860.0000,899.0000,857.2000,885.3500,33198
2023-12-05,894.1500,906.7500,875.1000,892.7500,34768
2023-12-06,889.0000,894.9000,862.7500,877.4000,36462
2023-12-07,877.0000,906.6500,863.0500,900.9500,40106
2023-12-08,909.9500,909.9500,871.4500,903.0000,41497
2023-12-11,900.0000,921.0000,890.0000,917.4000,104666
2023-12-12,918.9000,952.3000,909.3500,934.4000,116931
2023-12-13,936.1000,943.3000,910.0000,931.5000,31042
2023-12-14,931.5000,945.9500,922.5500,940.4500,32119
2023-12-15,930.0000,958.8000,926.6000,951.2000,50257
2023-12-18,951.3000,959.7000,925.0000,954.3500,65813
2023-12-19,954.3500,959.7000,928.0000,952.4000,48806
2023-12-20,957.0000,970.1500,925.0000,951.6000,59845
2023-12-21,938.2500,998.7000,918.3500,994.8500,47700
2023-12-22,1003.8500,1006.7500,959.0000,1002.4000,78177
2023-12-26,999.2500,1009.4000,989.0500,1001.6500,33410
2023-12-27,998.0000,1052.1000,993.0000,1005.2000,60790
2023-12-28,1004.0000,1034.0000,990.0000,1014.3000,58308
2023-12-29,1004.1500,1014.9500,990.0000,1001.8500,28221
2024-01-01,1016.9000,1064.0000,1009.1500,1039.6000,56523
2024-01-02,1037.0000,1065.5000,1026.6500,1050.8500,30198
2024-01-03,1050.8500,1063.0000,1033.6500,1056.0000,16569
2024-01-04,1061.8500,1065.0000,1034.5500,1038.6000,31140
2024-01-05,1043.8000,1052.7000,1027.3000,1032.2500,44649
2024-01-08,1040.0000,1052.7000,1023.7000,1047.1500,20551
2024-01-09,1056.0000,1060.0000,1039.3500,1046.5500,15449
2024-01-10,1036.1000,1055.0000,1013.4000,1032.1000,23746
2024-01-11,1032.1000,1040.8500,1010.2000,1023.9500,16505
2024-01-12,1021.9500,1038.8500,1012.0000,1023.7000,15802
2024-01-15,1024.0000,1038.0000,1010.0000,1023.1000,16808
2024-01-16,1026.8000,1028.0000,985.0000,990.8500,26120
2024-01-17,993.9500,1010.0000,970.0500,999.7500,30538
2024-01-18,990.0000,1050.0000,988.0000,1045.8500,34181
2024-01-19,1054.4000,1060.0000,1034.0500,1057.9000,22739
2024-01-23,1020.0000,1020.0000,930.7500,966.2000,201492
2024-01-24,966.2000,994.8500,941.1500,967.4000,68236
2024-01-25,983.8000,1008.9500,969.2000,1003.3000,29236
2024-01-29,1002.0500,1020.0000,982.5500,996.9000,27548
2024-01-30,1000.0000,1009.9500,989.9000,1001.9000,30127
2024-01-31,1010.0000,1030.4500,999.1000,1006.5000,21477
2024-02-01,1020.1000,1026.0000,990.2000,999.9000,16413
2024-02-02,1013.0000,1013.7000,985.0000,996.6000,23518
2024-02-05,996.0000,1000.1000,920.0000,924.3000,79010
2024-02-06,925.0000,932.0000,872.1000,883.2000,192830
2024-02-07,885.6000,899.7000,876.0000,879.4500,47858
2024-02-08,891.2000,895.1500,868.0000,875.9000,31721
2024-02-09,867.0000,880.0000,841.5000,846.5500,76036
2024-02-12,841.0500,896.0000,831.3000,882.7500,78985
2024-02-13,896.2500,919.7000,875.0000,906.6000,80607
2024-02-14,889.0000,934.7000,875.0500,927.4000,44068
2024-02-15,933.7500,936.0000,902.0000,907.5500,34614
2024-02-16,907.5500,923.9500,902.6000,910.3000,31818
2024-02-19,924.9500,960.4000,910.3000,952.2000,55843
2024-02-20,954.3500,962.0000,943.2000,956.8500,20748
2024-02-21,959.9000,969.3000,926.5500,932.4000,27501
2024-02-22,940.0000,944.8500,920.7000,930.4000,14554
2024-02-23,940.0000,945.0000,928.0500,933.6000,13258
2024-02-26,933.0000,947.6000,929.7500,933.0000,11048
2024-02-27,928.0000,940.3500,910.0000,916.4500,13275
2024-02-28,925.0000,932.0000,895.5500,912.7500,17203
