date,open,high,low,close,volume
2025-12-15,1470.0000,1497.8000,1413.0000,1438.4000,12889175
2025-12-16,1414.0000,1466.5000,1380.1000,1441.1000,3127896
2025-12-17,1438.0000,1481.9000,1380.0000,1402.9000,1210546
2025-12-18,1410.0000,1434.0000,1341.0000,1366.4000,533166
2025-12-19,1392.0000,1438.7000,1368.1000,1374.3000,591914
2025-12-22,1385.0000,1393.0000,1344.5000,1354.5000,186082
2025-12-23,1361.0000,1374.3000,1336.6000,1362.6000,209038
2025-12-24,1362.0000,1380.8000,1342.0000,1347.7000,115809
2025-12-26,1341.0000,1369.9000,1341.0000,1364.7000,134534
2025-12-29,1363.0000,1380.0000,1344.5000,1365.4000,92232
2025-12-30,1374.0000,1395.0000,1365.4000,1385.1000,107110
2025-12-31,1385.1000,1425.9000,1370.0000,1384.9000,133095
2026-01-01,1389.3000,1415.0000,1387.9000,1402.4000,88994
2026-01-02,1409.4000,1455.0000,1406.0000,1443.5000,229326
2026-01-05,1454.3000,1524.0000,1412.9000,1467.1000,497437
2026-01-06,1461.3000,1479.1000,1423.1000,1430.4000,112790
2026-01-07,1435.4000,1477.0000,1435.4000,1447.5000,133654
2026-01-08,1449.0000,1484.8000,1438.5000,1463.0000,161642
2026-01-09,1448.0000,1463.2000,1413.7000,1430.1000,82838
2026-01-12,1406.0000,1431.4000,1391.6000,1400.3000,165460
2026-01-13,1408.9000,1465.0000,1396.1000,1432.9000,161172
2026-01-14,1433.8000,1479.9000,1432.2000,1475.2000,61207
2026-01-15,1475.2000,1475.2000,1475.2000,1475.2000,0
2026-01-16,1506.8000,1519.6000,1494.2000,1500.5000,111849
2026-01-19,1500.0000,1541.0000,1490.2000,1506.2000,128877
2026-01-20,1501.2000,1505.0000,1434.5000,1458.8000,40341
2026-01-21,1448.0000,1456.6000,1379.2000,1388.3000,66474
2026-01-22,1399.0000,1416.6000,1381.1000,1390.6000,38775
2026-01-23,1393.9000,1477.3000,1363.9000,1404.8000,111406
2026-01-27,1408.0000,1426.0000,1384.2000,1419.6000,47165
2026-01-28,1420.0000,1452.0000,1388.9000,1449.8000,37687
2026-01-29,1435.7000,1478.6000,1401.0000,1466.4000,90255
2026-01-30,1462.5000,1486.0000,1447.1000,1479.2000,27135
2026-02-02,1448.0000,1468.0000,1432.6000,1459.6000,31968
2026-02-03,1459.6000,1508.3000,1435.3000,1501.8000,67576
2026-02-04,1490.0000,1505.0000,1461.0000,1474.6000,14480
2026-02-05,1482.1000,1538.0000,1482.1000,1526.0000,65118
2026-02-06,1540.0000,1560.0000,1508.2000,1537.3000,73481
2026-02-09,1550.0000,1644.0000,1529.7000,1635.5000,106032
2026-02-10,1621.1000,1651.0000,1604.1000,1633.6000,58135
2026-02-11,1633.2000,1660.8000,1583.2000,1606.7000,64502
2026-02-12,1614.9000,1636.0000,1604.2000,1614.1000,17505
2026-02-13,1624.0000,1624.0000,1580.0000,1593.1000,30627
2026-02-16,1593.1000,1594.5000,1534.0000,1543.2000,18753
2026-02-17,1543.8000,1590.0000,1543.8000,1577.2000,18545
2026-02-18,1590.0000,1606.0000,1575.2000,1588.2000,12629
2026-02-19,1580.6000,1594.0000,1550.0000,1568.6000,22212
2026-02-20,1569.7000,1570.0000,1501.4000,1524.1000,12565
2026-02-23,1525.0000,1595.0000,1525.0000,1574.8000,36250
2026-02-24,1574.1000,1619.5000,1570.3000,1594.7000,30560
2026-02-25,1607.0000,1633.6000,1600.8000,1618.9000,12896
2026-02-26,1619.0000,1638.5000,1593.4000,1612.4000,11498
2026-02-27,1603.6000,1624.8000,1562.0000,1587.2000,11946
2026-03-02,1513.2000,1615.0000,1513.1000,1580.0000,14035
2026-03-04,1570.0000,1570.0000,1530.1000,1545.3000,10050
2026-03-05,1550.0000,1572.9000,1549.9000,1565.0000,11277
2026-03-06,1565.0000,1605.0000,1555.2000,1581.4000,8872
2026-03-09,1552.6000,1589.4000,1545.0000,1567.4000,8739
2026-03-10,1570.9000,1699.0000,1570.0000,1631.5000,99545
2026-03-11,1620.1000,1685.0000,1601.0000,1616.5000,30695
2026-03-12,1610.0000,1621.8000,1582.3000,1588.6000,7599
2026-03-13,1587.9000,1603.9000,1520.8000,1538.6000,55299
2026-03-16,1540.0000,1567.4000,1505.0000,1554.7000,95186
2026-03-17,1570.0000,1580.0000,1544.4000,1561.0000,54864
2026-03-18,1570.0000,1666.9000,1570.0000,1631.1000,39267
2026-03-19,1629.5000,1635.2000,1590.0000,1601.6000,18268
2026-03-20,1625.0000,1660.0000,1602.0000,1650.5000,22039
2026-03-23,1632.0000,1637.0000,1579.1000,1591.4000,20204
2026-03-24,1630.0000,1630.0000,1559.9000,1572.7000,26450
2026-03-25,1595.0000,1630.0000,1555.0000,1582.5000,66350
2026-03-27,1582.5000,1606.7000,1567.4000,1581.4000,38135
2026-03-30,1560.2000,1575.1000,1535.0000,1556.0000,33741
2026-04-01,1595.0000,1611.8000,1526.8000,1541.0000,21724
2026-04-02,1541.0000,1568.0000,1485.5000,1499.2000,30605
2026-04-06,1510.0000,1519.9000,1476.2000,1484.9000,12890
2026-04-07,1488.1000,1523.7000,1463.0000,1516.2000,49161
2026-04-08,1550.0000,1575.0000,1530.0000,1554.7000,15800
2026-04-09,1553.0000,1590.3000,1528.1000,1561.9000,39953
2026-04-10,1561.9000,1583.9000,1551.0000,1564.5000,22762
2026-04-13,1541.0000,1603.8000,1510.0000,1577.3000,21899
2026-04-15,1600.0000,1600.5000,1566.1000,1582.0000,13177
2026-04-16,1594.9000,1599.0000,1561.4000,1574.8000,9793
2026-04-17,1580.0000,1640.8000,1563.6000,1619.5000,32054
2026-04-20,1620.0000,1724.0000,1619.0000,1698.3000,76437
