date,open,high,low,close,volume
2026-09-01,16.4000,16.4000,15.6000,16.0800,11020
2026-09-02,16.4000,16.4000,15.9000,15.9900,107
2026-09-03,16.3900,16.3900,15.9900,16.2400,11213
2026-09-04,15.6000,16.4900,15.6000,16.1900,2494
2026-09-07,16.1900,16.1900,15.4200,15.9400,30334
2026-09-08,16.4000,16.5000,16.0000,16.2900,17501
2026-09-09,15.9600,16.4900,15.9600,16.0000,31902
2026-09-10,16.0000,16.6100,15.5000,16.0100,59749
2026-09-11,16.1000,17.2500,14.3500,16.9100,52808
2026-09-14,16.9100,16.9100,16.9100,16.9100,0
2026-09-15,16.7000,17.0800,15.4800,16.0500,25866
2026-09-16,16.8900,16.8900,16.0000,16.3400,13052
2026-09-17,16.2500,16.2500,15.7500,15.8800,4460
2026-09-18,16.3500,16.4300,15.9300,16.3900,6035
2026-09-21,16.4000,16.4900,15.7500,16.0100,16432
2026-09-22,16.4900,19.2100,16.2100,19.2100,200288
2026-09-23,20.0000,20.9000,16.1700,20.1400,270186
2026-09-24,21.8000,24.1600,20.5000,24.1300,495249
