date,open,high,low,close,volume
2023-09-25,3855.0000,3899.8000,3831.6499,3888.1001,7691
2023-09-26,3890.0500,3928.0000,3849.4500,3873.6499,42903
2023-09-27,3873.6499,3874.8999,3833.7000,3861.1499,9968
2023-09-28,3860.0000,3919.0000,3837.8999,3895.7000,41267
2023-09-29,3900.0000,3960.0000,3852.6499,3924.1499,29815
2023-10-03,3920.0000,3929.2000,3885.2000,3906.2000,56672
2023-10-04,3882.8000,3905.5000,3849.0000,3871.1499,82782
2023-10-05,3871.1499,3879.8000,3845.0000,3856.0000,27751
2023-10-06,3875.0000,3875.0000,3835.5000,3842.9500,6978
2023-10-09,3845.0000,3972.0500,3815.0000,3897.6001,193426
2023-10-10,3900.0500,4143.8999,3900.0000,4070.6499,147547
2023-10-11,4102.9502,4144.0000,3950.0000,3974.2000,49375
2023-10-12,3998.0000,4048.0000,3931.0000,3998.9500,39130
2023-10-13,3999.9500,4000.0000,3866.0000,3880.8999,79260
2023-10-16,3917.3999,3939.0000,3870.0000,3882.5500,113988
2023-10-17,3895.5000,3939.8000,3840.0000,3876.1001,30422
2023-10-18,3855.0000,4084.0000,3847.2000,4052.2500,107124
2023-10-19,4053.0000,4200.0000,4015.3999,4141.5000,183896
2023-10-20,4148.7998,4284.2998,4142.0000,4194.2002,76240
2023-10-23,4199.7002,4265.6499,3915.6001,4025.0500,43736
2023-10-25,4025.1001,4045.0500,3907.0000,3928.9500,31620
2023-10-26,3900.0000,3964.7000,3820.0000,3862.9500,41009
2023-10-27,3840.0500,3997.0000,3825.0000,3910.6001,39891
2023-10-30,3907.5000,4038.0000,3890.0000,3980.6001,25771
2023-10-31,4000.0000,4145.0000,3982.9500,4097.0498,56880
2023-11-01,4097.0498,4188.0000,3985.0000,4162.5498,48277
2023-11-02,4162.5498,4182.4502,4029.0000,4081.8501,42376
2023-11-03,4079.9500,4212.0000,4054.0000,4199.5000,85040
2023-11-06,4202.0000,4400.0000,4192.6001,4383.5498,166079
2023-11-07,4393.0000,4454.9502,4246.7998,4350.3501,198517
2023-11-08,4350.3501,4445.6499,4221.0000,4243.6499,54953
2023-11-09,4244.0000,4375.0000,4151.0000,4182.0498,65435
2023-11-10,4203.0000,4235.1001,4065.0500,4099.8501,91446
2023-11-13,4168.0000,4218.2002,4130.0000,4146.3501,27046
2023-11-15,4167.1001,4238.0000,4130.0000,4162.1499,29994
2023-11-16,4175.5000,4275.9502,4174.9502,4218.5000,60955
2023-11-17,4239.0498,4289.8501,4194.2500,4234.7500,22902
2023-11-20,4242.0000,4248.2998,4207.0000,4232.7002,12908
2023-11-21,4245.0000,4375.0000,4225.0000,4246.3999,42991
2023-11-22,4246.3999,4355.0000,4240.5000,4328.1499,38925
2023-11-23,4335.0000,4393.9502,4260.0000,4321.2998,35988
2023-11-24,4339.0000,4366.0000,4285.0000,4305.8999,15936
2023-11-28,4387.8999,4399.0000,4300.1499,4315.2002,22091
2023-11-29,4345.5000,4355.8999,4272.8501,4290.2002,20438
2023-11-30,4304.2500,4328.2998,4239.0498,4275.2500,39421
2023-12-01,4292.9502,4317.4502,4208.0000,4220.5000,25548
2023-12-04,4309.0000,4424.3501,4221.0000,4233.3501,59304
2023-12-05,4233.3501,4286.4502,4201.0000,4231.8999,28873
2023-12-06,4250.0000,4299.9502,4231.1001,4280.7500,22342
2023-12-07,4302.1499,4302.1499,4226.1001,4256.2002,14407
2023-12-08,4277.4502,4277.4502,4226.1001,4235.1001,17499
2023-12-11,4258.0000,4265.0000,4210.0000,4238.7998,19268
2023-12-12,4238.7998,4250.0000,4176.0000,4220.7002,18751
2023-12-13,4241.7998,4241.7998,4103.6499,4121.2002,30314
2023-12-14,4142.0000,4319.5000,4142.0000,4242.5000,59365
2023-12-15,4275.0000,4294.5000,4239.9502,4273.5000,17519
