date,open,high,low,close,volume
2025-07-09,281.0500,309.1500,275.0000,307.6300,67262152
2025-07-10,313.0000,338.3900,306.5000,338.3900,36387648
2025-07-11,343.0200,363.8000,325.3000,333.9800,37839405
2025-07-14,328.8900,343.9000,321.1000,331.5400,13337934
2025-07-15,332.8000,348.9900,330.9200,338.4400,9527734
2025-07-16,341.8000,366.7000,335.8600,352.8400,22861799
2025-07-17,355.0000,361.5800,336.0000,338.4200,9204177
2025-07-18,341.0000,345.1000,333.3000,334.9700,5033411
2025-07-21,337.0500,343.7000,328.6300,335.2900,4371907
2025-07-22,337.4500,348.5000,327.2200,331.5600,5717569
2025-07-23,333.0000,344.1400,330.0000,341.1500,4369057
2025-07-24,342.9000,344.4900,331.1000,332.6900,2248901
2025-07-25,332.3400,334.6500,322.0200,324.5400,1605635
2025-07-28,324.5000,327.0000,310.5500,313.8900,1859026
2025-07-29,313.8900,324.3000,311.5100,321.5400,1529689
2025-07-30,321.5400,333.1000,321.5400,325.5400,2542130
2025-07-31,320.0000,341.0000,318.0000,332.8200,3358263
2025-08-01,334.7500,334.9000,325.5000,328.9500,914942
2025-08-04,328.6500,334.8000,317.2500,323.3500,1564680
2025-08-05,322.0000,325.6000,299.8000,307.9500,1937207
2025-08-06,310.1000,315.4500,301.2000,303.8500,1916611
2025-08-07,300.0000,305.6500,295.0000,300.8000,1253689
2025-08-08,302.6000,313.0000,298.8000,306.0000,1483832
2025-08-11,307.0000,307.7000,299.4500,300.7500,524272
2025-08-12,300.0000,309.9000,296.2000,301.1000,1073735
2025-08-13,303.0000,331.2000,301.1500,331.2000,3510333
2025-08-14,337.7000,342.7000,316.4500,322.1000,3169653
2025-08-18,329.0000,329.0000,316.1500,317.2000,982611
2025-08-19,317.9000,336.9000,315.2000,332.2500,3143322
2025-08-20,332.6000,335.0000,325.0500,327.8000,977062
2025-08-21,329.9000,348.0000,326.8000,343.6500,4815621
2025-08-22,346.5000,357.5000,340.2000,351.6000,4087651
2025-08-25,355.0000,360.5000,351.0000,353.4000,3032952
2025-08-26,352.9500,352.9500,333.0000,335.5000,1467347
2025-08-28,335.6500,352.0000,333.0500,349.7000,2144439
2025-08-29,350.9500,354.8000,345.1000,349.7500,1460187
2025-09-01,353.5000,369.4500,349.3000,365.4000,3898723
2025-09-02,369.9000,381.8000,365.4500,368.7000,2790028
2025-09-03,366.3000,375.3000,358.5500,373.1500,1648246
