date,open,high,low,close,volume
2023-09-18,49.4000,49.5500,46.0500,47.5500,119641
2023-09-20,48.8000,49.9000,46.6500,47.4000,103829
2023-09-21,47.5000,48.9000,46.5500,46.9500,36153
2023-09-22,47.7500,48.0000,46.6500,47.7000,47763
2023-09-25,48.7500,48.7500,47.1000,47.5000,32653
2023-09-26,49.5000,49.5000,46.1500,46.7500,22259
2023-09-27,47.8000,48.8500,44.8000,46.8000,136067
2023-09-28,46.0500,48.6000,44.6000,45.2500,257758
2023-09-29,46.7000,46.8000,45.2000,46.5500,17681
2023-10-03,46.3000,47.5000,45.9500,46.4000,15673
2023-10-04,47.4000,47.4000,45.1500,45.2500,10358
2023-10-05,45.0500,47.4000,45.0500,46.0500,49906
2023-10-06,46.5000,47.6500,45.2500,46.2000,72123
2023-10-09,46.3000,46.7500,44.0000,44.2000,34284
2023-10-10,44.2500,48.6000,43.9500,47.1000,93220
2023-10-11,47.8000,51.8000,47.0500,51.8000,186310
2023-10-12,54.8000,56.9500,52.1000,56.9500,295071
2023-10-13,57.7000,61.0000,55.6000,58.5500,448894
2023-10-16,59.0500,59.9500,55.6500,55.6500,106203
2023-10-17,55.9500,55.9500,52.9000,53.5000,54011
2023-10-18,54.9000,55.9000,53.5000,53.7500,46615
2023-10-19,52.7000,55.4500,52.7000,55.1000,44169
2023-10-20,57.4000,57.4000,53.0000,53.3000,45178
2023-10-23,54.9000,54.9000,50.6500,51.1000,57998
2023-10-25,53.4000,53.4000,48.9000,50.3500,54563
2023-10-26,51.8500,51.9500,47.8500,48.8500,57380
2023-10-27,50.6500,50.6500,48.7000,49.1000,40813
2023-10-30,49.9000,51.5500,48.7500,50.0000,78106
2023-10-31,50.1000,52.5000,50.1000,52.5000,22193
2023-11-01,53.9000,55.1000,53.2500,55.1000,68056
2023-11-02,57.4000,57.5000,53.0000,53.6000,195956
2023-11-03,55.9000,55.9000,53.2000,54.2500,193756
2023-11-06,55.0000,56.9500,52.6000,53.7000,138334
2023-11-07,53.7000,55.2500,52.4000,53.4000,68626
2023-11-08,54.5000,56.0500,52.4500,53.6500,119596
2023-11-09,54.5000,56.3000,52.9500,56.2500,124581
2023-11-10,57.3500,59.0500,56.2500,59.0500,110994
2023-11-13,64.0000,65.1000,60.0000,65.1000,245403
2023-11-15,66.9000,67.4000,62.1500,64.0500,369516
2023-11-16,64.0000,67.2500,62.6000,67.2500,229683
2023-11-17,67.9000,70.6000,65.5000,70.6000,58128
2023-11-20,73.5000,74.1000,67.2500,69.1000,75083
2023-11-21,68.8000,72.0000,66.5000,71.0000,59589
2023-11-22,69.7500,69.7500,67.4500,67.5000,33110
2023-11-23,68.6000,68.6000,64.1500,64.2000,43032
2023-11-24,64.1500,66.8500,62.9000,63.3000,15953
2023-11-28,63.9500,66.0000,63.0000,65.1500,16495
2023-11-29,66.8000,67.9500,64.8000,65.0000,21898
2023-11-30,66.9000,66.9000,63.0500,64.7000,14683
2023-12-01,63.0500,66.3500,62.5000,62.6000,18958
2023-12-04,65.4000,65.4500,60.3500,62.6500,21286
2023-12-05,63.0000,64.0000,61.0500,61.8500,16620
2023-12-06,62.0000,63.5000,60.2500,60.7000,27519
2023-12-07,60.0000,63.0000,59.2500,62.2500,11247
2023-12-08,62.5500,65.3500,60.0000,65.3500,47865
2023-12-11,67.8000,67.8000,66.0500,67.3500,37599
2023-12-12,68.2500,68.2500,64.4000,64.5500,23719
2023-12-13,62.6000,65.0000,61.6500,64.4500,40655
2023-12-14,64.4500,64.7000,62.1000,62.6000,9975
2023-12-15,64.4500,64.4500,62.3000,62.5000,17502
2023-12-18,62.5000,63.8000,62.1000,63.1500,7793
2023-12-19,64.9500,65.0000,62.9000,63.8500,19346
2023-12-20,65.1000,65.1000,60.6500,60.6500,20034
2023-12-21,60.6500,61.6500,58.0500,61.5000,21609
2023-12-22,61.6000,63.7000,61.5500,62.9000,14266
2023-12-26,64.5000,64.5000,61.0000,62.5000,9590
2023-12-27,62.5000,63.3000,61.3000,61.9000,10500
2023-12-28,62.5000,63.5000,62.0000,62.6000,11027
2023-12-29,62.9000,64.1000,61.5000,63.7500,22440
2024-01-01,65.0000,66.9000,64.5000,66.0000,22867
2024-01-02,67.0500,67.0500,62.8000,63.2500,24801
2024-01-03,63.9000,63.9000,60.1000,61.8500,76083
2024-01-04,60.2000,64.0000,60.2000,62.7000,21451
2024-01-05,63.4000,63.9500,60.6500,60.9500,22698
2024-01-08,61.6000,62.6500,59.6000,60.0500,20635
2024-01-09,60.1000,61.6500,60.0000,60.9000,27033
2024-01-10,61.0000,63.9000,61.0000,63.9000,52581
2024-01-11,65.0000,67.0500,65.0000,67.0500,21413
2024-01-12,70.4000,70.4000,68.2000,70.4000,85466
2024-01-15,71.0000,73.6500,68.0000,69.3000,50252
2024-01-16,67.9500,67.9500,67.9500,67.9500,4150
2024-01-17,66.6000,66.6000,66.6000,66.6000,10681
2024-01-18,67.9000,67.9000,65.3000,67.9000,17832
2024-01-19,69.2500,69.2500,69.0000,69.2500,27793
2024-01-23,70.0000,71.0500,69.6000,70.0000,17453
2024-01-24,71.0000,71.0000,70.0000,71.0000,22805
2024-01-25,71.0000,71.0000,69.6000,71.0000,14556
2024-01-29,69.6000,71.0000,69.6000,69.6000,5473
2024-01-30,69.8500,69.8500,69.6000,69.8500,6338
2024-01-31,71.2000,71.2000,68.4500,71.2000,15749
2024-02-01,72.6000,72.6000,72.6000,72.6000,25682
2024-02-02,74.0500,74.0500,74.0500,74.0500,33414
2024-02-05,75.5000,75.5000,75.5000,75.5000,8694
2024-02-06,77.0000,77.0000,77.0000,77.0000,11819
2024-02-07,78.5000,78.5000,78.5000,78.5000,20112
2024-02-08,80.0500,80.0500,80.0500,80.0500,24904
2024-02-09,81.6500,81.6500,81.6500,81.6500,48425
2024-02-12,83.2500,83.2500,83.2000,83.2500,154857
2024-02-13,84.9000,84.9000,84.9000,84.9000,115575
2024-02-14,86.5500,86.5500,86.5500,86.5500,20522
2024-02-15,87.5000,88.2500,87.0000,87.5000,18422
2024-02-16,85.7500,87.0000,85.7500,85.7500,6833
2024-02-19,84.0500,85.2000,84.0500,84.0500,2255
2024-02-20,84.0000,84.0000,82.4000,84.0000,33084
2024-02-21,85.0000,85.0000,84.0000,85.0000,30373
2024-02-22,85.1000,85.1000,83.5500,85.1000,41765
2024-02-23,86.8000,86.8000,85.1500,86.8000,25609
2024-02-26,88.5000,88.5000,88.5000,88.5000,23170
2024-02-27,90.2500,90.2500,90.2500,90.2500,15680
2024-02-28,88.4500,92.0500,88.4500,88.4500,27976
2024-02-29,89.5500,89.6000,88.7000,89.5500,13454
2024-03-01,91.3000,91.3000,91.0000,91.3000,15649
2024-03-04,89.8000,90.0000,89.8000,89.8000,4961
2024-03-05,88.0000,89.8000,88.0000,88.0000,2471
2024-03-06,86.2500,86.2500,86.2500,86.2500,4455
2024-03-07,86.0000,86.0000,85.9500,86.0000,14713
2024-03-11,84.3000,86.0000,84.3000,84.3000,9486
2024-03-12,83.6000,83.6000,82.6500,83.6000,18510
2024-03-13,85.2000,85.2500,82.3000,85.2000,43047
2024-03-14,86.9000,86.9000,86.9000,86.9000,11214
2024-03-15,88.6000,88.6000,88.5000,88.6000,8989
2024-03-18,88.6000,93.0000,86.1000,93.0000,16775
2024-03-19,97.6000,97.6500,97.5000,97.6500,21187
2024-03-20,102.4500,102.5000,100.0000,102.5000,47748
2024-03-21,107.6000,107.6000,107.6000,107.6000,39634
2024-03-22,112.9500,112.9500,102.2500,102.2500,45504
2024-03-26,97.1500,97.1500,97.1500,97.1500,16855
2024-03-27,92.5500,100.0000,92.5500,96.0000,20499
2024-03-28,91.3000,100.8000,91.3000,99.3000,30848
2024-04-01,98.0000,103.9000,95.1000,101.3000,18456
2024-04-02,104.9000,106.3500,100.5500,104.7000,23205
2024-04-03,100.0500,106.5000,100.0500,102.0000,10458
2024-04-04,106.5000,106.5000,100.0000,102.6000,12415
2024-04-05,106.8500,106.8500,99.0000,102.3500,9621
2024-04-08,106.3000,107.4500,103.1000,103.6000,10274
2024-04-09,105.7000,107.0000,103.0000,105.1000,12416
2024-04-10,109.8500,109.8500,99.8500,101.7500,16357
2024-04-12,104.9000,104.9000,97.7500,102.6500,15928
2024-04-15,100.6000,101.5000,97.5500,97.9000,14933
2024-04-16,94.0500,100.7000,94.0500,100.0000,14780
2024-04-18,104.2500,105.0000,100.2000,105.0000,32441
2024-04-19,104.8000,110.2500,104.8000,110.2500,75126
2024-04-22,114.0000,115.7500,113.9000,115.7500,22083
2024-04-23,121.5000,121.5000,119.0000,121.5000,41304
2024-04-24,127.0000,127.5500,126.0000,127.5500,63244
2024-04-25,125.0000,125.0000,125.0000,125.0000,8879
2024-04-26,122.5000,122.5000,122.5000,122.5000,4920
2024-04-29,120.0500,120.0500,120.0500,120.0500,2856
2024-04-30,117.6500,117.6500,117.6500,117.6500,2686
2024-05-02,115.3000,115.3000,115.3000,115.3000,10670
2024-05-03,113.0000,113.0000,113.0000,113.0000,6911
2024-05-06,110.7500,112.5000,110.7500,110.7500,3710
2024-05-07,108.5500,109.0000,108.5500,108.5500,4335
2024-05-08,106.4000,106.5000,106.4000,106.4000,3851
2024-05-09,104.3000,104.3000,104.3000,104.3000,2468
2024-05-10,102.3500,102.3500,102.2500,102.3500,4682
2024-05-13,100.3000,101.9000,100.3000,100.3000,6057
2024-05-14,99.1000,100.0000,99.1000,99.1000,5802
