date,open,high,low,close,volume
2023-09-18,571.0000,576.6000,563.2500,565.6500,1469701
2023-09-20,565.0000,565.4000,554.2500,561.1500,2487342
2023-09-21,559.7500,561.4000,553.5500,560.1500,2150267
2023-09-22,559.4500,564.9000,557.5500,561.3000,956641
2023-09-25,561.3000,563.0000,552.8000,554.3000,1426546
2023-09-26,554.2500,557.9500,553.0500,555.4500,1290222
2023-09-27,555.0500,562.0500,553.7000,561.0000,1375349
2023-09-28,561.0000,561.8500,545.5500,547.2500,2182058
2023-09-29,548.9000,552.9000,546.7500,551.6000,838408
2023-10-03,555.2000,555.5000,546.1000,553.6000,1924677
2023-10-04,552.0000,557.2000,550.6000,555.3500,1096308
2023-10-05,555.3500,558.0000,547.4500,550.7500,1509964
2023-10-06,551.0000,551.9000,545.8000,547.1500,1061490
2023-10-09,543.1500,545.2000,540.1000,541.7500,1076708
2023-10-10,544.9500,545.4000,541.7500,543.8500,814992
2023-10-11,544.4500,546.7000,543.1000,543.7500,1039964
2023-10-12,545.4500,546.2000,538.8000,541.0000,903301
2023-10-13,541.9000,542.4500,536.5000,538.8500,1607850
2023-10-16,538.0000,538.9500,534.5500,536.9500,1807237
2023-10-17,537.1000,543.0000,536.0000,540.2500,2040439
2023-10-18,538.1500,540.8000,533.3500,534.0000,1251181
2023-10-19,525.0000,528.3500,520.5000,525.6500,4093512
2023-10-20,523.0000,526.2500,516.0000,524.8000,7600488
2023-10-23,524.8000,526.0000,518.6500,521.3500,1535943
2023-10-25,517.3000,525.0000,516.3000,517.9000,2014418
2023-10-26,517.9000,517.9000,504.1000,508.4500,2400780
2023-10-27,510.9000,525.8500,509.0500,524.5500,2125985
2023-10-30,524.5000,524.7000,521.7000,523.4500,1711768
2023-10-31,524.6000,531.0500,522.2500,528.9000,1687120
2023-11-01,530.5000,532.0000,516.2000,517.1000,2712123
2023-11-02,519.7500,533.5000,517.3500,530.4000,1919439
2023-11-03,534.1000,537.8500,531.4000,535.5000,1337219
2023-11-06,536.9000,539.5500,533.3500,537.9500,478913
2023-11-07,539.0000,539.9000,532.8500,536.1000,823342
2023-11-08,538.7000,539.8000,533.4000,539.2500,776461
2023-11-09,540.0000,540.0000,533.0000,534.8500,1366713
2023-11-10,532.6500,535.0000,526.7000,533.3500,1361649
2023-11-13,535.5000,535.8000,525.9500,530.1000,979880
2023-11-15,523.0500,527.5000,516.7000,526.0000,3398705
2023-11-16,532.2500,535.4000,526.2000,534.9000,1612231
2023-11-17,535.8000,542.6000,531.6500,540.7000,1512369
2023-11-20,540.7000,545.4500,537.2000,543.2000,1910044
2023-11-21,545.6500,545.6500,539.2500,540.8500,1379849
2023-11-22,540.7000,541.9500,537.5500,541.0000,680568
2023-11-23,541.0000,542.0000,535.2500,540.3500,800753
2023-11-24,542.0000,542.1000,536.0000,537.3500,440877
2023-11-28,536.5000,537.3500,531.0500,533.8000,2251292
2023-11-29,533.8000,536.0500,532.0000,534.6000,1815670
2023-11-30,534.6000,540.4000,533.0000,538.0500,3167951
2023-12-01,540.0000,544.4000,537.7000,541.1500,1584387
2023-12-04,544.9000,548.9000,541.7000,547.0000,2125643
2023-12-05,548.9500,552.5000,546.8000,552.0000,1748869
2023-12-06,554.7500,554.9000,549.3000,550.0500,1028497
2023-12-07,550.0500,550.9500,537.4500,545.8000,1150700
2023-12-08,548.9000,556.2500,545.8000,547.5000,2453675
2023-12-11,548.0000,551.3500,545.0500,550.5000,1278433
2023-12-12,550.5000,553.6000,546.7000,549.0000,1418773
2023-12-13,547.5500,549.3500,543.1000,547.5500,1628806
2023-12-14,548.7000,549.7000,544.6000,547.4500,2078199
2023-12-15,547.9500,548.0000,537.2500,539.7000,2655593
2023-12-18,539.7000,543.0500,537.3000,540.5000,2700975
2023-12-19,541.4500,551.5000,539.7000,548.2000,2155547
2023-12-20,550.0000,551.4000,532.3000,534.9500,3685894
2023-12-21,533.2500,534.0000,527.0500,530.2500,6150231
2023-12-22,531.9500,532.6500,526.5000,529.3000,3869597
2023-12-26,530.0000,534.8000,529.0000,530.6000,1655240
2023-12-27,531.0000,536.0500,530.0500,534.3500,3308899
2023-12-28,534.5500,545.7500,534.3500,543.1000,3512802
2023-12-29,544.7500,560.0000,543.6500,557.2000,4120332
2024-01-01,560.0000,563.0000,555.0000,557.4500,1417550
2024-01-02,559.4500,562.3500,551.3500,556.8500,1201767
2024-01-03,557.0000,562.7000,546.6000,551.1000,2733401
2024-01-04,554.6500,567.3000,550.9000,566.2500,3064476
2024-01-05,571.0000,571.6500,564.5000,569.0500,2834989
2024-01-08,572.5000,572.5000,551.0000,553.2500,2152367
2024-01-09,555.0000,556.0000,546.2000,547.8500,2107464
2024-01-10,548.8500,551.4000,542.3000,547.3500,1758621
2024-01-11,549.6000,556.0000,548.4500,552.0000,2089001
2024-01-12,552.0000,552.9500,548.0000,549.7000,1029614
2024-01-15,551.0000,557.5000,548.2500,554.1500,1524201
2024-01-16,556.1500,561.9000,552.9500,558.8000,2027207
2024-01-17,557.8500,557.8500,546.1000,549.4500,2075918
2024-01-18,546.2000,549.9500,535.3500,539.4500,1520695
2024-01-19,543.2500,543.9500,539.5500,542.3000,1965102
2024-01-23,544.4000,544.4000,522.6000,524.8000,2256565
2024-01-24,525.7500,537.4000,522.2000,536.6000,914551
2024-01-25,536.6000,537.5500,529.0500,531.6000,924085
2024-01-29,515.0000,535.9500,515.0000,534.2500,1316110
2024-01-30,534.2500,537.7000,533.2500,535.9500,1603876
2024-01-31,535.9500,545.6000,534.0000,539.6000,3475918
2024-02-01,547.0000,575.5000,547.0000,554.4000,11117689
2024-02-02,554.5000,559.0000,539.7500,544.6500,3318354
2024-02-05,543.0000,544.8000,532.3000,533.6500,1417520
2024-02-06,534.2500,537.4000,531.2500,532.7000,1247440
2024-02-07,533.1500,538.4500,530.6500,537.4000,1784199
2024-02-08,539.7000,541.0000,532.0000,533.9500,1488521
2024-02-09,534.9000,540.0000,528.6500,539.2000,1786915
2024-02-12,539.2000,543.7500,535.4000,536.5500,1454041
2024-02-13,536.3500,539.9000,531.1500,538.7500,725665
2024-02-14,533.5500,545.2500,533.2500,544.3000,828939
2024-02-15,545.9500,547.3500,540.9000,544.2000,1006711
2024-02-16,545.1000,547.8500,541.0000,544.5000,839405
2024-02-19,545.0000,550.2000,540.2500,547.6500,1353397
2024-02-20,551.2000,551.2000,543.0000,547.5500,1057848
2024-02-21,547.6000,549.8500,544.3500,546.3000,1636393
2024-02-22,546.5000,546.5000,538.6500,541.6000,1264327
2024-02-23,542.1000,544.5500,534.2500,535.3000,1160683
2024-02-26,534.1500,537.1000,526.8500,529.2500,1180365
2024-02-27,527.9000,538.2000,526.0000,535.6000,2954271
2024-02-28,535.3500,541.4500,531.9000,536.2500,2697005
2024-02-29,536.3000,539.3500,532.3000,538.1500,2453976
2024-03-01,538.1500,544.9500,538.1500,541.1000,762406
2024-03-04,538.0000,539.7000,531.8000,537.3000,2030164
2024-03-05,535.1500,536.8000,533.0500,534.7500,1464768
2024-03-06,534.8000,536.0000,528.2500,531.5000,1082367
2024-03-07,531.5000,537.7500,530.5000,535.2500,894981
2024-03-11,535.2500,538.4000,531.6000,533.4000,984138
2024-03-12,530.5500,532.3000,525.8500,529.0000,1011782
2024-03-13,529.5500,531.4000,515.8000,519.9500,2666699
2024-03-14,517.0000,530.8000,516.1500,529.6500,2047715
2024-03-15,528.9500,530.3500,524.2500,526.5500,1710825
2024-03-18,526.5500,526.5500,521.1000,523.6000,1247334
2024-03-19,523.2500,530.0000,516.5500,518.3500,2071489
2024-03-20,518.3500,521.2000,512.0000,520.2000,925067
2024-03-21,522.2500,525.6500,518.5000,523.9500,973386
2024-03-22,524.0000,527.3500,519.0000,520.8000,1072318
2024-03-26,512.6000,522.2500,512.6000,521.1000,1961179
2024-03-27,524.0000,524.4000,519.1000,521.6500,2638465
2024-03-28,522.0000,526.0000,517.7500,523.1500,2312982
2024-04-01,523.5000,530.6000,523.5000,529.1500,847682
2024-04-02,529.1500,532.5500,527.6500,531.6000,1175093
2024-04-03,530.9000,532.4000,528.6000,531.0000,1176084
2024-04-04,531.0000,531.9500,502.3000,506.0500,10445923
2024-04-05,510.0000,510.0000,504.0000,507.9000,7615006
2024-04-08,508.0500,509.8500,502.2000,503.0500,3602540
2024-04-09,506.5000,508.5000,502.5000,503.1500,2217268
2024-04-10,505.0000,506.9500,502.2500,506.2500,1978008
2024-04-12,507.0000,507.6500,499.1000,500.6000,4166549
2024-04-15,495.9000,497.0000,489.2000,495.2000,3600795
2024-04-16,495.2000,505.6000,492.3500,503.9000,2928056
2024-04-18,505.7500,507.9500,501.0000,503.8500,2604037
2024-04-19,501.6000,505.8000,496.0500,504.2000,2183936
2024-04-22,507.4000,508.0000,503.3000,506.1500,1208372
2024-04-23,507.1000,510.4500,505.2000,507.1500,1904186
2024-04-24,509.9000,510.3000,507.6500,509.4500,1855798
2024-04-25,509.5000,510.2500,504.1500,506.4500,1022931
2024-04-26,507.3500,511.5500,505.3000,509.0000,1372205
2024-04-29,512.4000,512.8000,506.0000,506.7000,1373441
2024-04-30,509.0000,512.4000,505.1500,507.7500,2092290
2024-05-02,508.0000,536.0500,508.0000,525.3000,7092006
2024-05-03,536.2500,538.0000,524.0000,531.7500,7008370
2024-05-06,535.0000,535.5000,524.2500,530.8000,3172072
2024-05-07,533.5500,566.9000,531.3000,558.4500,14721222
2024-05-08,558.4500,561.9500,554.1000,556.6000,4085815
2024-05-09,556.6000,564.9500,550.4500,552.8000,5305923
2024-05-10,550.9500,551.9500,540.3500,550.8000,2521438
2024-05-13,550.8000,553.2000,543.7000,550.2500,3067643
2024-05-14,550.2500,562.7000,550.2500,554.5500,2872594
2024-05-15,554.5500,555.0000,543.0000,545.8500,2436198
2024-05-16,547.6500,549.4000,534.7000,542.0500,3864351
2024-05-17,543.2000,544.0000,535.0000,535.8000,1642503
2024-05-21,538.1000,541.0000,533.6000,539.3500,1388390
2024-05-22,543.0000,555.9000,538.8000,554.0000,4319988
2024-05-23,556.0000,562.0000,551.6500,559.9500,2924910
2024-05-24,559.0000,564.9000,554.0500,558.1000,2805803
2024-05-27,559.8500,571.0000,559.8000,567.4000,3169943
2024-05-28,570.0000,578.9000,564.5500,570.8000,4429603
2024-05-29,570.8000,570.8000,553.0500,555.4500,2620387
2024-05-30,555.4500,557.4000,549.3500,551.1500,1591522
2024-05-31,552.0500,554.5000,540.5500,545.1000,11192196
2024-06-03,560.0000,561.2000,543.0000,544.8000,2836670
2024-06-04,548.4500,584.4500,536.7500,578.2000,17458506
2024-06-05,585.0000,633.4000,584.5000,600.2500,21568184
2024-06-06,600.2500,605.3000,582.0500,597.2000,7598586
2024-06-07,599.4500,614.8000,598.1500,613.1000,5429725
2024-06-10,604.2000,627.4500,604.2000,619.8500,5180578
2024-06-11,619.8500,622.9500,608.0000,613.4500,3728825
2024-06-12,614.1500,623.0000,611.7500,619.5000,4528718
2024-06-13,612.0000,614.5500,588.1500,609.6500,7963596
2024-06-14,610.9500,618.8000,606.0000,608.6500,1975440
2024-06-18,608.1000,613.7500,598.0000,600.2000,4304663
2024-06-19,602.0000,603.1000,594.0000,598.5500,1703051
2024-06-20,598.5000,604.9000,595.0000,600.7500,2886298
2024-06-21,601.0000,603.9000,588.5500,589.9500,3868601
2024-06-24,590.7500,602.4500,588.8500,599.7500,1774168
2024-06-25,603.8000,603.9500,592.5000,593.3500,1791877
2024-06-26,591.4000,603.0000,590.3000,601.8000,2230523
2024-06-27,602.0000,606.0000,595.0500,599.3000,2405121
2024-06-28,601.8000,609.6500,597.6500,600.7000,1710529
2024-07-01,600.7000,613.2500,600.7000,610.9500,2469588
2024-07-02,616.8000,616.8000,602.0000,602.8000,3919339
2024-07-03,607.0000,613.3000,605.0000,609.7000,1786017
2024-07-04,609.8000,613.6000,605.0500,605.9500,2277423
2024-07-05,604.0000,607.9500,603.2500,606.4500,879215
2024-07-08,610.4000,633.0000,610.4000,623.4500,7279634
2024-07-09,622.0500,633.4000,618.0500,630.2000,2665679
2024-07-10,630.0000,637.2500,619.5500,631.7000,2882570
2024-07-11,635.8000,635.8000,623.8000,629.3500,1588742
2024-07-12,633.9000,633.9000,626.0000,630.0000,1630043
2024-07-15,632.9000,638.9500,630.1500,632.4000,1091279
2024-07-16,634.0000,648.7000,630.0000,640.9500,2960104
2024-07-18,640.9500,651.0000,639.2500,644.8500,3161993
2024-07-19,645.0000,647.2000,631.6500,632.9000,2176993
2024-07-22,628.2500,639.8500,627.2000,636.6500,1365836
2024-07-23,639.9000,662.3500,632.1000,652.3000,7195533
2024-07-24,650.0000,650.0000,618.0500,634.1500,8340915
2024-07-25,625.5000,636.4500,625.0000,631.2000,1831371
2024-07-26,631.2000,635.2500,625.1000,632.4500,1469979
2024-07-29,635.8500,643.1500,631.0500,641.1000,2240896
2024-07-30,641.0500,648.8500,632.5000,633.9000,3020230
2024-07-31,636.9500,640.7500,630.0000,635.7000,2769613
2024-08-01,638.9000,655.8500,636.7500,643.5000,6852547
2024-08-02,643.5000,650.0000,625.0000,627.5500,4123973
2024-08-05,615.0000,640.0000,614.0500,634.0000,4771981
2024-08-06,638.0000,643.0000,627.0000,629.1500,1854542
2024-08-07,631.2000,641.3000,631.2000,639.2500,1788865
2024-08-08,639.0000,641.8000,634.6500,637.4500,1528269
2024-08-09,641.6000,642.2000,622.1000,623.9500,2679620
2024-08-12,626.9000,627.2500,615.7500,620.3500,1139283
2024-08-13,620.6000,624.2500,602.7000,605.8500,2691122
2024-08-14,609.9000,609.9000,598.6000,604.4000,2012408
2024-08-16,606.3500,618.5000,604.4000,617.6000,1259712
2024-08-19,618.0000,624.9000,614.8500,621.3000,2332398
2024-08-20,625.4000,625.4500,617.0500,623.1000,1340039
2024-08-21,624.9000,635.9500,617.9500,634.3500,2105395
2024-08-22,637.0000,647.7000,632.1000,646.1500,3452342
2024-08-23,647.9000,651.2000,640.8500,643.2500,3461642
2024-08-26,646.0000,655.4000,640.9000,654.5500,2940223
2024-08-27,655.0000,655.0000,641.6500,643.4000,1428673
2024-08-28,645.9500,649.5000,638.0000,644.4000,1149783
2024-08-29,644.0000,647.9000,638.6000,644.1500,1071747
2024-08-30,644.0000,645.5500,636.1000,637.1500,3304453
2024-09-02,637.8000,644.6500,634.4500,636.6500,745420
2024-09-03,636.6500,648.5000,635.2500,638.2000,1775357
2024-09-04,638.0500,651.5500,634.2000,650.0500,3104663
2024-09-05,655.0000,655.0000,642.6500,644.8000,2131132
2024-09-06,644.0000,653.7000,643.3500,644.4000,1910995
2024-09-09,645.0000,664.9000,644.0500,662.3500,6213572
