date,open,high,low,close,volume
2023-09-20,309.8000,312.8000,303.0000,305.5000,384847
2023-09-21,305.5000,308.9000,302.0500,303.4000,330156
2023-09-22,306.0000,307.7000,300.5500,304.4000,266077
2023-09-25,305.4000,306.6000,302.5500,304.0000,218746
2023-09-26,304.0000,311.7000,303.0000,304.0500,326543
2023-09-27,304.1000,306.5000,302.3000,303.9000,203541
2023-09-28,304.9000,311.0000,302.7500,304.0000,347672
2023-09-29,306.4000,314.3000,303.2500,311.3500,349711
2023-10-03,310.9500,312.2000,305.8000,306.7500,255021
2023-10-04,305.7000,311.0000,303.0500,308.0000,331885
2023-10-05,309.7000,312.0000,306.4000,308.2500,255946
2023-10-06,309.7000,334.0000,309.6500,325.8000,5120637
2023-10-09,321.0000,321.8000,307.0000,308.7500,906053
2023-10-10,318.0000,321.6500,313.0000,317.5000,1234814
2023-10-11,319.7500,332.8000,316.0500,318.8000,976545
2023-10-12,320.7500,327.7000,318.8000,323.4500,520461
2023-10-13,322.8000,326.0500,312.5000,316.2000,431345
2023-10-16,318.5000,325.1500,314.3500,321.4000,488356
2023-10-17,322.0000,341.9500,318.0000,333.4000,4299615
2023-10-18,335.0000,338.0000,318.6000,321.3000,932271
2023-10-19,317.0000,324.0000,314.2000,320.1000,654260
2023-10-20,319.9500,351.7500,319.5500,336.0500,9039844
2023-10-23,336.7000,337.9000,303.0000,306.3000,2046062
2023-10-25,309.7000,314.7500,286.2500,297.8500,1663875
2023-10-26,296.0000,305.0000,287.3500,300.8000,1421408
2023-10-27,305.0000,308.5000,301.0500,306.0000,530080
2023-10-30,307.0000,308.1500,301.2000,305.2500,350277
2023-10-31,306.4000,315.7000,302.8500,304.3500,605981
2023-11-01,306.9000,313.0500,306.1000,306.9500,391287
2023-11-02,310.0000,315.5000,308.3500,312.3000,449347
2023-11-03,315.5000,322.0000,315.1500,319.1500,839191
2023-11-06,322.1500,341.4000,322.1500,326.6000,2610053
2023-11-07,328.0000,348.0000,324.5000,345.0000,2888421
2023-11-08,352.5000,365.3000,328.6000,357.1500,7654500
2023-11-09,357.1500,361.7500,345.1500,347.2500,1629922
2023-11-10,347.2500,367.4500,340.0500,361.8000,3186921
2023-11-13,375.7500,404.3500,375.7500,398.3500,7964606
2023-11-15,402.3000,427.7000,401.7500,422.7500,4781970
2023-11-16,424.0000,429.8500,414.6500,419.4000,2296442
2023-11-17,417.0000,424.9500,410.1500,413.1000,1222478
2023-11-20,412.0000,421.0000,410.1000,413.5000,929430
2023-11-21,417.0000,429.9500,410.2000,422.0500,1857573
2023-11-22,424.0000,439.0000,423.6000,427.2500,2331697
2023-11-23,427.2500,433.9000,424.1000,426.6500,828023
2023-11-24,427.0000,430.4500,420.1500,422.1000,546000
2023-11-28,423.0000,426.8000,411.8500,413.0500,576078
2023-11-29,415.9000,419.8500,398.3500,400.3500,1126191
2023-11-30,401.4500,406.6000,393.4000,395.3500,1006221
2023-12-01,400.3500,403.2500,390.2500,392.1000,1005995
2023-12-04,418.0000,437.9000,398.6000,401.9500,4931701
2023-12-05,404.2500,406.7000,392.5000,394.0000,980274
2023-12-06,396.6500,417.5000,393.0000,412.1000,2597607
2023-12-07,410.0000,411.0000,403.3000,405.5500,500371
2023-12-08,407.3000,412.7000,396.0500,398.3000,708955
2023-12-11,398.3000,405.9500,395.3500,401.5500,513348
2023-12-12,401.5500,403.9000,393.0000,396.6500,483450
2023-12-13,398.4500,405.9000,397.2500,398.6500,394402
2023-12-14,401.8500,404.0500,391.6000,393.1000,527991
2023-12-15,401.4000,403.0000,392.0000,394.7500,600334
2023-12-18,394.7500,400.7500,393.3000,397.4500,387300
2023-12-19,398.9500,400.8000,389.6000,391.3000,448212
2023-12-20,394.4000,396.3000,362.7500,365.5500,910179
2023-12-21,362.0000,386.9500,355.3000,384.9500,1283450
2023-12-22,389.0000,393.5500,382.1000,386.7000,737911
2023-12-26,386.7000,403.4000,386.7000,391.9500,975911
2023-12-27,393.4500,396.6000,384.8500,386.9000,367620
2023-12-28,389.0000,394.7000,384.8500,392.7500,414732
2023-12-29,392.7500,394.0000,383.3000,384.7000,445450
2024-01-01,385.4500,389.6500,378.0000,381.2500,400706
2024-01-02,383.0000,386.3500,374.0500,378.4500,446553
2024-01-03,379.0000,385.3500,374.5000,382.7000,481837
2024-01-04,383.5000,392.0000,383.5000,386.7500,624280
2024-01-05,388.0000,407.4500,388.0000,392.7500,2144914
2024-01-08,396.4500,403.7000,393.1000,395.5500,950244
2024-01-09,400.0000,411.7000,396.5000,400.4500,1563688
2024-01-10,403.0000,407.3000,397.6000,402.1000,530329
2024-01-11,403.9500,410.7500,398.7000,402.1000,886532
2024-01-12,403.9000,413.5500,402.2000,409.7000,1535195
2024-01-15,412.8000,413.8000,403.2500,405.8500,514083
2024-01-16,406.8000,412.4500,392.2000,396.5500,709315
2024-01-17,391.1000,399.4500,387.1000,389.6500,467772
2024-01-18,389.2500,393.8500,373.9500,386.9000,635268
2024-01-19,390.8000,395.5000,387.8000,389.7500,302649
2024-01-23,391.9500,392.0000,365.1000,368.4000,494453
2024-01-24,368.0000,386.0000,366.2500,384.6000,515649
2024-01-25,385.6000,387.2500,373.7500,375.2000,533322
2024-01-29,380.0000,399.8500,373.2500,394.9000,1511706
2024-01-30,397.5000,408.0000,393.2000,397.0500,1179770
2024-01-31,396.0500,402.6500,394.1000,400.4500,371255
2024-02-01,402.8000,406.9000,397.6000,399.1500,499901
2024-02-02,401.8500,428.4000,400.2000,413.5000,3744795
2024-02-05,418.6500,418.7000,385.0000,387.1000,1245817
2024-02-06,391.0500,404.2500,387.1500,401.6000,666141
2024-02-07,405.0000,418.2000,405.0000,407.1500,889610
2024-02-08,390.0000,403.9500,389.9500,393.6500,644931
2024-02-09,395.7000,415.0000,382.3500,411.9000,1568310
2024-02-12,414.4000,416.6000,385.5000,388.1000,861606
2024-02-13,391.0000,396.6500,375.4500,383.3500,1025962
2024-02-14,379.4500,459.9000,378.8000,455.0000,10572789
2024-02-15,455.0000,466.7000,446.0000,450.8500,3278118
2024-02-16,468.0000,486.0000,451.1000,453.5500,5127022
2024-02-19,455.8500,504.5000,455.8000,495.4500,6338317
2024-02-20,495.4500,495.4500,475.1000,478.5000,1553380
2024-02-21,479.9000,485.1000,451.0000,457.3000,833457
2024-02-22,461.0000,468.0000,436.3500,465.5500,765029
2024-02-23,470.4000,477.0000,456.4000,458.1500,584700
2024-02-26,459.9000,463.8000,448.0000,452.5000,393892
2024-02-27,452.4000,460.9000,445.0000,446.6000,305113
2024-02-28,448.7000,455.6000,431.0500,436.5000,456425
2024-02-29,436.5000,442.2000,423.2000,436.3500,477560
2024-03-01,448.5000,462.4500,441.0000,457.2500,1057716
2024-03-04,462.6000,462.7000,445.2500,447.3000,348671
2024-03-05,448.4000,448.9500,436.7500,439.4000,487922
2024-03-06,439.0000,440.7500,425.5000,432.1500,742127
2024-03-07,432.5000,444.4000,432.5000,437.4500,355219
2024-03-11,443.0000,449.5000,426.9500,430.9000,853021
2024-03-12,432.4000,434.5000,415.1500,418.8000,545213
2024-03-13,420.0000,425.2000,381.2500,386.4000,1257034
2024-03-14,381.0000,416.5000,377.6000,410.1000,748643
2024-03-15,408.7500,419.0500,395.4000,405.7000,472838
2024-03-18,406.8000,415.9000,400.0500,410.8000,461630
2024-03-19,412.0000,416.3000,393.1000,396.8000,405881
2024-03-20,398.4000,402.5500,389.1000,399.2500,384294
2024-03-21,403.0000,409.8500,401.8000,406.0000,277162
2024-03-22,405.2000,417.7000,404.7500,415.8000,398184
2024-03-26,415.6000,421.0000,406.6000,412.7500,391263
2024-03-27,411.9000,434.0000,411.0000,425.2000,1030687
2024-03-28,428.4000,469.0000,427.7500,456.9000,4209899
2024-04-01,456.9000,461.7000,450.5000,458.5500,587387
2024-04-02,457.2500,472.0000,456.7000,464.8000,798221
2024-04-03,464.0000,469.4000,458.3000,459.9000,358632
2024-04-04,462.0000,471.0000,458.3500,467.9500,616411
2024-04-05,467.5000,473.0000,463.0000,468.2000,382271
2024-04-08,468.0000,478.7500,465.1000,469.4500,445386
2024-04-09,500.0000,502.2000,465.0000,468.9500,2340560
2024-04-10,470.0000,470.0000,460.1000,465.1000,418628
2024-04-12,460.2500,468.4500,455.7000,457.4500,288099
2024-04-15,448.0000,452.5000,432.1000,443.6500,471799
2024-04-16,439.8500,450.0000,438.5000,446.8000,228520
2024-04-18,447.0000,453.5500,425.0500,428.3000,606531
2024-04-19,426.0000,439.7000,421.3500,435.0000,540629
2024-04-22,438.9000,447.1000,438.0000,444.9000,239304
2024-04-23,444.1000,458.7000,441.0000,454.0000,337159
2024-04-24,455.0000,474.0000,455.0000,464.4500,732941
2024-04-25,464.5000,464.5000,456.0500,461.4000,241758
