date,open,high,low,close,volume
2023-09-18,180.0000,183.8500,177.3500,180.5000,307831
2023-09-20,177.5500,182.6500,174.4500,176.2500,268459
2023-09-21,174.6000,177.7000,172.5000,173.9500,160516
2023-09-22,174.0000,178.0000,172.6000,175.7000,166261
2023-09-25,177.8500,188.5000,175.3000,181.8000,963042
2023-09-26,183.9000,184.8000,179.2000,180.6500,353484
2023-09-27,180.6500,183.0000,178.6000,179.8500,173811
2023-09-28,180.8000,184.8000,175.2000,176.9000,293446
2023-09-29,178.0500,178.4500,174.9000,175.8000,128899
2023-10-03,175.8000,176.0000,171.4500,173.0000,153235
2023-10-04,183.9500,183.9500,171.7000,173.8500,472609
2023-10-05,175.3000,177.1000,172.4000,173.2000,115588
2023-10-06,174.5000,181.4500,173.3500,176.7000,557403
2023-10-09,175.9000,180.7000,173.0000,175.9500,346089
2023-10-10,165.0500,166.4500,158.0500,162.9500,1233214
2023-10-11,170.0500,170.0500,159.7000,161.1000,489284
2023-10-12,163.0000,165.4500,162.5500,163.0500,363547
2023-10-13,162.9500,165.1500,159.2500,160.1500,430791
2023-10-16,161.6500,164.4000,158.0000,159.1000,589516
2023-10-17,161.5000,162.4500,158.6000,158.9500,220305
2023-10-18,160.2000,163.9500,159.1500,162.6000,498062
2023-10-19,162.6000,165.1000,161.3500,163.4500,249046
2023-10-20,164.8500,165.7500,159.1000,160.8000,260133
2023-10-23,161.0000,162.6000,155.1000,155.8500,271941
2023-10-25,158.0000,160.7500,156.0000,156.3000,342006
2023-10-26,157.0500,157.6000,148.1000,153.0000,411343
2023-10-27,154.5000,159.7000,154.5000,157.8500,142818
2023-10-30,158.0000,161.5000,156.0000,159.9000,141085
2023-10-31,161.8000,161.8000,156.6500,157.6000,90169
2023-11-01,158.5000,158.8500,155.8500,157.2500,132201
2023-11-02,158.0000,159.4500,156.7500,157.7500,57519
2023-11-03,158.9000,161.9000,158.2500,159.6000,104404
2023-11-06,160.9000,162.7500,160.3000,161.1000,107875
2023-11-07,161.1000,162.8500,160.3000,162.3000,83934
2023-11-08,164.0000,164.0000,160.3500,160.7000,97024
2023-11-09,161.0000,162.0000,158.4000,159.1000,85829
2023-11-10,159.1500,160.3000,156.9500,157.5000,91840
2023-11-13,160.1000,160.4500,157.1000,158.4500,78931
2023-11-15,159.0500,160.6000,156.2000,156.9500,148594
2023-11-16,157.1000,159.1500,156.4000,156.7500,121568
2023-11-17,157.2000,158.4500,156.0500,156.9500,109344
2023-11-20,158.4500,158.4500,156.0000,157.5500,84169
