date,open,high,low,close,volume
2023-09-25,158.4000,166.0500,156.0000,157.4000,989
2023-09-26,158.6500,165.2500,157.4000,164.5000,3936
2023-09-27,166.0000,172.7000,166.0000,172.2000,3776
2023-09-28,180.7500,180.8000,177.0000,179.8500,3525
2023-09-29,184.5000,188.5000,177.0000,183.1500,3666
2023-10-03,183.9500,183.9500,183.2000,183.9500,1022
2023-10-04,180.3000,183.9500,180.3000,180.3000,534
2023-10-05,176.7000,180.3000,176.7000,176.7000,387
2023-10-06,173.2000,176.7000,173.2000,173.2000,402
2023-10-09,173.2000,173.2000,173.2000,173.2000,169
2023-10-10,172.0000,173.0000,170.0000,172.0000,477
2023-10-11,168.6000,170.0000,168.6000,168.6000,1834
2023-10-12,165.2500,170.1000,165.2500,165.2500,2103
2023-10-13,162.2500,165.2500,162.2500,162.2500,1431
2023-10-16,165.0000,165.0000,162.2500,165.0000,34
2023-10-17,161.7500,165.0000,161.7000,161.7500,10147
2023-10-18,158.6000,161.7500,158.5500,158.6000,181
2023-10-19,158.5000,158.5000,158.4000,158.5000,147
2023-10-20,155.3500,158.5000,155.3500,155.3500,404
2023-10-23,157.0000,157.0000,156.0000,157.0000,313
2023-10-25,157.0000,160.1000,157.0000,157.0000,841
2023-10-26,157.0000,157.0000,155.1000,157.0000,264
2023-10-27,157.0000,157.0000,157.0000,157.0000,191
2023-10-30,160.1000,160.1000,158.0000,160.1000,27
2023-10-31,163.0000,163.3000,160.1000,163.0000,175
2023-11-01,161.1000,163.0000,161.1000,161.1000,39
2023-11-02,163.0000,164.0000,161.1000,163.0000,250
2023-11-03,162.9500,163.0000,160.0000,162.9500,260
2023-11-06,160.0000,162.0000,159.7000,160.0000,939
2023-11-07,160.0500,160.0500,160.0000,160.0500,440
2023-11-08,160.0500,160.1000,160.0500,160.0500,467
2023-11-09,163.2500,163.2500,163.2500,163.2500,668
2023-11-10,166.5000,166.5000,166.5000,166.5000,170
2023-11-13,183.5000,183.5000,183.5000,183.5000,3670
2023-11-15,192.6500,192.6500,192.6500,192.6500,2939
2023-11-16,202.2500,202.2500,202.2500,202.2500,2793
2023-11-17,212.3500,212.3500,212.3500,212.3500,7592
2023-11-20,222.9500,222.9500,222.9500,222.9500,1624
2023-11-21,234.0500,234.0500,224.0000,234.0500,17232
2023-11-22,229.4000,229.4000,229.4000,229.4000,1818
2023-11-23,224.8500,224.8500,224.8500,224.8500,1193
2023-11-24,220.5000,220.5000,220.3500,220.5000,3936
2023-11-28,221.0000,221.0000,220.5000,221.0000,4861
2023-11-29,220.0000,225.0000,220.0000,220.0000,6393
2023-11-30,216.0000,218.0000,216.0000,216.0000,704
2023-12-01,211.7000,216.0000,211.7000,211.7000,574
2023-12-04,209.0000,215.9000,209.0000,209.0000,1095
2023-12-05,210.0000,210.0000,205.0000,210.0000,11323
2023-12-06,206.0000,213.7000,206.0000,206.0000,3524
2023-12-07,202.1500,210.1000,202.1500,202.1500,2090
2023-12-08,203.0000,206.1500,203.0000,203.0000,843
2023-12-11,198.9500,207.0000,198.9500,198.9500,1103
2023-12-12,195.0000,202.9000,195.0000,195.0000,1230
2023-12-13,192.0000,195.0500,191.5500,192.0000,1602
2023-12-14,195.8000,195.8000,188.2000,195.8000,5641
2023-12-15,196.7000,199.7000,196.7000,196.7000,5884
2023-12-18,196.7000,200.6000,196.7000,196.7000,2531
2023-12-19,192.8000,197.2000,192.8000,192.8000,1715
2023-12-20,189.0000,196.6500,189.0000,189.0000,2343
2023-12-21,186.1000,191.5000,186.1000,186.1000,3851
2023-12-22,183.1000,189.8000,183.1000,183.1000,9142
2023-12-26,179.4500,186.7500,179.4500,179.4500,19857
2023-12-27,176.4000,176.4000,175.9000,176.4000,43697
2023-12-28,172.9000,179.9000,172.9000,172.9000,16014
2023-12-29,176.3500,176.3500,175.0500,176.3500,14260
2024-01-01,184.8000,185.1500,167.6000,175.6500,49160
2024-01-02,180.8000,184.4000,177.0000,184.4000,24193
2024-01-03,184.4500,193.6000,176.0000,178.7000,75911
2024-01-04,176.5500,182.8500,174.4000,177.1000,37585
2024-01-05,179.5000,185.9500,174.5000,179.1000,45812
2024-01-08,179.1000,181.8000,174.2000,178.7000,23128
2024-01-09,179.5000,186.9000,178.5000,184.7000,17774
2024-01-10,188.4000,193.9000,188.0000,193.9000,10747
2024-01-11,199.7000,203.5500,188.0000,198.5000,33290
2024-01-12,205.0000,208.4000,203.0000,208.4000,11872
2024-01-15,208.4000,208.4000,208.4000,208.4000,0
2024-01-16,228.0000,228.0000,207.9000,207.9000,42017
2024-01-17,197.5000,217.0000,197.5000,207.6000,24797
2024-01-18,215.0000,217.9500,208.0000,217.9500,24374
2024-01-19,218.5000,228.8000,218.5000,228.8000,13038
2024-01-23,232.4000,238.9000,220.8000,220.8000,28103
2024-01-24,215.0000,222.0500,209.8000,210.3000,27983
2024-01-25,209.9500,209.9500,199.8000,199.8000,29461
2024-01-29,195.8500,203.0000,189.9500,197.7500,31262
2024-01-30,199.4500,207.6000,197.8000,207.6000,16967
2024-01-31,217.7500,217.9500,217.6500,217.9500,10012
2024-02-01,228.8000,228.8000,228.8000,228.8000,5338
2024-02-02,240.2000,240.2000,240.2000,240.2000,5669
2024-02-05,252.2000,252.2000,230.0000,235.5000,28038
2024-02-06,246.0000,246.0000,223.7500,227.2500,8711
2024-02-07,230.9500,238.5000,216.0000,218.9000,36686
2024-02-08,221.6000,229.8000,220.1000,229.5000,21053
2024-02-09,240.9000,240.9000,218.0500,231.2500,14435
2024-02-12,237.4500,237.4500,219.7000,219.7000,21397
2024-02-13,219.8000,228.9000,210.0500,217.3000,12083
2024-02-14,216.0000,221.8000,212.0000,216.5000,11311
2024-02-15,216.6000,219.4000,206.0000,212.2500,14818
2024-02-16,215.0000,220.4500,209.3000,219.1000,6978
2024-02-19,229.8000,230.0000,221.0500,225.3000,14610
2024-02-20,233.6500,233.6500,220.0000,223.8000,4436
2024-02-21,220.0000,231.0000,220.0000,221.2500,3522
2024-02-22,227.9000,227.9000,220.1000,224.6000,5498
2024-02-23,231.0000,231.0000,222.1500,224.5500,4269
2024-02-26,229.2000,229.2000,221.2000,226.4500,4893
2024-02-27,236.8500,236.8500,221.5500,224.5000,4363
2024-02-28,222.8000,226.9000,215.5500,219.4500,5854
2024-02-29,225.9000,225.9000,216.0000,220.0500,4482
2024-03-01,225.9500,225.9500,212.8000,215.6000,9322
2024-03-04,224.3000,225.3000,212.0000,215.4000,5372
2024-03-05,216.0000,216.0000,209.0000,210.0000,4621
2024-03-06,202.1500,214.0000,199.5000,201.7500,38442
2024-03-07,209.9000,211.5000,204.8500,206.3000,2909
2024-03-11,210.5000,210.5000,200.0500,201.3500,2679
2024-03-12,192.6000,200.9000,191.3000,192.5500,10298
2024-03-13,198.0000,198.0000,182.9500,184.3000,10114
2024-03-14,180.0000,192.5000,175.2500,187.3500,15193
2024-03-15,195.0000,195.2000,178.0000,184.1000,14041
2024-03-18,180.0000,193.2000,180.0000,190.6500,6028
2024-03-19,191.0000,197.0000,188.2500,189.6500,4805
2024-03-20,189.7000,189.7000,183.2000,186.0500,22888
2024-03-21,183.0000,195.3000,176.7500,179.5000,14511
2024-03-22,184.9500,184.9500,179.0000,180.7500,6529
2024-03-26,180.1000,188.0000,180.1000,183.8500,6176
2024-03-27,188.0000,188.0000,179.7500,185.2500,3984
2024-03-28,188.4000,188.4000,181.0000,184.6000,5096
2024-04-01,187.4000,193.2000,180.4000,189.7000,4574
2024-04-02,194.0000,194.0000,189.3500,192.3000,5349
2024-04-03,189.8500,193.0500,189.8500,191.2500,3462
2024-04-04,193.2500,194.2500,188.0000,189.6500,5018
2024-04-05,190.7000,194.2500,190.2000,192.9500,3272
2024-04-08,194.2500,212.2000,187.6000,211.5500,14631
2024-04-09,232.6500,232.7000,225.0000,232.7000,11030
2024-04-10,255.9500,255.9500,255.9500,255.9500,7817
2024-04-12,258.9500,267.5000,243.1500,243.2000,85658
2024-04-15,233.1000,239.9500,231.0500,231.0500,7788
2024-04-16,220.6000,231.0500,219.5000,219.5000,25583
2024-04-18,229.7500,230.4500,208.5500,208.5500,66271
2024-04-19,201.0500,214.0000,201.0500,208.1500,25427
2024-04-22,209.2500,218.5500,209.2500,217.9500,12238
2024-04-23,227.4000,228.8000,212.3000,217.5000,5167
2024-04-24,219.9500,219.9500,211.0000,216.2000,8054
2024-04-25,218.5000,219.7500,213.0000,218.6500,6042
2024-04-26,222.0000,229.5500,220.0000,229.5000,8632
2024-04-29,229.5000,235.0000,220.2500,222.5000,5951
2024-04-30,232.0000,233.6000,222.0000,224.3500,4406
2024-05-02,231.0000,233.0000,213.5000,215.9000,24829
2024-05-03,216.9500,223.9000,215.0000,222.8500,7005
2024-05-06,222.8500,227.3500,215.0000,216.2500,3900
2024-05-07,215.5500,221.8000,213.0000,216.5000,3164
2024-05-08,215.9000,226.3000,206.6500,214.8000,2176
2024-05-09,214.9500,215.8000,204.3000,209.1000,4681
2024-05-10,206.6000,211.9000,202.7500,206.6500,2262
2024-05-13,205.0000,216.9000,200.6000,209.9000,4931
2024-05-14,218.9000,218.9000,210.4000,215.6500,412
2024-05-15,220.0000,220.0000,210.6500,213.7500,822
2024-05-16,213.7500,217.9500,205.1000,216.4000,3020
2024-05-17,217.9000,223.5000,207.2000,218.1000,4678
2024-05-21,221.9000,222.0000,208.2000,211.1500,6562
2024-05-22,211.1500,216.8000,205.0000,205.7500,4105
2024-05-23,204.4000,212.9500,204.4000,209.0500,1081
2024-05-24,209.0500,213.8000,207.0000,207.8500,2828
2024-05-27,207.8500,209.9500,201.8000,208.5500,1269
2024-05-28,208.5500,211.5000,204.0000,207.0000,1554
2024-05-29,207.0000,217.3500,202.6500,217.3500,8622
2024-05-30,228.2000,228.2000,215.0000,228.2000,41650
2024-05-31,221.1500,239.6000,216.8000,239.6000,36720
2024-06-03,249.7000,251.5500,227.6500,234.9000,65650
2024-06-04,243.0000,246.6000,230.0000,246.6000,21170
2024-06-05,258.9000,258.9000,234.9000,242.1500,56551
2024-06-06,247.9500,254.2500,230.5000,234.0500,69356
2024-06-07,234.6000,245.7500,225.0000,228.3000,71770
