date,open,high,low,close,volume
2023-09-20,4.6000,4.6000,4.3000,4.3500,85069
2023-09-21,4.3000,4.3500,4.2000,4.2500,18445
2023-09-22,4.2500,4.3500,4.2000,4.2500,5888
2023-09-25,4.3500,4.4000,4.1500,4.3000,31749
2023-09-26,4.3000,4.4000,4.3000,4.3500,6770
2023-09-27,4.4500,4.4500,4.1500,4.2000,54556
2023-09-28,4.2500,4.2500,4.1000,4.1500,11906
2023-09-29,4.2500,4.3500,4.2000,4.3500,31125
2023-10-03,4.5000,4.5500,4.5000,4.5500,51238
2023-10-04,4.7500,4.7500,4.6000,4.7500,68253
2023-10-05,4.8500,4.9500,4.7000,4.9500,69548
2023-10-06,5.1500,5.1500,5.0000,5.1500,58232
2023-10-09,5.5000,5.6500,5.2500,5.6500,104527
2023-10-10,6.1000,6.2000,5.2500,6.2000,524569
2023-10-11,6.8000,6.8000,6.8000,6.8000,92294
2023-10-12,7.1000,7.1000,7.1000,7.1000,79856
2023-10-13,7.4500,7.4500,6.7500,6.7500,431345
2023-10-16,6.4500,6.7500,6.4500,6.4500,3115
2023-10-17,6.1500,6.1500,6.1500,6.1500,14181
2023-10-18,5.8500,5.8500,5.8500,5.8500,15335
2023-10-19,5.5500,5.5500,5.5500,5.5500,7875
2023-10-20,5.3000,5.4000,5.3000,5.3000,7204
2023-10-23,5.0500,5.2000,5.0500,5.0500,3349
2023-10-25,4.8000,4.8000,4.8000,4.8000,8487
2023-10-26,4.6000,4.6000,4.6000,4.6000,2472
2023-10-27,4.5500,4.6000,4.4000,4.5500,7818
2023-10-30,4.4000,4.4000,4.3500,4.4000,10032
2023-10-31,4.6000,4.6000,4.3500,4.6000,2066
2023-11-01,4.8000,4.8000,4.6500,4.8000,8150
2023-11-02,5.0000,5.0000,4.8500,5.0000,7203
2023-11-03,5.0500,5.0500,5.0000,5.0500,3130
2023-11-06,4.8000,5.0000,4.8000,4.8000,14463
2023-11-07,4.8000,4.8000,4.7000,4.8000,4038
2023-11-08,4.6000,4.7000,4.6000,4.6000,4764
2023-11-09,4.4500,4.6000,4.4000,4.4500,8944
2023-11-10,4.6000,4.6500,4.4500,4.6000,12686
2023-11-13,4.8000,4.8000,4.4500,4.8000,2906
2023-11-15,4.8000,4.8000,4.6000,4.8000,4470
2023-11-16,4.8000,4.8000,4.8000,4.8000,3443
2023-11-17,4.6000,4.8000,4.6000,4.6000,10309
2023-11-20,4.7000,4.7000,4.5500,4.7000,8467
2023-11-21,4.7000,4.7000,4.7000,4.7000,1445
2023-11-22,4.6500,4.7000,4.6500,4.6500,1247
2023-11-23,4.6500,4.6500,4.5000,4.6500,3110
2023-11-24,4.6500,4.6500,4.6500,4.6500,7060
2023-11-28,4.6500,4.6500,4.6000,4.6500,1744
2023-11-29,4.6500,4.6500,4.4500,4.6500,5888
2023-11-30,4.5000,4.5500,4.5000,4.5000,6673
2023-12-01,4.5500,4.6000,4.5000,4.5500,4861
2023-12-04,4.5000,4.5000,4.3500,4.5000,3747
2023-12-05,4.6500,4.7000,4.3500,4.6500,690
2023-12-06,4.5500,4.6500,4.5000,4.5500,4823
2023-12-07,4.5000,4.5500,4.5000,4.5000,3844
2023-12-08,4.5000,4.5000,4.4000,4.5000,3952
2023-12-11,4.3000,4.5000,4.3000,4.3000,9770
2023-12-12,4.5000,4.5000,4.5000,4.5000,7211
2023-12-13,4.6000,4.6000,4.5000,4.6000,2571
2023-12-14,4.6500,4.6500,4.6000,4.6500,2341
2023-12-15,4.4500,4.5000,4.4500,4.4500,21038
2023-12-18,4.5000,4.5000,4.4500,4.5000,4004
2023-12-19,4.6000,4.6500,4.5000,4.6000,22968
2023-12-20,4.6000,4.6000,4.6000,4.6000,12465
2023-12-21,4.6000,4.6000,4.5000,4.6000,2555
2023-12-22,4.6500,4.7000,4.6000,4.6500,9141
2023-12-26,4.6000,4.6500,4.6000,4.6000,1201
2023-12-27,4.5500,4.6000,4.5000,4.5500,630
2023-12-28,4.5000,4.5500,4.5000,4.5000,370
2023-12-29,4.5500,4.6000,4.5500,4.5500,1377
2024-01-01,4.5500,4.6000,4.5500,4.5500,4003
2024-01-02,4.4000,4.5000,4.4000,4.4000,9293
2024-01-03,4.6000,4.6000,4.6000,4.6000,7702
2024-01-04,4.6500,4.6500,4.6000,4.6500,7481
2024-01-05,4.6500,4.6500,4.6500,4.6500,13474
2024-01-08,4.8500,4.8500,4.8500,4.8500,45493
2024-01-09,5.0500,5.0500,5.0500,5.0500,12810
2024-01-10,5.1500,5.1500,5.1500,5.1500,19140
2024-01-11,5.2000,5.2000,5.1500,5.2000,37122
