date,open,high,low,close,volume
2023-09-26,140.4000,142.4500,137.1500,138.9500,242812
2023-09-27,139.9000,142.0000,138.8500,141.8500,368148
2023-09-28,142.7000,154.9000,138.5000,152.1500,2021187
2023-09-29,153.5000,156.2000,148.1500,150.9500,665805
2023-10-03,150.3500,150.3500,141.8000,144.0000,396501
2023-10-04,143.4500,146.0000,133.8500,139.1500,582008
2023-10-05,139.3000,142.4500,137.2500,138.4000,203893
2023-10-06,140.1000,141.4500,134.5500,137.2500,211530
2023-10-09,137.2500,138.3500,130.4000,131.5500,323511
2023-10-10,133.9500,135.9000,132.6000,133.7000,136283
2023-10-11,134.7500,139.9000,132.2000,133.4000,396981
2023-10-12,134.2500,136.4000,133.0000,135.0000,165184
2023-10-13,134.0000,136.4000,131.0000,133.0500,163463
2023-10-16,132.1500,134.8500,132.1500,133.0500,141036
2023-10-17,133.9500,135.8000,132.8500,134.1000,103953
2023-10-18,134.1000,138.4500,132.9000,133.5000,221352
2023-10-19,134.0000,134.8500,132.8500,133.1500,83370
2023-10-20,133.6000,134.3000,130.0000,130.6500,107181
2023-10-23,131.0500,132.0500,118.1000,120.5500,318132
2023-10-25,123.6000,126.9500,117.5000,120.1500,161044
2023-10-26,121.9000,126.0500,116.2500,123.3000,214703
2023-10-27,124.7500,128.9000,124.7500,125.8000,135476
2023-10-30,127.6500,129.1500,122.8000,127.9000,111834
2023-10-31,129.4500,129.4500,124.9000,125.4500,94403
2023-11-01,125.4500,126.4000,119.9500,122.0500,82650
2023-11-02,123.8000,125.7000,123.0500,123.7500,109411
2023-11-03,124.8500,128.4500,124.1500,126.7500,120377
2023-11-06,127.0000,131.3000,126.3000,129.4000,108519
2023-11-07,129.9000,131.9000,126.5000,127.2500,96775
2023-11-08,128.0000,129.9500,124.2500,125.1500,142769
2023-11-09,126.2000,126.9000,124.9000,125.3000,53635
2023-11-10,125.8000,125.9500,123.0000,123.9500,62104
2023-11-13,125.5000,126.0000,122.1000,123.4500,157527
2023-11-15,129.0000,135.7500,128.9500,135.7500,625498
2023-11-16,137.5000,138.0000,133.2000,136.9000,479561
2023-11-17,138.4000,149.0000,135.5000,146.2000,1003215
2023-11-20,147.4000,151.0000,144.2500,147.6500,490469
2023-11-21,148.7000,150.0000,143.2000,144.0500,291107
2023-11-22,145.7500,147.4500,141.3000,143.1000,242269
2023-11-23,144.0000,157.4000,143.9500,157.4000,2100379
2023-11-24,160.4500,166.0500,157.2000,164.3500,1828809
2023-11-28,165.9500,169.0000,161.3500,166.5500,924567
2023-11-29,167.2000,172.4500,163.7500,164.9000,548509
2023-11-30,165.9000,169.6500,161.6000,165.5000,502005
2023-12-01,166.8000,168.7500,164.0000,165.0000,306654
2023-12-04,167.0000,171.7000,164.0500,166.2000,274517
2023-12-05,167.0000,170.3000,161.2500,163.3000,474770
2023-12-06,163.5000,168.2500,160.1500,166.2500,467108
2023-12-07,164.2000,165.6500,156.7000,158.2500,551482
2023-12-08,155.2000,159.9000,149.5000,151.8500,585681
2023-12-11,156.7500,163.5500,153.9500,156.9000,630443
2023-12-12,156.6000,156.7000,150.3500,152.1500,313899
2023-12-13,153.0500,154.4500,150.6000,153.3500,245907
2023-12-14,154.4500,159.8000,151.1000,158.3500,602504
2023-12-15,160.0000,161.4500,153.8000,155.1000,278761
2023-12-18,162.4000,162.4000,156.2000,157.1500,392240
2023-12-19,157.9500,159.7500,154.2500,158.2000,267650
2023-12-20,160.0000,169.7000,150.9500,153.2000,1292220
2023-12-21,153.2000,159.6500,150.7500,158.6000,285373
2023-12-22,159.9500,165.4500,158.0500,160.2000,314289
2023-12-26,160.2000,161.6000,156.4000,157.5000,176064
2023-12-27,158.4000,160.9000,154.5000,155.2500,171042
2023-12-28,156.1500,156.5000,152.1000,153.7000,182578
2023-12-29,153.9000,157.1000,151.4000,153.3000,162643
2024-01-01,153.3000,155.4000,152.1000,152.7000,146379
