date,open,high,low,close,volume
2026-08-18,243.0300,249.0000,240.4000,244.0500,4205721
2026-08-19,244.9000,244.9500,232.1000,233.2100,1792043
2026-08-20,238.4900,248.8000,238.0000,242.6600,2916403
2026-08-21,243.8500,250.8000,236.1000,245.6700,3292732
2026-08-24,248.0000,250.3000,244.9000,247.6100,1613681
2026-08-25,249.0000,249.4900,231.1000,232.8400,2097704
2026-08-26,234.0000,234.6500,228.0000,230.9600,1430774
2026-08-27,231.8000,231.8000,222.0200,229.3700,2139149
2026-08-28,230.3900,234.4900,226.4000,227.6400,1156406
2026-08-31,226.5000,226.5000,220.1000,223.3400,802968
2026-09-01,223.4000,224.7700,218.2100,221.0500,835236
2026-09-02,216.6900,223.9900,215.5000,219.0300,757656
2026-09-03,220.0000,223.9900,211.1500,213.8000,1232250
2026-09-04,215.0000,219.3000,212.4300,213.8700,959258
2026-09-07,213.9800,217.8000,212.1000,215.7700,636636
2026-09-08,215.7700,224.5000,214.0000,223.2200,1302537
2026-09-09,225.0000,228.7000,216.5400,219.3600,1734880
2026-09-10,221.3900,228.9000,219.6200,225.8800,1682664
2026-09-11,225.4100,236.8000,222.1300,229.7300,3107818
2026-09-14,229.7300,229.7300,229.7300,229.7300,0
2026-09-15,237.0000,238.4000,221.2500,222.8200,2417677
2026-09-16,224.0000,225.9900,216.6000,220.6700,1128727
2026-09-17,220.6000,225.7000,216.5600,217.8500,805768
2026-09-18,219.4700,220.7400,216.0000,217.2100,714192
2026-09-21,218.2500,221.6300,215.0500,217.0400,650192
2026-09-22,217.9900,226.5000,217.0200,225.1700,1185411
2026-09-23,226.5100,231.6800,220.9300,222.4400,1031451
